Model Year,Regulatory Class,Vehicle Type,Reported quantity,Reported value
1991,Truck,Pickup,Production Share,0.153
1991,Truck,Minivan/Van,Production Share,0.082
1991,Truck,Truck SUV,Production Share,0.069
1991,Car,Car SUV,Production Share,0.018
1992,All,All,Production Share,1.0
1992,Car,All Car,Production Share,0.686
1992,Car,Sedan/Wagon,Production Share,0.666
1992,Truck,All Truck,Production Share,0.314
1992,Truck,Pickup,Production Share,0.151
1992,Truck,Minivan/Van,Production Share,0.1
1992,Truck,Truck SUV,Production Share,0.062
1992,Car,Car SUV,Production Share,0.02
1993,All,All,Production Share,1.0
1993,Car,All Car,Production Share,0.676
1993,Car,Sedan/Wagon,Production Share,0.64
1993,Truck,All Truck,Production Share,0.324
1993,Truck,Pickup,Production Share,0.152
1993,Truck,Minivan/Van,Production Share,0.109
1993,Truck,Truck SUV,Production Share,0.063
1993,Car,Car SUV,Production Share,0.036
1994,All,All,Production Share,1.0
1994,Car,All Car,Production Share,0.619
1994,Car,Sedan/Wagon,Production Share,0.596
1994,Truck,All Truck,Production Share,0.381
1994,Truck,Pickup,Production Share,0.189
1994,Truck,Minivan/Van,Production Share,0.1
1994,Truck,Truck SUV,Production Share,0.091
1994,Car,Car SUV,Production Share,0.023
1995,All,All,Production Share,1.0
1995,Car,All Car,Production Share,0.635
1995,Car,Sedan/Wagon,Production Share,0.62
1995,Truck,All Truck,Production Share,0.365
1995,Truck,Pickup,Production Share,0.15
1995,Truck,Minivan/Van,Production Share,0.11
1995,Truck,Truck SUV,Production Share,0.105
1995,Car,Car SUV,Production Share,0.015
1996,All,All,Production Share,1.0
1996,Car,All Car,Production Share,0.622
1996,Car,Sedan/Wagon,Production Share,0.6
1996,Truck,All Truck,Production Share,0.378
1996,Truck,Pickup,Production Share,0.149
1996,Truck,Truck SUV,Production Share,0.122
1996,Truck,Minivan/Van,Production Share,0.107
1996,Car,Car SUV,Production Share,0.022
1997,All,All,Production Share,1.0
1997,Car,All Car,Production Share,0.601
1997,Car,Sedan/Wagon,Production Share,0.576
1997,Truck,All Truck,Production Share,0.399
1997,Truck,Pickup,Production Share,0.167
1997,Truck,Truck SUV,Production Share,0.145
1997,Truck,Minivan/Van,Production Share,0.088
1997,Car,Car SUV,Production Share,0.025
1998,All,All,Production Share,1.0
1998,Car,All Car,Production Share,0.583
1998,Car,Sedan/Wagon,Production Share,0.551
1998,Truck,All Truck,Production Share,0.417
1998,Truck,Pickup,Production Share,0.167
1998,Truck,Truck SUV,Production Share,0.147
1998,Truck,Minivan/Van,Production Share,0.103
1998,Car,Car SUV,Production Share,0.031
1999,All,All,Production Share,1.0
1999,Car,All Car,Production Share,0.583
1999,Car,Sedan/Wagon,Production Share,0.551
1999,Truck,All Truck,Production Share,0.417
1999,Truck,Pickup,Production Share,0.167
1999,Truck,Truck SUV,Production Share,0.154
1999,Truck,Minivan/Van,Production Share,0.096
1999,Car,Car SUV,Production Share,0.032
2000,All,All,Production Share,1.0
2000,Car,All Car,Production Share,0.588
2000,Car,Sedan/Wagon,Production Share,0.551
2000,Truck,All Truck,Production Share,0.412
2000,Truck,Pickup,Production Share,0.158
2000,Truck,Truck SUV,Production Share,0.152
2000,Truck,Minivan/Van,Production Share,0.102
2000,Car,Car SUV,Production Share,0.037
2001,All,All,Production Share,1.0
2001,Car,All Car,Production Share,0.586
2001,Car,Sedan/Wagon,Production Share,0.539
2001,Truck,All Truck,Production Share,0.414
2001,Truck,Truck SUV,Production Share,0.173
2001,Truck,Pickup,Production Share,0.161
2001,Truck,Minivan/Van,Production Share,0.079
2001,Car,Car SUV,Production Share,0.048
2002,All,All,Production Share,1.0
2002,Car,All Car,Production Share,0.552
2002,Car,Sedan/Wagon,Production Share,0.515
2002,Truck,All Truck,Production Share,0.448
2002,Truck,Truck SUV,Production Share,0.223
2002,Truck,Pickup,Production Share,0.148
2002,Truck,Minivan/Van,Production Share,0.077
2002,Car,Car SUV,Production Share,0.037
2003,All,All,Production Share,1.0
2003,Car,All Car,Production Share,0.539
2003,Car,Sedan/Wagon,Production Share,0.502
2003,Truck,All Truck,Production Share,0.461
2003,Truck,Truck SUV,Production Share,0.226
2003,Truck,Pickup,Production Share,0.157
2003,Truck,Minivan/Van,Production Share,0.078
2003,Car,Car SUV,Production Share,0.036
2004,All,All,Production Share,1.0
2004,Car,All Car,Production Share,0.52
2004,Car,Sedan/Wagon,Production Share,0.48
2004,Truck,All Truck,Production Share,0.48
2004,Truck,Truck SUV,Production Share,0.259
2004,Truck,Pickup,Production Share,0.159
2004,Truck,Minivan/Van,Production Share,0.061
2004,Car,Car SUV,Production Share,0.041
2005,All,All,Production Share,1.0
2005,Car,All Car,Production Share,0.556
2005,Car,Sedan/Wagon,Production Share,0.505
2005,Truck,All Truck,Production Share,0.444
2005,Truck,Truck SUV,Production Share,0.206
2005,Truck,Pickup,Production Share,0.145
2005,Truck,Minivan/Van,Production Share,0.093
2005,Car,Car SUV,Production Share,0.051
2006,All,All,Production Share,1.0
2006,Car,All Car,Production Share,0.579
2006,Car,Sedan/Wagon,Production Share,0.529
2006,Truck,All Truck,Production Share,0.421
2006,Truck,Truck SUV,Production Share,0.199
2006,Truck,Pickup,Production Share,0.145
2006,Truck,Minivan/Van,Production Share,0.077
2006,Car,Car SUV,Production Share,0.05
2007,All,All,Production Share,1.0
2007,Car,All Car,Production Share,0.589
2007,Car,Sedan/Wagon,Production Share,0.529
2007,Truck,All Truck,Production Share,0.411
2007,Truck,Truck SUV,Production Share,0.217
2007,Truck,Pickup,Production Share,0.138
2007,Car,Car SUV,Production Share,0.06
2007,Truck,Minivan/Van,Production Share,0.055
2008,All,All,Production Share,1.0
2008,Car,All Car,Production Share,0.593
2008,Car,Sedan/Wagon,Production Share,0.527
2008,Truck,All Truck,Production Share,0.407
2008,Truck,Truck SUV,Production Share,0.221
2008,Truck,Pickup,Production Share,0.129
2008,Car,Car SUV,Production Share,0.066
2008,Truck,Minivan/Van,Production Share,0.057
2009,All,All,Production Share,1.0
2009,Car,All Car,Production Share,0.67
2009,Car,Sedan/Wagon,Production Share,0.605
2009,Truck,All Truck,Production Share,0.33
2009,Truck,Truck SUV,Production Share,0.184
2009,Truck,Pickup,Production Share,0.106
2009,Car,Car SUV,Production Share,0.065
2009,Truck,Minivan/Van,Production Share,0.04
2010,All,All,Production Share,1.0
2010,Car,All Car,Production Share,0.628
2010,Car,Sedan/Wagon,Production Share,0.545
2010,Truck,All Truck,Production Share,0.372
2010,Truck,Truck SUV,Production Share,0.207
2010,Truck,Pickup,Production Share,0.115
2010,Car,Car SUV,Production Share,0.082
2010,Truck,Minivan/Van,Production Share,0.05
2011,All,All,Production Share,1.0
2011,Car,All Car,Production Share,0.578
2011,Car,Sedan/Wagon,Production Share,0.478
2011,Truck,All Truck,Production Share,0.422
2011,Truck,Truck SUV,Production Share,0.255
2011,Truck,Pickup,Production Share,0.123
2011,Car,Car SUV,Production Share,0.1
2011,Truck,Minivan/Van,Production Share,0.043
2012,All,All,Production Share,1.0
2012,Car,All Car,Production Share,0.644
2012,Car,Sedan/Wagon,Production Share,0.55
2012,Truck,All Truck,Production Share,0.356
2012,Truck,Truck SUV,Production Share,0.206
2012,Truck,Pickup,Production Share,0.101
2012,Car,Car SUV,Production Share,0.094
2012,Truck,Minivan/Van,Production Share,0.049
2013,All,All,Production Share,1.0
2013,Car,All Car,Production Share,0.641
2013,Car,Sedan/Wagon,Production Share,0.541
2013,Truck,All Truck,Production Share,0.359
2013,Truck,Truck SUV,Production Share,0.218
2013,Truck,Pickup,Production Share,0.104
2013,Car,Car SUV,Production Share,0.1
2013,Truck,Minivan/Van,Production Share,0.038
2014,All,All,Production Share,1.0
2014,Car,All Car,Production Share,0.593
2014,Car,Sedan/Wagon,Production Share,0.492
2014,Truck,All Truck,Production Share,0.407
2014,Truck,Truck SUV,Production Share,0.239
2014,Truck,Pickup,Production Share,0.124
2014,Car,Car SUV,Production Share,0.101
2014,Truck,Minivan/Van,Production Share,0.043
2015,All,All,Production Share,1.0
2015,Car,All Car,Production Share,0.574
2015,Car,Sedan/Wagon,Production Share,0.472
2015,Truck,All Truck,Production Share,0.426
2015,Truck,Truck SUV,Production Share,0.281
2015,Truck,Pickup,Production Share,0.107
2015,Car,Car SUV,Production Share,0.102
2015,Truck,Minivan/Van,Production Share,0.039
2016,All,All,Production Share,1.0
2016,Car,All Car,Production Share,0.553
2016,Truck,All Truck,Production Share,0.447
2016,Car,Sedan/Wagon,Production Share,0.438
2016,Truck,Truck SUV,Production Share,0.291
2016,Truck,Pickup,Production Share,0.117
2016,Car,Car SUV,Production Share,0.115
2016,Truck,Minivan/Van,Production Share,0.039
2017,All,All,Production Share,1.0
2017,Car,All Car,Production Share,0.526
2017,Truck,All Truck,Production Share,0.474
2017,Car,Sedan/Wagon,Production Share,0.41
2017,Truck,Truck SUV,Production Share,0.317
2017,Truck,Pickup,Production Share,0.121
2017,Car,Car SUV,Production Share,0.116
2017,Truck,Minivan/Van,Production Share,0.036
2018,All,All,Production Share,1.0
2018,Truck,All Truck,Production Share,0.52
2018,Car,All Car,Production Share,0.48
2018,Car,Sedan/Wagon,Production Share,0.367
2018,Truck,Truck SUV,Production Share,0.35
2018,Truck,Pickup,Production Share,0.139
2018,Car,Car SUV,Production Share,0.113
2018,Truck,Minivan/Van,Production Share,0.031
2019,All,All,Production Share,1.0
2019,Truck,All Truck,Production Share,0.556
2019,Car,All Car,Production Share,0.444
2019,Truck,Truck SUV,Production Share,0.365
2019,Car,Sedan/Wagon,Production Share,0.327
2019,Truck,Pickup,Production Share,0.156
2019,Car,Car SUV,Production Share,0.117
2019,Truck,Minivan/Van,Production Share,0.034
2020,All,All,Production Share,1.0
2020,Truck,All Truck,Production Share,0.572
2020,Car,All Car,Production Share,0.428
2020,Truck,Truck SUV,Production Share,0.408
2020,Car,Sedan/Wagon,Production Share,0.333
2020,Truck,Pickup,Production Share,0.137
2020,Car,Car SUV,Production Share,0.095
2020,Truck,Minivan/Van,Production Share,0.026
1975,All,All,Real-world fuel economy (MPG),13.06
1975,Car,All Car,Real-world fuel economy (MPG),13.455
1975,Car,Sedan/Wagon,Real-world fuel economy (MPG),13.458
1975,Truck,All Truck,Real-world fuel economy (MPG),11.634
1975,Truck,Pickup,Real-world fuel economy (MPG),11.915
1975,Truck,Minivan/Van,Real-world fuel economy (MPG),11.106
1975,Truck,Truck SUV,Real-world fuel economy (MPG),11.021
1975,Car,Car SUV,Real-world fuel economy (MPG),11.129
1976,All,All,Real-world fuel economy (MPG),14.221
1976,Car,All Car,Real-world fuel economy (MPG),14.861
1976,Car,Sedan/Wagon,Real-world fuel economy (MPG),14.868
1976,Truck,All Truck,Real-world fuel economy (MPG),12.247
1976,Truck,Pickup,Real-world fuel economy (MPG),12.442
1976,Truck,Minivan/Van,Real-world fuel economy (MPG),11.784
1976,Truck,Truck SUV,Real-world fuel economy (MPG),11.769
1976,Car,Car SUV,Real-world fuel economy (MPG),10.581
1977,All,All,Real-world fuel economy (MPG),15.067
1977,Car,All Car,Real-world fuel economy (MPG),15.586
1977,Car,Sedan/Wagon,Real-world fuel economy (MPG),15.593
1977,Truck,All Truck,Real-world fuel economy (MPG),13.285
1977,Truck,Pickup,Real-world fuel economy (MPG),13.558
1977,Truck,Minivan/Van,Real-world fuel economy (MPG),12.513
1977,Truck,Truck SUV,Real-world fuel economy (MPG),12.846
1977,Car,Car SUV,Real-world fuel economy (MPG),12.163
1978,All,All,Real-world fuel economy (MPG),15.838
1978,Car,All Car,Real-world fuel economy (MPG),16.938
1978,Car,Sedan/Wagon,Real-world fuel economy (MPG),16.949
1978,Truck,All Truck,Real-world fuel economy (MPG),12.949
1978,Truck,Pickup,Real-world fuel economy (MPG),13.328
1978,Truck,Minivan/Van,Real-world fuel economy (MPG),12.08
1978,Truck,Truck SUV,Real-world fuel economy (MPG),12.286
1978,Car,Car SUV,Real-world fuel economy (MPG),11.573
1979,All,All,Real-world fuel economy (MPG),15.913
1979,Car,All Car,Real-world fuel economy (MPG),17.24
1979,Car,Sedan/Wagon,Real-world fuel economy (MPG),17.245
1979,Truck,All Truck,Real-world fuel economy (MPG),12.52
1979,Truck,Pickup,Real-world fuel economy (MPG),13.215
1979,Truck,Minivan/Van,Real-world fuel economy (MPG),11.485
1979,Truck,Truck SUV,Real-world fuel economy (MPG),10.531
1979,Car,Car SUV,Real-world fuel economy (MPG),14.266
1980,All,All,Real-world fuel economy (MPG),19.165
1980,Car,All Car,Real-world fuel economy (MPG),20.012
1980,Car,Sedan/Wagon,Real-world fuel economy (MPG),20.012
1980,Truck,All Truck,Real-world fuel economy (MPG),15.779
1980,Truck,Pickup,Real-world fuel economy (MPG),16.519
1980,Truck,Minivan/Van,Real-world fuel economy (MPG),14.136
1980,Truck,Truck SUV,Real-world fuel economy (MPG),13.186
1980,Car,Car SUV,Real-world fuel economy (MPG),14.576
1981,All,All,Real-world fuel economy (MPG),20.521
1981,Car,All Car,Real-world fuel economy (MPG),21.416
1981,Car,Sedan/Wagon,Real-world fuel economy (MPG),21.416
1981,Truck,All Truck,Real-world fuel economy (MPG),17.092
1981,Truck,Pickup,Real-world fuel economy (MPG),17.882
1981,Truck,Minivan/Van,Real-world fuel economy (MPG),14.842
1981,Truck,Truck SUV,Real-world fuel economy (MPG),14.302
1981,Car,Car SUV,Real-world fuel economy (MPG),14.68
1982,All,All,Real-world fuel economy (MPG),21.072
1982,Car,All Car,Real-world fuel economy (MPG),22.207
1982,Car,Sedan/Wagon,Real-world fuel economy (MPG),22.212
1982,Truck,All Truck,Real-world fuel economy (MPG),17.406
1982,Truck,Pickup,Real-world fuel economy (MPG),18.485
1982,Truck,Minivan/Van,Real-world fuel economy (MPG),14.724
1982,Truck,Truck SUV,Real-world fuel economy (MPG),14.698
1982,Car,Car SUV,Real-world fuel economy (MPG),19.767
1983,All,All,Real-world fuel economy (MPG),20.952
1983,Car,All Car,Real-world fuel economy (MPG),22.085
1983,Car,Sedan/Wagon,Real-world fuel economy (MPG),22.091
1983,Truck,All Truck,Real-world fuel economy (MPG),17.729
1983,Truck,Pickup,Real-world fuel economy (MPG),18.877
1983,Truck,Minivan/Van,Real-world fuel economy (MPG),15.066
1983,Truck,Truck SUV,Real-world fuel economy (MPG),15.795
1983,Car,Car SUV,Real-world fuel economy (MPG),20.687
1984,All,All,Real-world fuel economy (MPG),21.0
1984,Car,All Car,Real-world fuel economy (MPG),22.423
1984,Car,Sedan/Wagon,Real-world fuel economy (MPG),22.442
1984,Truck,All Truck,Real-world fuel economy (MPG),17.399
1984,Truck,Pickup,Real-world fuel economy (MPG),18.26
1984,Truck,Minivan/Van,Real-world fuel economy (MPG),16.114
1984,Truck,Truck SUV,Real-world fuel economy (MPG),16.192
1984,Car,Car SUV,Real-world fuel economy (MPG),19.29
1985,All,All,Real-world fuel economy (MPG),21.319
1985,Car,All Car,Real-world fuel economy (MPG),22.989
1985,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.016
1985,Truck,All Truck,Real-world fuel economy (MPG),17.466
1985,Truck,Pickup,Real-world fuel economy (MPG),18.201
1985,Truck,Minivan/Van,Real-world fuel economy (MPG),16.546
1985,Truck,Truck SUV,Real-world fuel economy (MPG),16.539
1985,Car,Car SUV,Real-world fuel economy (MPG),20.08
1986,All,All,Real-world fuel economy (MPG),21.844
1986,Car,All Car,Real-world fuel economy (MPG),23.692
1986,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.724
1986,Truck,All Truck,Real-world fuel economy (MPG),18.185
1986,Truck,Pickup,Real-world fuel economy (MPG),18.862
1986,Truck,Minivan/Van,Real-world fuel economy (MPG),17.47
1986,Truck,Truck SUV,Real-world fuel economy (MPG),17.034
1986,Car,Car SUV,Real-world fuel economy (MPG),18.925
1987,All,All,Real-world fuel economy (MPG),21.972
1987,Car,All Car,Real-world fuel economy (MPG),23.76
1987,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.807
1987,Truck,All Truck,Real-world fuel economy (MPG),18.285
1987,Truck,Pickup,Real-world fuel economy (MPG),19.039
1987,Truck,Minivan/Van,Real-world fuel economy (MPG),17.659
1987,Truck,Truck SUV,Real-world fuel economy (MPG),17.274
1987,Car,Car SUV,Real-world fuel economy (MPG),19.425
1988,All,All,Real-world fuel economy (MPG),21.864
1988,Car,All Car,Real-world fuel economy (MPG),24.087
1988,Car,Sedan/Wagon,Real-world fuel economy (MPG),24.149
1988,Truck,All Truck,Real-world fuel economy (MPG),17.849
1988,Truck,Pickup,Real-world fuel economy (MPG),18.142
1988,Truck,Minivan/Van,Real-world fuel economy (MPG),17.878
1988,Truck,Truck SUV,Real-world fuel economy (MPG),17.023
1988,Car,Car SUV,Real-world fuel economy (MPG),19.248
1989,All,All,Real-world fuel economy (MPG),21.42
1989,Car,All Car,Real-world fuel economy (MPG),23.649
1989,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.71
1989,Truck,All Truck,Real-world fuel economy (MPG),17.55
1989,Truck,Pickup,Real-world fuel economy (MPG),17.802
1989,Truck,Minivan/Van,Real-world fuel economy (MPG),17.797
1989,Truck,Truck SUV,Real-world fuel economy (MPG),16.553
1989,Car,Car SUV,Real-world fuel economy (MPG),19.112
1990,All,All,Real-world fuel economy (MPG),21.158
1990,Car,All Car,Real-world fuel economy (MPG),23.293
1990,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.334
1990,Truck,All Truck,Real-world fuel economy (MPG),17.376
1990,Truck,Pickup,Real-world fuel economy (MPG),17.412
1990,Truck,Minivan/Van,Real-world fuel economy (MPG),17.844
1990,Truck,Truck SUV,Real-world fuel economy (MPG),16.436
1990,Car,Car SUV,Real-world fuel economy (MPG),18.845
1991,All,All,Real-world fuel economy (MPG),21.256
1991,Car,All Car,Real-world fuel economy (MPG),23.258
1991,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.428
1991,Truck,All Truck,Real-world fuel economy (MPG),17.761
1991,Truck,Pickup,Real-world fuel economy (MPG),18.187
1991,Truck,Minivan/Van,Real-world fuel economy (MPG),17.91
1991,Truck,Truck SUV,Real-world fuel economy (MPG),16.733
1991,Car,Car SUV,Real-world fuel economy (MPG),18.208
1992,All,All,Real-world fuel economy (MPG),20.794
1992,Car,All Car,Real-world fuel economy (MPG),22.875
1992,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.07
1992,Truck,All Truck,Real-world fuel economy (MPG),17.345
1992,Truck,Pickup,Real-world fuel economy (MPG),17.481
1992,Truck,Minivan/Van,Real-world fuel economy (MPG),17.922
1992,Truck,Truck SUV,Real-world fuel economy (MPG),16.203
1992,Car,Car SUV,Real-world fuel economy (MPG),17.843
1993,All,All,Real-world fuel economy (MPG),20.879
1993,Car,All Car,Real-world fuel economy (MPG),22.999
1993,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.459
1993,Truck,All Truck,Real-world fuel economy (MPG),17.513
1993,Truck,Pickup,Real-world fuel economy (MPG),17.585
1993,Truck,Minivan/Van,Real-world fuel economy (MPG),18.202
1993,Truck,Truck SUV,Real-world fuel economy (MPG),16.291
1993,Car,Car SUV,Real-world fuel economy (MPG),17.029
1994,All,All,Real-world fuel economy (MPG),20.378
1994,Car,All Car,Real-world fuel economy (MPG),23.02
1994,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.273
1994,Truck,All Truck,Real-world fuel economy (MPG),17.172
1994,Truck,Pickup,Real-world fuel economy (MPG),17.441
1994,Truck,Minivan/Van,Real-world fuel economy (MPG),17.838
1994,Truck,Truck SUV,Real-world fuel economy (MPG),16.007
1994,Car,Car SUV,Real-world fuel economy (MPG),18.04
1995,All,All,Real-world fuel economy (MPG),20.486
1995,Car,All Car,Real-world fuel economy (MPG),23.275
1995,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.444
1995,Truck,All Truck,Real-world fuel economy (MPG),16.952
1995,Truck,Pickup,Real-world fuel economy (MPG),16.89
1995,Truck,Minivan/Van,Real-world fuel economy (MPG),18.078
1995,Truck,Truck SUV,Real-world fuel economy (MPG),15.998
1995,Car,Car SUV,Real-world fuel economy (MPG),17.812
1996,All,All,Real-world fuel economy (MPG),20.432
1996,Car,All Car,Real-world fuel economy (MPG),23.119
1996,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.335
1996,Truck,All Truck,Real-world fuel economy (MPG),17.15
1996,Truck,Pickup,Real-world fuel economy (MPG),17.148
1996,Truck,Truck SUV,Real-world fuel economy (MPG),16.227
1996,Truck,Minivan/Van,Real-world fuel economy (MPG),18.34
1996,Car,Car SUV,Real-world fuel economy (MPG),18.432
1997,All,All,Real-world fuel economy (MPG),20.15
1997,Car,All Car,Real-world fuel economy (MPG),23.166
1997,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.372
1997,Truck,All Truck,Real-world fuel economy (MPG),16.842
1997,Truck,Pickup,Real-world fuel economy (MPG),16.837
1997,Truck,Truck SUV,Real-world fuel economy (MPG),16.131
1997,Truck,Minivan/Van,Real-world fuel economy (MPG),18.176
1997,Car,Car SUV,Real-world fuel economy (MPG),19.235
1998,All,All,Real-world fuel economy (MPG),20.096
1998,Car,All Car,Real-world fuel economy (MPG),23.019
1998,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.368
1998,Truck,All Truck,Real-world fuel economy (MPG),17.069
1998,Truck,Pickup,Real-world fuel economy (MPG),16.996
1998,Truck,Truck SUV,Real-world fuel economy (MPG),16.163
1998,Truck,Minivan/Van,Real-world fuel economy (MPG),18.697
1998,Car,Car SUV,Real-world fuel economy (MPG),18.239
1999,All,All,Real-world fuel economy (MPG),19.695
1999,Car,All Car,Real-world fuel economy (MPG),22.701
1999,Car,Sedan/Wagon,Real-world fuel economy (MPG),23.005
1999,Truck,All Truck,Real-world fuel economy (MPG),16.622
1999,Truck,Pickup,Real-world fuel economy (MPG),16.285
1999,Truck,Truck SUV,Real-world fuel economy (MPG),16.074
1999,Truck,Minivan/Van,Real-world fuel economy (MPG),18.278
1999,Car,Car SUV,Real-world fuel economy (MPG),18.51
2000,All,All,Real-world fuel economy (MPG),19.769
2000,Car,All Car,Real-world fuel economy (MPG),22.514
