Year,Month,Extent,Units
2021,February,14386000.0,km^2
1979,March,16342000.0,km^2
1980,March,16041000.0,km^2
1981,March,15632000.0,km^2
1982,March,16044000.0,km^2
1983,March,16085000.0,km^2
1984,March,15584000.0,km^2
1985,March,15886000.0,km^2
1986,March,15910000.0,km^2
1987,March,15816000.0,km^2
1988,March,15957000.0,km^2
1989,March,15423000.0,km^2
1990,March,15867000.0,km^2
1991,March,15416000.0,km^2
1992,March,15481000.0,km^2
1993,March,15813000.0,km^2
1994,March,15554000.0,km^2
1995,March,15260000.0,km^2
1996,March,15123000.0,km^2
1997,March,15467000.0,km^2
1998,March,15598000.0,km^2
1999,March,15398000.0,km^2
2000,March,15225000.0,km^2
2001,March,15516000.0,km^2
2002,March,15349000.0,km^2
2003,March,15485000.0,km^2
2004,March,14993000.0,km^2
2005,March,14687000.0,km^2
2006,March,14421000.0,km^2
2007,March,14542000.0,km^2
2008,March,15179000.0,km^2
2009,March,14984000.0,km^2
2010,March,15137000.0,km^2
2011,March,14546000.0,km^2
2012,March,15196000.0,km^2
2013,March,15032000.0,km^2
2014,March,14758000.0,km^2
2015,March,14370000.0,km^2
2016,March,14400000.0,km^2
2017,March,14290000.0,km^2
2018,March,14298000.0,km^2
2019,March,14574000.0,km^2
2020,March,14730000.0,km^2
2021,March,14645000.0,km^2
1979,April,15447000.0,km^2
1980,April,15429000.0,km^2
1981,April,15010000.0,km^2
1982,April,15466000.0,km^2
1983,April,15172000.0,km^2
1984,April,15015000.0,km^2
1985,April,15357000.0,km^2
1986,April,15059000.0,km^2
1987,April,15211000.0,km^2
1988,April,15123000.0,km^2
1989,April,14328000.0,km^2
1990,April,14650000.0,km^2
1991,April,14860000.0,km^2
1992,April,14677000.0,km^2
1993,April,15077000.0,km^2
1994,April,14888000.0,km^2
1995,April,14449000.0,km^2
1996,April,14216000.0,km^2
1997,April,14563000.0,km^2
1998,April,14892000.0,km^2
1999,April,15084000.0,km^2
2000,April,14558000.0,km^2
2001,April,14857000.0,km^2
2002,April,14299000.0,km^2
2003,April,14512000.0,km^2
2004,April,13987000.0,km^2
2005,April,14090000.0,km^2
2006,April,13906000.0,km^2
2007,April,13845000.0,km^2
2008,April,14352000.0,km^2
2009,April,14496000.0,km^2
2010,April,14659000.0,km^2
2011,April,14108000.0,km^2
2012,April,14626000.0,km^2
2013,April,14299000.0,km^2
2014,April,14088000.0,km^2
2015,April,13893000.0,km^2
2016,April,13681000.0,km^2
2017,April,13753000.0,km^2
2018,April,13696000.0,km^2
2019,April,13434000.0,km^2
2020,April,13621000.0,km^2
2021,April,13838000.0,km^2
1979,May,13857000.0,km^2
1980,May,13793000.0,km^2
1981,May,13802000.0,km^2
1982,May,13973000.0,km^2
1983,May,13491000.0,km^2
1984,May,13577000.0,km^2
1985,May,14073000.0,km^2
1986,May,13379000.0,km^2
1987,May,13743000.0,km^2
1988,May,13561000.0,km^2
1989,May,13044000.0,km^2
1990,May,13226000.0,km^2
1991,May,13473000.0,km^2
1992,May,13216000.0,km^2
1993,May,13368000.0,km^2
1994,May,13624000.0,km^2
1995,May,12972000.0,km^2
1996,May,13094000.0,km^2
1997,May,13177000.0,km^2
1998,May,13590000.0,km^2
1999,May,13751000.0,km^2
2000,May,13153000.0,km^2
2001,May,13510000.0,km^2
2002,May,12971000.0,km^2
2003,May,13016000.0,km^2
2004,May,12558000.0,km^2
2005,May,12911000.0,km^2
2006,May,12517000.0,km^2
2007,May,12780000.0,km^2
2008,May,12974000.0,km^2
2009,May,13187000.0,km^2
2010,May,12866000.0,km^2
2011,May,12681000.0,km^2
2012,May,13012000.0,km^2
2013,May,12997000.0,km^2
2014,May,12701000.0,km^2
2015,May,12468000.0,km^2
2016,May,11924000.0,km^2
2017,May,12631000.0,km^2
2018,May,12232000.0,km^2
2019,May,12186000.0,km^2
2020,May,12343000.0,km^2
2021,May,12662000.0,km^2
1979,June,12530000.0,km^2
1980,June,12205000.0,km^2
1981,June,12430000.0,km^2
1982,June,12476000.0,km^2
1983,June,12296000.0,km^2
1984,June,12152000.0,km^2
1985,June,12219000.0,km^2
1986,June,11976000.0,km^2
1987,June,12486000.0,km^2
1988,June,11943000.0,km^2
1989,June,12245000.0,km^2
1990,June,11641000.0,km^2
1991,June,12108000.0,km^2
1992,June,12147000.0,km^2
1993,June,11871000.0,km^2
1994,June,12016000.0,km^2
1995,June,11440000.0,km^2
1996,June,12084000.0,km^2
1997,June,11738000.0,km^2
1998,June,11706000.0,km^2
1999,June,11779000.0,km^2
2000,June,11665000.0,km^2
2001,June,11456000.0,km^2
2002,June,11583000.0,km^2
2003,June,11604000.0,km^2
2004,June,11447000.0,km^2
2005,June,11162000.0,km^2
2006,June,10920000.0,km^2
2007,June,11220000.0,km^2
2008,June,11208000.0,km^2
2009,June,11320000.0,km^2
2010,June,10585000.0,km^2
2011,June,10749000.0,km^2
2012,June,10674000.0,km^2
2013,June,11360000.0,km^2
2014,June,11033000.0,km^2
2015,June,10879000.0,km^2
2016,June,10413000.0,km^2
2017,June,10756000.0,km^2
2018,June,10778000.0,km^2
2019,June,10594000.0,km^2
2020,June,10593000.0,km^2
2021,June,10707000.0,km^2
1979,July,10311000.0,km^2
1980,July,10100000.0,km^2
1981,July,10271000.0,km^2
1982,July,10367000.0,km^2
1983,July,10570000.0,km^2
1984,July,9977000.0,km^2
1985,July,9744000.0,km^2
1986,July,10146000.0,km^2
1987,July,10333000.0,km^2
1988,July,9809000.0,km^2
1989,July,10130000.0,km^2
1990,July,9247000.0,km^2
1991,July,9514000.0,km^2
1992,July,10323000.0,km^2
1993,July,9476000.0,km^2
1994,July,9925000.0,km^2
1995,July,8987000.0,km^2
1996,July,10164000.0,km^2
1997,July,9411000.0,km^2
1998,July,9415000.0,km^2
1999,July,9488000.0,km^2
2000,July,9513000.0,km^2
2001,July,9070000.0,km^2
2002,July,9274000.0,km^2
2003,July,9215000.0,km^2
2004,July,9431000.0,km^2
2005,July,8649000.0,km^2
2006,July,8460000.0,km^2
2007,July,7943000.0,km^2
2008,July,8678000.0,km^2
2009,July,8465000.0,km^2
2010,July,8075000.0,km^2
2011,July,7724000.0,km^2
2012,July,7672000.0,km^2
2013,July,8132000.0,km^2
2014,July,8108000.0,km^2
2015,July,8378000.0,km^2
2016,July,7938000.0,km^2
2017,July,7939000.0,km^2
2018,July,8268000.0,km^2
2019,July,7589000.0,km^2
2020,July,7294000.0,km^2
2021,July,7689000.0,km^2
1979,August,8041000.0,km^2
1980,August,7984000.0,km^2
1981,August,7844000.0,km^2
1982,August,8139000.0,km^2
1983,August,8186000.0,km^2
1984,August,7771000.0,km^2
1985,August,7402000.0,km^2
1986,August,7979000.0,km^2
1987,August,7628000.0,km^2
1988,August,7892000.0,km^2
1989,August,7882000.0,km^2
1990,August,6797000.0,km^2
1991,August,7415000.0,km^2
1992,August,7925000.0,km^2
1993,August,7335000.0,km^2
1994,August,7639000.0,km^2
1995,August,6744000.0,km^2
1996,August,8180000.0,km^2
1997,August,7285000.0,km^2
1998,August,7509000.0,km^2
1999,August,7226000.0,km^2
2000,August,7168000.0,km^2
2001,August,7461000.0,km^2
2002,August,6599000.0,km^2
2003,August,6936000.0,km^2
2004,August,6855000.0,km^2
2005,August,6301000.0,km^2
2006,August,6496000.0,km^2
2007,August,5342000.0,km^2
2008,August,5913000.0,km^2
2009,August,6136000.0,km^2
2010,August,5875000.0,km^2
2011,August,5503000.0,km^2
2012,August,4723000.0,km^2
2013,August,6014000.0,km^2
2014,August,6078000.0,km^2
2015,August,5599000.0,km^2
2016,August,5371000.0,km^2
2017,August,5481000.0,km^2
2018,August,5615000.0,km^2
2019,August,5026000.0,km^2
2020,August,5070000.0,km^2
2021,August,5754000.0,km^2
1979,September,7051000.0,km^2
1980,September,7667000.0,km^2
1981,September,7138000.0,km^2
1982,September,7302000.0,km^2
1983,September,7395000.0,km^2
1984,September,6805000.0,km^2
1985,September,6698000.0,km^2
1986,September,7411000.0,km^2
1987,September,7279000.0,km^2
1988,September,7369000.0,km^2
1989,September,7008000.0,km^2
1990,September,6143000.0,km^2
1991,September,6473000.0,km^2
1992,September,7474000.0,km^2
1993,September,6397000.0,km^2
1994,September,7138000.0,km^2
1995,September,6080000.0,km^2
1996,September,7583000.0,km^2
1997,September,6686000.0,km^2
1998,September,6536000.0,km^2
1999,September,6117000.0,km^2
2000,September,6246000.0,km^2
2001,September,6732000.0,km^2
2002,September,5827000.0,km^2
2003,September,6116000.0,km^2
2004,September,5984000.0,km^2
2005,September,5504000.0,km^2
2006,September,5862000.0,km^2
2007,September,4267000.0,km^2
2008,September,4687000.0,km^2
2009,September,5262000.0,km^2
2010,September,4865000.0,km^2
2011,September,4561000.0,km^2
2012,September,3566000.0,km^2
2013,September,5208000.0,km^2
2014,September,5220000.0,km^2
2015,September,4616000.0,km^2
2016,September,4528000.0,km^2
2017,September,4822000.0,km^2
2018,September,4785000.0,km^2
2019,September,4364000.0,km^2
2020,September,4001000.0,km^2
2021,September,4915000.0,km^2
1979,October,8748000.0,km^2
1980,October,9183000.0,km^2
1981,October,8856000.0,km^2
1982,October,9421000.0,km^2
1983,October,9334000.0,km^2
1984,October,8561000.0,km^2
1985,October,8546000.0,km^2
1986,October,9484000.0,km^2
1987,October,9049000.0,km^2
1988,October,9135000.0,km^2
1989,October,8829000.0,km^2
1990,October,8485000.0,km^2
1991,October,8541000.0,km^2
1992,October,9319000.0,km^2
1993,October,8786000.0,km^2
1994,October,8915000.0,km^2
1995,October,7829000.0,km^2
1996,October,9161000.0,km^2
1997,October,8337000.0,km^2
1998,October,8452000.0,km^2
1999,October,8603000.0,km^2
2000,October,8379000.0,km^2
2001,October,8298000.0,km^2
2002,October,8162000.0,km^2
2003,October,7848000.0,km^2
2004,October,7925000.0,km^2
2005,October,7352000.0,km^2
2006,October,7541000.0,km^2
2007,October,6040000.0,km^2
2008,October,7350000.0,km^2
2009,October,6920000.0,km^2
2010,October,6984000.0,km^2
2011,October,6465000.0,km^2
2012,October,5886000.0,km^2
2013,October,7455000.0,km^2
2014,October,7232000.0,km^2
2015,October,6966000.0,km^2
2016,October,6082000.0,km^2
2017,October,6767000.0,km^2
2018,October,6134000.0,km^2
2019,October,5735000.0,km^2
2020,October,5334000.0,km^2
2021,October,6770000.0,km^2
1979,November,10943000.0,km^2
1980,November,11383000.0,km^2
1981,November,10929000.0,km^2
1982,November,11627000.0,km^2
1983,November,11461000.0,km^2
1984,November,10842000.0,km^2
1985,November,11025000.0,km^2
1986,November,11453000.0,km^2
1987,November,11224000.0,km^2
1988,November,11331000.0,km^2
1989,November,11115000.0,km^2
1990,November,11075000.0,km^2
1991,November,10885000.0,km^2
1992,November,11379000.0,km^2
1993,November,11319000.0,km^2
1994,November,11123000.0,km^2
1995,November,10761000.0,km^2
1996,November,10402000.0,km^2
1997,November,10684000.0,km^2
1998,November,10441000.0,km^2
1999,November,10796000.0,km^2
2000,November,10321000.0,km^2
2001,November,10658000.0,km^2
2002,November,10342000.0,km^2
2003,November,10125000.0,km^2
2004,November,10343000.0,km^2
2005,November,10216000.0,km^2
2006,November,9659000.0,km^2
2007,November,9760000.0,km^2
2008,November,10343000.0,km^2
2009,November,9772000.0,km^2
2010,November,9614000.0,km^2
2011,November,9772000.0,km^2
2012,November,9388000.0,km^2
2013,November,9939000.0,km^2
2014,November,10115000.0,km^2
2015,November,9846000.0,km^2
2016,November,8658000.0,km^2
2017,November,9493000.0,km^2
2018,November,9823000.0,km^2
2019,November,9353000.0,km^2
2020,November,8985000.0,km^2
2021,November,9809000.0,km^2
1979,December,13336000.0,km^2
1980,December,13593000.0,km^2
1981,December,13341000.0,km^2
1982,December,13642000.0,km^2
1983,December,13299000.0,km^2
1984,December,12989000.0,km^2
1985,December,13050000.0,km^2
1986,December,13222000.0,km^2
1988,December,13626000.0,km^2
1989,December,13387000.0,km^2
1990,December,13106000.0,km^2
1991,December,12945000.0,km^2
1992,December,13407000.0,km^2
1993,December,13319000.0,km^2
1994,December,13272000.0,km^2
1995,December,12921000.0,km^2
1996,December,12861000.0,km^2
1997,December,13076000.0,km^2
1998,December,12759000.0,km^2
1999,December,12641000.0,km^2
2000,December,12637000.0,km^2
2001,December,12491000.0,km^2
2002,December,12608000.0,km^2
2003,December,12588000.0,km^2
2004,December,12554000.0,km^2
2005,December,12228000.0,km^2
2006,December,11955000.0,km^2
2007,December,12034000.0,km^2
2008,December,12359000.0,km^2
2009,December,12200000.0,km^2
2010,December,11831000.0,km^2
2011,December,12154000.0,km^2
2012,December,12006000.0,km^2
2013,December,12184000.0,km^2
2014,December,12353000.0,km^2
2015,December,12045000.0,km^2
2016,December,11459000.0,km^2
2017,December,11743000.0,km^2
2018,December,11862000.0,km^2
2019,December,11903000.0,km^2
2020,December,11729000.0,km^2
2021,December,12220000.0,km^2
1979,Annual,12328000.0,km^2
1980,Annual,12337000.0,km^2
1981,Annual,12127000.0,km^2
1982,Annual,12447000.0,km^2
1983,Annual,12332000.0,km^2
1984,Annual,11910000.0,km^2
1985,Annual,11995000.0,km^2
1986,Annual,12203000.0,km^2
1987,Annual,12135000.0,km^2
1988,Annual,11923000.0,km^2
1989,Annual,11967000.0,km^2
1990,Annual,11694000.0,km^2
1991,Annual,11749000.0,km^2
1992,Annual,12110000.0,km^2
1993,Annual,11923000.0,km^2
1994,Annual,12011000.0,km^2
1995,Annual,11415000.0,km^2
1996,Annual,11841000.0,km^2
1997,Annual,11668000.0,km^2
1998,Annual,11757000.0,km^2
1999,Annual,11691000.0,km^2
2000,Annual,11508000.0,km^2
2001,Annual,11600000.0,km^2
2002,Annual,11363000.0,km^2
2003,Annual,11397000.0,km^2
2004,Annual,11240000.0,km^2
2005,Annual,10907000.0,km^2
2006,Annual,10773000.0,km^2
2007,Annual,10474000.0,km^2
2008,Annual,10978000.0,km^2
2009,Annual,10932000.0,km^2
2010,Annual,10711000.0,km^2
2011,Annual,10483000.0,km^2
2012,Annual,10406000.0,km^2
2013,Annual,10897000.0,km^2
2014,Annual,10790000.0,km^2
2015,Annual,10566000.0,km^2
2016,Annual,10163000.0,km^2
2017,Annual,10393000.0,km^2
2018,Annual,10355000.0,km^2
2019,Annual,10201000.0,km^2
2020,Annual,10150000.0,km^2
2021,Annual,10549000.0,km^2
