,year,month,data-type,region,extent_million_sq_km,area_million_sq_km
165,2018,4,      Goddard,      N,13.7,12.28
166,2019,4,      Goddard,      N,13.43,11.9
167,2020,4,      NRTSI-G,      N,13.73,12.0
168,1979,5,      Goddard,      N,13.86,11.11
169,1980,5,      Goddard,      N,13.79,10.96
170,1981,5,      Goddard,      N,13.8,10.99
171,1982,5,      Goddard,      N,13.97,11.17
172,1983,5,      Goddard,      N,13.49,10.87
173,1984,5,      Goddard,      N,13.58,10.88
174,1985,5,      Goddard,      N,14.07,11.25
175,1986,5,      Goddard,      N,13.38,10.7
176,1987,5,      Goddard,      N,13.74,10.97
177,1988,5,      Goddard,      N,13.56,11.41
178,1989,5,      Goddard,      N,13.04,11.35
179,1990,5,      Goddard,      N,13.23,10.9
180,1991,5,      Goddard,      N,13.47,11.5
181,1992,5,      Goddard,      N,13.22,11.43
182,1993,5,      Goddard,      N,13.37,11.42
183,1994,5,      Goddard,      N,13.62,11.66
184,1995,5,      Goddard,      N,12.97,10.9
185,1996,5,      Goddard,      N,13.09,11.28
186,1997,5,      Goddard,      N,13.18,11.24
187,1998,5,      Goddard,      N,13.59,11.4
188,1999,5,      Goddard,      N,13.75,11.66
189,2000,5,      Goddard,      N,13.15,11.24
190,2001,5,      Goddard,      N,13.51,11.38
191,2002,5,      Goddard,      N,12.97,11.16
192,2003,5,      Goddard,      N,13.02,10.89
193,2004,5,      Goddard,      N,12.56,10.92
194,2005,5,      Goddard,      N,12.91,10.88
195,2006,5,      Goddard,      N,12.52,10.45
196,2007,5,      Goddard,      N,12.78,10.77
197,2008,5,      Goddard,      N,12.97,11.25
198,2009,5,      Goddard,      N,13.19,11.48
199,2010,5,      Goddard,      N,12.87,10.88
200,2011,5,      Goddard,      N,12.68,10.74
201,2012,5,      Goddard,      N,13.01,11.05
202,2013,5,      Goddard,      N,13.0,11.25
203,2014,5,      Goddard,      N,12.7,11.05
204,2015,5,      Goddard,      N,12.47,10.9
205,2016,5,      Goddard,      N,11.92,10.25
206,2017,5,      Goddard,      N,12.63,11.01
207,2018,5,      Goddard,      N,12.23,10.81
208,2019,5,      Goddard,      N,12.19,10.5
209,2020,5,      NRTSI-G,      N,12.36,10.48
210,1979,6,      Goddard,      N,12.53,9.34
211,1980,6,      Goddard,      N,12.2,9.0
212,1981,6,      Goddard,      N,12.43,9.03
213,1982,6,      Goddard,      N,12.48,9.46
214,1983,6,      Goddard,      N,12.3,9.27
215,1984,6,      Goddard,      N,12.15,9.09
216,1985,6,      Goddard,      N,12.22,8.96
217,1986,6,      Goddard,      N,11.98,8.99
218,1987,6,      Goddard,      N,12.49,9.39
219,1988,6,      Goddard,      N,11.94,9.68
220,1989,6,      Goddard,      N,12.24,9.95
221,1990,6,      Goddard,      N,11.64,9.2
222,1991,6,      Goddard,      N,12.11,9.66
223,1992,6,      Goddard,      N,12.15,9.95
224,1993,6,      Goddard,      N,11.87,9.26
225,1994,6,      Goddard,      N,12.02,9.68
226,1995,6,      Goddard,      N,11.44,8.94
227,1996,6,      Goddard,      N,12.08,9.83
228,1997,6,      Goddard,      N,11.74,9.2
229,1998,6,      Goddard,      N,11.71,9.18
230,1999,6,      Goddard,      N,11.78,9.25
231,2000,6,      Goddard,      N,11.67,9.05
232,2001,6,      Goddard,      N,11.46,9.09
233,2002,6,      Goddard,      N,11.58,9.19
234,2003,6,      Goddard,      N,11.6,9.11
235,2004,6,      Goddard,      N,11.45,9.24
236,2005,6,      Goddard,      N,11.16,8.81
237,2006,6,      Goddard,      N,10.92,8.41
238,2007,6,      Goddard,      N,11.22,8.21
239,2008,6,      Goddard,      N,11.21,8.85
240,2009,6,      Goddard,      N,11.32,9.25
241,2010,6,      Goddard,      N,10.59,8.37
242,2011,6,      Goddard,      N,10.75,8.54
243,2012,6,      Goddard,      N,10.67,8.16
244,2013,6,      Goddard,      N,11.36,8.95
245,2014,6,      Goddard,      N,11.03,8.76
246,2015,6,      Goddard,      N,10.88,8.7
247,2016,6,      Goddard,      N,10.41,8.21
248,2017,6,      Goddard,      N,10.76,8.63
249,2018,6,      Goddard,      N,10.78,8.79
250,2019,6,      Goddard,      N,10.59,8.32
251,2020,6,      NRTSI-G,      N,10.58,8.39
252,1979,7,      Goddard,      N,10.31,6.69
253,1980,7,      Goddard,      N,10.1,6.53
254,1981,7,      Goddard,      N,10.27,6.31
255,1982,7,      Goddard,      N,10.37,6.87
256,1983,7,      Goddard,      N,10.57,6.86
257,1984,7,      Goddard,      N,9.98,6.3
258,1985,7,      Goddard,      N,9.74,5.99
259,1986,7,      Goddard,      N,10.15,6.62
260,1987,7,      Goddard,      N,10.33,6.55
261,1988,7,      Goddard,      N,9.81,7.01
262,1989,7,      Goddard,      N,10.13,7.33
263,1990,7,      Goddard,      N,9.25,6.52
264,1991,7,      Goddard,      N,9.51,6.76
265,1992,7,      Goddard,      N,10.32,7.22
266,1993,7,      Goddard,      N,9.48,6.28
267,1994,7,      Goddard,      N,9.93,6.92
268,1995,7,      Goddard,      N,8.99,6.16
269,1996,7,      Goddard,      N,10.16,7.44
270,1997,7,      Goddard,      N,9.41,6.5
271,1998,7,      Goddard,      N,9.42,6.45
272,1999,7,      Goddard,      N,9.49,6.55
273,2000,7,      Goddard,      N,9.51,6.39
274,2001,7,      Goddard,      N,9.07,6.29
275,2002,7,      Goddard,      N,9.27,6.44
276,2003,7,      Goddard,      N,9.21,6.15
277,2004,7,      Goddard,      N,9.43,6.51
278,2005,7,      Goddard,      N,8.65,5.9
279,2006,7,      Goddard,      N,8.46,5.79
280,2007,7,      Goddard,      N,7.94,5.13
281,2008,7,      Goddard,      N,8.68,6.06
282,2009,7,      Goddard,      N,8.47,6.12
283,2010,7,      Goddard,      N,8.07,5.57
284,2011,7,      Goddard,      N,7.72,5.4
285,2012,7,      Goddard,      N,7.67,5.09
286,2013,7,      Goddard,      N,8.13,5.81
287,2014,7,      Goddard,      N,8.11,5.96
288,2015,7,      Goddard,      N,8.38,5.66
289,2016,7,      Goddard,      N,7.94,5.37
290,2017,7,      Goddard,      N,7.94,5.65
291,2018,7,      Goddard,      N,8.27,5.76
292,2019,7,      Goddard,      N,7.59,5.13
293,2020,7,      NRTSI-G,      N,7.28,5.06
294,1979,8,      Goddard,      N,8.04,5.06
295,1980,8,      Goddard,      N,7.98,4.94
296,1981,8,      Goddard,      N,7.84,4.48
297,1982,8,      Goddard,      N,8.14,5.0
298,1983,8,      Goddard,      N,8.19,4.97
299,1984,8,      Goddard,      N,7.77,4.68
300,1985,8,      Goddard,      N,7.4,4.6
301,1986,8,      Goddard,      N,7.98,5.01
302,1987,8,      Goddard,      N,7.63,-9999.0
303,1988,8,      Goddard,      N,7.89,5.42
304,1989,8,      Goddard,      N,7.88,5.56
305,1990,8,      Goddard,      N,6.8,4.99
306,1991,8,      Goddard,      N,7.42,5.21
307,1992,8,      Goddard,      N,7.93,5.44
308,1993,8,      Goddard,      N,7.33,4.76
309,1994,8,      Goddard,      N,7.64,5.19
310,1995,8,      Goddard,      N,6.74,4.69
311,1996,8,      Goddard,      N,8.18,5.73
312,1997,8,      Goddard,      N,7.29,5.09
313,1998,8,      Goddard,      N,7.51,4.69
314,1999,8,      Goddard,      N,7.23,4.75
315,2000,8,      Goddard,      N,7.17,4.78
316,2001,8,      Goddard,      N,7.46,4.94
317,2002,8,      Goddard,      N,6.6,4.32
318,2003,8,      Goddard,      N,6.94,4.52
319,2004,8,      Goddard,      N,6.85,4.67
320,2005,8,      Goddard,      N,6.3,4.21
321,2006,8,      Goddard,      N,6.5,4.31
322,2007,8,      Goddard,      N,5.34,3.19
323,2008,8,      Goddard,      N,5.91,3.79
324,2009,8,      Goddard,      N,6.14,4.16
325,2010,8,      Goddard,      N,5.87,3.88
326,2011,8,      Goddard,      N,5.5,3.38
327,2012,8,      Goddard,      N,4.72,2.93
328,2013,8,      Goddard,      N,6.01,4.17
329,2014,8,      Goddard,      N,6.08,4.37
330,2015,8,      Goddard,      N,5.6,3.63
331,2016,8,      Goddard,      N,5.37,3.31
332,2017,8,      Goddard,      N,5.48,3.64
333,2018,8,      Goddard,      N,5.61,3.9
334,2019,8,      Goddard,      N,5.03,3.24
335,2020,8,      NRTSI-G,      N,5.08,3.08
336,1979,9,      Goddard,      N,7.05,4.58
337,1980,9,      Goddard,      N,7.67,4.87
338,1981,9,      Goddard,      N,7.14,4.44
339,1982,9,      Goddard,      N,7.3,4.43
340,1983,9,      Goddard,      N,7.39,4.7
341,1984,9,      Goddard,      N,6.81,4.11
342,1985,9,      Goddard,      N,6.7,4.23
343,1986,9,      Goddard,      N,7.41,4.72
344,1987,9,      Goddard,      N,7.28,5.64
345,1988,9,      Goddard,      N,7.37,5.36
346,1989,9,      Goddard,      N,7.01,4.86
347,1990,9,      Goddard,      N,6.14,4.55
348,1991,9,      Goddard,      N,6.47,4.51
349,1992,9,      Goddard,      N,7.47,5.43
350,1993,9,      Goddard,      N,6.4,4.58
351,1994,9,      Goddard,      N,7.14,5.13
352,1995,9,      Goddard,      N,6.08,4.43
353,1996,9,      Goddard,      N,7.58,5.62
354,1997,9,      Goddard,      N,6.69,4.89
355,1998,9,      Goddard,      N,6.54,4.3
356,1999,9,      Goddard,      N,6.12,4.29
357,2000,9,      Goddard,      N,6.25,4.35
358,2001,9,      Goddard,      N,6.73,4.59
359,2002,9,      Goddard,      N,5.83,4.03
360,2003,9,      Goddard,      N,6.12,4.05
361,2004,9,      Goddard,      N,5.98,4.39
362,2005,9,      Goddard,      N,5.5,4.07
363,2006,9,      Goddard,      N,5.86,4.01
364,2007,9,      Goddard,      N,4.27,2.82
365,2008,9,      Goddard,      N,4.69,3.26
366,2009,9,      Goddard,      N,5.26,3.76
367,2010,9,      Goddard,      N,4.87,3.34
368,2011,9,      Goddard,      N,4.56,3.21
369,2012,9,      Goddard,      N,3.57,2.41
370,2013,9,      Goddard,      N,5.21,3.78
371,2014,9,      Goddard,      N,5.22,3.74
372,2015,9,      Goddard,      N,4.62,3.42
373,2016,9,      Goddard,      N,4.53,2.91
374,2017,9,      Goddard,      N,4.82,3.35
375,2018,9,      Goddard,      N,4.79,3.35
376,2019,9,      Goddard,      N,4.36,3.17
377,2020,9,      NRTSI-G,      N,3.92,2.78
378,1979,10,      Goddard,      N,8.75,6.19
379,1980,10,      Goddard,      N,9.18,6.5
380,1981,10,      Goddard,      N,8.86,6.27
381,1982,10,      Goddard,      N,9.42,6.67
382,1983,10,      Goddard,      N,9.33,6.79
383,1984,10,      Goddard,      N,8.56,5.91
384,1985,10,      Goddard,      N,8.55,6.12
385,1986,10,      Goddard,      N,9.48,6.83
386,1987,10,      Goddard,      N,9.05,7.49
387,1988,10,      Goddard,      N,9.13,7.52
388,1989,10,      Goddard,      N,8.83,6.96
389,1990,10,      Goddard,      N,8.48,6.74
390,1991,10,      Goddard,      N,8.54,6.75
391,1992,10,      Goddard,      N,9.32,7.74
392,1993,10,      Goddard,      N,8.79,7.06
393,1994,10,      Goddard,      N,8.92,7.23
394,1995,10,      Goddard,      N,7.83,5.99
395,1996,10,      Goddard,      N,9.16,7.54
396,1997,10,      Goddard,      N,8.34,6.47
397,1998,10,      Goddard,      N,8.45,6.71
398,1999,10,      Goddard,      N,8.6,6.83
399,2000,10,      Goddard,      N,8.38,6.69
400,2001,10,      Goddard,      N,8.3,6.65
401,2002,10,      Goddard,      N,8.16,6.24
402,2003,10,      Goddard,      N,7.85,5.98
403,2004,10,      Goddard,      N,7.93,6.4
404,2005,10,      Goddard,      N,7.35,5.78
405,2006,10,      Goddard,      N,7.54,5.8
406,2007,10,      Goddard,      N,6.04,4.33
407,2008,10,      Goddard,      N,7.35,5.77
408,2009,10,      Goddard,      N,6.92,5.24
409,2010,10,      Goddard,      N,6.98,5.48
410,2011,10,      Goddard,      N,6.46,5.02
411,2012,10,      Goddard,      N,5.89,4.58
412,2013,10,      Goddard,      N,7.45,5.95
413,2014,10,      Goddard,      N,7.23,5.7
414,2015,10,      Goddard,      N,6.97,5.49
415,2016,10,      Goddard,      N,6.08,4.4
416,2017,10,      Goddard,      N,6.77,5.3
417,2018,10,      Goddard,      N,6.13,4.59
418,2019,10,      Goddard,      N,5.73,4.53
419,1978,11,      Goddard,      N,11.65,9.04
420,1979,11,      Goddard,      N,10.94,8.37
421,1980,11,      Goddard,      N,11.38,8.73
422,1981,11,      Goddard,      N,10.93,8.31
423,1982,11,      Goddard,      N,11.63,9.06
424,1983,11,      Goddard,      N,11.46,8.99
425,1984,11,      Goddard,      N,10.84,8.24
426,1985,11,      Goddard,      N,11.02,8.42
427,1986,11,      Goddard,      N,11.45,8.87
428,1987,11,      Goddard,      N,11.22,9.73
429,1988,11,      Goddard,      N,11.33,9.91
430,1989,11,      Goddard,      N,11.12,9.46
431,1990,11,      Goddard,      N,11.08,9.64
432,1991,11,      Goddard,      N,10.88,9.25
433,1992,11,      Goddard,      N,11.38,9.75
434,1993,11,      Goddard,      N,11.32,9.54
435,1994,11,      Goddard,      N,11.12,9.71
436,1995,11,      Goddard,      N,10.76,9.03
437,1996,11,      Goddard,      N,10.4,8.77
438,1997,11,      Goddard,      N,10.68,9.07
439,1998,11,      Goddard,      N,10.44,8.88
440,1999,11,      Goddard,      N,10.8,9.26
441,2000,11,      Goddard,      N,10.32,8.87
442,2001,11,      Goddard,      N,10.66,9.08
443,2002,11,      Goddard,      N,10.34,8.75
444,2003,11,      Goddard,      N,10.13,8.57
445,2004,11,      Goddard,      N,10.34,8.95
446,2005,11,      Goddard,      N,10.22,8.8
447,2006,11,      Goddard,      N,9.66,8.13
448,2007,11,      Goddard,      N,9.76,8.06
449,2008,11,      Goddard,      N,10.34,9.05
450,2009,11,      Goddard,      N,9.77,8.36
451,2010,11,      Goddard,      N,9.61,8.43
452,2011,11,      Goddard,      N,9.77,8.52
453,2012,11,      Goddard,      N,9.39,8.06
454,2013,11,      Goddard,      N,9.94,8.66
455,2014,11,      Goddard,      N,10.11,8.75
456,2015,11,      Goddard,      N,9.85,8.48
457,2016,11,      Goddard,      N,8.66,7.01
458,2017,11,      Goddard,      N,9.49,8.08
459,2018,11,      Goddard,      N,9.82,8.43
460,2019,11,      Goddard,      N,9.35,7.98
461,1978,12,      Goddard,      N,13.67,10.9
462,1979,12,      Goddard,      N,13.34,10.63
463,1980,12,      Goddard,      N,13.59,10.78
464,1981,12,      Goddard,      N,13.34,10.54
465,1982,12,      Goddard,      N,13.64,10.88
466,1983,12,      Goddard,      N,13.3,10.63
467,1984,12,      Goddard,      N,12.99,10.27
468,1985,12,      Goddard,      N,13.05,10.24
469,1986,12,      Goddard,      N,13.22,10.53
470,1987,12,        -9999,      N,-9999.0,-9999.0
471,1988,12,      Goddard,      N,13.63,11.99
472,1989,12,      Goddard,      N,13.39,11.61
473,1990,12,      Goddard,      N,13.11,11.47
474,1991,12,      Goddard,      N,12.95,11.19
475,1992,12,      Goddard,      N,13.41,11.72
476,1993,12,      Goddard,      N,13.32,11.48
477,1994,12,      Goddard,      N,13.27,11.49
478,1995,12,      Goddard,      N,12.92,11.09
479,1996,12,      Goddard,      N,12.86,11.03
480,1997,12,      Goddard,      N,13.08,11.24
481,1998,12,      Goddard,      N,12.76,10.91
482,1999,12,      Goddard,      N,12.64,10.99
483,2000,12,      Goddard,      N,12.64,10.96
484,2001,12,      Goddard,      N,12.49,10.55
485,2002,12,      Goddard,      N,12.61,10.64
486,2003,12,      Goddard,      N,12.59,10.8
487,2004,12,      Goddard,      N,12.55,10.98
488,2005,12,      Goddard,      N,12.23,10.56
489,2006,12,      Goddard,      N,11.95,10.17
490,2007,12,      Goddard,      N,12.03,10.18
491,2008,12,      Goddard,      N,12.36,10.97
492,2009,12,      Goddard,      N,12.2,10.59
493,2010,12,      Goddard,      N,11.83,10.43
494,2011,12,      Goddard,      N,12.15,10.63
495,2012,12,      Goddard,      N,12.01,10.45
496,2013,12,      Goddard,      N,12.18,10.87
497,2014,12,      Goddard,      N,12.35,10.89
498,2015,12,      Goddard,      N,12.04,10.64
499,2016,12,      Goddard,      N,11.46,9.62
500,2017,12,      Goddard,      N,11.74,10.26
501,2018,12,      Goddard,      N,11.86,10.45
502,2019,12,      Goddard,      N,11.9,10.52
