Year,Month,Area,Units
2012,February,12725000.0,km^2
2013,February,13196000.0,km^2
2014,February,12564000.0,km^2
2015,February,12850000.0,km^2
2016,February,12428000.0,km^2
2017,February,12320000.0,km^2
2018,February,12309000.0,km^2
2019,February,12757000.0,km^2
2020,February,12953000.0,km^2
2021,February,12714000.0,km^2
1979,March,13208000.0,km^2
1980,March,12990000.0,km^2
1981,March,12714000.0,km^2
1982,March,13066000.0,km^2
1983,March,12928000.0,km^2
1984,March,12555000.0,km^2
1985,March,12748000.0,km^2
1986,March,12721000.0,km^2
1987,March,12830000.0,km^2
1988,March,13903000.0,km^2
1989,March,13213000.0,km^2
1990,March,13506000.0,km^2
1991,March,13420000.0,km^2
1992,March,13483000.0,km^2
1993,March,13775000.0,km^2
1994,March,13550000.0,km^2
1995,March,13339000.0,km^2
1996,March,12904000.0,km^2
1997,March,13303000.0,km^2
1998,March,13574000.0,km^2
1999,March,13540000.0,km^2
2000,March,13167000.0,km^2
2001,March,13641000.0,km^2
2002,March,13420000.0,km^2
2003,March,13425000.0,km^2
2004,March,12993000.0,km^2
2005,March,12742000.0,km^2
2006,March,12516000.0,km^2
2007,March,12560000.0,km^2
2008,March,13534000.0,km^2
2009,March,13434000.0,km^2
2010,March,13527000.0,km^2
2011,March,12826000.0,km^2
2012,March,13415000.0,km^2
2013,March,13451000.0,km^2
2014,March,12951000.0,km^2
2015,March,12775000.0,km^2
2016,March,12614000.0,km^2
2017,March,12614000.0,km^2
2018,March,12690000.0,km^2
2019,March,12893000.0,km^2
2020,March,13034000.0,km^2
2021,March,12910000.0,km^2
1979,April,12528000.0,km^2
1980,April,12522000.0,km^2
1981,April,12239000.0,km^2
1982,April,12630000.0,km^2
1983,April,12213000.0,km^2
1984,April,12178000.0,km^2
1985,April,12545000.0,km^2
1986,April,12037000.0,km^2
1987,April,12351000.0,km^2
1988,April,13182000.0,km^2
1989,April,12356000.0,km^2
1990,April,12277000.0,km^2
1991,April,12868000.0,km^2
1992,April,12839000.0,km^2
1993,April,13028000.0,km^2
1994,April,12913000.0,km^2
1995,April,12405000.0,km^2
1996,April,12322000.0,km^2
1997,April,12574000.0,km^2
1998,April,12852000.0,km^2
1999,April,13150000.0,km^2
2000,April,12597000.0,km^2
2001,April,13053000.0,km^2
2002,April,12413000.0,km^2
2003,April,12460000.0,km^2
2004,April,12163000.0,km^2
2005,April,12229000.0,km^2
2006,April,12035000.0,km^2
2007,April,11826000.0,km^2
2008,April,12776000.0,km^2
2009,April,12916000.0,km^2
2010,April,12848000.0,km^2
2011,April,12447000.0,km^2
2012,April,12872000.0,km^2
2013,April,12749000.0,km^2
2014,April,12429000.0,km^2
2015,April,12334000.0,km^2
2016,April,11985000.0,km^2
2017,April,12259000.0,km^2
2018,April,12282000.0,km^2
2019,April,11898000.0,km^2
2020,April,12017000.0,km^2
2021,April,12126000.0,km^2
1979,May,11109000.0,km^2
1980,May,10964000.0,km^2
1981,May,10991000.0,km^2
1982,May,11169000.0,km^2
1983,May,10868000.0,km^2
1984,May,10880000.0,km^2
1985,May,11246000.0,km^2
1986,May,10702000.0,km^2
1987,May,10968000.0,km^2
1988,May,11413000.0,km^2
1989,May,11350000.0,km^2
1990,May,10902000.0,km^2
1991,May,11499000.0,km^2
1992,May,11427000.0,km^2
1993,May,11415000.0,km^2
1994,May,11658000.0,km^2
1995,May,10902000.0,km^2
1996,May,11284000.0,km^2
1997,May,11236000.0,km^2
1998,May,11398000.0,km^2
1999,May,11665000.0,km^2
2000,May,11244000.0,km^2
2001,May,11383000.0,km^2
2002,May,11158000.0,km^2
2003,May,10888000.0,km^2
2004,May,10921000.0,km^2
2005,May,10878000.0,km^2
2006,May,10446000.0,km^2
2007,May,10765000.0,km^2
2008,May,11249000.0,km^2
2009,May,11477000.0,km^2
2010,May,10882000.0,km^2
2011,May,10742000.0,km^2
2012,May,11051000.0,km^2
2013,May,11254000.0,km^2
2014,May,11046000.0,km^2
2015,May,10895000.0,km^2
2016,May,10249000.0,km^2
2017,May,11005000.0,km^2
2018,May,10806000.0,km^2
2019,May,10496000.0,km^2
2020,May,10505000.0,km^2
2021,May,10815000.0,km^2
1979,June,9344000.0,km^2
1980,June,9003000.0,km^2
1981,June,9029000.0,km^2
1982,June,9460000.0,km^2
1983,June,9265000.0,km^2
1984,June,9093000.0,km^2
1985,June,8957000.0,km^2
1986,June,8990000.0,km^2
1987,June,9391000.0,km^2
1988,June,9684000.0,km^2
1989,June,9951000.0,km^2
1990,June,9196000.0,km^2
1991,June,9659000.0,km^2
1992,June,9946000.0,km^2
1993,June,9261000.0,km^2
1994,June,9684000.0,km^2
1995,June,8944000.0,km^2
1996,June,9834000.0,km^2
1997,June,9197000.0,km^2
1998,June,9184000.0,km^2
1999,June,9252000.0,km^2
2000,June,9052000.0,km^2
2001,June,9086000.0,km^2
2002,June,9188000.0,km^2
2003,June,9114000.0,km^2
2004,June,9236000.0,km^2
2005,June,8806000.0,km^2
2006,June,8409000.0,km^2
2007,June,8212000.0,km^2
2008,June,8854000.0,km^2
2009,June,9249000.0,km^2
2010,June,8365000.0,km^2
2011,June,8544000.0,km^2
2012,June,8156000.0,km^2
2013,June,8954000.0,km^2
2014,June,8765000.0,km^2
2015,June,8705000.0,km^2
2016,June,8209000.0,km^2
2017,June,8628000.0,km^2
2018,June,8792000.0,km^2
2019,June,8316000.0,km^2
2020,June,8414000.0,km^2
2021,June,8379000.0,km^2
1979,July,6692000.0,km^2
1980,July,6535000.0,km^2
1981,July,6313000.0,km^2
1982,July,6870000.0,km^2
1983,July,6856000.0,km^2
1984,July,6297000.0,km^2
1985,July,5988000.0,km^2
1986,July,6621000.0,km^2
1987,July,6551000.0,km^2
1988,July,7007000.0,km^2
1989,July,7329000.0,km^2
1990,July,6522000.0,km^2
1991,July,6761000.0,km^2
1992,July,7217000.0,km^2
1993,July,6279000.0,km^2
1994,July,6923000.0,km^2
1995,July,6156000.0,km^2
1996,July,7438000.0,km^2
1997,July,6501000.0,km^2
1998,July,6449000.0,km^2
1999,July,6554000.0,km^2
2000,July,6385000.0,km^2
2001,July,6285000.0,km^2
2002,July,6439000.0,km^2
2003,July,6152000.0,km^2
2004,July,6507000.0,km^2
2005,July,5901000.0,km^2
2006,July,5788000.0,km^2
2007,July,5130000.0,km^2
2008,July,6058000.0,km^2
2009,July,6116000.0,km^2
2010,July,5573000.0,km^2
2011,July,5404000.0,km^2
2012,July,5091000.0,km^2
2013,July,5808000.0,km^2
2014,July,5964000.0,km^2
2015,July,5659000.0,km^2
2016,July,5366000.0,km^2
2017,July,5650000.0,km^2
2018,July,5762000.0,km^2
2019,July,5129000.0,km^2
2020,July,5066000.0,km^2
2021,July,5545000.0,km^2
1979,August,5056000.0,km^2
1980,August,4938000.0,km^2
1981,August,4477000.0,km^2
1982,August,5003000.0,km^2
1983,August,4975000.0,km^2
1984,August,4681000.0,km^2
1985,August,4603000.0,km^2
1986,August,5007000.0,km^2
1988,August,5423000.0,km^2
1989,August,5563000.0,km^2
1990,August,4995000.0,km^2
1991,August,5208000.0,km^2
1992,August,5439000.0,km^2
1993,August,4759000.0,km^2
1994,August,5188000.0,km^2
1995,August,4693000.0,km^2
1996,August,5733000.0,km^2
1997,August,5089000.0,km^2
1998,August,4691000.0,km^2
1999,August,4753000.0,km^2
2000,August,4783000.0,km^2
2001,August,4936000.0,km^2
2002,August,4318000.0,km^2
2003,August,4517000.0,km^2
2004,August,4672000.0,km^2
2005,August,4206000.0,km^2
2006,August,4310000.0,km^2
2007,August,3194000.0,km^2
2008,August,3787000.0,km^2
2009,August,4164000.0,km^2
2010,August,3880000.0,km^2
2011,August,3385000.0,km^2
2012,August,2934000.0,km^2
2013,August,4172000.0,km^2
2014,August,4368000.0,km^2
2015,August,3626000.0,km^2
2016,August,3306000.0,km^2
2017,August,3638000.0,km^2
2018,August,3904000.0,km^2
2019,August,3242000.0,km^2
2020,August,3103000.0,km^2
2021,August,3771000.0,km^2
1979,September,4583000.0,km^2
1980,September,4871000.0,km^2
1981,September,4439000.0,km^2
1982,September,4435000.0,km^2
1983,September,4703000.0,km^2
1984,September,4106000.0,km^2
1985,September,4232000.0,km^2
1986,September,4720000.0,km^2
1987,September,5641000.0,km^2
1988,September,5362000.0,km^2
1989,September,4863000.0,km^2
1990,September,4545000.0,km^2
1991,September,4513000.0,km^2
1992,September,5426000.0,km^2
1993,September,4577000.0,km^2
1994,September,5130000.0,km^2
1995,September,4428000.0,km^2
1996,September,5623000.0,km^2
1997,September,4892000.0,km^2
1998,September,4297000.0,km^2
1999,September,4292000.0,km^2
2000,September,4347000.0,km^2
2001,September,4586000.0,km^2
2002,September,4029000.0,km^2
2003,September,4048000.0,km^2
2004,September,4391000.0,km^2
2005,September,4068000.0,km^2
2006,September,4013000.0,km^2
2007,September,2819000.0,km^2
2008,September,3258000.0,km^2
2009,September,3761000.0,km^2
2010,September,3335000.0,km^2
2011,September,3208000.0,km^2
2012,September,2406000.0,km^2
2013,September,3783000.0,km^2
2014,September,3742000.0,km^2
2015,September,3422000.0,km^2
2016,September,2913000.0,km^2
2017,September,3348000.0,km^2
2018,September,3354000.0,km^2
2019,September,3168000.0,km^2
2020,September,2830000.0,km^2
2021,September,3433000.0,km^2
1979,October,6189000.0,km^2
1980,October,6495000.0,km^2
1981,October,6265000.0,km^2
1982,October,6670000.0,km^2
1983,October,6788000.0,km^2
1984,October,5911000.0,km^2
1985,October,6123000.0,km^2
1986,October,6834000.0,km^2
1987,October,7491000.0,km^2
1988,October,7518000.0,km^2
1989,October,6956000.0,km^2
1990,October,6736000.0,km^2
1991,October,6752000.0,km^2
1992,October,7739000.0,km^2
1993,October,7058000.0,km^2
1994,October,7232000.0,km^2
1995,October,5991000.0,km^2
1996,October,7544000.0,km^2
1997,October,6467000.0,km^2
1998,October,6706000.0,km^2
1999,October,6835000.0,km^2
2000,October,6692000.0,km^2
2001,October,6649000.0,km^2
2002,October,6238000.0,km^2
2003,October,5982000.0,km^2
2004,October,6396000.0,km^2
2005,October,5775000.0,km^2
2006,October,5798000.0,km^2
2007,October,4331000.0,km^2
2008,October,5772000.0,km^2
2009,October,5236000.0,km^2
2010,October,5484000.0,km^2
2011,October,5020000.0,km^2
2012,October,4585000.0,km^2
2013,October,5954000.0,km^2
2014,October,5696000.0,km^2
2015,October,5488000.0,km^2
2016,October,4399000.0,km^2
2017,October,5305000.0,km^2
2018,October,4594000.0,km^2
2019,October,4526000.0,km^2
2020,October,4113000.0,km^2
2021,October,5408000.0,km^2
1979,November,8367000.0,km^2
1980,November,8727000.0,km^2
1981,November,8313000.0,km^2
1982,November,9059000.0,km^2
1983,November,8986000.0,km^2
1984,November,8235000.0,km^2
1985,November,8424000.0,km^2
1986,November,8873000.0,km^2
1987,November,9734000.0,km^2
1988,November,9911000.0,km^2
1989,November,9463000.0,km^2
1990,November,9644000.0,km^2
1991,November,9252000.0,km^2
1992,November,9748000.0,km^2
1993,November,9545000.0,km^2
1994,November,9715000.0,km^2
1995,November,9032000.0,km^2
1996,November,8765000.0,km^2
1997,November,9071000.0,km^2
1998,November,8884000.0,km^2
1999,November,9256000.0,km^2
2000,November,8866000.0,km^2
2001,November,9077000.0,km^2
2002,November,8752000.0,km^2
2003,November,8569000.0,km^2
2004,November,8955000.0,km^2
2005,November,8797000.0,km^2
2006,November,8126000.0,km^2
2007,November,8060000.0,km^2
2008,November,9049000.0,km^2
2009,November,8357000.0,km^2
2010,November,8429000.0,km^2
2011,November,8516000.0,km^2
2012,November,8061000.0,km^2
2013,November,8659000.0,km^2
2014,November,8750000.0,km^2
2015,November,8480000.0,km^2
2016,November,7010000.0,km^2
2017,November,8084000.0,km^2
2018,November,8429000.0,km^2
2019,November,7979000.0,km^2
2020,November,7535000.0,km^2
2021,November,8533000.0,km^2
1979,December,10633000.0,km^2
1980,December,10781000.0,km^2
1981,December,10543000.0,km^2
1982,December,10879000.0,km^2
1983,December,10629000.0,km^2
1984,December,10269000.0,km^2
1985,December,10240000.0,km^2
1986,December,10534000.0,km^2
1988,December,11992000.0,km^2
1989,December,11606000.0,km^2
1990,December,11469000.0,km^2
1991,December,11193000.0,km^2
1992,December,11722000.0,km^2
1993,December,11476000.0,km^2
1994,December,11493000.0,km^2
1995,December,11088000.0,km^2
1996,December,11031000.0,km^2
1997,December,11242000.0,km^2
1998,December,10910000.0,km^2
1999,December,10994000.0,km^2
2000,December,10960000.0,km^2
2001,December,10553000.0,km^2
2002,December,10643000.0,km^2
2003,December,10803000.0,km^2
2004,December,10976000.0,km^2
2005,December,10564000.0,km^2
2006,December,10170000.0,km^2
2007,December,10178000.0,km^2
2008,December,10971000.0,km^2
2009,December,10585000.0,km^2
2010,December,10432000.0,km^2
2011,December,10626000.0,km^2
2012,December,10454000.0,km^2
2013,December,10874000.0,km^2
2014,December,10895000.0,km^2
2015,December,10639000.0,km^2
2016,December,9620000.0,km^2
2017,December,10262000.0,km^2
2018,December,10452000.0,km^2
2019,December,10520000.0,km^2
2020,December,10164000.0,km^2
2021,December,10726000.0,km^2
1979,Annual,9418000.0,km^2
1980,Annual,9376000.0,km^2
1981,Annual,9126000.0,km^2
1982,Annual,9504000.0,km^2
1983,Annual,9408000.0,km^2
1984,Annual,9001000.0,km^2
1985,Annual,9085000.0,km^2
1986,Annual,9275000.0,km^2
1987,Annual,9967000.0,km^2
1988,Annual,9889000.0,km^2
1989,Annual,9913000.0,km^2
1990,Annual,9645000.0,km^2
1991,Annual,9722000.0,km^2
1992,Annual,10086000.0,km^2
1993,Annual,9786000.0,km^2
1994,Annual,9968000.0,km^2
1995,Annual,9403000.0,km^2
1996,Annual,9791000.0,km^2
1997,Annual,9593000.0,km^2
1998,Annual,9601000.0,km^2
1999,Annual,9672000.0,km^2
2000,Annual,9445000.0,km^2
2001,Annual,9545000.0,km^2
2002,Annual,9332000.0,km^2
2003,Annual,9265000.0,km^2
2004,Annual,9356000.0,km^2
2005,Annual,8998000.0,km^2
2006,Annual,8779000.0,km^2
2007,Annual,8434000.0,km^2
2008,Annual,9221000.0,km^2
2009,Annual,9210000.0,km^2
2010,Annual,8955000.0,km^2
2011,Annual,8749000.0,km^2
2012,Annual,8650000.0,km^2
2013,Annual,9215000.0,km^2
2014,Annual,9085000.0,km^2
2015,Annual,8895000.0,km^2
2016,Annual,8311000.0,km^2
2017,Annual,8684000.0,km^2
2018,Annual,8732000.0,km^2
2019,Annual,8563000.0,km^2
2020,Annual,8475000.0,km^2
2021,Annual,8816000.0,km^2
