Year,Month,Area,Units
2006,July,12881000.0,km^2
2007,July,12614000.0,km^2
2008,July,12945000.0,km^2
2009,July,13091000.0,km^2
2010,July,13739000.0,km^2
2011,July,12343000.0,km^2
2012,July,13305000.0,km^2
2013,July,13732000.0,km^2
2014,July,13954000.0,km^2
2015,July,13451000.0,km^2
2016,July,12548000.0,km^2
2017,July,12282000.0,km^2
2018,July,12487000.0,km^2
2019,July,12333000.0,km^2
2020,July,12582000.0,km^2
2021,July,13346000.0,km^2
1979,August,13785000.0,km^2
1980,August,13956000.0,km^2
1981,August,14156000.0,km^2
1982,August,14284000.0,km^2
1983,August,13836000.0,km^2
1984,August,14230000.0,km^2
1985,August,14241000.0,km^2
1986,August,13457000.0,km^2
1987,August,14018000.0,km^2
1988,August,13976000.0,km^2
1989,August,14031000.0,km^2
1990,August,14033000.0,km^2
1991,August,14051000.0,km^2
1992,August,14172000.0,km^2
1993,August,13935000.0,km^2
1994,August,14487000.0,km^2
1995,August,14203000.0,km^2
1996,August,13895000.0,km^2
1997,August,14086000.0,km^2
1998,August,14060000.0,km^2
1999,August,14239000.0,km^2
2000,August,14638000.0,km^2
2001,August,13753000.0,km^2
2002,August,13739000.0,km^2
2003,August,13771000.0,km^2
2004,August,14233000.0,km^2
2005,August,13952000.0,km^2
2006,August,14541000.0,km^2
2007,August,14033000.0,km^2
2008,August,14128000.0,km^2
2009,August,14451000.0,km^2
2010,August,14949000.0,km^2
2011,August,14041000.0,km^2
2012,August,14556000.0,km^2
2013,August,15132000.0,km^2
2014,August,15100000.0,km^2
2015,August,14021000.0,km^2
2016,August,13976000.0,km^2
2017,August,13619000.0,km^2
2018,August,14015000.0,km^2
2019,August,13988000.0,km^2
2020,August,14418000.0,km^2
2021,August,14640000.0,km^2
1979,September,14287000.0,km^2
1980,September,14866000.0,km^2
1981,September,14781000.0,km^2
1982,September,14529000.0,km^2
1983,September,14683000.0,km^2
1984,September,14268000.0,km^2
1985,September,14722000.0,km^2
1986,September,13876000.0,km^2
1987,September,14270000.0,km^2
1988,September,14198000.0,km^2
1989,September,14476000.0,km^2
1990,September,14391000.0,km^2
1991,September,14471000.0,km^2
1992,September,14134000.0,km^2
1993,September,14704000.0,km^2
1994,September,14613000.0,km^2
1995,September,14462000.0,km^2
1996,September,14543000.0,km^2
1997,September,14589000.0,km^2
1998,September,14842000.0,km^2
1999,September,14616000.0,km^2
2000,September,15071000.0,km^2
2001,September,14359000.0,km^2
2002,September,14104000.0,km^2
2003,September,14142000.0,km^2
2004,September,14591000.0,km^2
2005,September,14852000.0,km^2
2006,September,15180000.0,km^2
2007,September,15389000.0,km^2
2008,September,14392000.0,km^2
2009,September,15083000.0,km^2
2010,September,14431000.0,km^2
2011,September,14567000.0,km^2
2012,September,15407000.0,km^2
2013,September,15276000.0,km^2
2014,September,15750000.0,km^2
2015,September,14453000.0,km^2
2016,September,13859000.0,km^2
2017,September,13922000.0,km^2
2018,September,14200000.0,km^2
2019,September,14601000.0,km^2
2020,September,15086000.0,km^2
2021,September,14353000.0,km^2
1979,October,13722000.0,km^2
1980,October,14568000.0,km^2
1981,October,14433000.0,km^2
1982,October,13745000.0,km^2
1983,October,13917000.0,km^2
1984,October,13734000.0,km^2
1985,October,14367000.0,km^2
1986,October,13324000.0,km^2
1987,October,13711000.0,km^2
1988,October,14414000.0,km^2
1989,October,13846000.0,km^2
1990,October,13798000.0,km^2
1991,October,13803000.0,km^2
1992,October,13855000.0,km^2
1993,October,14172000.0,km^2
1994,October,14067000.0,km^2
1995,October,13573000.0,km^2
1996,October,13939000.0,km^2
1997,October,14121000.0,km^2
1998,October,14541000.0,km^2
1999,October,14235000.0,km^2
2000,October,14259000.0,km^2
2001,October,13343000.0,km^2
2002,October,13820000.0,km^2
2003,October,13874000.0,km^2
2004,October,14123000.0,km^2
2005,October,14037000.0,km^2
2006,October,14679000.0,km^2
2007,October,14587000.0,km^2
2008,October,14122000.0,km^2
2009,October,14349000.0,km^2
2010,October,14415000.0,km^2
2011,October,14226000.0,km^2
2012,October,14451000.0,km^2
2013,October,15129000.0,km^2
2014,October,14834000.0,km^2
2015,October,14362000.0,km^2
2016,October,12936000.0,km^2
2017,October,13453000.0,km^2
2018,October,13991000.0,km^2
2019,October,13905000.0,km^2
2020,October,14599000.0,km^2
2021,October,13294000.0,km^2
1979,November,11322000.0,km^2
1980,November,11841000.0,km^2
1981,November,12073000.0,km^2
1982,November,11269000.0,km^2
1983,November,11567000.0,km^2
1984,November,12058000.0,km^2
1985,November,12344000.0,km^2
1986,November,10866000.0,km^2
1987,November,11227000.0,km^2
1988,November,12293000.0,km^2
1989,November,11420000.0,km^2
1990,November,11345000.0,km^2
1991,November,11458000.0,km^2
1992,November,11200000.0,km^2
1993,November,11833000.0,km^2
1994,November,11781000.0,km^2
1995,November,11487000.0,km^2
1996,November,11240000.0,km^2
1997,November,11592000.0,km^2
1998,November,11879000.0,km^2
1999,November,11511000.0,km^2
2000,November,11808000.0,km^2
2001,November,10997000.0,km^2
2002,November,11667000.0,km^2
2003,November,11466000.0,km^2
2004,November,11748000.0,km^2
2005,November,11804000.0,km^2
2006,November,11610000.0,km^2
2007,November,12160000.0,km^2
2008,November,12006000.0,km^2
2009,November,11804000.0,km^2
2010,November,11922000.0,km^2
2011,November,11767000.0,km^2
2012,November,12070000.0,km^2
2013,November,12769000.0,km^2
2014,November,12262000.0,km^2
2015,November,11897000.0,km^2
2016,November,9839000.0,km^2
2017,November,10907000.0,km^2
2018,November,10751000.0,km^2
2019,November,11195000.0,km^2
2020,November,11880000.0,km^2
2021,November,10344000.0,km^2
1979,December,6236000.0,km^2
1980,December,6559000.0,km^2
1981,December,7015000.0,km^2
1982,December,6314000.0,km^2
1983,December,6705000.0,km^2
1984,December,6959000.0,km^2
1985,December,7456000.0,km^2
1986,December,6489000.0,km^2
1988,December,7403000.0,km^2
1989,December,6704000.0,km^2
1990,December,6730000.0,km^2
1991,December,6798000.0,km^2
1992,December,6178000.0,km^2
1993,December,6671000.0,km^2
1994,December,7112000.0,km^2
1995,December,7191000.0,km^2
1996,December,6240000.0,km^2
1997,December,6991000.0,km^2
1998,December,6802000.0,km^2
1999,December,6803000.0,km^2
2000,December,6954000.0,km^2
2001,December,6355000.0,km^2
2002,December,7610000.0,km^2
2003,December,7203000.0,km^2
2004,December,6929000.0,km^2
2005,December,6333000.0,km^2
2006,December,6483000.0,km^2
2007,December,8384000.0,km^2
2008,December,7386000.0,km^2
2009,December,7091000.0,km^2
2010,December,6943000.0,km^2
2011,December,7403000.0,km^2
2012,December,7377000.0,km^2
2013,December,8344000.0,km^2
2014,December,8206000.0,km^2
2015,December,7091000.0,km^2
2016,December,5514000.0,km^2
2017,December,6232000.0,km^2
2018,December,5590000.0,km^2
2019,December,6586000.0,km^2
2020,December,6612000.0,km^2
2021,December,5379000.0,km^2
1979,Annual,8855000.0,km^2
1980,Annual,8410000.0,km^2
1981,Annual,8645000.0,km^2
1982,Annual,8798000.0,km^2
1983,Annual,8572000.0,km^2
1984,Annual,8707000.0,km^2
1985,Annual,8867000.0,km^2
1986,Annual,8304000.0,km^2
1987,Annual,8796000.0,km^2
1988,Annual,9243000.0,km^2
1989,Annual,8716000.0,km^2
1990,Annual,8697000.0,km^2
1991,Annual,8710000.0,km^2
1992,Annual,8544000.0,km^2
1993,Annual,8652000.0,km^2
1994,Annual,9069000.0,km^2
1995,Annual,8906000.0,km^2
1996,Annual,8838000.0,km^2
1997,Annual,8695000.0,km^2
1998,Annual,8852000.0,km^2
1999,Annual,8869000.0,km^2
2000,Annual,9014000.0,km^2
2001,Annual,8757000.0,km^2
2002,Annual,8542000.0,km^2
2003,Annual,9103000.0,km^2
2004,Annual,9067000.0,km^2
2005,Annual,8789000.0,km^2
2006,Annual,8705000.0,km^2
2007,Annual,8986000.0,km^2
2008,Annual,9299000.0,km^2
2009,Annual,9195000.0,km^2
2010,Annual,9164000.0,km^2
2011,Annual,8729000.0,km^2
2012,Annual,9225000.0,km^2
2013,Annual,9699000.0,km^2
2014,Annual,9868000.0,km^2
2015,Annual,9426000.0,km^2
2016,Annual,8370000.0,km^2
2017,Annual,8120000.0,km^2
2018,Annual,8303000.0,km^2
2019,Annual,8365000.0,km^2
2020,Annual,8828000.0,km^2
2021,Annual,8627000.0,km^2
