,year,month,data-type,region,extent,area
99,1994,3,      Goddard,      S,4.55,3.2
100,1995,3,      Goddard,      S,4.63,3.01
101,1996,3,      Goddard,      S,4.18,2.65
102,1997,3,      Goddard,      S,3.46,2.3
103,1998,3,      Goddard,      S,4.11,2.71
104,1999,3,      Goddard,      S,3.98,2.58
105,2000,3,      Goddard,      S,4.09,2.67
106,2001,3,      Goddard,      S,4.73,3.36
107,2002,3,      Goddard,      S,3.75,2.36
108,2003,3,      Goddard,      S,4.44,3.24
109,2004,3,      Goddard,      S,4.53,3.16
110,2005,3,      Goddard,      S,4.08,2.73
111,2006,3,      Goddard,      S,3.21,2.01
112,2007,3,      Goddard,      S,3.83,2.54
113,2008,3,      Goddard,      S,5.28,3.68
114,2009,3,      Goddard,      S,4.44,3.02
115,2010,3,      Goddard,      S,3.85,2.66
116,2011,3,      Goddard,      S,3.37,2.26
117,2012,3,      Goddard,      S,4.55,2.91
118,2013,3,      Goddard,      S,5.02,3.49
119,2014,3,      Goddard,      S,4.9,3.32
120,2015,3,      Goddard,      S,4.96,3.45
121,2016,3,      Goddard,      S,4.07,2.77
122,2017,3,      Goddard,      S,2.7,1.83
123,2018,3,      Goddard,      S,3.54,2.31
124,2019,3,      Goddard,      S,3.17,2.1
125,2020,3,      NRTSI-G,      S,3.98,2.56
126,1979,4,      Goddard,      S,7.49,5.45
127,1980,4,      Goddard,      S,5.4,3.68
128,1981,4,      Goddard,      S,5.84,4.07
129,1982,4,      Goddard,      S,7.72,5.79
130,1983,4,      Goddard,      S,6.47,4.7
131,1984,4,      Goddard,      S,6.42,4.53
132,1985,4,      Goddard,      S,6.49,4.74
133,1986,4,      Goddard,      S,6.39,4.56
134,1987,4,      Goddard,      S,6.8,5.04
135,1988,4,      Goddard,      S,6.29,4.44
136,1989,4,      Goddard,      S,6.31,4.5
137,1990,4,      Goddard,      S,7.0,5.18
138,1991,4,      Goddard,      S,7.05,5.18
139,1992,4,      Goddard,      S,6.79,5.0
140,1993,4,      Goddard,      S,6.65,4.9
141,1994,4,      Goddard,      S,7.22,5.45
142,1995,4,      Goddard,      S,7.27,5.4
143,1996,4,      Goddard,      S,7.28,5.37
144,1997,4,      Goddard,      S,6.49,4.84
145,1998,4,      Goddard,      S,6.85,5.12
146,1999,4,      Goddard,      S,6.89,5.13
147,2000,4,      Goddard,      S,7.13,5.31
148,2001,4,      Goddard,      S,7.04,5.3
149,2002,4,      Goddard,      S,6.33,4.59
150,2003,4,      Goddard,      S,7.21,5.56
151,2004,4,      Goddard,      S,7.28,5.39
152,2005,4,      Goddard,      S,7.03,5.19
153,2006,4,      Goddard,      S,6.01,4.28
154,2007,4,      Goddard,      S,6.42,4.7
155,2008,4,      Goddard,      S,8.24,6.23
156,2009,4,      Goddard,      S,7.8,5.96
157,2010,4,      Goddard,      S,6.72,5.0
158,2011,4,      Goddard,      S,6.1,4.39
159,2012,4,      Goddard,      S,7.31,5.55
160,2013,4,      Goddard,      S,7.62,5.75
161,2014,4,      Goddard,      S,8.34,6.41
162,2015,4,      Goddard,      S,8.37,6.37
163,2016,4,      Goddard,      S,7.22,5.38
164,2017,4,      Goddard,      S,5.44,3.93
165,2018,4,      Goddard,      S,6.03,4.15
166,2019,4,      Goddard,      S,5.72,4.18
167,2020,4,      NRTSI-G,      S,6.64,4.78
168,1979,5,      Goddard,      S,10.83,8.3
169,1980,5,      Goddard,      S,8.86,6.44
170,1981,5,      Goddard,      S,9.35,7.08
171,1982,5,      Goddard,      S,10.76,8.27
172,1983,5,      Goddard,      S,9.53,7.16
173,1984,5,      Goddard,      S,9.75,7.41
174,1985,5,      Goddard,      S,10.15,7.84
175,1986,5,      Goddard,      S,9.3,7.04
176,1987,5,      Goddard,      S,9.69,7.53
177,1988,5,      Goddard,      S,9.6,7.23
178,1989,5,      Goddard,      S,10.3,8.0
179,1990,5,      Goddard,      S,9.72,7.46
180,1991,5,      Goddard,      S,10.28,7.86
181,1992,5,      Goddard,      S,9.92,7.62
182,1993,5,      Goddard,      S,10.1,7.89
183,1994,5,      Goddard,      S,10.41,8.21
184,1995,5,      Goddard,      S,10.42,8.19
185,1996,5,      Goddard,      S,10.92,8.65
186,1997,5,      Goddard,      S,10.12,7.91
187,1998,5,      Goddard,      S,10.33,7.91
188,1999,5,      Goddard,      S,10.27,8.07
189,2000,5,      Goddard,      S,10.92,8.56
190,2001,5,      Goddard,      S,10.33,8.0
191,2002,5,      Goddard,      S,9.51,7.18
192,2003,5,      Goddard,      S,10.74,8.45
193,2004,5,      Goddard,      S,10.47,8.19
194,2005,5,      Goddard,      S,10.29,7.96
195,2006,5,      Goddard,      S,9.46,7.2
196,2007,5,      Goddard,      S,9.65,7.54
197,2008,5,      Goddard,      S,11.05,8.6
198,2009,5,      Goddard,      S,10.93,8.46
199,2010,5,      Goddard,      S,10.64,8.33
200,2011,5,      Goddard,      S,10.09,7.85
201,2012,5,      Goddard,      S,10.46,8.15
202,2013,5,      Goddard,      S,10.92,8.49
203,2014,5,      Goddard,      S,11.52,9.03
204,2015,5,      Goddard,      S,11.72,9.21
205,2016,5,      Goddard,      S,10.1,7.91
206,2017,5,      Goddard,      S,9.01,6.83
207,2018,5,      Goddard,      S,9.32,7.15
208,2019,5,      Goddard,      S,8.85,6.84
209,2020,5,      NRTSI-G,      S,9.82,7.56
210,1979,6,      Goddard,      S,14.19,11.22
211,1980,6,      Goddard,      S,12.49,9.58
212,1981,6,      Goddard,      S,13.11,10.16
213,1982,6,      Goddard,      S,13.42,10.5
214,1983,6,      Goddard,      S,12.64,9.77
215,1984,6,      Goddard,      S,13.23,10.64
216,1985,6,      Goddard,      S,13.43,10.51
217,1986,6,      Goddard,      S,12.69,9.72
218,1987,6,      Goddard,      S,12.68,9.91
219,1988,6,      Goddard,      S,13.09,10.28
220,1989,6,      Goddard,      S,13.58,10.81
221,1990,6,      Goddard,      S,13.08,10.35
222,1991,6,      Goddard,      S,13.07,9.99
223,1992,6,      Goddard,      S,12.81,10.0
224,1993,6,      Goddard,      S,13.15,10.37
225,1994,6,      Goddard,      S,13.56,10.73
226,1995,6,      Goddard,      S,13.29,10.46
227,1996,6,      Goddard,      S,13.87,11.09
228,1997,6,      Goddard,      S,13.12,10.22
229,1998,6,      Goddard,      S,13.31,10.34
230,1999,6,      Goddard,      S,13.65,10.83
231,2000,6,      Goddard,      S,13.89,11.04
232,2001,6,      Goddard,      S,13.42,10.56
233,2002,6,      Goddard,      S,12.38,9.7
234,2003,6,      Goddard,      S,13.99,11.16
235,2004,6,      Goddard,      S,13.78,10.89
236,2005,6,      Goddard,      S,13.29,10.31
237,2006,6,      Goddard,      S,13.34,10.58
238,2007,6,      Goddard,      S,13.29,10.48
239,2008,6,      Goddard,      S,14.06,11.4
240,2009,6,      Goddard,      S,13.91,11.09
241,2010,6,      Goddard,      S,14.41,11.65
242,2011,6,      Goddard,      S,13.33,10.54
243,2012,6,      Goddard,      S,13.55,10.79
244,2013,6,      Goddard,      S,14.15,11.27
245,2014,6,      Goddard,      S,14.69,12.06
246,2015,6,      Goddard,      S,14.47,11.48
247,2016,6,      Goddard,      S,13.24,10.61
248,2017,6,      Goddard,      S,12.41,9.8
249,2018,6,      Goddard,      S,12.89,10.23
250,2019,6,      Goddard,      S,12.25,9.75
251,2020,6,      NRTSI-G,      S,13.22,10.55
252,1979,7,      Goddard,      S,16.52,13.26
253,1980,7,      Goddard,      S,15.56,12.18
254,1981,7,      Goddard,      S,16.04,12.78
255,1982,7,      Goddard,      S,15.87,12.47
256,1983,7,      Goddard,      S,15.47,12.37
257,1984,7,      Goddard,      S,16.4,13.38
258,1985,7,      Goddard,      S,15.72,12.48
259,1986,7,      Goddard,      S,15.32,12.09
260,1987,7,      Goddard,      S,15.75,12.5
261,1988,7,      Goddard,      S,15.75,12.62
262,1989,7,      Goddard,      S,15.71,12.58
263,1990,7,      Goddard,      S,15.57,12.27
264,1991,7,      Goddard,      S,15.55,12.22
265,1992,7,      Goddard,      S,15.89,12.58
266,1993,7,      Goddard,      S,15.85,12.72
267,1994,7,      Goddard,      S,16.3,13.12
268,1995,7,      Goddard,      S,15.74,12.53
269,1996,7,      Goddard,      S,16.12,12.89
270,1997,7,      Goddard,      S,15.92,12.75
271,1998,7,      Goddard,      S,15.96,12.66
272,1999,7,      Goddard,      S,16.28,13.06
273,2000,7,      Goddard,      S,16.1,12.99
274,2001,7,      Goddard,      S,15.85,12.58
275,2002,7,      Goddard,      S,15.41,12.52
276,2003,7,      Goddard,      S,16.4,13.17
277,2004,7,      Goddard,      S,16.33,13.16
278,2005,7,      Goddard,      S,16.16,12.72
279,2006,7,      Goddard,      S,16.11,12.88
280,2007,7,      Goddard,      S,15.96,12.61
281,2008,7,      Goddard,      S,16.09,12.95
282,2009,7,      Goddard,      S,16.26,13.09
283,2010,7,      Goddard,      S,16.92,13.74
284,2011,7,      Goddard,      S,15.75,12.34
285,2012,7,      Goddard,      S,16.3,13.31
286,2013,7,      Goddard,      S,16.81,13.73
287,2014,7,      Goddard,      S,17.11,13.95
288,2015,7,      Goddard,      S,16.78,13.45
289,2016,7,      Goddard,      S,16.02,12.55
290,2017,7,      Goddard,      S,15.3,12.28
291,2018,7,      Goddard,      S,15.7,12.49
292,2019,7,      Goddard,      S,15.3,12.33
293,2020,7,      NRTSI-G,      S,15.65,12.57
294,1979,8,      Goddard,      S,17.7,13.79
295,1980,8,      Goddard,      S,17.81,13.96
296,1981,8,      Goddard,      S,17.74,14.16
297,1982,8,      Goddard,      S,17.79,14.28
298,1983,8,      Goddard,      S,17.25,13.84
299,1984,8,      Goddard,      S,17.93,14.23
300,1985,8,      Goddard,      S,17.63,14.24
301,1986,8,      Goddard,      S,17.0,13.46
302,1987,8,      Goddard,      S,17.6,14.02
303,1988,8,      Goddard,      S,17.56,13.98
304,1989,8,      Goddard,      S,17.47,14.03
305,1990,8,      Goddard,      S,17.57,14.03
306,1991,8,      Goddard,      S,17.72,14.05
307,1992,8,      Goddard,      S,17.73,14.17
308,1993,8,      Goddard,      S,17.49,13.93
309,1994,8,      Goddard,      S,17.84,14.49
310,1995,8,      Goddard,      S,17.78,14.2
311,1996,8,      Goddard,      S,17.74,13.9
312,1997,8,      Goddard,      S,17.68,14.09
313,1998,8,      Goddard,      S,17.88,14.06
314,1999,8,      Goddard,      S,17.96,14.24
315,2000,8,      Goddard,      S,18.21,14.64
316,2001,8,      Goddard,      S,17.42,13.75
317,2002,8,      Goddard,      S,17.07,13.74
318,2003,8,      Goddard,      S,17.58,13.77
319,2004,8,      Goddard,      S,18.01,14.23
320,2005,8,      Goddard,      S,17.92,13.95
321,2006,8,      Goddard,      S,18.1,14.54
322,2007,8,      Goddard,      S,17.68,14.03
323,2008,8,      Goddard,      S,17.64,14.13
324,2009,8,      Goddard,      S,18.1,14.45
325,2010,8,      Goddard,      S,18.61,14.95
326,2011,8,      Goddard,      S,17.81,14.04
327,2012,8,      Goddard,      S,18.1,14.56
328,2013,8,      Goddard,      S,18.66,15.13
329,2014,8,      Goddard,      S,18.91,15.1
330,2015,8,      Goddard,      S,17.75,14.02
331,2016,8,      Goddard,      S,17.89,13.98
332,2017,8,      Goddard,      S,17.22,13.62
333,2018,8,      Goddard,      S,17.42,14.01
334,2019,8,      Goddard,      S,17.48,13.99
335,1979,9,      Goddard,      S,18.2,14.29
336,1980,9,      Goddard,      S,18.82,14.87
337,1981,9,      Goddard,      S,18.6,14.78
338,1982,9,      Goddard,      S,18.35,14.53
339,1983,9,      Goddard,      S,18.59,14.68
340,1984,9,      Goddard,      S,18.17,14.27
341,1985,9,      Goddard,      S,18.7,14.72
342,1986,9,      Goddard,      S,17.68,13.88
343,1987,9,      Goddard,      S,18.25,14.27
344,1988,9,      Goddard,      S,18.31,14.2
345,1989,9,      Goddard,      S,18.12,14.48
346,1990,9,      Goddard,      S,18.19,14.39
347,1991,9,      Goddard,      S,18.31,14.47
348,1992,9,      Goddard,      S,18.15,14.13
349,1993,9,      Goddard,      S,18.54,14.7
350,1994,9,      Goddard,      S,18.61,14.61
351,1995,9,      Goddard,      S,18.37,14.46
352,1996,9,      Goddard,      S,18.63,14.54
353,1997,9,      Goddard,      S,18.6,14.59
354,1998,9,      Goddard,      S,18.9,14.84
355,1999,9,      Goddard,      S,18.7,14.62
356,2000,9,      Goddard,      S,18.89,15.07
357,2001,9,      Goddard,      S,18.17,14.36
358,2002,9,      Goddard,      S,17.89,14.1
359,2003,9,      Goddard,      S,18.3,14.14
360,2004,9,      Goddard,      S,18.92,14.59
361,2005,9,      Goddard,      S,18.8,14.85
362,2006,9,      Goddard,      S,19.09,15.18
363,2007,9,      Goddard,      S,18.86,15.39
364,2008,9,      Goddard,      S,18.15,14.39
365,2009,9,      Goddard,      S,18.96,15.08
366,2010,9,      Goddard,      S,18.8,14.43
367,2011,9,      Goddard,      S,18.74,14.57
368,2012,9,      Goddard,      S,19.21,15.41
369,2013,9,      Goddard,      S,19.39,15.28
370,2014,9,      Goddard,      S,19.76,15.75
371,2015,9,      Goddard,      S,18.44,14.45
372,2016,9,      Goddard,      S,18.15,13.86
373,2017,9,      Goddard,      S,17.91,13.92
374,2018,9,      Goddard,      S,17.96,14.2
375,2019,9,      Goddard,      S,18.33,14.6
376,1979,10,      Goddard,      S,17.82,13.72
377,1980,10,      Goddard,      S,18.57,14.57
378,1981,10,      Goddard,      S,18.29,14.43
379,1982,10,      Goddard,      S,17.79,13.74
380,1983,10,      Goddard,      S,17.92,13.92
381,1984,10,      Goddard,      S,17.57,13.73
382,1985,10,      Goddard,      S,18.2,14.37
383,1986,10,      Goddard,      S,17.18,13.32
384,1987,10,      Goddard,      S,17.67,13.71
385,1988,10,      Goddard,      S,18.36,14.41
386,1989,10,      Goddard,      S,17.86,13.85
387,1990,10,      Goddard,      S,17.95,13.8
388,1991,10,      Goddard,      S,17.92,13.8
389,1992,10,      Goddard,      S,17.93,13.85
390,1993,10,      Goddard,      S,18.13,14.17
391,1994,10,      Goddard,      S,18.09,14.07
392,1995,10,      Goddard,      S,18.03,13.57
393,1996,10,      Goddard,      S,17.96,13.94
394,1997,10,      Goddard,      S,17.99,14.12
395,1998,10,      Goddard,      S,18.66,14.54
396,1999,10,      Goddard,      S,18.35,14.23
397,2000,10,      Goddard,      S,18.13,14.26
398,2001,10,      Goddard,      S,17.73,13.34
399,2002,10,      Goddard,      S,17.87,13.82
400,2003,10,      Goddard,      S,18.2,13.87
401,2004,10,      Goddard,      S,18.46,14.12
402,2005,10,      Goddard,      S,18.48,14.04
403,2006,10,      Goddard,      S,18.73,14.68
404,2007,10,      Goddard,      S,18.51,14.59
405,2008,10,      Goddard,      S,17.99,14.12
406,2009,10,      Goddard,      S,18.3,14.35
407,2010,10,      Goddard,      S,18.65,14.41
408,2011,10,      Goddard,      S,18.22,14.23
409,2012,10,      Goddard,      S,18.59,14.45
410,2013,10,      Goddard,      S,19.02,15.13
411,2014,10,      Goddard,      S,19.0,14.83
412,2015,10,      Goddard,      S,18.41,14.36
413,2016,10,      Goddard,      S,17.46,12.94
414,2017,10,      Goddard,      S,17.78,13.45
415,2018,10,      Goddard,      S,17.73,13.99
416,2019,10,      Goddard,      S,17.94,13.9
417,1978,11,      Goddard,      S,15.9,11.69
418,1979,11,      Goddard,      S,15.34,11.32
419,1980,11,      Goddard,      S,16.13,11.84
420,1981,11,      Goddard,      S,16.11,12.07
421,1982,11,      Goddard,      S,15.54,11.27
422,1983,11,      Goddard,      S,16.01,11.57
423,1984,11,      Goddard,      S,16.13,12.06
424,1985,11,      Goddard,      S,16.14,12.34
425,1986,11,      Goddard,      S,15.01,10.87
426,1987,11,      Goddard,      S,15.58,11.23
427,1988,11,      Goddard,      S,16.15,12.29
428,1989,11,      Goddard,      S,15.73,11.42
429,1990,11,      Goddard,      S,15.47,11.35
430,1991,11,      Goddard,      S,15.58,11.46
431,1992,11,      Goddard,      S,15.9,11.2
432,1993,11,      Goddard,      S,16.04,11.83
433,1994,11,      Goddard,      S,15.88,11.78
434,1995,11,      Goddard,      S,15.63,11.49
435,1996,11,      Goddard,      S,15.72,11.24
436,1997,11,      Goddard,      S,15.73,11.59
437,1998,11,      Goddard,      S,16.3,11.88
438,1999,11,      Goddard,      S,15.96,11.51
439,2000,11,      Goddard,      S,15.76,11.81
440,2001,11,      Goddard,      S,15.61,11.0
441,2002,11,      Goddard,      S,15.41,11.67
442,2003,11,      Goddard,      S,16.11,11.47
443,2004,11,      Goddard,      S,16.08,11.75
444,2005,11,      Goddard,      S,16.32,11.8
445,2006,11,      Goddard,      S,16.23,11.61
446,2007,11,      Goddard,      S,15.89,12.16
447,2008,11,      Goddard,      S,16.25,12.01
448,2009,11,      Goddard,      S,15.85,11.8
449,2010,11,      Goddard,      S,16.75,11.92
450,2011,11,      Goddard,      S,15.76,11.77
451,2012,11,      Goddard,      S,16.11,12.07
452,2013,11,      Goddard,      S,16.87,12.77
453,2014,11,      Goddard,      S,16.39,12.26
454,2015,11,      Goddard,      S,16.18,11.9
455,2016,11,      Goddard,      S,14.22,9.84
456,2017,11,      Goddard,      S,15.11,10.91
457,2018,11,      Goddard,      S,15.1,10.75
458,2019,11,      Goddard,      S,14.99,11.19
459,1978,12,      Goddard,      S,10.4,6.97
460,1979,12,      Goddard,      S,9.24,6.24
461,1980,12,      Goddard,      S,10.16,6.56
462,1981,12,      Goddard,      S,10.89,7.02
463,1982,12,      Goddard,      S,9.22,6.31
464,1983,12,      Goddard,      S,10.39,6.71
465,1984,12,      Goddard,      S,10.47,6.96
466,1985,12,      Goddard,      S,11.35,7.46
467,1986,12,      Goddard,      S,9.65,6.49
468,1987,12,        -9999,      S,-9999.0,-9999.0
469,1988,12,      Goddard,      S,11.06,7.4
470,1989,12,      Goddard,      S,9.84,6.7
471,1990,12,      Goddard,      S,9.95,6.73
472,1991,12,      Goddard,      S,10.19,6.8
473,1992,12,      Goddard,      S,10.21,6.18
474,1993,12,      Goddard,      S,9.93,6.67
475,1994,12,      Goddard,      S,10.1,7.11
476,1995,12,      Goddard,      S,10.62,7.19
477,1996,12,      Goddard,      S,9.65,6.24
478,1997,12,      Goddard,      S,10.29,6.99
479,1998,12,      Goddard,      S,10.52,6.8
480,1999,12,      Goddard,      S,10.72,6.8
481,2000,12,      Goddard,      S,9.91,6.95
482,2001,12,      Goddard,      S,10.35,6.36
483,2002,12,      Goddard,      S,10.79,7.61
484,2003,12,      Goddard,      S,10.56,7.2
485,2004,12,      Goddard,      S,10.23,6.93
486,2005,12,      Goddard,      S,9.68,6.33
487,2006,12,      Goddard,      S,9.85,6.48
488,2007,12,      Goddard,      S,11.98,8.38
489,2008,12,      Goddard,      S,11.51,7.39
490,2009,12,      Goddard,      S,10.74,7.09
491,2010,12,      Goddard,      S,11.27,6.94
492,2011,12,      Goddard,      S,11.2,7.4
493,2012,12,      Goddard,      S,10.39,7.38
494,2013,12,      Goddard,      S,11.85,8.34
495,2014,12,      Goddard,      S,11.93,8.21
496,2015,12,      Goddard,      S,10.66,7.09
497,2016,12,      Goddard,      S,8.28,5.51
498,2017,12,      Goddard,      S,9.48,6.23
499,2018,12,      Goddard,      S,9.19,5.59
500,2019,12,      Goddard,      S,9.41,6.59
