Year,Month,Extent,Units
1984,June,13231000.0,km^2
1985,June,13428000.0,km^2
1986,June,12687000.0,km^2
1987,June,12684000.0,km^2
1988,June,13093000.0,km^2
1989,June,13580000.0,km^2
1990,June,13083000.0,km^2
1991,June,13066000.0,km^2
1992,June,12809000.0,km^2
1993,June,13147000.0,km^2
1994,June,13560000.0,km^2
1995,June,13290000.0,km^2
1996,June,13870000.0,km^2
1997,June,13116000.0,km^2
1998,June,13313000.0,km^2
1999,June,13649000.0,km^2
2000,June,13893000.0,km^2
2001,June,13418000.0,km^2
2002,June,12376000.0,km^2
2003,June,13985000.0,km^2
2004,June,13780000.0,km^2
2005,June,13291000.0,km^2
2006,June,13345000.0,km^2
2007,June,13287000.0,km^2
2008,June,14062000.0,km^2
2009,June,13908000.0,km^2
2010,June,14410000.0,km^2
2011,June,13333000.0,km^2
2012,June,13547000.0,km^2
2013,June,14155000.0,km^2
2014,June,14687000.0,km^2
2015,June,14475000.0,km^2
2016,June,13242000.0,km^2
2017,June,12409000.0,km^2
2018,June,12885000.0,km^2
2019,June,12251000.0,km^2
2020,June,13275000.0,km^2
2021,June,13457000.0,km^2
1979,July,16517000.0,km^2
1980,July,15564000.0,km^2
1981,July,16039000.0,km^2
1982,July,15872000.0,km^2
1983,July,15467000.0,km^2
1984,July,16395000.0,km^2
1985,July,15721000.0,km^2
1986,July,15317000.0,km^2
1987,July,15752000.0,km^2
1988,July,15749000.0,km^2
1989,July,15711000.0,km^2
1990,July,15571000.0,km^2
1991,July,15550000.0,km^2
1992,July,15894000.0,km^2
1993,July,15855000.0,km^2
1994,July,16296000.0,km^2
1995,July,15744000.0,km^2
1996,July,16120000.0,km^2
1997,July,15921000.0,km^2
1998,July,15963000.0,km^2
1999,July,16282000.0,km^2
2000,July,16098000.0,km^2
2001,July,15852000.0,km^2
2002,July,15415000.0,km^2
2003,July,16402000.0,km^2
2004,July,16333000.0,km^2
2005,July,16158000.0,km^2
2006,July,16114000.0,km^2
2007,July,15956000.0,km^2
2008,July,16095000.0,km^2
2009,July,16261000.0,km^2
2010,July,16921000.0,km^2
2011,July,15752000.0,km^2
2012,July,16298000.0,km^2
2013,July,16809000.0,km^2
2014,July,17106000.0,km^2
2015,July,16775000.0,km^2
2016,July,16024000.0,km^2
2017,July,15297000.0,km^2
2018,July,15700000.0,km^2
2019,July,15302000.0,km^2
2020,July,15721000.0,km^2
2021,July,16381000.0,km^2
1979,August,17698000.0,km^2
1980,August,17805000.0,km^2
1981,August,17737000.0,km^2
1982,August,17789000.0,km^2
1983,August,17251000.0,km^2
1984,August,17928000.0,km^2
1985,August,17632000.0,km^2
1986,August,16999000.0,km^2
1987,August,17598000.0,km^2
1988,August,17561000.0,km^2
1989,August,17466000.0,km^2
1990,August,17567000.0,km^2
1991,August,17719000.0,km^2
1992,August,17727000.0,km^2
1993,August,17492000.0,km^2
1994,August,17840000.0,km^2
1995,August,17780000.0,km^2
1996,August,17741000.0,km^2
1997,August,17684000.0,km^2
1998,August,17881000.0,km^2
1999,August,17958000.0,km^2
2000,August,18206000.0,km^2
2001,August,17423000.0,km^2
2002,August,17067000.0,km^2
2003,August,17582000.0,km^2
2004,August,18010000.0,km^2
2005,August,17922000.0,km^2
2006,August,18098000.0,km^2
2007,August,17682000.0,km^2
2008,August,17645000.0,km^2
2009,August,18098000.0,km^2
2010,August,18607000.0,km^2
2011,August,17805000.0,km^2
2012,August,18097000.0,km^2
2013,August,18664000.0,km^2
2014,August,18908000.0,km^2
2015,August,17749000.0,km^2
2016,August,17892000.0,km^2
2017,August,17219000.0,km^2
2018,August,17417000.0,km^2
2019,August,17478000.0,km^2
2020,August,17758000.0,km^2
2021,August,18131000.0,km^2
1979,September,18196000.0,km^2
1980,September,18817000.0,km^2
1981,September,18597000.0,km^2
1982,September,18353000.0,km^2
1983,September,18585000.0,km^2
1984,September,18171000.0,km^2
1985,September,18703000.0,km^2
1986,September,17683000.0,km^2
1987,September,18246000.0,km^2
1988,September,18307000.0,km^2
1989,September,18121000.0,km^2
1990,September,18193000.0,km^2
1991,September,18313000.0,km^2
1992,September,18147000.0,km^2
1993,September,18543000.0,km^2
1994,September,18613000.0,km^2
1995,September,18373000.0,km^2
1996,September,18632000.0,km^2
1997,September,18596000.0,km^2
1998,September,18903000.0,km^2
1999,September,18696000.0,km^2
2000,September,18888000.0,km^2
2001,September,18175000.0,km^2
2002,September,17887000.0,km^2
2003,September,18298000.0,km^2
2004,September,18919000.0,km^2
2005,September,18805000.0,km^2
2006,September,19094000.0,km^2
2007,September,18861000.0,km^2
2008,September,18145000.0,km^2
2009,September,18960000.0,km^2
2010,September,18799000.0,km^2
2011,September,18739000.0,km^2
2012,September,19208000.0,km^2
2013,September,19389000.0,km^2
2014,September,19756000.0,km^2
2015,September,18444000.0,km^2
2016,September,18150000.0,km^2
2017,September,17906000.0,km^2
2018,September,17961000.0,km^2
2019,September,18335000.0,km^2
2020,September,18838000.0,km^2
2021,September,18451000.0,km^2
1979,October,17820000.0,km^2
1980,October,18568000.0,km^2
1981,October,18294000.0,km^2
1982,October,17789000.0,km^2
1983,October,17915000.0,km^2
1984,October,17573000.0,km^2
1985,October,18204000.0,km^2
1986,October,17184000.0,km^2
1987,October,17674000.0,km^2
1988,October,18361000.0,km^2
1989,October,17856000.0,km^2
1990,October,17945000.0,km^2
1991,October,17917000.0,km^2
1992,October,17934000.0,km^2
1993,October,18128000.0,km^2
1994,October,18090000.0,km^2
1995,October,18030000.0,km^2
1996,October,17965000.0,km^2
1997,October,17993000.0,km^2
1998,October,18660000.0,km^2
1999,October,18352000.0,km^2
2000,October,18131000.0,km^2
2001,October,17726000.0,km^2
2002,October,17866000.0,km^2
2003,October,18198000.0,km^2
2004,October,18457000.0,km^2
2005,October,18477000.0,km^2
2006,October,18733000.0,km^2
2007,October,18508000.0,km^2
2008,October,17994000.0,km^2
2009,October,18298000.0,km^2
2010,October,18648000.0,km^2
2011,October,18218000.0,km^2
2012,October,18594000.0,km^2
2013,October,19018000.0,km^2
2014,October,19003000.0,km^2
2015,October,18409000.0,km^2
2016,October,17460000.0,km^2
2017,October,17776000.0,km^2
2018,October,17732000.0,km^2
2019,October,17937000.0,km^2
2020,October,18493000.0,km^2
2021,October,17626000.0,km^2
1979,November,15337000.0,km^2
1980,November,16133000.0,km^2
1981,November,16111000.0,km^2
1982,November,15537000.0,km^2
1983,November,16014000.0,km^2
1984,November,16134000.0,km^2
1985,November,16140000.0,km^2
1986,November,15007000.0,km^2
1987,November,15584000.0,km^2
1988,November,16148000.0,km^2
1989,November,15734000.0,km^2
1990,November,15468000.0,km^2
1991,November,15584000.0,km^2
1992,November,15895000.0,km^2
1993,November,16042000.0,km^2
1994,November,15880000.0,km^2
1995,November,15634000.0,km^2
1996,November,15718000.0,km^2
1997,November,15733000.0,km^2
1998,November,16300000.0,km^2
1999,November,15965000.0,km^2
2000,November,15758000.0,km^2
2001,November,15610000.0,km^2
2002,November,15406000.0,km^2
2003,November,16110000.0,km^2
2004,November,16085000.0,km^2
2005,November,16316000.0,km^2
2006,November,16230000.0,km^2
2007,November,15892000.0,km^2
2008,November,16248000.0,km^2
2009,November,15848000.0,km^2
2010,November,16755000.0,km^2
2011,November,15757000.0,km^2
2012,November,16110000.0,km^2
2013,November,16872000.0,km^2
2014,November,16388000.0,km^2
2015,November,16175000.0,km^2
2016,November,14223000.0,km^2
2017,November,15113000.0,km^2
2018,November,15102000.0,km^2
2019,November,14995000.0,km^2
2020,November,16231000.0,km^2
2021,November,14950000.0,km^2
1979,December,9236000.0,km^2
1980,December,10156000.0,km^2
1981,December,10895000.0,km^2
1982,December,9216000.0,km^2
1983,December,10394000.0,km^2
1984,December,10473000.0,km^2
1985,December,11352000.0,km^2
1986,December,9654000.0,km^2
1988,December,11061000.0,km^2
1989,December,9838000.0,km^2
1990,December,9954000.0,km^2
1991,December,10192000.0,km^2
1992,December,10206000.0,km^2
1993,December,9933000.0,km^2
1994,December,10101000.0,km^2
1995,December,10622000.0,km^2
1996,December,9653000.0,km^2
1997,December,10285000.0,km^2
1998,December,10520000.0,km^2
1999,December,10722000.0,km^2
2000,December,9910000.0,km^2
2001,December,10346000.0,km^2
2002,December,10785000.0,km^2
2003,December,10564000.0,km^2
2004,December,10229000.0,km^2
2005,December,9680000.0,km^2
2006,December,9854000.0,km^2
2007,December,11981000.0,km^2
2008,December,11512000.0,km^2
2009,December,10739000.0,km^2
2010,December,11271000.0,km^2
2011,December,11199000.0,km^2
2012,December,10394000.0,km^2
2013,December,11854000.0,km^2
2014,December,11928000.0,km^2
2015,December,10655000.0,km^2
2016,December,8279000.0,km^2
2017,December,9482000.0,km^2
2018,December,9188000.0,km^2
2019,December,9409000.0,km^2
2020,December,10575000.0,km^2
2021,December,9090000.0,km^2
1979,Annual,11700000.0,km^2
1980,Annual,11230000.0,km^2
1981,Annual,11435000.0,km^2
1982,Annual,11640000.0,km^2
1983,Annual,11389000.0,km^2
1984,Annual,11454000.0,km^2
1985,Annual,11618000.0,km^2
1986,Annual,11088000.0,km^2
1987,Annual,11554000.0,km^2
1988,Annual,12131000.0,km^2
1989,Annual,11426000.0,km^2
1990,Annual,11410000.0,km^2
1991,Annual,11545000.0,km^2
1992,Annual,11399000.0,km^2
1993,Annual,11420000.0,km^2
1994,Annual,11774000.0,km^2
1995,Annual,11795000.0,km^2
1996,Annual,11769000.0,km^2
1997,Annual,11390000.0,km^2
1998,Annual,11738000.0,km^2
1999,Annual,11761000.0,km^2
2000,Annual,11747000.0,km^2
2001,Annual,11673000.0,km^2
2002,Annual,11222000.0,km^2
2003,Annual,11969000.0,km^2
2004,Annual,11961000.0,km^2
2005,Annual,11695000.0,km^2
2006,Annual,11461000.0,km^2
2007,Annual,11687000.0,km^2
2008,Annual,12239000.0,km^2
2009,Annual,12049000.0,km^2
2010,Annual,12107000.0,km^2
2011,Annual,11501000.0,km^2
2012,Annual,12004000.0,km^2
2013,Annual,12524000.0,km^2
2014,Annual,12776000.0,km^2
2015,Annual,12414000.0,km^2
2016,Annual,11202000.0,km^2
2017,Annual,10749000.0,km^2
2018,Annual,11000000.0,km^2
2019,Annual,10876000.0,km^2
2020,Annual,11602000.0,km^2
2021,Annual,11502000.0,km^2
