Emissions by sectors,Regions ,GLOBAL,<30°N,30°N-60°N,60°N-90°N,Central America,Northern South America,Brazil,Southwest South America,Northern Africa,Equatorial Africa,Southern Africa,South Asia,Southeast Asia,Oceania,USA,Europe,Central Asia,Middle East,China,Korean Japan,Canada,Russia
,,,,,,Central_America,Northern_South_America,Brazil,Southwest_South_America,Northern_Africa,Equatorial_Africa,Southern_Africa,South_Asia,Southeast_Asia,Oceania,USA,Europe,Central_Asia,Middle_East,,,,
Agriculture and Waste - Posterior,MIROC4-ACTM-Cao/SURF,219.44,141.09,76.79,1.57,6.45,3.78,18.39,8.15,11.18,8.55,4.15,43.82,23.19,4.71,15.04,20.36,3.06,8.63,28.86,2.63,2.34,5.54
Agriculture and Waste - Posterior,NICAM-TM/4DVar,229.61,152.80,75.46,1.36,6.33,4.00,17.99,7.67,12.19,8.53,3.91,47.69,25.36,3.41,18.71,18.82,3.41,7.97,25.09,2.03,2.12,4.84
Agriculture and Waste - Posterior,NIES-TM-FLEXPART/GOSAT,216.36,134.49,80.32,1.55,6.32,3.83,17.50,8.41,11.51,9.01,3.92,37.68,21.18,4.67,14.90,19.67,2.98,8.61,34.71,3.30,2.20,5.28
Agriculture and Waste - Posterior,NIES-TM-FLEXPART/SURF,221.32,135.62,84.05,1.65,6.62,3.93,16.81,8.01,11.31,8.46,3.79,42.99,21.65,4.56,17.63,22.56,3.36,9.50,28.35,2.44,2.56,6.11
Agriculture and Waste - Posterior,PYVARLMDZ/GOSAT1,217.84,143.38,73.50,0.96,7.24,5.98,19.12,9.95,11.63,10.64,5.40,36.41,20.57,4.80,16.92,17.33,3.31,6.02,33.48,2.60,1.69,4.42
Agriculture and Waste - Posterior,PYVARLMDZ/GOSAT2,212.44,144.08,66.92,1.44,6.28,4.40,21.72,9.96,12.93,11.71,4.53,36.37,22.42,4.85,13.71,18.60,2.63,6.94,26.22,3.01,1.66,3.74
Agriculture and Waste - Posterior,PYVARLMDZ/GOSAT3,213.83,139.98,73.36,0.49,5.86,4.85,19.16,6.97,11.31,8.23,4.06,33.46,22.23,3.89,14.74,16.54,2.71,7.49,31.75,2.77,2.12,4.49
Agriculture and Waste - Posterior,PYVARLMDZ/GOSAT4,203.10,134.99,67.67,0.45,5.46,4.77,20.46,7.60,10.83,8.03,4.14,30.74,20.58,4.00,13.36,15.50,2.34,6.71,29.22,2.62,1.96,4.21
Agriculture and Waste - Posterior,PYVARLMDZ/GOSAT5,211.30,138.00,72.76,0.54,5.34,4.50,20.10,7.64,10.08,7.21,4.04,33.08,21.44,4.11,13.56,16.24,2.47,6.60,34.31,2.80,2.13,4.71
Agriculture and Waste - Posterior,PYVARLMDZ/GOSAT6,200.72,136.52,63.79,0.41,5.20,4.69,21.85,8.26,10.22,7.56,4.27,30.38,21.01,4.21,12.29,14.47,2.03,5.98,29.33,2.57,1.84,3.91
