year,animal,population_Mhd
1976,beehives,59.933653
1976,buffaloes,131.942274
1976,"camelids, other",6.2187
1976,camels,17.677296000000002
1976,cattle,1255.309783
1976,chickens,6819.1269999999995
1976,ducks,475.365
1976,geese and guinea fowls,106.43199999999999
1976,goats,484.187854
1976,horses,72.97635100000001
1976,mules,16.864394
1976,pigs,967.2251709999999
1976,rabbits and hares,210.592
1976,"rodents, other",21.626
1976,sheep,1142.659426
1976,turkeys,228.49599999999998
1977,asses,47.067274
1977,beehives,60.502861
1977,buffaloes,132.400152
1977,"camelids, other",5.7883
1977,camels,17.681009
1977,cattle,1258.620558
1977,chickens,7035.847
1977,ducks,481.16900000000004
1977,geese and guinea fowls,108.613
1977,goats,487.87645000000003
1977,horses,72.075977
1977,mules,17.113691
1977,pigs,1002.555126
1977,rabbits and hares,216.353
1977,"rodents, other",21.642
1977,sheep,1129.914456
1977,turkeys,247.62599999999998
1978,asses,46.843244
1978,beehives,62.061116
1978,buffaloes,133.95063100000002
1978,"camelids, other",5.9219
1978,camels,18.113052
1978,cattle,1259.005472
1978,chickens,7407.297
1978,ducks,507.055
1978,geese and guinea fowls,113.643
1978,goats,506.88843099999997
1978,horses,71.48467
1978,mules,17.353299
1978,pigs,1033.400023
1978,rabbits and hares,219.144
1978,"rodents, other",21.66
1978,sheep,1143.365808
1978,turkeys,267.844
1979,asses,46.523299
1979,beehives,62.919257
1979,buffaloes,136.768
1979,"camelids, other",5.922000000000001
1979,camels,18.336633
1979,cattle,1263.645223
1979,chickens,7772.976
1979,ducks,521.504
1979,geese and guinea fowls,117.212
1979,goats,528.394726
1979,horses,71.016025
1979,mules,17.750331
1979,pigs,1071.012709
1979,rabbits and hares,235.479
1979,"rodents, other",21.674
1979,sheep,1164.9892320000001
1979,turkeys,296.334
1980,asses,46.3696
1980,beehives,65.749346
1980,buffaloes,139.93324199999998
1980,"camelids, other",5.843425
1980,camels,18.502174999999998
1980,cattle,1269.464358
1980,chickens,8139.042
1980,ducks,544.838
1980,geese and guinea fowls,119.733
1980,goats,544.880671
1980,horses,70.767225
1980,mules,16.951332
1980,pigs,1123.367661
1980,rabbits and hares,238.84099999999998
1980,"rodents, other",21.691999999999997
1980,sheep,1200.512792
1980,turkeys,314.594
1981,asses,47.108107
1981,beehives,68.402571
1981,buffaloes,142.785481
1981,"camelids, other",5.891249999999999
1981,camels,18.934989
1981,cattle,1281.137348
1981,chickens,8481.33
1981,ducks,556.932
1981,geese and guinea fowls,124.303
1981,goats,554.710708
1981,horses,70.584398
1981,mules,17.350679
1981,pigs,1091.256648
1981,rabbits and hares,243.17
1981,"rodents, other",21.706999999999997
1981,sheep,1218.65628
1981,turkeys,324.142
1982,asses,48.674223
1982,beehives,69.968252
1982,buffaloes,146.361886
1982,"camelids, other",5.99275
1982,camels,19.553699
1982,cattle,1296.146355
1982,chickens,8778.837
1982,ducks,579.968
1982,geese and guinea fowls,130.56199999999998
1982,goats,559.8640379999999
1982,horses,70.459685
1982,mules,17.750909
1982,pigs,1068.315257
1982,rabbits and hares,254.146
1982,"rodents, other",21.721999999999998
1982,sheep,1240.206885
1982,turkeys,322.576
1983,asses,49.751605
1983,beehives,71.22984
1983,buffaloes,149.283408
1983,"camelids, other",5.6654
1983,camels,19.559865000000002
1983,cattle,1306.374554
1983,chickens,9073.897
1983,ducks,603.138
1983,geese and guinea fowls,136.568
1983,goats,566.527997
1983,horses,70.544229
1983,mules,18.061675
1983,pigs,1082.877241
1983,rabbits and hares,263.69100000000003
1983,"rodents, other",21.761999999999997
1983,sheep,1232.842275
1983,turkeys,328.868
1984,asses,50.052756
1984,beehives,72.792815
1984,buffaloes,152.367458
1984,"camelids, other",5.0879
1984,camels,19.362263
1984,cattle,1314.262322
1984,chickens,9460.556
1984,ducks,612.689
1984,geese and guinea fowls,138.973
1984,goats,551.920211
1984,horses,70.257565
1984,mules,18.38329
1984,pigs,1092.997071
1984,rabbits and hares,269.572
1984,"rodents, other",21.862
1984,sheep,1217.71134
1984,turkeys,327.93399999999997
1985,asses,50.821933
1985,beehives,74.47254
1985,buffaloes,155.788502
1985,"camelids, other",5.156
1985,camels,19.537903
1985,cattle,1322.676411
1985,chickens,9880.293
1985,ducks,647.889
1985,geese and guinea fowls,145.641
1985,goats,549.295895
1985,horses,70.994731
1985,mules,18.749206
1985,pigs,1107.23296
1985,rabbits and hares,274.554
1985,"rodents, other",21.862
1985,sheep,1213.215019
1985,turkeys,343.874
1986,asses,52.204889
1986,beehives,74.036655
1986,buffaloes,161.80185699999998
1986,"camelids, other",5.329521
1986,camels,19.400264
1986,cattle,1333.591572
1986,chickens,10493.57
1986,ducks,709.951
1986,geese and guinea fowls,160.103
1986,goats,561.298448
1986,horses,71.229979
1986,mules,19.104477000000003
1986,pigs,1163.925087
1986,rabbits and hares,344.46
1986,"rodents, other",22.37
1986,sheep,1219.966891
1986,turkeys,369.143
1987,asses,52.975179000000004
1987,beehives,74.322346
1987,buffaloes,162.621776
1987,"camelids, other",5.377842
1987,camels,19.628163
1987,cattle,1337.495087
1987,chickens,11202.569
1987,ducks,788.296
1987,geese and guinea fowls,178.376
1987,goats,589.468688
1987,horses,71.163775
1987,mules,19.498172
1987,pigs,1180.337516
1987,rabbits and hares,422.07
1987,"rodents, other",22.38
1987,sheep,1240.336125
1987,turkeys,398.142
1988,asses,53.710284
1988,beehives,76.091674
1988,buffaloes,164.481376
1988,"camelids, other",5.4552
1988,camels,20.058953
1988,cattle,1345.31725
1988,chickens,11781.553
1988,ducks,806.706
