year,region,animal,population_Mhd
1962,South America,geese and guinea fowls,0.23
1962,South America,goats,18.9579
1962,South America,horses,12.078026
1962,South America,mules,2.573339
1962,South America,pigs,37.989062
1962,South America,rabbits and hares,1.659
1962,South America,"rodents, other",20.86
1962,South America,sheep,116.874327
1962,South America,turkeys,1.73
1963,Africa,asses,10.543787
1963,Africa,beehives,7.29105
1963,Africa,buffaloes,1.55872
1963,Africa,camels,9.280296
1963,Africa,cattle,126.461851
1963,Africa,chickens,291.998
1963,Africa,ducks,6.478
1963,Africa,geese and guinea fowls,4.032
1963,Africa,goats,96.838787
1963,Africa,horses,3.463366
1963,Africa,mules,1.86412
1963,Africa,pigs,5.960056
1963,Africa,rabbits and hares,2.804
1963,Africa,sheep,134.176058
1963,Africa,turkeys,1.339
1963,Asia,asses,15.183296
1963,Asia,beehives,11.040696
1963,Asia,buffaloes,87.417333
1963,Asia,camels,4.021365
1963,Asia,cattle,318.147178
1963,Asia,chickens,1187.345
1963,Asia,ducks,168.421
1963,Asia,geese and guinea fowls,21.762
1963,Asia,goats,217.722084
1963,Asia,horses,14.213967
1963,Asia,mules,2.035612
1963,Asia,pigs,139.695281
1963,Asia,rabbits and hares,21.447
1963,Asia,sheep,233.145936
1963,Asia,turkeys,3.546
1963,Europe,asses,3.261231
1963,Europe,beehives,21.758651
1963,Europe,buffaloes,0.725798
1963,Europe,camels,0.2893
1963,Europe,cattle,204.032187
1963,Europe,chickens,1413.635
1963,Europe,ducks,24.273
1963,Europe,geese and guinea fowls,12.024
1963,Europe,goats,20.282161
1963,Europe,horses,19.741024
1963,Europe,mules,1.909225
1963,Europe,pigs,178.722194
1963,Europe,rabbits and hares,78.234
1963,Europe,sheep,270.769738
1963,Europe,turkeys,51.193
1963,Northern America,asses,0.015
1963,Northern America,beehives,5.88806
1963,Northern America,cattle,115.712395
1963,Northern America,chickens,847.72
1963,Northern America,ducks,4.092
1963,Northern America,geese and guinea fowls,0.332
1963,Northern America,goats,3.6963
1963,Northern America,horses,2.280226
1963,Northern America,mules,0.024
1963,Northern America,pigs,67.720564
1963,Northern America,sheep,29.8264
1963,Northern America,turkeys,96.849
1963,Oceania,asses,0.0111
1963,Oceania,beehives,0.490691
1963,Oceania,cattle,25.573086
1963,Oceania,chickens,27.033
1963,Oceania,ducks,0.412
1963,Oceania,geese and guinea fowls,0.076
1963,Oceania,goats,0.31674
1963,Oceania,horses,0.666212
1963,Oceania,pigs,3.047519
1963,Oceania,sheep,208.82491
1963,Oceania,turkeys,0.255
1963,South America,asses,3.10433
1963,South America,beehives,1.663739
1963,South America,buffaloes,0.061
1963,South America,"camelids, other",5.65
1963,South America,cattle,146.432368
1963,South America,chickens,268.097
1963,South America,ducks,5.216
1963,South America,geese and guinea fowls,0.243
1963,South America,goats,19.57145
1963,South America,horses,12.118634
1963,South America,mules,2.642266
1963,South America,pigs,38.880488
1963,South America,rabbits and hares,1.632
1963,South America,"rodents, other",21.066
1963,South America,sheep,115.973854
1963,South America,turkeys,1.866
1964,Africa,asses,10.639747
1964,Africa,beehives,7.365275
1964,Africa,buffaloes,1.587723
1964,Africa,camels,9.795792
1964,Africa,cattle,130.156676
1964,Africa,chickens,305.697
1964,Africa,ducks,6.611
1964,Africa,geese and guinea fowls,4.107
1964,Africa,goats,98.404041
1964,Africa,horses,3.522182
1964,Africa,mules,2.000111
1964,Africa,pigs,6.192182
1964,Africa,rabbits and hares,2.812
1964,Africa,sheep,137.289165
1964,Africa,turkeys,1.404
1964,Asia,asses,15.577427
1964,Asia,beehives,11.305317
1964,Asia,buffaloes,91.010969
1964,Asia,camels,4.045844
1964,Asia,cattle,324.471455
1964,Asia,chickens,1233.912
1964,Asia,ducks,173.235
