Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1984","g/capita/day","23.97"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1985","g/capita/day","24.47"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1986","g/capita/day","24.68"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1987","g/capita/day","24.93"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1988","g/capita/day","25.04"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1989","g/capita/day","25.12"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1990","g/capita/day","25.23"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1991","g/capita/day","25.03"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1992","g/capita/day","24.86"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1993","g/capita/day","25.12"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1994","g/capita/day","25.76"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1995","g/capita/day","26.39"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1996","g/capita/day","26.57"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1997","g/capita/day","26.76"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1998","g/capita/day","27.21"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","1999","g/capita/day","27.61"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2000","g/capita/day","27.88"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2001","g/capita/day","27.9"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2002","g/capita/day","28.27"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2003","g/capita/day","28.64"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2004","g/capita/day","28.87"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2005","g/capita/day","29.28"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2006","g/capita/day","29.8"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2007","g/capita/day","30.53"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2008","g/capita/day","30.91"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2009","g/capita/day","31.08"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2010","g/capita/day","31.52"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2011","g/capita/day","31.76"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2012","g/capita/day","32.1"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Animal Products","2013","g/capita/day","32.13"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1961","g/capita/day","3.62"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1962","g/capita/day","3.75"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1963","g/capita/day","3.86"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1964","g/capita/day","3.84"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1965","g/capita/day","3.85"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1966","g/capita/day","3.97"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1967","g/capita/day","4.06"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1968","g/capita/day","4.17"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1969","g/capita/day","4.21"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1970","g/capita/day","4.12"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1971","g/capita/day","3.99"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1972","g/capita/day","3.96"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1973","g/capita/day","3.92"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1974","g/capita/day","4.1"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1975","g/capita/day","4.24"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1976","g/capita/day","4.38"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1977","g/capita/day","4.36"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1978","g/capita/day","4.3"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1979","g/capita/day","4.12"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1980","g/capita/day","4.07"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1981","g/capita/day","4.02"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1982","g/capita/day","3.95"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1983","g/capita/day","3.97"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1984","g/capita/day","4"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1985","g/capita/day","4.01"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1986","g/capita/day","4.08"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1987","g/capita/day","3.99"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1988","g/capita/day","3.95"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1989","g/capita/day","3.93"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1990","g/capita/day","3.94"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1991","g/capita/day","3.89"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1992","g/capita/day","3.77"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1993","g/capita/day","3.68"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1994","g/capita/day","3.68"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1995","g/capita/day","3.65"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1996","g/capita/day","3.65"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1997","g/capita/day","3.66"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1998","g/capita/day","3.63"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","1999","g/capita/day","3.63"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2000","g/capita/day","3.62"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2001","g/capita/day","3.51"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2002","g/capita/day","3.58"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2003","g/capita/day","3.56"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2004","g/capita/day","3.57"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2005","g/capita/day","3.59"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2006","g/capita/day","3.64"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2007","g/capita/day","3.69"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2008","g/capita/day","3.64"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2009","g/capita/day","3.6"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2010","g/capita/day","3.61"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2011","g/capita/day","3.57"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2012","g/capita/day","3.55"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Bovine Meat","2013","g/capita/day","3.54"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1961","g/capita/day","0.69"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1962","g/capita/day","0.7"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1963","g/capita/day","0.68"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1964","g/capita/day","0.67"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1965","g/capita/day","0.66"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1966","g/capita/day","0.66"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1967","g/capita/day","0.66"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1968","g/capita/day","0.66"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1969","g/capita/day","0.65"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1970","g/capita/day","0.64"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1971","g/capita/day","0.65"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1972","g/capita/day","0.63"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1973","g/capita/day","0.6"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1974","g/capita/day","0.58"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1975","g/capita/day","0.59"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1976","g/capita/day","0.57"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1977","g/capita/day","0.57"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1978","g/capita/day","0.57"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1979","g/capita/day","0.57"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1980","g/capita/day","0.58"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1981","g/capita/day","0.59"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1982","g/capita/day","0.59"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1983","g/capita/day","0.59"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1984","g/capita/day","0.59"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1985","g/capita/day","0.59"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1986","g/capita/day","0.6"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1987","g/capita/day","0.61"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1988","g/capita/day","0.62"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1989","g/capita/day","0.63"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1990","g/capita/day","0.65"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1991","g/capita/day","0.64"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1992","g/capita/day","0.64"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1993","g/capita/day","0.65"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1994","g/capita/day","0.65"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1995","g/capita/day","0.66"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1996","g/capita/day","0.63"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1997","g/capita/day","0.65"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1998","g/capita/day","0.66"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","1999","g/capita/day","0.67"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2000","g/capita/day","0.68"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2001","g/capita/day","0.66"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2002","g/capita/day","0.67"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2003","g/capita/day","0.67"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2004","g/capita/day","0.69"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2005","g/capita/day","0.71"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2006","g/capita/day","0.71"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2007","g/capita/day","0.72"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2008","g/capita/day","0.72"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2009","g/capita/day","0.71"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2010","g/capita/day","0.71"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2011","g/capita/day","0.71"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2012","g/capita/day","0.71"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Mutton & Goat Meat","2013","g/capita/day","0.72"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1961","g/capita/day","2.18"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1962","g/capita/day","2.26"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1963","g/capita/day","2.4"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1964","g/capita/day","2.42"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1965","g/capita/day","2.57"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1966","g/capita/day","2.62"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1967","g/capita/day","2.69"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1968","g/capita/day","2.69"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1969","g/capita/day","2.55"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1970","g/capita/day","2.58"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1971","g/capita/day","2.78"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1972","g/capita/day","2.86"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1973","g/capita/day","2.83"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1974","g/capita/day","2.84"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1975","g/capita/day","2.79"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1976","g/capita/day","2.77"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1977","g/capita/day","2.77"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1978","g/capita/day","2.91"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1979","g/capita/day","3.15"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1980","g/capita/day","3.27"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1981","g/capita/day","3.24"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1982","g/capita/day","3.2"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1983","g/capita/day","3.27"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1984","g/capita/day","3.33"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1985","g/capita/day","3.44"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1986","g/capita/day","3.4"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1987","g/capita/day","3.5"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1988","g/capita/day","3.64"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1989","g/capita/day","3.65"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1990","g/capita/day","3.66"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1991","g/capita/day","3.66"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1992","g/capita/day","3.75"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1993","g/capita/day","3.8"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1994","g/capita/day","3.87"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1995","g/capita/day","3.88"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1996","g/capita/day","3.85"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1997","g/capita/day","3.82"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1998","g/capita/day","4.03"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","1999","g/capita/day","4.05"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2000","g/capita/day","4.1"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2001","g/capita/day","4.05"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2002","g/capita/day","4.11"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2003","g/capita/day","4.22"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2004","g/capita/day","4.16"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2005","g/capita/day","4.19"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2006","g/capita/day","4.28"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2007","g/capita/day","4.35"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2008","g/capita/day","4.42"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2009","g/capita/day","4.46"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2010","g/capita/day","4.53"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2011","g/capita/day","4.5"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2012","g/capita/day","4.61"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Pigmeat","2013","g/capita/day","4.65"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1961","g/capita/day","1.05"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1962","g/capita/day","1.08"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1963","g/capita/day","1.11"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1964","g/capita/day","1.13"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1965","g/capita/day","1.2"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1966","g/capita/day","1.25"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1967","g/capita/day","1.3"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1968","g/capita/day","1.32"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1969","g/capita/day","1.39"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1970","g/capita/day","1.48"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1971","g/capita/day","1.52"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1972","g/capita/day","1.6"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1973","g/capita/day","1.63"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1974","g/capita/day","1.67"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1975","g/capita/day","1.68"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1976","g/capita/day","1.75"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1977","g/capita/day","1.83"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1978","g/capita/day","1.92"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1979","g/capita/day","2.03"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1980","g/capita/day","2.1"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1981","g/capita/day","2.18"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1982","g/capita/day","2.22"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1983","g/capita/day","2.24"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1984","g/capita/day","2.23"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1985","g/capita/day","2.3"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1986","g/capita/day","2.41"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1987","g/capita/day","2.55"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1988","g/capita/day","2.63"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1989","g/capita/day","2.64"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1990","g/capita/day","2.76"
"Food Balances (old methodology and population)","World","Protein supply quantity (g/capita/day)","Poultry Meat","1991","g/capita/day","2.85"
