Domain,Area,Element,Item,Year,Unit,Value
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fish, Body Oil","2017","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fish, Body Oil","2018","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fish, Liver Oil","2014","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fish, Liver Oil","2015","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fish, Liver Oil","2016","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fish, Liver Oil","2017","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Fish, Liver Oil","2018","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Eggs","2014","g/capita/day","2.79"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Eggs","2015","g/capita/day","2.84"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Eggs","2016","g/capita/day","2.9"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Eggs","2017","g/capita/day","2.91"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Eggs","2018","g/capita/day","2.94"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Milk - Excluding Butter","2014","g/capita/day","8.31"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Milk - Excluding Butter","2015","g/capita/day","8.27"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Milk - Excluding Butter","2016","g/capita/day","8.36"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Milk - Excluding Butter","2017","g/capita/day","8.45"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Milk - Excluding Butter","2018","g/capita/day","8.61"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Freshwater Fish","2014","g/capita/day","2.26"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Freshwater Fish","2015","g/capita/day","2.3"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Freshwater Fish","2016","g/capita/day","2.37"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Freshwater Fish","2017","g/capita/day","2.42"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Freshwater Fish","2018","g/capita/day","2.4"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Demersal Fish","2014","g/capita/day","0.83"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Demersal Fish","2015","g/capita/day","0.84"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Demersal Fish","2016","g/capita/day","0.84"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Demersal Fish","2017","g/capita/day","0.85"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Demersal Fish","2018","g/capita/day","0.84"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Pelagic Fish","2014","g/capita/day","1.19"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Pelagic Fish","2015","g/capita/day","1.15"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Pelagic Fish","2016","g/capita/day","1.12"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Pelagic Fish","2017","g/capita/day","1.13"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Pelagic Fish","2018","g/capita/day","1.12"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Marine Fish, Other","2014","g/capita/day","0.33"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Marine Fish, Other","2015","g/capita/day","0.36"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Marine Fish, Other","2016","g/capita/day","0.37"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Marine Fish, Other","2017","g/capita/day","0.34"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Marine Fish, Other","2018","g/capita/day","0.33"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Crustaceans","2014","g/capita/day","0.47"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Crustaceans","2015","g/capita/day","0.49"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Crustaceans","2016","g/capita/day","0.49"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Crustaceans","2017","g/capita/day","0.52"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Crustaceans","2018","g/capita/day","0.51"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Cephalopods","2014","g/capita/day","0.22"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Cephalopods","2015","g/capita/day","0.21"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Cephalopods","2016","g/capita/day","0.16"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Cephalopods","2017","g/capita/day","0.18"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Cephalopods","2018","g/capita/day","0.18"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Molluscs, Other","2014","g/capita/day","0.19"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Molluscs, Other","2015","g/capita/day","0.19"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Molluscs, Other","2016","g/capita/day","0.19"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Molluscs, Other","2017","g/capita/day","0.18"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Molluscs, Other","2018","g/capita/day","0.18"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Meat, Aquatic Mammals","2014","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Meat, Aquatic Mammals","2015","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Meat, Aquatic Mammals","2016","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Meat, Aquatic Mammals","2017","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Meat, Aquatic Mammals","2018","g/capita/day","0"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Aquatic Animals, Others","2014","g/capita/day","0.02"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Aquatic Animals, Others","2015","g/capita/day","0.02"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Aquatic Animals, Others","2016","g/capita/day","0.02"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Aquatic Animals, Others","2017","g/capita/day","0.02"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Aquatic Animals, Others","2018","g/capita/day","0.02"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Aquatic Plants","2014","g/capita/day","0.01"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Aquatic Plants","2015","g/capita/day","0.01"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Aquatic Plants","2016","g/capita/day","0.02"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Aquatic Plants","2017","g/capita/day","0.02"
"New Food Balances","World","Protein supply quantity (g/capita/day)","Aquatic Plants","2018","g/capita/day","0.02"
