,category,subcategory,year,mass_produced_Mt,producing_population_Mhd,yield_kg_per_head
84,cattle,beef,1987,50.940956,250.641496,203.24230749085538
85,cattle,beef,1988,51.340629,249.68648900000002,205.62037299503217
86,cattle,beef,1989,51.558609000000004,249.967413,206.2613217507676
87,cattle,beef,1990,53.029398,254.316127,208.51763757789533
88,cattle,beef,1991,53.554937,256.255651,208.99026730146142
89,cattle,beef,1992,52.691678,254.21452599999998,207.2724907938581
90,cattle,beef,1993,52.095956,254.73761299999998,204.50829929069016
91,cattle,beef,1994,51.950727,258.019568,201.34413603855037
92,cattle,beef,1995,52.66254300000001,259.539306,202.90777459349454
93,cattle,beef,1996,53.702651,261.227492,205.57809818883845
94,cattle,beef,1997,54.749829000000005,268.30539300000004,204.05787743521054
95,cattle,beef,1998,54.273427000000005,269.588084,201.3198291063933
96,cattle,beef,1999,55.47920500000001,271.23566800000003,204.5424387179049
97,cattle,beef,2000,55.835848,271.971267,205.30054007506607
98,cattle,beef,2001,55.29698199999999,267.078997,207.04354374971683
99,cattle,beef,2002,56.345845999999995,272.33547799999997,206.89866195105142
100,cattle,beef,2003,57.151993999999995,276.921991,206.38300986359727
101,cattle,beef,2004,58.767355,281.21180899999996,208.9789728567196
102,cattle,beef,2005,59.109274,283.404941,208.56825499030379
103,cattle,beef,2006,60.365370999999996,288.76184,209.04898999119828
104,cattle,beef,2007,62.183015000000005,293.835954,211.6249361369848
105,cattle,beef,2008,62.263344,294.116193,211.6964161847423
106,cattle,beef,2009,62.570786,291.736127,214.47733142765688
107,cattle,beef,2010,62.654388,291.416468,214.99947628217083
108,cattle,beef,2011,62.374058,290.285032,214.87176782852515
109,cattle,beef,2012,62.938922,293.093702,214.73993323814238
110,cattle,beef,2013,63.968833,297.59357,214.9536799467811
111,cattle,beef,2014,64.471317,296.58384900000004,217.3797299393737
112,cattle,beef,2015,63.923615000000005,293.89354199999997,217.5060212789569
113,cattle,beef,2016,64.568004,294.463976,219.27301558951984
114,cattle,beef,2017,65.415554,297.730185,219.7142154061403
115,cattle,beef,2018,67.3539,302.128113,222.93158796513583
116,poultry,chicken,1961,7.5559080000000005,6577.869000000001,1.1486862994687184
117,poultry,chicken,1962,7.884450999999999,6853.536,1.1504208922226422
118,poultry,chicken,1963,8.372615,7219.918000000001,1.1596551373575155
119,poultry,chicken,1964,8.677496000000001,7495.146,1.1577487616652167
120,poultry,chicken,1965,9.414814,8120.139,1.1594400046600188
121,poultry,chicken,1966,9.998586999999999,8277.472,1.2079276136482249
122,poultry,chicken,1967,10.565237,9159.074,1.1535267648236054
123,poultry,chicken,1968,11.031842999999999,9474.67,1.1643511594599072
124,poultry,chicken,1969,11.942458,10158.324,1.1756327126403923
125,poultry,chicken,1970,13.140445000000001,11034.188,1.1908846396309363
126,poultry,chicken,1971,13.650413,11390.271,1.1984274123065202
127,poultry,chicken,1972,14.653580999999999,12169.12,1.204161106144076
128,poultry,chicken,1973,15.310782000000001,12704.649,1.2051322315161954
129,poultry,chicken,1974,15.927751999999998,13190.173999999999,1.2075467692844688
130,poultry,chicken,1975,16.391227,13382.8,1.2247980243297367
131,poultry,chicken,1976,17.54968,14286.948999999999,1.2283714318571448
132,poultry,chicken,1977,18.677902,15193.656,1.2293224224636912
133,poultry,chicken,1978,20.032972,16215.309,1.2354357231181967
134,poultry,chicken,1979,21.679775,17452.391,1.2422237732354264
135,poultry,chicken,1980,22.896829,18392.525,1.2448986204993604
136,poultry,chicken,1981,24.3121,19353.538,1.256209588138355
137,poultry,chicken,1982,25.184501,20022.384,1.2578173008768587
138,poultry,chicken,1983,25.740904,20481.154,1.2568092598688534
139,poultry,chicken,1984,26.268734000000002,20861.57,1.2591925727545914
140,poultry,chicken,1985,27.523787,21774.959,1.2640109678277696
141,poultry,chicken,1986,29.292243,22869.302000000003,1.280854264813154
142,poultry,chicken,1987,31.468678999999998,24545.917999999998,1.2820330859086224
143,poultry,chicken,1988,32.913138000000004,25491.08,1.291162947980235
144,poultry,chicken,1989,33.560015,25863.051,1.297604640689917
145,poultry,chicken,1990,35.416215,27184.885,1.3027906868099683
146,poultry,chicken,1991,38.210226,28202.998,1.3548285185851516
147,poultry,chicken,1992,39.87603,29335.752,1.3592980333348876
148,poultry,chicken,1993,42.430003,30831.975,1.3761688312214835
149,poultry,chicken,1994,44.804864,32078.838,1.396710940714249
150,poultry,chicken,1995,47.547146999999995,34087.381,1.394860667060341
151,poultry,chicken,1996,49.146734,34994.325,1.4044201166903494
152,poultry,chicken,1997,52.266358000000004,36368.946,1.4371150046525958
153,poultry,chicken,1998,54.476893999999994,37102.236000000004,1.4682913989334763
154,poultry,chicken,1999,56.86626,38954.106,1.4598271103949862
155,poultry,chicken,2000,58.6764,40554.848,1.4468405848790262
156,poultry,chicken,2001,61.002258999999995,42005.596,1.4522412442380297
157,poultry,chicken,2002,64.16765,43664.254,1.4695693644508387
158,poultry,chicken,2003,65.840525,44363.15900000001,1.484126164234607
159,poultry,chicken,2004,68.23637,45278.33,1.507042552143597
160,poultry,chicken,2005,70.60759200000001,47461.643,1.4876769436742847
161,poultry,chicken,2006,72.716601,48259.122,1.506794943347705
162,poultry,chicken,2007,77.03023,51167.523,1.5054516123440251
163,poultry,chicken,2008,80.839889,53571.315,1.5090144604439892
164,poultry,chicken,2009,83.030541,55394.628,1.4988915712187831
165,poultry,chicken,2010,87.2316,56643.367999999995,1.5400143579032943
166,poultry,chicken,2011,90.90064100000001,58260.235,1.56025187677324
167,poultry,chicken,2012,94.109691,59489.556,1.5819531582989121
168,poultry,chicken,2013,97.634277,60408.983,1.6162211669744548
169,poultry,chicken,2014,100.437665,61827.376,1.6244853250767104
170,poultry,chicken,2015,103.740143,63814.249,1.6256579780481315
171,poultry,chicken,2016,106.638508,65326.782,1.6323857495383747
172,poultry,chicken,2017,110.23768700000001,66708.647,1.6525247019325697
173,poultry,chicken,2018,114.26675,68785.22099999999,1.661210770842766
174,swine,pork,1961,24.748623000000002,376.366821,65.75665446343902
175,swine,pork,1962,26.055878,400.614529,65.03977293344745
176,swine,pork,1963,28.017011,438.317204,63.91948740392129
177,swine,pork,1964,28.678415,453.71572699999996,63.20789272530551
178,swine,pork,1965,31.285284000000004,491.74057300000004,63.621522643810806
179,swine,pork,1966,32.412805,507.144931,63.91231188308969
180,swine,pork,1967,33.864987,525.627737,64.42770161499297
181,swine,pork,1968,34.402875,528.9336030000001,65.04195385748633
182,swine,pork,1969,34.122221,518.408918,65.82105325587784
183,swine,pork,1970,35.796842,537.2225950000001,66.63316534554916
184,swine,pork,1971,39.418389000000005,595.0742769999999,66.24112404710783
185,swine,pork,1972,40.624567,617.789219,65.75797335174927
186,swine,pork,1973,40.471810999999995,614.783238,65.8310254711271
187,swine,pork,1974,42.431732000000004,630.845691,67.26166573752504
188,swine,pork,1975,41.671811,627.303069,66.43010860193958
189,swine,pork,1976,40.752457,621.545118,65.56636971284199
190,swine,pork,1977,42.950133,643.453717,66.74937429882
191,swine,pork,1978,45.643945,664.926432,68.64510538814014
192,swine,pork,1979,50.086459999999995,721.4597809999999,69.42377291021853
193,swine,pork,1980,52.676913,756.014033,69.67716298990973
194,swine,pork,1981,52.99260400000001,748.905037,70.76011160544512
195,swine,pork,1982,53.198527,744.368269,71.4680208916858
196,swine,pork,1983,55.47965500000001,770.247913,72.02830941003796
197,swine,pork,1984,57.489121,790.755032,72.70155569493738
198,swine,pork,1985,59.967763,815.0341179999999,73.57699717792673
199,swine,pork,1986,60.722851,836.06101,72.62968883096222
200,swine,pork,1987,63.42466700000001,855.7316699999999,74.11747072537355
201,swine,pork,1988,66.89743299999999,884.3217460000001,75.64829577310879
202,swine,pork,1989,67.976022,901.139877,75.43337470127292
203,swine,pork,1990,69.701012,917.4426810000001,75.97315172216192
204,swine,pork,1991,71.266032,925.602267,76.99422801867445
205,swine,pork,1992,73.323778,946.2228140000001,77.49102739346972
206,swine,pork,1993,75.750763,966.11185,78.40786033211373
207,swine,pork,1994,79.28979100000001,992.176051,79.91504221462004
208,swine,pork,1995,83.963063,1001.073647,83.87301299122102
209,swine,pork,1996,79.29401700000001,999.774984,79.31186343826343
210,swine,pork,1997,83.202001,997.933665,83.37428019326313
211,swine,pork,1998,88.793964,1055.1478,84.15310537537965
212,swine,pork,1999,90.787504,1088.254196,83.42490599503279
213,swine,pork,2000,89.873292,1100.384024,81.67447912711609
214,swine,pork,2001,90.761759,1101.6579689999999,82.38651337709337
215,swine,pork,2002,93.173505,1133.500519,82.19979032934171
216,swine,pork,2003,95.607978,1173.025584,81.50544992716885
217,swine,pork,2004,96.657436,1185.557429,81.52910490513236
218,swine,pork,2005,98.784115,1200.4870779999999,82.28669580065235
219,swine,pork,2006,100.759753,1231.4790130000001,81.82011381139144
220,swine,pork,2007,99.363744,1265.480763,78.51857326099866
221,swine,pork,2008,103.563936,1299.545256,79.69244281555055
222,swine,pork,2009,106.148192,1319.775446,80.4289792795554
223,swine,pork,2010,108.972569,1383.5397890000002,78.76359600670652
224,swine,pork,2011,109.62388899999999,1387.639934,79.00024085066435
225,swine,pork,2012,113.1266,1427.935389,79.22389267151918
226,swine,pork,2013,115.10416299999999,1452.043214,79.27048030679339
227,swine,pork,2014,117.055107,1468.266226,79.72335324969875
228,swine,pork,2015,119.407109,1485.288483,80.39321005089892
229,swine,pork,2016,118.956327,1481.173814,80.31219960522473
230,swine,pork,2017,119.929879,1486.716445,80.6676211885179
231,swine,pork,2018,120.88126899999999,1484.4928400000001,81.42933784712628
232,cattle,dairy (milk),1961,313.626619,177.33455700000002,1768.5589560527674
233,cattle,dairy (milk),1962,316.043684,176.57224399999998,1789.8831483389883
234,cattle,dairy (milk),1963,312.824366,177.117785,1766.1939821571277
235,cattle,dairy (milk),1964,317.615783,175.927677,1805.3770072800996
236,cattle,dairy (milk),1965,332.513734,176.79488500000002,1880.788202667741
237,cattle,dairy (milk),1966,340.905234,184.186306,1850.8717689359598
238,cattle,dairy (milk),1967,350.206534,183.648552,1906.9387162932817
239,cattle,dairy (milk),1968,357.545909,186.150424,1920.7364738529955
240,cattle,dairy (milk),1969,358.277498,187.197358,1913.9025348851342
241,cattle,dairy (milk),1970,359.280844,184.796281,1944.1995372190418
242,cattle,dairy (milk),1971,361.282986,186.78614299999998,1934.2065754845637
243,cattle,dairy (milk),1972,371.08535,189.67049,1956.4738299563626
244,cattle,dairy (milk),1973,377.50696400000004,188.414803,2003.5950360014974
245,cattle,dairy (milk),1974,384.56154300000003,191.664627,2006.429402333066
246,cattle,dairy (milk),1975,387.727336,194.909493,1989.2686088922305
247,cattle,dairy (milk),1976,394.9271,197.40792199999999,2000.5635842719626
248,cattle,dairy (milk),1977,406.20929,200.676806,2024.1965082900515
249,cattle,dairy (milk),1978,411.685456,203.163678,2026.3733165925457
250,cattle,dairy (milk),1979,417.08790899999997,207.244476,2012.5405369067594
251,cattle,dairy (milk),1980,422.351163,210.261906,2008.6908324706235
252,cattle,dairy (milk),1981,423.98032699999993,212.119923,1998.7765458504336
253,cattle,dairy (milk),1982,434.51645999999994,213.21778799999998,2037.8996709223904
254,cattle,dairy (milk),1983,449.7408,215.65139700000003,2085.4991261661057
255,cattle,dairy (milk),1984,453.18865999999997,216.368694,2094.5204762385815
256,cattle,dairy (milk),1985,458.802203,216.954192,2114.7422816333506
257,cattle,dairy (milk),1986,466.67004299999996,220.53723300000001,2116.060116706007
258,cattle,dairy (milk),1987,465.77603799999997,220.439302,2112.9446236406607
259,cattle,dairy (milk),1988,471.37888499999997,220.261096,2140.091434939559
260,cattle,dairy (milk),1989,476.762441,222.010096,2147.4809010487525
261,cattle,dairy (milk),1990,478.539902,223.05865899999998,2145.3545186066954
262,cattle,dairy (milk),1991,469.03141600000004,222.652927,2106.558500351536
263,cattle,dairy (milk),1992,459.59431399999994,220.916779,2080.3956860153207
264,cattle,dairy (milk),1993,459.252878,219.793864,2089.4708780405263
265,cattle,dairy (milk),1994,460.728095,222.13994300000002,2074.0443559040614
266,cattle,dairy (milk),1995,463.32485499999996,222.148313,2085.65551879748
267,cattle,dairy (milk),1996,467.10857699999997,220.19054599999998,2121.3834357811165
268,cattle,dairy (milk),1997,468.48368099999993,219.50403599999999,2134.282765534206
269,cattle,dairy (milk),1998,474.47448899999995,219.33932799999997,2163.198425591967
270,cattle,dairy (milk),1999,483.14455300000003,220.23547000000002,2193.7635794997054
271,cattle,dairy (milk),2000,489.87452199999996,218.47751200000002,2242.2194280571994
272,cattle,dairy (milk),2001,496.78180999999995,221.051627,2247.35649649844
273,cattle,dairy (milk),2002,509.52876,223.71518199999997,2277.577924952809
274,cattle,dairy (milk),2003,518.514926,230.73676899999998,2247.214123033854
275,cattle,dairy (milk),2004,527.49352,234.325435,2251.1150784804904
276,cattle,dairy (milk),2005,545.067123,237.19739900000002,2297.9473016902684
277,cattle,dairy (milk),2006,561.330913,241.944248,2320.083728545595
278,cattle,dairy (milk),2007,573.6928330000001,249.145515,2302.641622908605
279,cattle,dairy (milk),2008,586.205826,251.369977,2332.0439178780684
280,cattle,dairy (milk),2009,590.471016,259.237486,2277.7223506942973
281,cattle,dairy (milk),2010,601.868328,261.37358,2302.7129520894955
282,cattle,dairy (milk),2011,616.177381,263.991735,2334.0783036256794
283,cattle,dairy (milk),2012,630.244839,268.21304100000003,2349.7919290210793
284,cattle,dairy (milk),2013,635.379383,269.64504300000004,2356.354768961949
285,cattle,dairy (milk),2014,655.24558,272.951126,2400.596728075048
286,cattle,dairy (milk),2015,661.430554,275.544683,2400.447531045264
287,cattle,dairy (milk),2016,665.596536,276.573845,2406.5780189735583
288,cattle,dairy (milk),2017,677.6706849999999,275.384484,2460.816510635363
289,cattle,dairy (milk),2018,683.217055,265.099487,2577.21002304316
