Region,year,Units,Reported value,Value
EEA-38+UK,1981,km2,Area,262887.0
EEA-38+UK,1982,km2,Area,271710.0
EEA-38+UK,1983,km2,Area,285762.0
EEA-38+UK,1984,km2,Area,292439.0
EEA-38+UK,1985,km2,Area,305926.0
EEA-38+UK,1986,km2,Area,333374.0
EEA-38+UK,1987,km2,Area,349783.0
EEA-38+UK,1988,km2,Area,379627.0
EEA-38+UK,1989,km2,Area,414841.0
EEA-38+UK,1990,km2,Area,447954.0
EEA-38+UK,1991,km2,Area,486072.0
EEA-38+UK,1992,km2,Area,541210.0
EEA-38+UK,1993,km2,Area,554440.0
EEA-38+UK,1994,km2,Area,569547.0
EEA-38+UK,1995,km2,Area,597499.0
EEA-38+UK,1996,km2,Area,613387.0
EEA-38+UK,1997,km2,Area,644548.0
EEA-38+UK,1998,km2,Area,679864.0
EEA-38+UK,1999,km2,Area,719621.0
EEA-38+UK,2000,km2,Area,746055.0
EEA-38+UK,2001,km2,Area,765322.0
EEA-38+UK,2002,km2,Area,795780.0
EEA-38+UK,2003,km2,Area,823140.0
EEA-38+UK,2004,km2,Area,865694.0
EEA-38+UK,2005,km2,Area,895761.0
EEA-38+UK,2006,km2,Area,924131.0
EEA-38+UK,2007,km2,Area,941593.0
EEA-38+UK,2008,km2,Area,956577.0
EEA-38+UK,2009,km2,Area,998307.0
EEA-38+UK,2010,km2,Area,1017511.0
EEA-38+UK,2011,km2,Area,1153926.0
EEA-38+UK,2012,km2,Area,1164812.0
EEA-38+UK,2013,km2,Area,1181387.0
EEA-38+UK,2014,km2,Area,1263094.0
EEA-38+UK,2015,km2,Area,1295673.0
EEA-38+UK,2016,km2,Area,1477174.0
EEA-38+UK,2017,km2,Area,1520369.0
EEA-38+UK,2018,km2,Area,1747949.0
EEA-38+UK,2019,km2,Area,1773789.0
EEA-38+UK,2020,km2,Area,1775402.0
EU-27_2020 + UK,1800,km2,Area,193.4
EU-27_2020 + UK,1838,km2,Area,194.5
EU-27_2020 + UK,1858,km2,Area,201.4
EU-27_2020 + UK,1899,km2,Area,3066.3
EU-27_2020 + UK,1900,km2,Area,3132.0
EU-27_2020 + UK,1905,km2,Area,3132.6
EU-27_2020 + UK,1909,km2,Area,3412.3
EU-27_2020 + UK,1911,km2,Area,3412.3
EU-27_2020 + UK,1912,km2,Area,3420.5
EU-27_2020 + UK,1913,km2,Area,3420.5
EU-27_2020 + UK,1914,km2,Area,3420.5
EU-27_2020 + UK,1915,km2,Area,3420.5
EU-27_2020 + UK,1916,km2,Area,3420.6
EU-27_2020 + UK,1917,km2,Area,3420.6
EU-27_2020 + UK,1918,km2,Area,4238.9
EU-27_2020 + UK,1919,km2,Area,4238.9
EU-27_2020 + UK,1920,km2,Area,4292.7
EU-27_2020 + UK,1921,km2,Area,4456.3
EU-27_2020 + UK,1922,km2,Area,5166.9
EU-27_2020 + UK,1923,km2,Area,5668.4
EU-27_2020 + UK,1924,km2,Area,5668.7
EU-27_2020 + UK,1925,km2,Area,5677.7
EU-27_2020 + UK,1926,km2,Area,5700.8
EU-27_2020 + UK,1927,km2,Area,5709.5
EU-27_2020 + UK,1928,km2,Area,5710.3
EU-27_2020 + UK,1929,km2,Area,5767.0
EU-27_2020 + UK,1930,km2,Area,5812.3
EU-27_2020 + UK,1931,km2,Area,5865.1
EU-27_2020 + UK,1932,km2,Area,6103.1
EU-27_2020 + UK,1933,km2,Area,6214.1
EU-27_2020 + UK,1934,km2,Area,6632.0
EU-27_2020 + UK,1935,km2,Area,7963.8
EU-27_2020 + UK,1936,km2,Area,7992.2
EU-27_2020 + UK,1937,km2,Area,8027.1
EU-27_2020 + UK,1938,km2,Area,8353.2
EU-27_2020 + UK,1939,km2,Area,9695.7
EU-27_2020 + UK,1940,km2,Area,9931.9
EU-27_2020 + UK,1941,km2,Area,10275.2
EU-27_2020 + UK,1942,km2,Area,10379.9
EU-27_2020 + UK,1943,km2,Area,10459.1
EU-27_2020 + UK,1944,km2,Area,10469.6
EU-27_2020 + UK,1945,km2,Area,10475.4
EU-27_2020 + UK,1946,km2,Area,10494.8
EU-27_2020 + UK,1947,km2,Area,10582.1
EU-27_2020 + UK,1948,km2,Area,10671.8
EU-27_2020 + UK,1949,km2,Area,11157.8
EU-27_2020 + UK,1950,km2,Area,11300.4
EU-27_2020 + UK,1951,km2,Area,20346.3
EU-27_2020 + UK,1952,km2,Area,22199.1
EU-27_2020 + UK,1953,km2,Area,22656.6
EU-27_2020 + UK,1954,km2,Area,27435.8
EU-27_2020 + UK,1955,km2,Area,32318.8
EU-27_2020 + UK,1956,km2,Area,39083.3
EU-27_2020 + UK,1957,km2,Area,40471.6
EU-27_2020 + UK,1958,km2,Area,42013.2
EU-27_2020 + UK,1959,km2,Area,45672.3
EU-27_2020 + UK,1960,km2,Area,47233.2
EU-27_2020 + UK,1961,km2,Area,48061.2
EU-27_2020 + UK,1962,km2,Area,49972.9
EU-27_2020 + UK,1963,km2,Area,55308.7
EU-27_2020 + UK,1964,km2,Area,57672.1
EU-27_2020 + UK,1965,km2,Area,59801.6
EU-27_2020 + UK,1966,km2,Area,62579.3
EU-27_2020 + UK,1967,km2,Area,67788.2
EU-27_2020 + UK,1968,km2,Area,71516.6
EU-27_2020 + UK,1969,km2,Area,75057.3
EU-27_2020 + UK,1970,km2,Area,92513.7
EU-27_2020 + UK,1971,km2,Area,96850.7
EU-27_2020 + UK,1972,km2,Area,105571.9
EU-27_2020 + UK,1973,km2,Area,116649.5
EU-27_2020 + UK,1974,km2,Area,125665.6
EU-27_2020 + UK,1975,km2,Area,134436.2
EU-27_2020 + UK,1976,km2,Area,142256.9
EU-27_2020 + UK,1977,km2,Area,154038.0
EU-27_2020 + UK,1978,km2,Area,157285.1
EU-27_2020 + UK,1979,km2,Area,166003.3
EU-27_2020 + UK,1980,km2,Area,185535.3
EU-27_2020 + UK,1981,km2,Area,199219.8
EU-27_2020 + UK,1982,km2,Area,207481.2
EU-27_2020 + UK,1983,km2,Area,220512.9
EU-27_2020 + UK,1984,km2,Area,226388.1
EU-27_2020 + UK,1985,km2,Area,238968.5
EU-27_2020 + UK,1986,km2,Area,265175.4
EU-27_2020 + UK,1987,km2,Area,280081.7
EU-27_2020 + UK,1988,km2,Area,306331.1
EU-27_2020 + UK,1989,km2,Area,337887.1
EU-27_2020 + UK,1990,km2,Area,359743.1
EU-27_2020 + UK,1991,km2,Area,395544.7
EU-27_2020 + UK,1992,km2,Area,444522.9
EU-27_2020 + UK,1993,km2,Area,455723.1
EU-27_2020 + UK,1994,km2,Area,467526.2
EU-27_2020 + UK,1995,km2,Area,493324.5
EU-27_2020 + UK,1996,km2,Area,507694.9
EU-27_2020 + UK,1997,km2,Area,533748.2
EU-27_2020 + UK,1998,km2,Area,566522.9
EU-27_2020 + UK,1999,km2,Area,604926.2
EU-27_2020 + UK,2000,km2,Area,627767.2
EU-27_2020 + UK,2001,km2,Area,642878.0
EU-27_2020 + UK,2002,km2,Area,666389.5
EU-27_2020 + UK,2003,km2,Area,685989.8
EU-27_2020 + UK,2004,km2,Area,710923.4
EU-27_2020 + UK,2005,km2,Area,728561.7
EU-27_2020 + UK,2006,km2,Area,746752.4
EU-27_2020 + UK,2007,km2,Area,763002.6
EU-27_2020 + UK,2008,km2,Area,775172.8
EU-27_2020 + UK,2009,km2,Area,811044.6
EU-27_2020 + UK,2010,km2,Area,826406.4
EU-27_2020 + UK,2011,km2,Area,953398.7
EU-27_2020 + UK,2012,km2,Area,962473.8
EU-27_2020 + UK,2013,km2,Area,977656.4
EU-27_2020 + UK,2014,km2,Area,1056820.8
EU-27_2020 + UK,2015,km2,Area,1084039.1
EU-27_2020 + UK,2016,km2,Area,1261620.3
EU-27_2020 + UK,2017,km2,Area,1293905.2
EU-27_2020 + UK,2018,km2,Area,1366999.2
EU-27_2020 + UK,2019,km2,Area,1390338.4
EU-27_2020 + UK,2020,km2,Area,1391951.6
EEA-38+UK,1800,N/A,Number of sites,15.0
EEA-38+UK,1838,N/A,Number of sites,17.0
EEA-38+UK,1858,N/A,Number of sites,18.0
EEA-38+UK,1899,N/A,Number of sites,22.0
EEA-38+UK,1900,N/A,Number of sites,71.0
EEA-38+UK,1905,N/A,Number of sites,72.0
EEA-38+UK,1909,N/A,Number of sites,77.0
EEA-38+UK,1911,N/A,Number of sites,79.0
EEA-38+UK,1912,N/A,Number of sites,80.0
EEA-38+UK,1913,N/A,Number of sites,84.0
EEA-38+UK,1914,N/A,Number of sites,91.0
EEA-38+UK,1915,N/A,Number of sites,95.0
EEA-38+UK,1916,N/A,Number of sites,100.0
EEA-38+UK,1917,N/A,Number of sites,115.0
EEA-38+UK,1918,N/A,Number of sites,126.0
EEA-38+UK,1919,N/A,Number of sites,136.0
EEA-38+UK,1920,N/A,Number of sites,167.0
EEA-38+UK,1921,N/A,Number of sites,224.0
EEA-38+UK,1922,N/A,Number of sites,243.0
EEA-38+UK,1923,N/A,Number of sites,275.0
EEA-38+UK,1924,N/A,Number of sites,293.0
EEA-38+UK,1925,N/A,Number of sites,314.0
EEA-38+UK,1926,N/A,Number of sites,333.0
EEA-38+UK,1927,N/A,Number of sites,344.0
EEA-38+UK,1928,N/A,Number of sites,366.0
EEA-38+UK,1929,N/A,Number of sites,392.0
EEA-38+UK,1930,N/A,Number of sites,425.0
EEA-38+UK,1931,N/A,Number of sites,461.0
EEA-38+UK,1932,N/A,Number of sites,482.0
EEA-38+UK,1933,N/A,Number of sites,582.0
EEA-38+UK,1934,N/A,Number of sites,613.0
EEA-38+UK,1935,N/A,Number of sites,660.0
EEA-38+UK,1936,N/A,Number of sites,711.0
EEA-38+UK,1937,N/A,Number of sites,842.0
EEA-38+UK,1938,N/A,Number of sites,1019.0
EEA-38+UK,1939,N/A,Number of sites,1189.0
EEA-38+UK,1940,N/A,Number of sites,1298.0
EEA-38+UK,1941,N/A,Number of sites,1383.0
EEA-38+UK,1942,N/A,Number of sites,1434.0
EEA-38+UK,1943,N/A,Number of sites,1462.0
EEA-38+UK,1944,N/A,Number of sites,1494.0
EEA-38+UK,1945,N/A,Number of sites,1535.0
EEA-38+UK,1946,N/A,Number of sites,1624.0
EEA-38+UK,1947,N/A,Number of sites,1697.0
EEA-38+UK,1948,N/A,Number of sites,1806.0
EEA-38+UK,1949,N/A,Number of sites,1898.0
EEA-38+UK,1950,N/A,Number of sites,2001.0
EEA-38+UK,1951,N/A,Number of sites,2129.0
EEA-38+UK,1952,N/A,Number of sites,2268.0
EEA-38+UK,1953,N/A,Number of sites,2460.0
EEA-38+UK,1954,N/A,Number of sites,2726.0
EEA-38+UK,1955,N/A,Number of sites,3005.0
EEA-38+UK,1956,N/A,Number of sites,3239.0
EEA-38+UK,1957,N/A,Number of sites,3491.0
EEA-38+UK,1958,N/A,Number of sites,3739.0
EEA-38+UK,1959,N/A,Number of sites,3963.0
EEA-38+UK,1960,N/A,Number of sites,4208.0
EEA-38+UK,1961,N/A,Number of sites,4659.0
EEA-38+UK,1962,N/A,Number of sites,4924.0
EEA-38+UK,1963,N/A,Number of sites,5202.0
EEA-38+UK,1964,N/A,Number of sites,5502.0
EEA-38+UK,1965,N/A,Number of sites,5772.0
EEA-38+UK,1966,N/A,Number of sites,6008.0
EEA-38+UK,1967,N/A,Number of sites,6347.0
EEA-38+UK,1968,N/A,Number of sites,6823.0
EEA-38+UK,1969,N/A,Number of sites,7145.0
EEA-38+UK,1970,N/A,Number of sites,7559.0
EEA-38+UK,1971,N/A,Number of sites,8053.0
EEA-38+UK,1972,N/A,Number of sites,8518.0
EEA-38+UK,1973,N/A,Number of sites,8999.0
EEA-38+UK,1974,N/A,Number of sites,9608.0
EEA-38+UK,1975,N/A,Number of sites,9953.0
EEA-38+UK,1976,N/A,Number of sites,10522.0
EEA-38+UK,1977,N/A,Number of sites,11213.0
EEA-38+UK,1978,N/A,Number of sites,11778.0
EEA-38+UK,1979,N/A,Number of sites,12366.0
EEA-38+UK,1980,N/A,Number of sites,12996.0
EEA-38+UK,1981,N/A,Number of sites,13820.0
EEA-38+UK,1982,N/A,Number of sites,14678.0
EEA-38+UK,1983,N/A,Number of sites,15780.0
EEA-38+UK,1984,N/A,Number of sites,17285.0
EEA-38+UK,1985,N/A,Number of sites,18786.0
EEA-38+UK,1986,N/A,Number of sites,20452.0
EEA-38+UK,1987,N/A,Number of sites,22034.0
EEA-38+UK,1988,N/A,Number of sites,23539.0
EEA-38+UK,1989,N/A,Number of sites,24905.0
EEA-38+UK,1990,N/A,Number of sites,26773.0
EEA-38+UK,1991,N/A,Number of sites,28491.0
EEA-38+UK,1992,N/A,Number of sites,31246.0
EEA-38+UK,1993,N/A,Number of sites,32675.0
EEA-38+UK,1994,N/A,Number of sites,35077.0
EEA-38+UK,1995,N/A,Number of sites,37115.0
EEA-38+UK,1996,N/A,Number of sites,39350.0
EEA-38+UK,1997,N/A,Number of sites,40876.0
EEA-38+UK,1998,N/A,Number of sites,42848.0
EEA-38+UK,1999,N/A,Number of sites,44618.0
EEA-38+UK,2000,N/A,Number of sites,46669.0
EEA-38+UK,2001,N/A,Number of sites,50434.0
EEA-38+UK,2002,N/A,Number of sites,53527.0
EEA-38+UK,2003,N/A,Number of sites,61763.0
EEA-38+UK,2004,N/A,Number of sites,65801.0
EEA-38+UK,2005,N/A,Number of sites,69711.0
EEA-38+UK,2006,N/A,Number of sites,74191.0
EEA-38+UK,2007,N/A,Number of sites,77062.0
EEA-38+UK,2008,N/A,Number of sites,79906.0
EEA-38+UK,2009,N/A,Number of sites,83393.0
EEA-38+UK,2010,N/A,Number of sites,88588.0
EEA-38+UK,2011,N/A,Number of sites,92290.0
EEA-38+UK,2012,N/A,Number of sites,94266.0
EEA-38+UK,2013,N/A,Number of sites,96362.0
EEA-38+UK,2014,N/A,Number of sites,99023.0
EEA-38+UK,2015,N/A,Number of sites,100981.0
EEA-38+UK,2016,N/A,Number of sites,102883.0
EEA-38+UK,2017,N/A,Number of sites,105980.0
EEA-38+UK,2018,N/A,Number of sites,114201.0
EEA-38+UK,2019,N/A,Number of sites,116961.0
EEA-38+UK,2020,N/A,Number of sites,116994.0
EU-27_2020 + UK,1800,N/A,Number of sites,15.0
EU-27_2020 + UK,1838,N/A,Number of sites,17.0
EU-27_2020 + UK,1858,N/A,Number of sites,18.0
EU-27_2020 + UK,1899,N/A,Number of sites,22.0
EU-27_2020 + UK,1900,N/A,Number of sites,26.0
EU-27_2020 + UK,1905,N/A,Number of sites,27.0
EU-27_2020 + UK,1909,N/A,Number of sites,32.0
EU-27_2020 + UK,1911,N/A,Number of sites,34.0
EU-27_2020 + UK,1912,N/A,Number of sites,35.0
EU-27_2020 + UK,1913,N/A,Number of sites,39.0
EU-27_2020 + UK,1914,N/A,Number of sites,43.0
EU-27_2020 + UK,1915,N/A,Number of sites,46.0
EU-27_2020 + UK,1916,N/A,Number of sites,50.0
EU-27_2020 + UK,1917,N/A,Number of sites,60.0
EU-27_2020 + UK,1918,N/A,Number of sites,69.0
EU-27_2020 + UK,1919,N/A,Number of sites,78.0
EU-27_2020 + UK,1920,N/A,Number of sites,106.0
EU-27_2020 + UK,1921,N/A,Number of sites,158.0
EU-27_2020 + UK,1922,N/A,Number of sites,176.0
EU-27_2020 + UK,1923,N/A,Number of sites,205.0
EU-27_2020 + UK,1924,N/A,Number of sites,219.0
EU-27_2020 + UK,1925,N/A,Number of sites,238.0
EU-27_2020 + UK,1926,N/A,Number of sites,257.0
EU-27_2020 + UK,1927,N/A,Number of sites,268.0
EU-27_2020 + UK,1928,N/A,Number of sites,288.0
EU-27_2020 + UK,1929,N/A,Number of sites,312.0
EU-27_2020 + UK,1930,N/A,Number of sites,335.0
EU-27_2020 + UK,1931,N/A,Number of sites,362.0
EU-27_2020 + UK,1932,N/A,Number of sites,380.0
EU-27_2020 + UK,1933,N/A,Number of sites,473.0
EU-27_2020 + UK,1934,N/A,Number of sites,501.0
EU-27_2020 + UK,1935,N/A,Number of sites,544.0
EU-27_2020 + UK,1936,N/A,Number of sites,588.0
EU-27_2020 + UK,1937,N/A,Number of sites,718.0
EU-27_2020 + UK,1938,N/A,Number of sites,894.0
EU-27_2020 + UK,1939,N/A,Number of sites,1062.0
EU-27_2020 + UK,1940,N/A,Number of sites,1171.0
EU-27_2020 + UK,1941,N/A,Number of sites,1256.0
EU-27_2020 + UK,1942,N/A,Number of sites,1306.0
EU-27_2020 + UK,1943,N/A,Number of sites,1334.0
EU-27_2020 + UK,1944,N/A,Number of sites,1365.0
EU-27_2020 + UK,1945,N/A,Number of sites,1406.0
EU-27_2020 + UK,1946,N/A,Number of sites,1494.0
EU-27_2020 + UK,1947,N/A,Number of sites,1560.0
EU-27_2020 + UK,1948,N/A,Number of sites,1666.0
EU-27_2020 + UK,1949,N/A,Number of sites,1748.0
EU-27_2020 + UK,1950,N/A,Number of sites,1842.0
EU-27_2020 + UK,1951,N/A,Number of sites,1956.0
EU-27_2020 + UK,1952,N/A,Number of sites,2085.0
EU-27_2020 + UK,1953,N/A,Number of sites,2272.0
EU-27_2020 + UK,1954,N/A,Number of sites,2525.0
EU-27_2020 + UK,1955,N/A,Number of sites,2790.0
EU-27_2020 + UK,1956,N/A,Number of sites,3014.0
EU-27_2020 + UK,1957,N/A,Number of sites,3252.0
EU-27_2020 + UK,1958,N/A,Number of sites,3485.0
EU-27_2020 + UK,1959,N/A,Number of sites,3688.0
EU-27_2020 + UK,1960,N/A,Number of sites,3917.0
EU-27_2020 + UK,1961,N/A,Number of sites,4330.0
EU-27_2020 + UK,1962,N/A,Number of sites,4587.0
EU-27_2020 + UK,1963,N/A,Number of sites,4845.0
EU-27_2020 + UK,1964,N/A,Number of sites,5120.0
EU-27_2020 + UK,1965,N/A,Number of sites,5364.0
EU-27_2020 + UK,1966,N/A,Number of sites,5587.0
EU-27_2020 + UK,1967,N/A,Number of sites,5895.0
EU-27_2020 + UK,1968,N/A,Number of sites,6301.0
EU-27_2020 + UK,1969,N/A,Number of sites,6557.0
EU-27_2020 + UK,1970,N/A,Number of sites,6923.0
EU-27_2020 + UK,1971,N/A,Number of sites,7368.0
EU-27_2020 + UK,1972,N/A,Number of sites,7798.0
EU-27_2020 + UK,1973,N/A,Number of sites,8244.0
EU-27_2020 + UK,1974,N/A,Number of sites,8806.0
EU-27_2020 + UK,1975,N/A,Number of sites,9120.0
EU-27_2020 + UK,1976,N/A,Number of sites,9620.0
EU-27_2020 + UK,1977,N/A,Number of sites,10269.0
EU-27_2020 + UK,1978,N/A,Number of sites,10730.0
EU-27_2020 + UK,1979,N/A,Number of sites,11261.0
EU-27_2020 + UK,1980,N/A,Number of sites,11764.0
EU-27_2020 + UK,1981,N/A,Number of sites,12468.0
EU-27_2020 + UK,1982,N/A,Number of sites,13210.0
EU-27_2020 + UK,1983,N/A,Number of sites,14120.0
EU-27_2020 + UK,1984,N/A,Number of sites,15445.0
EU-27_2020 + UK,1985,N/A,Number of sites,16827.0
EU-27_2020 + UK,1986,N/A,Number of sites,18381.0
EU-27_2020 + UK,1987,N/A,Number of sites,19753.0
EU-27_2020 + UK,1988,N/A,Number of sites,20987.0
EU-27_2020 + UK,1989,N/A,Number of sites,22219.0
EU-27_2020 + UK,1990,N/A,Number of sites,23722.0
EU-27_2020 + UK,1991,N/A,Number of sites,24768.0
EU-27_2020 + UK,1992,N/A,Number of sites,26518.0
EU-27_2020 + UK,1993,N/A,Number of sites,27700.0
EU-27_2020 + UK,1994,N/A,Number of sites,29273.0
EU-27_2020 + UK,1995,N/A,Number of sites,30782.0
EU-27_2020 + UK,1996,N/A,Number of sites,32335.0
EU-27_2020 + UK,1997,N/A,Number of sites,33701.0
EU-27_2020 + UK,1998,N/A,Number of sites,35411.0
EU-27_2020 + UK,1999,N/A,Number of sites,37007.0
EU-27_2020 + UK,2000,N/A,Number of sites,38907.0
EU-27_2020 + UK,2001,N/A,Number of sites,41800.0
EU-27_2020 + UK,2002,N/A,Number of sites,43867.0
EU-27_2020 + UK,2003,N/A,Number of sites,51763.0
EU-27_2020 + UK,2004,N/A,Number of sites,54910.0
EU-27_2020 + UK,2005,N/A,Number of sites,58618.0
EU-27_2020 + UK,2006,N/A,Number of sites,62925.0
EU-27_2020 + UK,2007,N/A,Number of sites,65516.0
EU-27_2020 + UK,2008,N/A,Number of sites,68157.0
EU-27_2020 + UK,2009,N/A,Number of sites,71368.0
EU-27_2020 + UK,2010,N/A,Number of sites,73347.0
EU-27_2020 + UK,2011,N/A,Number of sites,76316.0
EU-27_2020 + UK,2012,N/A,Number of sites,78201.0
EU-27_2020 + UK,2013,N/A,Number of sites,80076.0
EU-27_2020 + UK,2014,N/A,Number of sites,82574.0
EU-27_2020 + UK,2015,N/A,Number of sites,84221.0
EU-27_2020 + UK,2016,N/A,Number of sites,85918.0
EU-27_2020 + UK,2017,N/A,Number of sites,87776.0
EU-27_2020 + UK,2018,N/A,Number of sites,92106.0
EU-27_2020 + UK,2019,N/A,Number of sites,94644.0
EU-27_2020 + UK,2020,N/A,Number of sites,94677.0
