,dam_name,height_m,reservoir_capacity_million_m^3,reservoir_area_km^2
342,Daboite,,,
343,Boloubre,,,
344,Koni,19.0,28.0,
346,N'Zilo I and II,73.0,1.733,
347,N'Seke,70.0,0.7,
349,Ruzizi I,15.0,1.46,
350,Zongo I and II,,,
351,Soleniama I,,,
352,Ruzizi I and II,,,
353,Piana Mwanga,,,
354,M'Sha,,,
355,Mobayi,,,
356,Budana,,,
357,Zongo,17.0,0.975,
362,Inga I,,20.0,
363,Katobo,42.0,,
364,Inga II,40.0,,
365,Mobaye,31.0,,
366,Tshopo,,,
367,Ruzizi III,,,
368,Mwadingusha,,,
369,Katende,,,
370,Inga-3,,,
371,Grand Inga,,,
372,Busanga,,,
373,Solen II,,,
375,Damietta Barrage Hpp,,,
379,Old Aswan dam,53.0,5000.0,450.0
388,High Aswan dam,111.0,162000.0,6500.0
389,New Esna,22.5,,
390,Naga Hamadi,,,
395,Tis Abay,,,
396,"Awash I,II,III,IV",,,
397,Melka Wakena,40.0,750.0,
398,Koka,42.0,1900.0,236.0
400,Finchaa,25.0,650.0,345.0
407,Gilgel Gibe I,40.0,917.0,
408,Tekeze,185.0,9000.0,
410,Beles,,,
414,Chemoga and Yeda,,,
417,Neshe,,,
418,Karadobi,,,
419,Halelie and Werabessa,,,
420,Gojeb,,,
421,Geba (1 and 2),,,
422,Baro 2 + Genji,30.0,,
423,Baro 1,80.0,,
424,Aleltu East and West,,,
429,Mandaya,,,
430,Genale Iv,,,
431,Genale III,110.0,,
432,Border,,,
436,Tchimbele,36.0,220.0,38.0
437,Kinguélé,,,
439,Kpong,,,
454,Akosombo (main),134.0,147960.0,8482.25
458,Kpong,20.0,200.0,25.2
459,Pwalugu,,,
460,Juale,,,
461,Hemang,,,
462,Bui Dam,,,
463,Tanoso,,,
464,Sedukrom,,,
465,Kojokrom,,,
466,Jomuro,,,
467,Awisam,,,
468,Asouso,,,
469,Abatumesu,,,
470,Kale,20.0,14.0,
471,Banieya,30.0,223.0,28.0
473,Grandes Chutes,,,
474,Donkea,,,
475,Tiopo,,,
476,Téné,,,
477,Souapiti II,,,
478,Sambangalou,,,
479,Morisanako,,,
480,Koukoutamba,,,
481,Kassa,,,
482,Kaléta II,,,
483,Kaléta I,,,
484,Gozoguezia,,,
485,Garafir,,,
486,Fomi,,,
487,Fello Sounga,,,
488,Diaoya,,,
489,Bouréa,,,
490,Amaria II,,,
491,Amaria I,,,
493,Owen Falls,30.0,20000.0,6640.0
495,Tana,,,
496,Gitaru,,20.0,3.125
497,Kindaruma,24.0,16.0,0.25
498,Kamburu,56.0,150.0,15.0
499,Gitaru,30.0,20.0,
500,Masinga,70.0,1560.0,120.0
507,Kiambere,112.0,585.0,25.0
509,Turkwel,155.0,1645.0,66.1
514,Sondu Miriu,18.0,,
518,Mutonga,,5400.0,
519,Munyu,,,
520,Magwagwa,,,
521,Ewaso Ngiro,,,
527,Low Grand Falls,,0.0,
528,Muela,55.0,6.0,
534,Oxbow,,,
535,Mount Coffee,19.0,238.6,
536,Mount Cofee,,,
537,Via Storage,,,
538,Sp-B1,,,
539,Sp2,,,
540,Manu River,,,
541,Mano 2,,,
542,Mano 1,,,
562,Mantasoa,20.0,125.0,20.0
566,Tsiazompaniry,27.0,260.0,31.0
568,Mandraka,25.0,0.36,
574,Andekaleka,10.0,,
575,Andekaleka 3,,,
578,Andekaleka 4,,,
581,Antelomita 1,,,
582,Antelomita 2,,,
583,Manandona,,,
586,Mudi,17.0,1.4,
587,Nankhuna,15.0,0.2,
588,Tedzani Falls,,,
589,Nkula-A and B,,,
590,Kapichira I,,,
597,Mpatamanga,,,
598,Kholombizo,,,
599,Kapichira II,,,
600,Fufu,,,
601,Songwe,,,
602,Sotuba,,,
604,Selingue,23.0,2170.0,430.0
605,Manantali,70.0,11270.0,477.0
609,Tossaye,,,
610,Labeanga,,,
611,Kenie,,,
612,Gouina,,,
613,Gaoulgo,,,
614,Feloue,,,
615,Baoule 3,,,
619,Mare Longue,15.0,6.2,
620,Tamarine,12.0,2.3,
622,Mare aux Vacoas,13.0,25.89,
624,Eau Bleau,18.0,6.2,
625,Valetta,,2.0,
626,Champagne/Diamamouve,36.0,4.4,0.41
628,Sidi Said Maachou,29.0,2.0,0.08
631,Lalla Takerkoust,71.0,96.0,0.6
632,El Kansera,68.0,297.0,1.8
633,Al Thelat,36.0,30.0,0.2
635,Imfout,50.0,83.0,0.875
637,Daourat,40.0,9.5,0.26
638,Bin El Ouidane,133.0,1484.0,15.0
639,Ait Ouarda,43.0,4.0,0.047
640,Mechra Homadi,57.0,42.0,0.285
644,Mohammed V,64.0,725.0,20.0
645,Moulay Youssef,100.0,197.0,0.495
649,Mansour Eddahbi,70.0,592.0,4.76
650,Idriss 1°,72.0,1217.0,42.0
653,Oued El Makhazine,67.0,807.0,4.1
654,Al Massira,82.0,2760.0,14.1
658,Abdelmoumen,94.0,216.0,0.75
671,Hassan 1°,145.0,273.0,6.7
695,Allal Al Fassi,61.0,81.5,2.5
718,Al Wahda,88.0,3730.0,123.0
748,Sidi Said,124.0,400.0,1.27
750,Tanafit El Borj,,,
763,Tiouine,18.0,0.2,
780,Mavuzi,8.0,1.2,
783,Chicamba Real,75.0,1536.0,120.0
784,Tacuraminga,68.0,310.0,
785,Pavua,100.0,636.0,
787,Mutala,42.0,220.0,
788,Monte Hombe,60.0,1246.0,
791,Luo,63.0,650.0,
792,Luenha 7,45.0,650.0,
794,Chibandulire,44.0,227.0,
795,Bué Maria,53.0,402.0,
796,Aproveitamento 3,21.0,75.0,
800,Cahora Bassa,171.0,52000.0,2047.5
801,Massingir,48.0,2256.0,150.7
804,Corumana,46.0,1273.0,68.0
805,Lurio Quedas,45.0,837.0,
806,Lurio o Cua,40.0,2500.0,
807,Mphanda Nkuwa,103.0,,97.0
812,Mepanda Uncua Ph I,,,
813,Mazingir,,2256.0,
814,Lupata,,,
815,Boroma,,,
821,Ruacana,,,
838,Popa Falls,,,
839,Baynes,,,
868,Kandadji Dam,,1600.0,
869,Gambou,,,
870,Dyondyonga,,,
871,Kurra,19.0,17.0,4.8
872,Ouree,21.0,6.7,0.1
873,Tenti,14.0,14.15,
875,Shiroro,,7.0,1.927
906,Ankwil,26.0,31.0,
908,Kainji,79.0,15000.0,1.25
940,Jabi,15.0,6.0,
941,Ikere Gorge,48.0,265.0,80.0
943,Oyan,30.0,270.0,40.0
947,Shiroro,125.0,7.0,312.0
948,Jebba,40.0,3600.0,360.0
953,Dadin Kowa,42.0,2855.0,300.0
964,Zungeru,90.0,,
965,Onitsha,,,
966,Mambilla,,,
967,Makurdi,,,
968,Lokoja,,,
969,Ikom,,,
979,Katsina Ali,,,
980,Guara,53.0,880.0,
981,Mukungwa,,,
982,Ruzizi 111,,,
983,Rusumo Falls,,,
984,Nyabarongo,,,
985,PanzI,,,
986,Ntaruka,,,
988,Sambangalou,,,
989,Kaleta,,,
990,Gouina,,,
991,Felou,,,
992,Guma,69.0,220.0,
993,Manu River,,,
994,Kuse II,,,
995,Kambatibo,,,
996,Bumbuna Ph II-III,,,
997,Bumbuna Ph I,,,
998,Bitmai I - II,,,
999,Benkongor I-III,,,
1345,Vygeboom,45.0,83.89,
1355,Hendrik Verwoerd (Gariep),73.0,5342.932,
1390,Van Der Kloof,108.0,3187.557,133.43
1409,P K Le Roux,,3237.0,65.55
1433,Driekloof,47.0,36.55,
1462,Kilburn,51.0,2.1,
1518,Kogelberg,52.0,19.3,
1540,Steelport Pumped Stor.,71.0,347.444,16.92
1541,Gariep,,,
1548,Palmiet Pump Stor.,,,
1549,Drakensberg P.Stor,,,
1550,Collywobbles,,,
1551,Bramhoek Pumped Stor.,,,
1552,Shukoli,,,
1553,Lakki,,,
1554,Fula II,,,
1555,Bedden,,,
1556,Sennar,48.0,930.0,152.0
1557,Jebel Aulia Dam,22.0,3500.0,122.0
1558,Khashm El Gibra,35.0,1300.0,315.0
1559,Roseires,60.0,3000.0,2330.0
1560,Merowe,,12500.0,
1561,Shirri,,,
1562,Shereiq,,,
1563,Sabaloka,,,
1564,Morgat,,,
1565,Kajbar,,,
1566,Dal I,,,
1567,Dagash,,,
1568,Kashm Algirba,,1300.0,
1574,Luphphlo,45.0,24.0,1.2
1580,Kprime,16.0,0.9,
1581,Nangbeto,44.0,1710.0,180.0
1582,Tihalea,,,
1583,Téttétou,,,
1585,Nebeur,72.0,200.0,13.0
1586,Ben Metir,78.0,73.0,3.5
1587,El Aroussia,26.0,5.0,0.07
1614,Kasseb,57.0,81.0,4.3
1617,Sidi Salem,70.0,555.0,45.0
1665,Owen Falls,30.0,80000.0,26560.0
1666,Narubale,,,
1667,Mubuku-3,,,
1668,KIIra,,,
1669,Bujagali,,0.75,
1670,Muzizi,,,
1671,Karuma Falls,,,
1672,Kalagala,,,
1673,Ishasha River,,,
1674,Bugoye,,,
1677,Murchison Base 2,,,
1678,Masindi I,,,
1679,Bygoe,,,
1680,Ayago North,,,
1681,Owen Falls,30.0,100000.0,33200.0
1683,Hale Tanesco,,1.9,
1684,Nyumba Ya Mungu,42.0,870.0,
1685,Kidatu,40.0,125.0,
1686,Mtera,45.0,3200.0,
1687,Pangani Falls II,10.0,0.8,
1688,Lower Kihansi,25.0,1.0,
1690,Rumakali,,,
1691,Ruhudji,,,
1692,Kagera River,,,
1693,Upper Kihansi,,,
1694,Stiegler Gorge III,,,
1695,Stiegler Gorge II,,,
1696,Stiegler Gorge I,,,
1697,Songwe,,,
1698,Rusumo Falls,,,
1699,Mpanga,,,
1700,Masigira,,,
1701,Mandera,,,
1739,Mulungushi,47.0,41.4,
1740,Kariba,128.0,94000.0,2550.0
1741,Lusiwasi,,,
1742,Lusemfwa,,,
1744,Kafue Gorge,53.0,785.0,1.2
1745,Itezhi-Tezhi,70.0,4925.0,0.375
1746,Mupata Gorge,,,
1747,Batoka,,,
1748,Lulapula,,,
1749,Kalungwhishi,,,
1750,Devils Gorge,,,
1768,Kariba,128.0,94000.0,2550.0
1929,Nyatana,,3500.0,
1942,Mupata Gorge,78.0,19.8,
1943,Gairezi,,,
1944,Devils Gorge,,,
1945,Condo,,1230.0,
1946,Batoka,,,
18,Hydro Maya,,,
19,El Mollejon,26.5,1.7,
20,Chalillo,46.0,120.0,9.5
21,Vaca,,,
22,Garita,,0.4,
23,Chocosuela,,0.1,
24,Río Macho/ El Llano,,0.4,
25,Cachi,,36.0,0.4
26,Arenal,70.0,1911.0,85.6
27,Corobici,,0.08,
28,Ventanas-Garita,,0.66,
29,Sandillal,,4.8,
30,Todo 2,,0.23,
31,Angostura,,11.0,
32,Peñas Blancas,,2.0,
33,Pirris,,30.0,
41,El Mulo,,7.52,
251,Carlos Manuel de Céspedes,52.0,243.0,16.9
273,Tavera,82.0,173.0,4.5
274,Valdesia,78.0,185.0,6.6
275,Sabana Yegua,76.0,401.0,11.7
276,Rincon,52.0,75.5,3.8
279,Bao,113.0,244.0,5.8
280,Jiguey,110.0,167.0,2.2
281,Moncion,28.0,360.0,1.0
283,Las Barias,22.0,3.0,0.6
284,Monte Grande,,,
285,Aguacate,53.0,4.3,742.0
289,Rio Blanco,43.0,0.73,172.5
290,Tireito,39.0,0.34,
296,López Angostura,23.5,4.4,
303,Rincón,54.0,75.5,6.2
309,Las Damas,12.0,0.04,
310,El Salto,8.0,0.01,
311,Guajoyo,33.0,995.0,
312,5 de Noviembre,65.0,324.0,16.0
313,Cerron Grande,90.0,2180.0,135.0
314,15 de Septiembre,57.0,380.0,35.5
319,Santa Maria,,0.2155,
320,Santa María,,0.2596,
321,Los Esclavos,,0.225,
322,El Porvenir,,0.007,
323,El Salto,,0.0,
324,Jurun Marinala,,0.112,
325,Aguacapa,,0.3,
326,Pueblo Viejo,130.0,460.0,5.4
327,Río Bobos,9.0,0.062556,
328,El Recreo,,0.032,
329,Secacao,,0.05689,
330,Pasabien,,0.07,
331,Las Vacas,,0.258969,
332,Matanzas,,0.0126,
333,San Isidro,,0.000777,
334,Canada,,0.188,
335,Renace,,0.12,
336,Palin II,,0.0,
337,Poza Verde,,0.76,
338,Xacbal,10.35,0.753217,
339,Panan,,0.101,
340,Palo Viejo,,0.305,
341,Peligré,72.0,297.0,
342,Artibonite 4C,,,
343,Dos Bocas,,,
345,Zacapa ,,,
346,Colombos,,,
347,Cañaveral,,,
348,Rio Lindo,,,
349,El Coyolar,63.8,12.6,
350,La Esperanza,7.0,0.59,
352,El Nispero,174.0,,
353,El Cajon,226.0,5700.0,
354,Santa María del Real,3.0,0.45,
356,José Cecilio del Valle,54.0,43.0,
359,Cuyamapa,,,
385,Gatun,17.9,5165.0,431.0
386,Miraflores,17.9,2.5,
387,Madden,55.5,651.0,49.7
388,El Flor,18.0,1.4,
389,Bayano,75.0,2700.0,350.0
390,Viejo Pedro ,17.0,,
391,Fortuna,100.0,172.3,9.5
392,Barrigón,50.0,77.3,3.4
393,La Esperanza,23.0,3.0,
394,Gualaca,14.0,1.0,
395,Corro,20.0,7.0,1.2
396,Changuinola I,100.0,340.0,9.55
397,Bajo de Mina,37.0,1.8,0.2
398,La Yeguada,22.0,14.8,
0,Chak E Wardak,,,
1,Grishk,,,
3,Kajaki,98.0,1200.0,
6,Surubi,,,
7,Darunta,,,
10,Naghlu,110.0,550.0,
11,Salma,108.0,,
12,Shah wa Arus,75.0,0.18,
13,Dostluk,,625.0,24.0
14,Ust-Kamenogorsk,65.0,655.0,37.9
16,Bukhtarma (Zaisan lake),90.0,49620.0,5490.0
19,Chardarya,27.0,5200.0,783.0
21,Kapshagay,52.0,18560.0,1847.0
25,Shulba,36.0,2390.0,255.0
33,Toktogul,215.0,19500.0,284.0
36,Kurpsay,110.0,370.0,12.0
37,Papan,120.0,260.0,7.1
40,Farkhad,24.0,175.0,23.0
42,Kayrakkum,32.0,4160.0,5450.0
44,Centralnaya,22.0,,
45,Perapadnaya,39.0,,
46,Sarband (Golovnaya),26.0,4.0,7.5
49,Nurek,300.0,10500.0,98.0
51,Boygozi,54.0,125.0,8.04
52,Sangtuda 1,58.0,25.0,9.6
53,Sangtuda 2,19.0,5.0,6.7
54,Rogun,335.0,13300.0,170.0
69,Dostluk,,625.0,24.0
70,Farkhad,24.0,175.0,23.0
85,Charvak,168.0,1990.0,22.0
0,Shkopet,48.0,140.0,1.1
1,Ulza,66.0,240.0,8.7
2,Vau-Dejes,60.0,500.0,15.8
3,Fierza,167.0,2700.0,39.3
4,Komani Dam,133.0,450.0,7.2
5,Gosau,22.0,25.5,0.5
6,Limberg,120.0,86.0,0.8
8,Mooser,107.0,87.0,0.6
9,Ottenstein,69.0,73.0,1.9
10,Ybbs-Persenbeug,32.0,74.0,10.0
11,Edling,36.0,83.0,8.3
12,Aschach,34.0,114.0,9.5
13,Gepatsch,153.0,140.0,1.3
14,Durlassboden,83.0,53.5,0.9
15,Feistritz-Ludmannsdorf,38.0,50.0,3.3
16,Gmunden,25.0,514.0,23.4
17,Schlegeis,131.0,129.0,1.1
18,Tauernmoossee,53.0,57.0,1.5
19,Ferlach-Maria Rain,40.0,33.0,2.8
20,Altenwoerth,37.0,93.0,11.0
21,Koelnbrein,200.0,205.0,1.2
22,Finstertal,150.0,60.5,0.6
23,Annabruecke,40.0,36.0,2.5
24,Greifenstein,31.0,87.0,10.0
25,Zillergruendl,186.0,90.0,0.8
26,Feistritzbach,88.0,16.2,0.6
27,Osipovichskoye,,,11.87
30,Chighirinskoye,,,21.19
36,Vileyskoye,,1335.6,63.8
39,Zelvenskoye,,,11.9
42,Butgenbach,28.0,11.0,0.9
43,Vesdre,66.0,25.0,1.1
44,Gilepppe,68.0,27.0,1.0
45,Plate Taille,43.0,66.5,3.2
46,Eau d'Heure,35.0,14.8,1.8
47,Jablanica,85.0,31.8,10.4
48,Grancarevo,123.0,1280.0,22.4
49,Rama,103.0,487.0,11.2
50,Busko Blato,19.0,802.5,49.3
52,Bocac,66.0,52.0,0.4
53,Salakovac,70.0,68.0,1.7
55,Visegrad,80.0,161.0,8.7
57,Alexendre Stamboliiski,66.0,220.0,6.8
58,Koprinka,44.0,112.0,9.2
59,Iskar,74.0,673.0,24.0
60,Studen Kladenetz,68.0,489.0,21.5
61,Batak,35.0,305.8,18.9
62,Rozov Kladenetz,12.0,20.4,3.5
69,Ivailovgrad,73.0,188.0,12.3
73,Hristo Smirnenski,56.0,18.7,0.7
74,Ovtcharitza,22.0,45.0,7.4
77,Dosspat,61.0,449.3,20.0
89,Antonivanovtzi,145.0,226.0,2.8
92,Kardgali,104.0,532.9,12.1
94,Belmeken,98.0,144.0,1.7
102,Lokvarka,52.0,36.9,1.1
103,Peruca,67.0,565.3,15.0
104,Sklope,81.0,142.0,1.4
105,Cakovec,24.0,51.0,9.8
106,Stikada,14.0,18.4,2.5
109,Dubrava,24.0,93.5,16.4
114,Sec,37.0,17.5,1.4
115,Vrane,10.0,11.1,0.7
116,Vranov,59.0,122.7,5.2
117,Brno,34.0,18.5,1.3
118,Kruzberk,42.0,35.6,1.7
119,Slapy,70.0,269.3,10.4
121,Vir 1,78.0,53.1,1.4
122,Lipno 1,42.0,306.0,43.8
123,Mostiste,36.0,11.0,0.6
124,Jesenice,22.0,60.1,6.0
126,Orlik,91.0,716.5,15.1
127,Kamyk,24.0,12.8,0.3
128,Flaje,56.0,27.1,1.1
129,Hracholusky,34.0,42.4,2.0
130,Skalka,17.0,19.6,1.7
132,Nechranice,52.0,287.6,11.2
135,Horka,48.0,21.4,0.9
141,Mohelno,49.0,17.1,0.4
143,Stanovice,63.0,27.8,0.8
144,Dalesice,100.0,127.3,3.0
146,Nove Mlyny,10.0,134.0,22.7
147,Hnevkovice,31.0,22.2,1.4
149,Tangevaerket,12.0,20.0,6.25
150,Narva,15.0,182.5,
151,Tainionkoski,17.0,5600.0,4342.0
152,Isohaara,24.0,80.0,15.0
153,Jylhama,15.0,2343.0,889.7
154,Pamilo,19.0,900.0,185.8
155,Puntarikoski,14.0,2390.0,285.0
156,Petajaskoski,23.0,115.4,27.9
157,Kaltimo,30.0,2000.0,921.3
158,Valajaskoski,21.0,100.1,11.3
159,Seitakorva,25.0,1100.0,227.7
162,Kuurna,14.0,90.0,23.7
163,Uljua Dams,16.0,146.0,28.3
164,Porttipahta,38.0,1353.0,205.6
166,Melo,33.0,699.0,119.9
167,Hirvijarvi,12.0,40.0,19.9
168,Taivalkoski,25.0,50.0,16.5
173,Rochebut,50.0,25.8,0.6
174,La Bouillouse,25.0,17.5,1.2
179,Saint Marc,45.0,20.0,0.6
180,Guerledan,54.0,49.8,2.6
181,Cize Bolozon,29.0,14.5,0.5
182,Puyvalador,39.0,10.1,0.6
183,Sarrans,113.0,296.3,5.8
184,Crescent,39.0,14.7,0.9
185,Vezins,36.0,19.0,0.7
187,Saints Peyres,61.0,34.7,1.3
189,Le Chambon,136.0,54.0,0.8
190,Mareges,90.0,47.0,0.8
191,Bissorte,63.0,39.5,1.0
192,Saint Michel,15.0,13.4,3.8
193,Lavaud Gelade,22.0,21.4,1.9
194,Saint Etienne Cantales,75.0,135.0,3.8
196,Monceaux la Virole,34.0,20.5,1.3
197,Maury,72.0,35.3,1.0
198,L'Aigle,92.0,225.0,4.6
200,La Girotte,48.0,50.0,0.4
201,Genissiat,104.0,56.0,3.3
204,La Valette,50.0,31.3,1.2
205,Couesque,70.0,56.1,1.5
206,Panneciere Chaumard,50.0,82.5,3.3
207,Villefranche de Panat,23.0,10.9,1.5
209,Echanet,68.0,92.7,2.1
210,Le Chastang,85.0,187.0,4.9
211,Bort les Orgues,125.0,477.2,8.0
215,Pont de Salars,38.0,20.6,0.9
216,Tignes,180.0,235.0,2.4
217,Le Chatelot,74.0,20.6,0.4
222,La Raviege,43.0,44.9,3.2
223,Grangent,55.0,57.4,2.3
224,Hautefage,57.0,27.0,1.0
226,Naguilhes,61.0,43.0,0.7
227,Grandval,88.0,292.0,6.0
228,La Sassiere,30.0,10.5,0.3
229,Le Lanoux,48.0,73.0,0.8
230,Serre Poncon,129.0,1270.0,17.6
232,Tolla,90.0,35.0,0.7
233,Roselend,150.0,187.0,2.0
235,L'Escale,29.0,15.0,0.6
236,Lanau,32.0,18.0,0.9
237,Monteynard,155.0,275.0,3.3
238,Notre Dame de Commiers,40.0,34.0,1.4
241,Villefort,75.0,35.7,0.7
243,La Rance,27.0,184.0,27.5
244,Saint Cassien,66.0,60.0,2.7
245,Greoux,67.0,80.0,2.1
246,La Gittaz,67.0,13.7,0.2
247,Calacuccia,74.0,25.5,0.8
248,Le Mont Cenis,120.0,332.2,3.8
249,Les Fades,68.0,69.0,2.4
250,Vouglans,130.0,605.0,14.4
253,Vallabregues,26.0,70.0,12.0
255,Coiselet,48.0,36.0,3.0
258,Sainte Croix,95.0,767.0,18.7
263,Saint Lazare,28.0,6.2,0.4
270,Le Verney,44.0,15.6,0.5
271,Grand Maison,160.0,137.0,1.0
272,Villerest,70.0,138.0,4.0
273,Laparan,106.0,16.0,0.3
281,Agly,57.0,26.0,1.3
284,Ennepe,51.0,12.6,0.5
285,Urft,58.0,45.5,1.4
286,Malter,36.0,16.4,0.5
287,Moehne,40.0,140.8,8.6
288,Klingenberg,40.0,16.4,0.8
289,Eder,41.0,202.4,9.1
290,Diemel,42.0,20.1,1.2
292,Agger,45.0,19.3,0.9
293,Kriebstein,28.0,11.7,0.6
294,Lehnmuehle,51.0,21.9,1.0
296,Schluchsee,64.0,108.0,4.0
297,Bleiloch,65.0,215.0,6.7
298,Saidenbach,59.0,22.4,1.3
299,Oder,62.0,30.6,1.0
300,Sorpe,69.0,70.0,3.0
301,Pirk,24.0,10.0,1.2
303,Hohenwarte,75.0,182.0,5.3
305,Verse,62.0,32.8,1.2
306,Rosshaupten,41.0,165.0,12.3
307,Henne,58.0,38.4,1.5
308,Oker,73.0,47.4,1.5
310,Sylvenstein,45.0,104.0,1.7
311,Schwammenauel,77.0,181.8,5.9
313,Gruntensee,21.0,16.0,1.1
314,Olef,59.0,19.3,0.8
316,Pohl,59.0,61.9,3.3
317,Bigge,57.0,171.7,6.5
319,Innerste,46.0,20.0,1.0
324,Postmuenster,13.0,13.1,0.5
325,MauthausI,61.0,21.0,0.5
334,Eixendorf,28.0,19.3,1.1
338,Frauenau,86.0,20.3,0.8
340,Wupper,40.0,25.9,1.7
341,Rottachsee,38.0,28.4,2.5
342,Brombach,40.0,129.0,8.0
343,Rothsee,19.0,11.7,1.9
345,Ladhon,58.0,49.0,1.8
346,Plastiras,83.0,400.0,19.7
347,Kremasta,160.0,4750.0,62.5
349,Kastraki,96.0,950.0,20.2
350,Polyphyto,112.0,2244.0,56.2
352,Pournari,107.0,730.0,14.6
353,Sfikia,82.0,99.0,2.9
354,Assomata,52.0,55.0,1.9
356,Stratos,26.0,80.0,7.1
357,Pigae Aoos,78.0,260.0,19.4
359,Thissavros,170.0,705.0,4.3
360,Platanovryssi,95.0,73.0,1.6
362,Messochora,150.0,358.0,7.8
367,Thorisos,33.0,1180.0,66.4
368,Sigalda,44.0,195.0,14.6
369,Hrauneyjafoss,,265.1,9.5
370,Sultartangi,22.0,116.0,7.0
371,Eyvindarver,30.0,150.0,24.2
372,Blanda Dam,44.0,400.0,59.4
373,Parteen Weir,16.0,465.0,113.9
374,Pollaphuca,32.0,184.0,18.6
375,Cliff,18.0,170.0,1.9
376,Carrigadrohid,22.0,50.0,5.2
377,Codelago,33.0,16.5,0.6
378,Vannino,39.0,10.1,0.2
379,Muzzone,58.0,252.0,9.9
380,Lago d'Arno,40.0,38.8,0.5
381,Cignana 1,58.0,16.1,0.3
382,Lago Truzzo,35.0,20.8,0.3
383,Lago Kastel,12.0,12.0,0.2
384,Valtoggia,46.0,15.7,0.4
385,Cardenello,75.0,32.6,0.6
386,Careser,66.0,15.6,0.3
387,Turano,80.0,163.0,4.3
388,Salto,108.0,278.0,6.3
389,Agaro,57.0,20.1,0.4
390,Morasco,59.0,17.6,0.4
392,Lago Goillet,49.0,11.8,0.3
393,Bau Muggeris,63.0,63.0,2.1
394,Pieve di Cadore,112.0,71.6,0.6
395,Santa Giustina,153.0,182.8,2.7
396,S. Giacomo di Fraele,92.0,64.3,2.7
397,Cecita,55.0,121.5,5.3
399,Sella Pedicate Rio Fucino,27.0,224.0,11.5
401,Ancipa,112.0,30.4,0.6
402,Forte Buso,110.0,32.1,0.3
403,Sabbione,64.0,44.8,0.8
404,Fiastrone,87.0,21.7,0.5
407,Piantelessio,80.0,24.0,0.2
408,Malga Boazzo,57.0,12.9,0.4
409,Fedaia,57.0,18.0,0.4
411,Cacano,136.0,123.0,5.4
412,Speccheri,157.0,10.0,0.1
413,Malga Bissina,84.0,60.7,0.8
421,Frera,138.0,51.8,0.5
422,Pian Palu,52.0,15.5,0.3
424,Bomba,58.0,96.0,2.9
425,Beauregard,132.0,74.0,0.5
426,Gusana,88.0,62.3,1.7
429,Cucchinadorza,52.0,16.5,0.7
431,Mis,91.0,42.8,0.6
432,Casteldoria,36.0,8.0,0.4
433,Corbara,52.0,207.0,8.0
434,Alpe Gera,174.0,69.3,0.5
435,Place Moulin,155.0,107.8,0.7
437,Zoccolo,67.0,35.6,0.6
446,Passante,71.0,40.3,0.7
461,Vajont,262.0,150.0,
463,Ceresole Reale Mine,52.0,34.1,0.9
464,Kegums,21.0,157.0,25.0
467,Kaunas,16.0,462.0,45.5
469,Esch-sur-Sure,49.0,62.0,1.6
470,Krupac,16.0,36.0,4.3
471,Slano,22.0,112.0,6.5
