Sink/source type,Estimate type,Original data source,Value (Tg CH4 yr-1)
Soil Sink,Top-down,PYVARLMDZ/GOSAT5,38
Soil Sink,Top-down,PYVARLMDZ/GOSAT6,38
Soil Sink,Top-down,PYVARLMDZ/SURF1,38
Soil Sink,Top-down,PYVARLMDZ/SURF2,38
Soil Sink,Top-down,TM5-4Dvar/SURF1,40
Soil Sink,Top-down,TM5-4Dvar/SURF2,40
Soil Sink,Top-down,TM5-4Dvar/GOSAT2,42
Soil Sink,Top-down,TM5-CAMS/SURF,42
Soil Sink,Top-down,TM5-4Dvar/GOSAT1,44
Soil Sink,Top-down,TM5-CAMS/GOSAT,45
Soil Sink,Top-down,Ensemble max,45
Total Anthropogenic Sources,Top-down,TM5-4Dvar/SURF1,325
Total Anthropogenic Sources,Top-down,Ensemble min,325
Total Anthropogenic Sources,Top-down,TM5-4Dvar/GOSAT1,332
Total Anthropogenic Sources,Top-down,MIROC4-ACTM-Cao/SURF,336
Total Anthropogenic Sources,Top-down,PYVARLMDZ/GOSAT6,336
Total Anthropogenic Sources,Top-down,PYVARLMDZ/GOSAT2,340
Total Anthropogenic Sources,Top-down,PYVARLMDZ/GOSAT4,341
Total Anthropogenic Sources,Top-down,TM5-CAMS/SURF,344
Total Anthropogenic Sources,Top-down,TM5-4Dvar/SURF2,350
Total Anthropogenic Sources,Top-down,PYVARLMDZ/GOSAT1,353
Total Anthropogenic Sources,Top-down,PYVARLMDZ/SURF2,353
Total Anthropogenic Sources,Top-down,PYVARLMDZ/GOSAT3,358
Total Anthropogenic Sources,Top-down,PYVARLMDZ/GOSAT5,358
Total Anthropogenic Sources,Top-down,TM5-4Dvar/GOSAT2,358
Total Anthropogenic Sources,Top-down,NICAM-TM/4DVar,361
Total Anthropogenic Sources,Top-down,TM5-CAMS/GOSAT,362
Total Anthropogenic Sources,Top-down,NIES-TM-FLEXPART/GOSAT,364
Total Anthropogenic Sources,Top-down,TOMCAT/surf,367
Total Anthropogenic Sources,Top-down,PYVARLMDZ/SURF1,370
Total Anthropogenic Sources,Top-down,NIES-TM-FLEXPART/SURF,371
Total Anthropogenic Sources,Top-down,GELCA/SURF,374
Total Anthropogenic Sources,Top-down,CTE-CH4/GOSAT,375
Total Anthropogenic Sources,Top-down,CTE-CH4/SURF,376
Total Anthropogenic Sources,Top-down,Ensemble max,376
Total Sources,Top-down,TOMCAT/surf,550
Total Sources,Top-down,Ensemble min,550
Total Sources,Top-down,PYVARLMDZ/SURF2,559
Total Sources,Top-down,PYVARLMDZ/GOSAT6,564
Total Sources,Top-down,PYVARLMDZ/GOSAT2,566
Total Sources,Top-down,PYVARLMDZ/GOSAT4,566
Total Sources,Top-down,PYVARLMDZ/GOSAT1,567
Total Sources,Top-down,GELCA/SURF,568
Total Sources,Top-down,NIES-TM-FLEXPART/SURF,573
Total Sources,Top-down,CTE-CH4/SURF,576
Total Sources,Top-down,NIES-TM-FLEXPART/GOSAT,576
Total Sources,Top-down,MIROC4-ACTM-Cao/SURF,578
Total Sources,Top-down,PYVARLMDZ/SURF1,580
Total Sources,Top-down,NICAM-TM/4DVar,581
Total Sources,Top-down,PYVARLMDZ/GOSAT5,584
Total Sources,Top-down,TM5-4Dvar/SURF1,584
Total Sources,Top-down,TM5-CAMS/SURF,584
Total Sources,Top-down,CTE-CH4/GOSAT,585
Total Sources,Top-down,PYVARLMDZ/GOSAT3,586
Total Sources,Top-down,TM5-4Dvar/SURF2,587
Total Sources,Top-down,TM5-4Dvar/GOSAT1,592
Total Sources,Top-down,TM5-4Dvar/GOSAT2,593
Total Sources,Top-down,TM5-CAMS/GOSAT,594
Total Sources,Top-down,Ensemble max,594
"Total anthropogenic excl, biomass burning",Bottom-up,USEPA,331
"Total anthropogenic excl, biomass burning",Bottom-up,Ensemble min,331
"Total anthropogenic excl, biomass burning",Bottom-up,GAINSgridded,336
"Total anthropogenic excl, biomass burning",Bottom-up,EDGARv432,349
"Total anthropogenic excl, biomass burning",Bottom-up,CEDSgridded,367
"Total anthropogenic excl, biomass burning",Bottom-up,Ensemble max,367
Total natural Sources,Top-down,TOMCAT/surf,183
Total natural Sources,Top-down,Ensemble min,183
Total natural Sources,Top-down,GELCA/SURF,194
Total natural Sources,Top-down,CTE-CH4/SURF,199
Total natural Sources,Top-down,NIES-TM-FLEXPART/SURF,203
Total natural Sources,Top-down,PYVARLMDZ/SURF2,206
Total natural Sources,Top-down,CTE-CH4/GOSAT,209
Total natural Sources,Top-down,PYVARLMDZ/SURF1,210
Total natural Sources,Top-down,NIES-TM-FLEXPART/GOSAT,213
Total natural Sources,Top-down,PYVARLMDZ/GOSAT1,214
Total natural Sources,Top-down,NICAM-TM/4DVar,220
Total natural Sources,Top-down,PYVARLMDZ/GOSAT4,225
Total natural Sources,Top-down,MIROC4-ACTM-Cao/SURF,226
Total natural Sources,Top-down,PYVARLMDZ/GOSAT2,226
Total natural Sources,Top-down,PYVARLMDZ/GOSAT5,226
Total natural Sources,Top-down,PYVARLMDZ/GOSAT3,228
Total natural Sources,Top-down,PYVARLMDZ/GOSAT6,228
Total natural Sources,Top-down,TM5-CAMS/GOSAT,232
Total natural Sources,Top-down,TM5-4Dvar/GOSAT2,235
Total natural Sources,Top-down,TM5-4Dvar/SURF2,237
Total natural Sources,Top-down,TM5-CAMS/SURF,240
Total natural Sources,Top-down,TM5-4Dvar/SURF1,259
Total natural Sources,Top-down,TM5-4Dvar/GOSAT1,260
Total natural Sources,Top-down,Ensemble max,260
Transport,Bottom-up,CEDSgridded,1
Transport,Bottom-up,EDGARv432,1
Transport,Bottom-up,Ensemble min,1
Transport,Bottom-up,GAINSgridded,2
Transport,Bottom-up,USEPA,12
Transport,Bottom-up,Ensemble max,12
Wetlands,Bottom-up,TRIPLEX-GHG,102
Wetlands,Bottom-up,Ensemble min,102
Wetlands,Bottom-up,TEM-MDM,106
Wetlands,Bottom-up,JSBACH,130
Wetlands,Bottom-up,LPX,139
Wetlands,Bottom-up,ORCHIDEE,143
Wetlands,Bottom-up,LPJ-WSL,145
Wetlands,Bottom-up,DLEM,150
Wetlands,Bottom-up,LPJ-MPI,162
Wetlands,Bottom-up,VISIT,163
Wetlands,Bottom-up,ELM,165
Wetlands,Bottom-up,LPJ-GUESS,166
Wetlands,Bottom-up,CLASS-CTEM,181
Wetlands,Bottom-up,JULES,182
Wetlands,Bottom-up,Ensemble max,182
Wetlands,Top-down,TOMCAT/surf,159
Wetlands,Top-down,Ensemble min,159
Wetlands,Top-down,CTE-CH4/SURF,161
Wetlands,Top-down,PYVARLMDZ/GOSAT1,168
Wetlands,Top-down,CTE-CH4/GOSAT,171
Wetlands,Top-down,PYVARLMDZ/SURF2,171
Wetlands,Top-down,GELCA/SURF,172
Wetlands,Top-down,PYVARLMDZ/SURF1,174
Wetlands,Top-down,MIROC4-ACTM-Cao/SURF,180
Wetlands,Top-down,NICAM-TM/4DVar,182
Wetlands,Top-down,NIES-TM-FLEXPART/SURF,182
Wetlands,Top-down,PYVARLMDZ/GOSAT4,185
Wetlands,Top-down,TM5-CAMS/GOSAT,186
Wetlands,Top-down,PYVARLMDZ/GOSAT2,187
Wetlands,Top-down,PYVARLMDZ/GOSAT3,187
Wetlands,Top-down,PYVARLMDZ/GOSAT5,188
Wetlands,Top-down,PYVARLMDZ/GOSAT6,189
Wetlands,Top-down,NIES-TM-FLEXPART/GOSAT,192
Wetlands,Top-down,TM5-CAMS/SURF,195
Wetlands,Top-down,TM5-4Dvar/GOSAT2,197
Wetlands,Top-down,TM5-4Dvar/SURF2,198
Wetlands,Top-down,TM5-4Dvar/GOSAT1,199
Wetlands,Top-down,TM5-4Dvar/SURF1,202
Wetlands,Top-down,Ensemble max,202
