Year,yield_kg_per_head,product,animal
1961,190.3,meat,camel
1962,190.4,meat,camel
1963,191.4,meat,camel
1964,191.5,meat,camel
1965,192.3,meat,camel
1966,194.7,meat,camel
1967,194.3,meat,camel
1968,191.6,meat,camel
1969,192.8,meat,camel
1970,191.3,meat,camel
1971,192.0,meat,camel
1972,193.2,meat,camel
1973,195.2,meat,camel
1974,197.9,meat,camel
1975,197.3,meat,camel
1976,196.2,meat,camel
1977,198.6,meat,camel
1978,197.2,meat,camel
1979,197.7,meat,camel
1980,195.9,meat,camel
1981,194.3,meat,camel
1982,195.6,meat,camel
1983,198.8,meat,camel
1984,201.0,meat,camel
1985,201.6,meat,camel
1986,202.6,meat,camel
1987,199.3,meat,camel
1988,199.7,meat,camel
1989,202.5,meat,camel
1990,201.3,meat,camel
1991,195.6,meat,camel
1992,194.2,meat,camel
1993,199.6,meat,camel
1994,198.8,meat,camel
1995,196.9,meat,camel
1996,202.0,meat,camel
1997,197.3,meat,camel
1998,195.2,meat,camel
1999,203.8,meat,camel
2000,204.9,meat,camel
2001,203.9,meat,camel
2002,202.7,meat,camel
2003,200.1,meat,camel
2004,198.1,meat,camel
2005,192.9,meat,camel
2006,192.9,meat,camel
2007,202.5,meat,camel
2008,204.2,meat,camel
2009,201.8,meat,camel
2010,201.5,meat,camel
2011,201.7,meat,camel
2012,215.8,meat,camel
2013,217.4,meat,camel
2014,218.5,meat,camel
2015,218.6,meat,camel
2016,218.3,meat,camel
2017,220.1,meat,camel
2018,219.4,meat,camel
2019,220.3,meat,camel
2020,216.6,meat,camel
1961,160.1,meat,cow
1962,158.5,meat,cow
1963,159.1,meat,cow
1964,163.1,meat,cow
1965,166.3,meat,cow
1966,170.6,meat,cow
1967,172.3,meat,cow
1968,175.1,meat,cow
1969,179.2,meat,cow
1970,182.2,meat,cow
1971,186.3,meat,cow
1972,189.0,meat,cow
1973,190.5,meat,cow
1974,192.9,meat,cow
1975,187.8,meat,cow
1976,189.5,meat,cow
1977,190.7,meat,cow
1978,191.6,meat,cow
1979,193.2,meat,cow
1980,193.9,meat,cow
1981,193.8,meat,cow
1982,192.5,meat,cow
1983,196.0,meat,cow
1984,196.8,meat,cow
1985,199.8,meat,cow
1986,201.1,meat,cow
1987,203.2,meat,cow
1988,205.6,meat,cow
1989,206.3,meat,cow
1990,208.5,meat,cow
1991,209.3,meat,cow
1992,207.5,meat,cow
1993,204.7,meat,cow
1994,201.6,meat,cow
1995,203.1,meat,cow
1996,205.8,meat,cow
1997,204.3,meat,cow
1998,201.6,meat,cow
1999,204.8,meat,cow
2000,205.5,meat,cow
2001,207.3,meat,cow
2002,207.1,meat,cow
2003,206.7,meat,cow
2004,209.2,meat,cow
2005,208.9,meat,cow
2006,209.4,meat,cow
2007,212.0,meat,cow
2008,212.2,meat,cow
2009,215.0,meat,cow
2010,215.5,meat,cow
2011,215.4,meat,cow
2012,215.5,meat,cow
2013,215.7,meat,cow
2014,216.9,meat,cow
2015,218.5,meat,cow
2016,219.7,meat,cow
2017,226.8,meat,cow
2018,228.6,meat,cow
2019,228.3,meat,cow
2020,231.5,meat,cow
1961,1.1487,meat,chicken
1962,1.1504,meat,chicken
1963,1.1597,meat,chicken
1964,1.1578,meat,chicken
1965,1.1595,meat,chicken
1966,1.208,meat,chicken
1967,1.1535,meat,chicken
1968,1.1644,meat,chicken
1969,1.1757,meat,chicken
1970,1.1909,meat,chicken
1971,1.1984,meat,chicken
1972,1.2042,meat,chicken
1973,1.2052,meat,chicken
1974,1.2076,meat,chicken
1975,1.2248,meat,chicken
1976,1.2284,meat,chicken
1977,1.2293,meat,chicken
1978,1.2355,meat,chicken
1979,1.2422,meat,chicken
1980,1.2449,meat,chicken
1981,1.2562,meat,chicken
1982,1.2578,meat,chicken
1983,1.2568,meat,chicken
1984,1.2592,meat,chicken
1985,1.264,meat,chicken
1986,1.2809,meat,chicken
1987,1.282,meat,chicken
1988,1.2912,meat,chicken
1989,1.2976,meat,chicken
1990,1.3028,meat,chicken
1991,1.3546,meat,chicken
1992,1.359,meat,chicken
1993,1.3759,meat,chicken
1994,1.3967,meat,chicken
1995,1.3949,meat,chicken
1996,1.4044,meat,chicken
1997,1.4371,meat,chicken
1998,1.4683,meat,chicken
1999,1.4598,meat,chicken
2000,1.4468,meat,chicken
2001,1.4522,meat,chicken
2002,1.4696,meat,chicken
2003,1.4841,meat,chicken
2004,1.5071,meat,chicken
2005,1.4877,meat,chicken
2006,1.5068,meat,chicken
2007,1.5056,meat,chicken
2008,1.5092,meat,chicken
2009,1.499,meat,chicken
2010,1.5402,meat,chicken
2011,1.5604,meat,chicken
2012,1.5821,meat,chicken
2013,1.6164,meat,chicken
2014,1.6249,meat,chicken
2015,1.6202,meat,chicken
2016,1.6276,meat,chicken
2017,1.6288,meat,chicken
2018,1.638,meat,chicken
2019,1.6372,meat,chicken
2020,1.6887,meat,chicken
1961,10.7,meat,goat
1962,10.8,meat,goat
1963,10.7,meat,goat
1964,10.7,meat,goat
1965,10.8,meat,goat
1966,10.8,meat,goat
1967,10.8,meat,goat
1968,10.8,meat,goat
1969,10.9,meat,goat
1970,10.9,meat,goat
1971,10.9,meat,goat
1972,10.8,meat,goat
1973,10.8,meat,goat
1974,10.8,meat,goat
1975,10.9,meat,goat
1976,10.9,meat,goat
1977,10.9,meat,goat
1978,11.0,meat,goat
1979,10.9,meat,goat
1980,10.8,meat,goat
1981,10.8,meat,goat
1982,11.1,meat,goat
1983,11.2,meat,goat
1984,11.3,meat,goat
1985,11.3,meat,goat
1986,11.4,meat,goat
1987,11.4,meat,goat
1988,11.6,meat,goat
1989,11.6,meat,goat
1990,11.7,meat,goat
1991,11.6,meat,goat
1992,11.6,meat,goat
1993,11.8,meat,goat
1994,11.9,meat,goat
1995,12.1,meat,goat
1996,11.8,meat,goat
1997,11.9,meat,goat
1998,12.0,meat,goat
1999,11.9,meat,goat
2000,12.2,meat,goat
2001,12.4,meat,goat
2002,12.6,meat,goat
2003,12.5,meat,goat
2004,12.2,meat,goat
2005,12.3,meat,goat
2006,12.3,meat,goat
2007,12.6,meat,goat
2008,12.6,meat,goat
2009,12.3,meat,goat
2010,12.3,meat,goat
2011,12.2,meat,goat
2012,12.3,meat,goat
2013,12.4,meat,goat
2014,11.9,meat,goat
2015,11.9,meat,goat
2016,11.9,meat,goat
2017,12.7,meat,goat
2018,12.5,meat,goat
2019,12.5,meat,goat
2020,12.4,meat,goat
1961,65.8,meat,pig
1962,65.0,meat,pig
1963,63.9,meat,pig
1964,63.2,meat,pig
1965,63.6,meat,pig
1966,63.9,meat,pig
1967,64.4,meat,pig
1968,65.0,meat,pig
1969,65.8,meat,pig
1970,66.6,meat,pig
1971,66.2,meat,pig
1972,65.8,meat,pig
1973,65.8,meat,pig
1974,67.3,meat,pig
1975,66.4,meat,pig
1976,65.6,meat,pig
1977,66.8,meat,pig
1978,68.6,meat,pig
1979,69.4,meat,pig
1980,69.7,meat,pig
1981,70.8,meat,pig
1982,71.5,meat,pig
1983,72.0,meat,pig
1984,72.7,meat,pig
1985,73.6,meat,pig
1986,72.6,meat,pig
1987,74.1,meat,pig
1988,75.7,meat,pig
1989,75.4,meat,pig
1990,76.0,meat,pig
1991,77.0,meat,pig
1992,77.5,meat,pig
1993,78.4,meat,pig
1994,79.9,meat,pig
1995,83.9,meat,pig
1996,79.3,meat,pig
1997,83.4,meat,pig
1998,84.2,meat,pig
1999,83.4,meat,pig
2000,81.7,meat,pig
2001,82.4,meat,pig
2002,82.2,meat,pig
2003,81.6,meat,pig
2004,81.5,meat,pig
2005,82.3,meat,pig
2006,81.8,meat,pig
2007,78.5,meat,pig
2008,79.7,meat,pig
2009,80.4,meat,pig
2010,78.8,meat,pig
2011,79.0,meat,pig
2012,79.2,meat,pig
2013,79.3,meat,pig
2014,79.8,meat,pig
2015,80.4,meat,pig
2016,80.2,meat,pig
2017,80.4,meat,pig
2018,81.0,meat,pig
2019,81.6,meat,pig
2020,72.7,meat,pig
1961,14.9,meat,sheep
1962,14.8,meat,sheep
1963,14.6,meat,sheep
1964,14.5,meat,sheep
1965,14.7,meat,sheep
1966,14.5,meat,sheep
1967,14.9,meat,sheep
1968,15.0,meat,sheep
1969,15.0,meat,sheep
1970,15.1,meat,sheep
1971,15.1,meat,sheep
1972,15.2,meat,sheep
1973,14.9,meat,sheep
1974,14.8,meat,sheep
1975,14.6,meat,sheep
1976,14.9,meat,sheep
1977,14.8,meat,sheep
1978,14.8,meat,sheep
1979,14.9,meat,sheep
1980,14.7,meat,sheep
1981,14.6,meat,sheep
1982,14.6,meat,sheep
1983,14.7,meat,sheep
1984,14.7,meat,sheep
1985,14.7,meat,sheep
1986,14.8,meat,sheep
1987,14.7,meat,sheep
1988,15.1,meat,sheep
1989,15.0,meat,sheep
1990,15.1,meat,sheep
1991,14.9,meat,sheep
1992,14.9,meat,sheep
1993,15.0,meat,sheep
1994,15.0,meat,sheep
1995,14.7,meat,sheep
1996,14.8,meat,sheep
1997,15.0,meat,sheep
1998,15.3,meat,sheep
1999,15.3,meat,sheep
2000,15.2,meat,sheep
2001,15.3,meat,sheep
2002,14.9,meat,sheep
2003,15.0,meat,sheep
2004,15.3,meat,sheep
2005,15.4,meat,sheep
2006,15.4,meat,sheep
2007,15.7,meat,sheep
2008,15.8,meat,sheep
2009,16.1,meat,sheep
2010,16.2,meat,sheep
2011,16.5,meat,sheep
2012,16.3,meat,sheep
2013,16.3,meat,sheep
2014,16.2,meat,sheep
2015,16.5,meat,sheep
2016,17.0,meat,sheep
2017,16.6,meat,sheep
2018,16.5,meat,sheep
2019,16.4,meat,sheep
2020,16.7,meat,sheep
1961,6.3415,meat,turkey
1962,6.2835,meat,turkey
1963,6.296,meat,turkey
1964,6.3775,meat,turkey
1965,6.2993,meat,turkey
1966,6.3364,meat,turkey
1967,6.4252,meat,turkey
1968,6.358,meat,turkey
1969,6.3858,meat,turkey
1970,6.289,meat,turkey
1971,6.2035,meat,turkey
1972,6.1622,meat,turkey
1973,5.997,meat,turkey
1974,5.852,meat,turkey
1975,5.7897,meat,turkey
1976,5.8889,meat,turkey
1977,5.8961,meat,turkey
1978,5.8924,meat,turkey
1979,5.77,meat,turkey
1980,5.8652,meat,turkey
1981,6.038,meat,turkey
1982,6.0563,meat,turkey
1983,6.1088,meat,turkey
1984,6.24,meat,turkey
1985,6.2323,meat,turkey
1986,6.283,meat,turkey
1987,6.3,meat,turkey
1988,6.5029,meat,turkey
1989,6.5827,meat,turkey
1990,6.6203,meat,turkey
1991,6.0985,meat,turkey
1992,6.2774,meat,turkey
1993,6.3938,meat,turkey
1994,6.461,meat,turkey
1995,6.506,meat,turkey
1996,6.6848,meat,turkey
1997,6.7916,meat,turkey
1998,6.9031,meat,turkey
1999,7.0348,meat,turkey
2000,7.8635,meat,turkey
2001,8.1209,meat,turkey
2002,8.3557,meat,turkey
2003,8.2631,meat,turkey
2004,8.3655,meat,turkey
2005,8.488,meat,turkey
2006,8.5521,meat,turkey
2007,8.3633,meat,turkey
2008,8.5232,meat,turkey
2009,8.4794,meat,turkey
2010,8.7311,meat,turkey
2011,8.7963,meat,turkey
2012,8.9294,meat,turkey
2013,8.9404,meat,turkey
2014,8.9112,meat,turkey
2015,8.8657,meat,turkey
2016,9.1112,meat,turkey
2017,9.0848,meat,turkey
2018,9.4991,meat,turkey
2019,9.6162,meat,turkey
2020,9.6991,meat,turkey
1961,1768.6,milk,cow
1962,1789.9,milk,cow
1963,1766.2,milk,cow
1964,1805.4,milk,cow
1965,1880.8,milk,cow
1966,1850.9,milk,cow
1967,1906.9,milk,cow
1968,1920.7,milk,cow
1969,1913.9,milk,cow
1970,1944.2,milk,cow
1971,1934.2,milk,cow
1972,1956.5,milk,cow
1973,2003.6,milk,cow
1974,2006.4,milk,cow
1975,1989.3,milk,cow
1976,2000.6,milk,cow
1977,2024.2,milk,cow
1978,2026.4,milk,cow
1979,2012.5,milk,cow
1980,2008.7,milk,cow
1981,1998.8,milk,cow
1982,2037.9,milk,cow
1983,2085.5,milk,cow
1984,2094.5,milk,cow
1985,2114.7,milk,cow
1986,2116.1,milk,cow
1987,2112.9,milk,cow
1988,2140.1,milk,cow
1989,2147.5,milk,cow
1990,2145.4,milk,cow
1991,2104.7,milk,cow
1992,2078.4,milk,cow
1993,2088.0,milk,cow
1994,2071.3,milk,cow
1995,2083.8,milk,cow
1996,2119.1,milk,cow
1997,2132.0,milk,cow
1998,2161.0,milk,cow
1999,2191.4,milk,cow
2000,2229.3,milk,cow
2001,2234.9,milk,cow
2002,2268.4,milk,cow
2003,2235.2,milk,cow
2004,2239.2,milk,cow
2005,2287.9,milk,cow
2006,2308.5,milk,cow
2007,2301.5,milk,cow
2008,2321.6,milk,cow
2009,2276.0,milk,cow
2010,2297.2,milk,cow
2011,2328.3,milk,cow
2012,2343.6,milk,cow
2013,2367.6,milk,cow
2014,2414.2,milk,cow
2015,2453.8,milk,cow
2016,2450.7,milk,cow
2017,2535.4,milk,cow
2018,2597.6,milk,cow
2019,2640.8,milk,cow
2020,2678.1,milk,cow
1961,94.5,milk,goat
1962,92.5,milk,goat
1963,94.1,milk,goat
1964,93.2,milk,goat
1965,91.1,milk,goat
1966,91.8,milk,goat
1967,89.6,milk,goat
1968,87.2,milk,goat
1969,86.1,milk,goat
1970,85.3,milk,goat
1971,84.2,milk,goat
1972,84.5,milk,goat
1973,84.5,milk,goat
1974,83.9,milk,goat
1975,82.6,milk,goat
1976,83.0,milk,goat
1977,83.6,milk,goat
1978,82.7,milk,goat
1979,83.2,milk,goat
1980,83.6,milk,goat
1981,84.1,milk,goat
1982,84.4,milk,goat
1983,84.9,milk,goat
1984,84.1,milk,goat
1985,83.2,milk,goat
1986,81.4,milk,goat
1987,81.2,milk,goat
1988,81.2,milk,goat
1989,80.2,milk,goat
1990,82.4,milk,goat
1991,81.9,milk,goat
1992,86.0,milk,goat
1993,87.3,milk,goat
1994,86.0,milk,goat
1995,84.9,milk,goat
1996,86.4,milk,goat
1997,85.6,milk,goat
1998,86.7,milk,goat
1999,83.1,milk,goat
2000,84.8,milk,goat
2001,87.3,milk,goat
2002,87.4,milk,goat
2003,88.4,milk,goat
2004,89.2,milk,goat
2005,89.0,milk,goat
2006,89.6,milk,goat
2007,92.8,milk,goat
2008,93.3,milk,goat
2009,92.1,milk,goat
2010,80.3,milk,goat
2011,79.5,milk,goat
2012,83.8,milk,goat
2013,91.9,milk,goat
2014,93.6,milk,goat
2015,92.3,milk,goat
2016,93.5,milk,goat
2017,95.6,milk,goat
2018,94.4,milk,goat
2019,90.4,milk,goat
2020,93.4,milk,goat
1961,43.7,milk,sheep
1962,43.7,milk,sheep
1963,45.0,milk,sheep
1964,45.1,milk,sheep
1965,46.0,milk,sheep
1966,46.5,milk,sheep
1967,44.6,milk,sheep
1968,43.0,milk,sheep
1969,43.6,milk,sheep
1970,43.4,milk,sheep
1971,43.6,milk,sheep
1972,44.5,milk,sheep
1973,44.2,milk,sheep
1974,44.4,milk,sheep
1975,44.5,milk,sheep
1976,44.9,milk,sheep
1977,45.3,milk,sheep
1978,45.7,milk,sheep
1979,46.1,milk,sheep
1980,45.1,milk,sheep
1981,46.6,milk,sheep
1982,47.0,milk,sheep
1983,46.9,milk,sheep
1984,45.0,milk,sheep
1985,46.4,milk,sheep
1986,47.2,milk,sheep
1987,47.3,milk,sheep
1988,48.0,milk,sheep
1989,47.1,milk,sheep
1990,47.3,milk,sheep
1991,44.4,milk,sheep
1992,42.4,milk,sheep
1993,42.1,milk,sheep
1994,42.4,milk,sheep
1995,42.2,milk,sheep
1996,42.4,milk,sheep
1997,42.0,milk,sheep
1998,41.6,milk,sheep
1999,41.1,milk,sheep
2000,40.2,milk,sheep
2001,41.3,milk,sheep
2002,40.4,milk,sheep
2003,42.5,milk,sheep
2004,43.1,milk,sheep
2005,42.7,milk,sheep
2006,43.0,milk,sheep
2007,42.2,milk,sheep
2008,41.8,milk,sheep
2009,41.9,milk,sheep
2010,39.6,milk,sheep
2011,38.6,milk,sheep
2012,39.6,milk,sheep
2013,41.7,milk,sheep
2014,42.0,milk,sheep
2015,42.1,milk,sheep
2016,41.3,milk,sheep
2017,42.4,milk,sheep
2018,41.5,milk,sheep
2019,41.3,milk,sheep
2020,41.3,milk,sheep
