Country Group,year,Watts,Percentage,Per Capita
South America,1989,188648032356.01917,4.1695830998931855,649.9591117742162
Africa,1990,143804215841.32742,3.1510127800807615,231.04938952263097
Asia,1990,1175827011222.5955,25.76451544101242,371.89414361546164
Europe,1990,760427488670.1085,16.662353889319135,2047.3740729266067
North America,1990,1393172547244.1978,30.526952742942708,3280.816657900532
Oceania,1990,60580330259.99339,1.327425581746355,2252.8106154473016
South America,1990,212041819179.2648,4.646223187800457,717.089121939495
Africa,1991,146759763538.0402,3.2058475854112296,229.50218702681937
Asia,1991,1214245645515.756,26.524207840957725,377.4620673014112
Europe,1991,958346924706.5017,20.934308563125146,2071.286379644122
North America,1991,1372766123637.3232,29.986958664295866,3185.1756753985587
Oceania,1991,59329321211.1146,1.2960007331944146,2171.644261021764
South America,1991,204623923029.1092,4.4698430533394085,679.5427837045337
Africa,1992,149774822734.67172,3.2508355209351176,228.03093510633346
Asia,1992,1361789040513.5896,29.557385574504337,407.96360488193875
Europe,1992,1396173188052.9363,30.30368729689727,1997.0608342172181
North America,1992,1398822020197.0854,30.36117972096409,3196.9274970679726
Oceania,1992,60501235103.55181,1.3131683986933746,2188.0306355485086
South America,1992,213674487708.98602,4.637766227188375,697.1025770394757
Africa,1993,150438100266.51443,3.294593814669317,223.08343678953082
Asia,1993,1416060549695.6626,31.01172056785808,417.6304935366371
Europe,1993,1296926005406.6707,28.402674508165678,1810.5147144565642
North America,1993,1409676943133.2866,30.871919608802983,3175.2555836112206
Oceania,1993,62809761604.6618,1.3755335364975596,2243.205771595064
South America,1993,222452497324.53818,4.871708832036468,713.2448100745722
Africa,1994,152885962265.57056,3.281843284579031,220.2301353561178
Asia,1994,1492356193917.4402,32.034851863641734,433.50514298985576
Europe,1994,1253347045930.9878,26.904292094460512,1747.572893113831
North America,1994,1455255622099.0525,31.23845263462215,3233.046421277601
Oceania,1994,65942069230.31339,1.4155095331697745,2324.9328078945596
South America,1994,230815352435.06583,4.954672117319365,727.5847634563205
Africa,1995,157226594174.18488,3.3088235318635597,220.86481506990745
Asia,1995,1552115246465.296,32.664165236441974,444.23116120767406
Europe,1995,1278117836331.162,26.897907415471195,1781.6071407300321
North America,1995,1446951042626.6243,30.45099135069596,3171.733229198084
Oceania,1995,67247266066.658195,1.4152143763181664,2337.5718182236583
South America,1995,242195675088.3346,5.096992358430429,750.8453363931951
Africa,1996,161941882346.66483,3.304633765838252,221.84305730901613
Asia,1996,1624374756117.5005,33.14746988027535,458.23188578370196
Europe,1996,1286547237847.3496,26.25366200471269,1793.2296571695883
North America,1996,1492371879855.9172,30.453780293859474,3228.6348351598062
Oceania,1996,68793170758.9046,1.4038137117753142,2355.8498256533885
South America,1996,257011947109.6522,5.24466151890375,783.8382718226356
Africa,1997,165711102452.01178,3.3352242789121016,221.4879766310578
Asia,1997,1650175684877.291,33.212657011119475,458.6527398046211
Europe,1997,1282519437422.8667,25.812935298696427,1787.7825384355108
North America,1997,1519809755128.6504,30.588815834475746,3245.1061199871256
Oceania,1997,70225027587.3556,1.413400873755258,2371.5057269808053
South America,1997,269128938473.5772,5.416688178843376,807.71959589424
Africa,1998,167771347482.48083,3.336608465015458,218.86292833621525
Asia,1998,1655313796235.829,32.92060359325708,453.8319172356071
Europe,1998,1292839675833.972,25.71177898386922,1804.1578587362796
North America,1998,1552991630939.0732,30.88563750392816,3274.0466231370156
Oceania,1998,70186082095.6622,1.3958490478900785,2339.224173298967
South America,1998,278409151630.5102,5.536954587344751,822.6078281991278
Africa,1999,169467393541.40198,3.299358370248115,215.80972685762856
Asia,1999,1730402637235.3455,33.68918531025292,468.1428865021294
Europe,1999,1284650031510.7478,25.01083391755236,1793.3373418861106
North America,1999,1588155543908.9324,30.91977859311174,3306.7491133427843
Oceania,1999,72064560372.3856,1.403023941622098,2370.7007162440163
South America,1999,281452920847.8694,5.479603071863683,819.1367236846346
Africa,2000,173596217747.42978,3.3074936489468256,215.80993611020193
Asia,2000,1811975031160.7856,34.52319402680798,483.8130093452456
Europe,2000,1269742907801.3215,24.192154978044304,1772.7946685338136
North America,2000,1623996423956.9414,30.941675618560343,3340.3742378354605
Oceania,2000,72895978489.1958,1.3888723441980018,2367.1368238089235
South America,2000,284892958066.5516,5.428007946611756,817.206679134616
Africa,2001,178482752003.80823,3.3760976067880843,216.59319019060615
Asia,2001,1824875812428.3267,34.518511138226295,481.06170093596637
Europe,2001,1289552220016.8384,24.392576397153586,1801.1210215159788
North America,2001,1624000797006.4565,30.718851780582447,3302.2778324673463
Oceania,2001,73590722964.2862,1.3920082522944877,2357.619112074268
South America,2001,283189465147.9494,5.356681611079093,801.0813448821654
Africa,2002,182937305021.15942,3.4296127837734556,216.70850892678243
Asia,2002,1873475349634.6455,35.12293464937752,487.7484235858938
Europe,2002,1283220899916.052,24.05715336327019,1791.6074219759466
North America,2002,1627216477771.77,30.506202294208844,3272.628771513153
Oceania,2002,74892972745.52321,1.4040542289235889,2367.7080315362527
South America,2002,279378257429.5074,5.237637249973505,779.7654309544284
Africa,2003,186500991799.31076,3.423035517684278,215.6489690522952
Asia,2003,1941925394450.4614,35.64206031166825,499.3188469895243
Europe,2003,1295384727274.0562,23.775465683830443,1806.7438160403142
North America,2003,1657744609679.5308,30.42621180421875,3299.2174787538474
Oceania,2003,77828239632.892,1.4284579721104573,2426.369860110113
South America,2003,276065260468.1066,5.066896334781758,760.6235100210682
Africa,2004,196837042903.9513,3.466616761506916,222.1338701731385
Asia,2004,2071487316863.6714,36.482221780748155,526.2893002846708
Europe,2004,1302685406683.9563,22.942384213649476,1814.4438517339663
North America,2004,1718438195584.2036,30.264459191925386,3383.571604117146
Oceania,2004,80252144925.9106,1.4133692857944231,2468.309443173826
South America,2004,295200679415.6396,5.198958530228678,803.2802696524013
Africa,2005,203811549859.82355,3.5453248756995084,224.44154318473483
Asia,2005,2106208062460.5989,36.63772657818544,528.8484076131077
Europe,2005,1307483465909.571,22.74382221931564,1818.2220357524282
North America,2005,1732346014101.9683,30.13435411947324,3374.347254803819
Oceania,2005,81580506249.178,1.4191020988569816,2473.785743501061
South America,2005,303859570965.0604,5.285671476433674,816.9893230509844
Africa,2006,203405997050.47278,3.4925070580535755,218.53542291424915
Asia,2006,2171633097807.699,37.287218821351416,538.9213344198864
Europe,2006,1325521439561.477,22.759373127632347,1819.8287968476175
North America,2006,1720623959811.2537,29.543334075866806,3314.367310251461
Oceania,2006,82695095166.45381,1.419885390417405,2469.0262194026755
South America,2006,312597494293.39355,5.367339070532099,830.8658624445981
Africa,2007,213569566209.39545,3.613845775768044,223.82734982450256
Asia,2007,2245731886734.817,38.00039882286929,550.9681579752022
Europe,2007,1305625490263.5444,22.092703780171934,1788.782909159037
North America,2007,1723878491001.9675,29.170031635203948,3283.878318402383
Oceania,2007,83706695598.77962,1.4164147713656936,2454.7418064158246
South America,2007,329267685798.86957,5.571592697128476,865.5463645032532
Africa,2008,228611810811.07562,3.883967626932683,233.67388825228488
Asia,2008,2268128681646.217,38.53404748414959,550.2336739056336
Europe,2008,1306845285879.292,22.202460869177678,1786.481671534563
North America,2008,1634498650943.1438,27.76908080123021,3079.3291049933287
Oceania,2008,83883423838.9538,1.425125418808789,2413.0087690634814
South America,2008,355429422832.39594,6.038517288510596,924.3625646789469
Africa,2009,235772457570.20856,4.073006075803404,234.9901752767124
Asia,2009,2307058107135.965,39.85478959007813,553.505798021768
Europe,2009,1240845955051.3464,21.435807923218658,1693.677818735339
North America,2009,1559001848788.1675,26.93200074233475,2905.847753120973
Oceania,2009,84131990508.4762,1.4533932930160733,2374.6645547002795
South America,2009,353445991367.3174,6.105834774525176,909.6093393124963
Africa,2010,248175313279.59003,4.152871794110928,241.13396049905705
Asia,2010,2417299801726.4946,40.45018028521811,573.5668543027826
Europe,2010,1250330497362.4204,20.922557474374358,1704.2439414636817
North America,2010,1591853274161.3416,26.63747040456113,2936.781924140915
Oceania,2010,86977261304.381,1.4554445824071631,2416.0350362328054
South America,2010,373920355685.4942,6.257041757496679,952.3915613519052
Africa,2011,246260931632.57474,4.092916071835633,233.20451069243725
Asia,2011,2484762995035.138,41.297360201071,583.2470299766252
Europe,2011,1232871160552.11,20.49061600666382,1677.7660660536126
North America,2011,1573764218220.9,26.156340834634147,2875.8944535181076
Oceania,2011,90199786842.8488,1.4991422098413354,2467.711393161764
South America,2011,380608839852.087,6.325810705685074,959.5559820902682
Africa,2012,256280316912.56747,4.189466268307245,234.31257569121345
Asia,2012,2604599698970.1357,42.577919025288566,604.9198338224072
