year,Reported quantity,Albedo anomaly (W/m2)
2000.922,Measured value,0.009
2000.963,Measured value,-0.014
2000.971,Measured value,-0.003
2001.003,Measured value,-0.017
2001.047,Measured value,0.01
2001.049,Measured value,0.019
2001.079,Measured value,0.008
2001.133,Measured value,-0.019
2001.169,Measured value,0.023
2001.21,Measured value,-0.003
2001.213,Measured value,0.02
2001.216,Measured value,0.016
2001.243,Measured value,0.016
2001.291,Measured value,-0.023
2001.294,Measured value,0.006
2001.329,Measured value,0.01
2001.339,Measured value,0.023
2001.377,Measured value,0.015
2001.402,Measured value,0.006
2001.41,Measured value,0.015
2001.417,Measured value,-0.005
2001.455,Measured value,0.001
2001.458,Measured value,0.019
2001.488,Measured value,0.004
2001.527,Measured value,0.014
2001.533,Measured value,-0.023
2001.568,Measured value,0.011
2001.577,Measured value,-0.01
2001.614,Measured value,-0.001
2001.646,Measured value,-0.001
2001.721,Measured value,0.014
2001.724,Measured value,0.006
2001.727,Measured value,-0.017
2001.81,Measured value,-0.003
2001.891,Measured value,-0.005
2001.936,Measured value,0.008
2002.047,Measured value,-0.0
2002.049,Measured value,0.01
2002.052,Measured value,-0.023
2002.092,Measured value,0.014
2002.127,Measured value,0.013
2002.175,Measured value,-0.011
2002.216,Measured value,-0.012
2002.377,Measured value,0.022
2002.38,Measured value,-0.007
2002.425,Measured value,0.018
2002.452,Measured value,-0.011
2002.458,Measured value,0.013
2002.46,Measured value,0.003
2002.496,Measured value,-0.003
2002.503,Measured value,-0.017
2002.538,Measured value,0.023
2002.541,Measured value,-0.019
2002.582,Measured value,-0.019
2002.597,Measured value,0.006
2002.611,Measured value,0.008
2002.619,Measured value,0.01
2002.66,Measured value,0.011
2002.697,Measured value,-0.002
2002.746,Measured value,0.002
2002.75,Measured value,0.023
2002.829,Measured value,0.002
2002.864,Measured value,-0.014
2002.941,Measured value,0.023
2002.944,Measured value,-0.013
2003.027,Measured value,-0.009
2003.063,Measured value,0.022
2003.092,Measured value,-0.008
2003.264,Measured value,0.015
2003.272,Measured value,0.021
2003.313,Measured value,0.012
2003.316,Measured value,0.013
2003.318,Measured value,0.005
2003.344,Measured value,0.002
2003.425,Measured value,0.016
2003.471,Measured value,-0.021
2003.477,Measured value,0.008
2003.48,Measured value,0.023
2003.482,Measured value,0.011
2003.505,Measured value,-0.008
2003.552,Measured value,0.005
2003.589,Measured value,0.02
2003.592,Measured value,-0.003
2003.635,Measured value,-0.021
2003.669,Measured value,-0.0
2003.743,Measured value,-0.015
2003.799,Measured value,-0.006
2003.807,Measured value,0.003
2004.077,Measured value,-0.005
2004.288,Measured value,0.001
2004.31,Measured value,0.004
2004.324,Measured value,0.009
2004.364,Measured value,-0.006
2004.366,Measured value,0.004
2004.402,Measured value,0.014
2004.444,Measured value,-0.003
2004.447,Measured value,0.013
2004.449,Measured value,-0.002
2004.471,Measured value,-0.006
2004.485,Measured value,0.018
2004.527,Measured value,0.021
2004.53,Measured value,0.012
2004.563,Measured value,-0.013
2004.568,Measured value,-0.0
2004.605,Measured value,0.02
2004.608,Measured value,0.011
2004.638,Measured value,-0.014
2004.766,Measured value,0.01
2004.88,Measured value,0.0
2005.038,Measured value,0.018
2005.086,Measured value,-0.002
2005.277,Measured value,0.02
2005.336,Measured value,-0.013
2005.339,Measured value,-0.002
2005.375,Measured value,-0.012
2005.416,Measured value,-0.005
2005.417,Measured value,0.02
2005.419,Measured value,-0.007
2005.452,Measured value,0.0
2005.458,Measured value,-0.012
2005.491,Measured value,-0.011
2005.493,Measured value,0.01
2005.5,Measured value,0.015
2006.582,Measured value,-0.024
2007.138,Measured value,0.022
2007.361,Measured value,0.01
2007.364,Measured value,0.019
2007.441,Measured value,-0.001
2007.474,Measured value,0.002
2007.519,Measured value,-0.005
2007.522,Measured value,0.01
2007.552,Measured value,0.0
2007.597,Measured value,0.002
2007.6,Measured value,0.012
2007.603,Measured value,0.005
2007.633,Measured value,0.0
2007.678,Measured value,0.001
2007.68,Measured value,-0.009
2007.719,Measured value,0.003
2007.755,Measured value,0.007
2007.758,Measured value,0.021
2007.764,Measured value,-0.018
2007.883,Measured value,-0.002
2007.952,Measured value,0.004
2007.955,Measured value,0.001
2007.958,Measured value,-0.022
2008.0,Measured value,0.007
2008.038,Measured value,-0.003
2008.155,Measured value,-0.0
2008.16,Measured value,0.022
2008.197,Measured value,-0.009
2008.28,Measured value,-0.01
2008.327,Measured value,-0.011
2008.353,Measured value,0.022
2008.361,Measured value,0.003
2008.41,Measured value,0.006
2008.413,Measured value,0.021
2008.488,Measured value,-0.007
2008.491,Measured value,0.021
2008.519,Measured value,0.012
2008.568,Measured value,-0.01
2008.571,Measured value,0.004
2008.574,Measured value,0.005
2008.597,Measured value,-0.001
2008.649,Measured value,-0.01
2008.652,Measured value,-0.02
2008.675,Measured value,-0.012
2008.678,Measured value,-0.006
2008.68,Measured value,-0.021
2008.839,Measured value,0.004
2008.842,Measured value,0.007
2008.919,Measured value,-0.004
2008.922,Measured value,-0.001
2009.297,Measured value,0.007
2009.299,Measured value,0.017
2009.377,Measured value,-0.019
2009.405,Measured value,-0.009
2009.455,Measured value,-0.022
2009.482,Measured value,-0.022
2009.491,Measured value,-0.012
2009.541,Measured value,0.004
2009.544,Measured value,0.013
2009.571,Measured value,0.021
2009.574,Measured value,-0.017
2009.622,Measured value,0.007
2009.627,Measured value,-0.022
2009.649,Measured value,-0.005
2009.699,Measured value,0.014
2009.702,Measured value,0.01
2009.732,Measured value,-0.001
2009.735,Measured value,-0.015
2009.738,Measured value,0.001
2009.896,Measured value,0.019
2009.899,Measured value,-0.006
2009.98,Measured value,-0.02
2010.027,Measured value,-0.0
2010.13,Measured value,-0.022
2010.194,Measured value,0.016
2010.219,Measured value,-0.012
2010.221,Measured value,0.012
2010.266,Measured value,0.023
2010.35,Measured value,-0.003
2010.388,Measured value,-0.016
2010.425,Measured value,-0.023
2010.428,Measured value,0.006
2010.463,Measured value,-0.004
2010.466,Measured value,-0.022
2010.508,Measured value,-0.004
2010.522,Measured value,-0.023
2010.6,Measured value,0.012
2010.619,Measured value,-0.001
2010.622,Measured value,-0.019
2010.667,Measured value,-0.013
2010.669,Measured value,0.01
2010.758,Measured value,0.017
2010.832,Measured value,0.02
2010.864,Measured value,0.023
2010.866,Measured value,-0.005
2010.919,Measured value,-0.005
2010.991,Measured value,0.016
2011.027,Measured value,0.007
2011.033,Measured value,-0.01
2011.068,Measured value,0.0
2011.077,Measured value,0.019
2011.1,Measured value,-0.004
2011.103,Measured value,0.017
2011.105,Measured value,0.01
2011.108,Measured value,0.008
2011.114,Measured value,0.021
2011.189,Measured value,-0.014
2011.191,Measured value,0.013
2011.194,Measured value,0.018
2011.235,Measured value,-0.018
2011.241,Measured value,0.019
2011.277,Measured value,-0.013
2011.318,Measured value,0.014
2011.321,Measured value,0.017
2011.324,Measured value,0.024
2011.327,Measured value,-0.014
2011.361,Measured value,-0.003
2011.396,Measured value,-0.005
2011.399,Measured value,-0.0
2011.638,Measured value,0.007
2011.669,Measured value,0.015
2011.672,Measured value,0.022
2011.675,Measured value,-0.015
2011.721,Measured value,-0.011
2011.724,Measured value,0.009
2011.75,Measured value,-0.015
2011.753,Measured value,0.017
2011.755,Measured value,-0.003
2011.802,Measured value,0.003
2011.891,Measured value,0.02
2011.971,Measured value,0.003
2012.068,Measured value,-0.002
2012.082,Measured value,-0.017
2012.086,Measured value,-0.018
2012.127,Measured value,0.013
2012.152,Measured value,0.013
2012.155,Measured value,0.017
2012.172,Measured value,-0.011
2012.199,Measured value,-0.024
2012.205,Measured value,-0.015
2012.208,Measured value,-0.004
2012.238,Measured value,0.015
2012.243,Measured value,0.012
2012.288,Measured value,0.012
2012.291,Measured value,-0.009
2012.369,Measured value,0.014
2012.372,Measured value,-0.004
2012.375,Measured value,-0.007
2012.399,Measured value,0.014
2012.407,Measured value,-0.011
2012.439,Measured value,0.02
2012.447,Measured value,0.017
2012.452,Measured value,0.018
2012.455,Measured value,-0.016
2012.485,Measured value,-0.001
2012.605,Measured value,0.016
2012.611,Measured value,-0.008
2012.616,Measured value,0.02
2012.619,Measured value,-0.024
2013.008,Measured value,-0.01
2013.041,Measured value,0.009
2013.044,Measured value,0.013
2013.1,Measured value,-0.01
2013.213,Measured value,0.024
2013.25,Measured value,-0.023
2013.264,Measured value,0.003
2013.288,Measured value,0.017
2013.294,Measured value,-0.022
2013.302,Measured value,-0.001
2013.339,Measured value,0.01
2013.342,Measured value,0.023
2013.369,Measured value,0.005
2013.38,Measured value,-0.018
2013.419,Measured value,0.008
2013.425,Measured value,0.002
2013.449,Measured value,0.005
2013.452,Measured value,0.022
2013.455,Measured value,0.014
2013.458,Measured value,-0.014
2013.496,Measured value,0.013
2013.533,Measured value,0.014
2013.577,Measured value,0.008
2013.579,Measured value,0.013
2013.586,Measured value,-0.014
2013.657,Measured value,-0.016
2013.66,Measured value,0.011
2013.663,Measured value,0.007
2013.738,Measured value,-0.016
2013.741,Measured value,0.019
2013.75,Measured value,0.015
2013.772,Measured value,-0.008
2013.786,Measured value,-0.009
2013.821,Measured value,-0.0
2013.855,Measured value,-0.018
2013.899,Measured value,-0.01
2013.98,Measured value,-0.012
2013.982,Measured value,-0.013
2014.025,Measured value,-0.017
2014.06,Measured value,-0.023
2014.086,Measured value,-0.004
2014.105,Measured value,0.013
2014.141,Measured value,-0.003
2014.186,Measured value,0.01
2014.227,Measured value,0.018
2014.255,Measured value,0.007
2014.264,Measured value,0.004
2014.266,Measured value,-0.021
2014.302,Measured value,-0.004
2014.305,Measured value,-0.022
2014.339,Measured value,0.012
2014.388,Measured value,0.015
2014.417,Measured value,-0.001
2014.425,Measured value,0.01
2014.428,Measured value,-0.024
2014.433,Measured value,-0.001
2014.436,Measured value,0.009
2014.463,Measured value,-0.008
2014.466,Measured value,-0.014
2014.469,Measured value,0.019
2014.474,Measured value,-0.008
2014.496,Measured value,0.002
2014.5,Measured value,-0.003
2014.503,Measured value,0.017
2014.505,Measured value,0.018
2014.508,Measured value,-0.002
2014.552,Measured value,-0.003
2014.555,Measured value,0.001
2014.557,Measured value,-0.019
2014.627,Measured value,-0.013
2014.63,Measured value,0.013
2014.633,Measured value,-0.009
2014.705,Measured value,-0.009
2014.708,Measured value,-0.002
2014.713,Measured value,0.018
2014.716,Measured value,0.013
2014.719,Measured value,-0.019
2014.743,Measured value,-0.008
2015.063,Measured value,0.002
2015.066,Measured value,0.012
2015.105,Measured value,-0.002
2015.111,Measured value,-0.015
2015.114,Measured value,0.001
2015.152,Measured value,-0.008
2015.23,Measured value,0.002
2015.235,Measured value,-0.01
2015.28,Measured value,-0.024
2015.305,Measured value,0.018
2015.316,Measured value,-0.022
2015.396,Measured value,-0.007
2015.399,Measured value,-0.015
2015.402,Measured value,0.019
2015.436,Measured value,-0.016
2015.441,Measured value,0.021
2015.447,Measured value,0.01
2015.477,Measured value,-0.013
2015.48,Measured value,-0.014
2015.525,Measured value,0.018
2015.527,Measured value,0.004
2015.555,Measured value,-0.007
2015.56,Measured value,-0.022
2015.597,Measured value,-0.006
2015.603,Measured value,0.008
2015.675,Measured value,0.013
2015.678,Measured value,-0.014
2015.68,Measured value,-0.001
2015.683,Measured value,0.009
2015.686,Measured value,-0.008
2015.719,Measured value,-0.019
2015.766,Measured value,0.005
2015.799,Measured value,-0.008
2015.807,Measured value,-0.02
2015.836,Measured value,0.022
2015.85,Measured value,0.005
2015.88,Measured value,-0.006
2015.925,Measured value,-0.005
2015.936,Measured value,0.003
2015.958,Measured value,0.005
2016.036,Measured value,-0.019
2016.114,Measured value,-0.008
2016.116,Measured value,0.019
2016.167,Measured value,0.0
2016.199,Measured value,0.02
2016.28,Measured value,-0.015
2016.283,Measured value,-0.009
2016.329,Measured value,0.007
2016.339,Measured value,0.011
2016.361,Measured value,0.017
2016.364,Measured value,0.006
2016.436,Measured value,-0.014
2016.439,Measured value,0.024
2016.441,Measured value,-0.011
2016.525,Measured value,-0.009
2016.533,Measured value,-0.019
2016.597,Measured value,0.019
2016.603,Measured value,0.019
2016.605,Measured value,-0.003
2016.611,Measured value,-0.02
2016.649,Measured value,-0.024
2016.652,Measured value,0.009
2016.655,Measured value,-0.002
2016.683,Measured value,-0.021
2016.727,Measured value,-0.013
2016.73,Measured value,-0.008
2016.732,Measured value,-0.0
2016.735,Measured value,-0.017
2016.772,Measured value,-0.021
2016.805,Measured value,-0.006
2016.807,Measured value,0.019
2016.842,Measured value,-0.022
2016.899,Measured value,-0.021
2016.936,Measured value,0.001
2016.969,Measured value,0.005
2017.008,Measured value,0.006
2017.083,Measured value,-0.005
2017.169,Measured value,0.014
2017.297,Measured value,-0.015
2017.299,Measured value,0.011
2017.327,Measured value,-0.021
2017.38,Measured value,-0.001
2017.383,Measured value,0.004
2017.417,Measured value,-0.014
2017.493,Measured value,0.02
2017.496,Measured value,-0.017
2017.552,Measured value,-0.01
2017.622,Measured value,-0.014
2017.625,Measured value,0.016
2017.627,Measured value,0.02
2017.657,Measured value,-0.02
2017.699,Measured value,-0.012
2017.702,Measured value,0.02
2017.705,Measured value,0.007
2017.708,Measured value,-0.01
2017.783,Measured value,0.013
2017.786,Measured value,-0.005
2017.788,Measured value,0.003
2017.813,Measured value,-0.009
2017.816,Measured value,0.011
2017.818,Measured value,-0.013
2017.824,Measured value,-0.02
2017.858,Measured value,-0.001
2017.949,Measured value,0.018
2017.974,Measured value,-0.01
1998.902,Upper error margin,0.818
1998.936,Upper error margin,0.818
1998.944,Upper error margin,0.818
1998.947,Upper error margin,0.818
1998.949,Upper error margin,0.818
1998.952,Upper error margin,0.818
1998.977,Upper error margin,0.818
1999.022,Upper error margin,0.818
1999.036,Upper error margin,0.821
1999.06,Upper error margin,0.824
1999.105,Upper error margin,0.831
1999.138,Upper error margin,0.836
1999.194,Upper error margin,0.845
1999.227,Upper error margin,0.85
1999.23,Upper error margin,0.85
1999.238,Upper error margin,0.851
1999.264,Upper error margin,0.855
1999.275,Upper error margin,0.857
1999.307,Upper error margin,0.862
1999.355,Upper error margin,0.869
1999.388,Upper error margin,0.874
1999.436,Upper error margin,0.882
1999.439,Upper error margin,0.882
1999.466,Upper error margin,0.886
1999.549,Upper error margin,0.899
1999.594,Upper error margin,0.906
1999.597,Upper error margin,0.906
1999.625,Upper error margin,0.91
1999.675,Upper error margin,0.918
1999.678,Upper error margin,0.919
1999.699,Upper error margin,0.922
1999.702,Upper error margin,0.922
1999.705,Upper error margin,0.923
1999.746,Upper error margin,0.929
1999.75,Upper error margin,0.93
1999.753,Upper error margin,0.93
1999.755,Upper error margin,0.93
1999.758,Upper error margin,0.931
1999.783,Upper error margin,0.935
1999.786,Upper error margin,0.935
1999.788,Upper error margin,0.935
1999.791,Upper error margin,0.936
1999.799,Upper error margin,0.937
1999.832,Upper error margin,0.942
1999.839,Upper error margin,0.943
1999.842,Upper error margin,0.944
1999.864,Upper error margin,0.947
1999.875,Upper error margin,0.949
1999.877,Upper error margin,0.949
1999.947,Upper error margin,0.961
1999.949,Upper error margin,0.962
1999.96,Upper error margin,0.964
2000.027,Upper error margin,0.975
2000.033,Upper error margin,0.976
2000.074,Upper error margin,0.983
2000.083,Upper error margin,0.985
2000.197,Upper error margin,1.004
2000.241,Upper error margin,1.012
2000.243,Upper error margin,1.012
2000.275,Upper error margin,1.018
2000.277,Upper error margin,1.018
2000.313,Upper error margin,1.024
2000.321,Upper error margin,1.026
2000.324,Upper error margin,1.026
2000.358,Upper error margin,1.032
2000.405,Upper error margin,1.04
2000.436,Upper error margin,1.046
2000.516,Upper error margin,1.06
2000.563,Upper error margin,1.068
2000.566,Upper error margin,1.069
2000.594,Upper error margin,1.074
2000.646,Upper error margin,1.083
2000.667,Upper error margin,1.086
2000.672,Upper error margin,1.087
2000.719,Upper error margin,1.095
2000.721,Upper error margin,1.096
2000.758,Upper error margin,1.104
2000.761,Upper error margin,1.104
2000.764,Upper error margin,1.105
2000.766,Upper error margin,1.105
2000.836,Upper error margin,1.12
2000.839,Upper error margin,1.121
2000.883,Upper error margin,1.13
2000.91,Upper error margin,1.136
2000.913,Upper error margin,1.136
2000.922,Upper error margin,1.138
2000.963,Upper error margin,1.147
2000.971,Upper error margin,1.148
2001.003,Upper error margin,1.15
2001.047,Upper error margin,1.149
2001.049,Upper error margin,1.149
2001.079,Upper error margin,1.149
2001.133,Upper error margin,1.148
2001.169,Upper error margin,1.147
2001.21,Upper error margin,1.146
2001.213,Upper error margin,1.146
2001.216,Upper error margin,1.146
2001.243,Upper error margin,1.146
2001.291,Upper error margin,1.145
2001.294,Upper error margin,1.145
2001.329,Upper error margin,1.145
2001.339,Upper error margin,1.144
2001.377,Upper error margin,1.144
2001.402,Upper error margin,1.143
2001.41,Upper error margin,1.143
2001.417,Upper error margin,1.143
2001.455,Upper error margin,1.143
2001.458,Upper error margin,1.142
2001.488,Upper error margin,1.142
2001.527,Upper error margin,1.141
2001.533,Upper error margin,1.141
2001.568,Upper error margin,1.141
2001.577,Upper error margin,1.141
2001.614,Upper error margin,1.14
2001.646,Upper error margin,1.139
2001.721,Upper error margin,1.138
2001.724,Upper error margin,1.138
2001.727,Upper error margin,1.138
2001.81,Upper error margin,1.137
2001.891,Upper error margin,1.135
2001.936,Upper error margin,1.135
2002.047,Upper error margin,1.118
2002.049,Upper error margin,1.118
2002.052,Upper error margin,1.117
2002.092,Upper error margin,1.11
2002.127,Upper error margin,1.103
2002.175,Upper error margin,1.094
2002.216,Upper error margin,1.087
2002.377,Upper error margin,1.058
2002.38,Upper error margin,1.058
2002.425,Upper error margin,1.05
2002.452,Upper error margin,1.045
2002.458,Upper error margin,1.044
2002.46,Upper error margin,1.044
2002.496,Upper error margin,1.038
2002.503,Upper error margin,1.037
2002.538,Upper error margin,1.031
2002.541,Upper error margin,1.031
2002.582,Upper error margin,1.024
2002.597,Upper error margin,1.021
2002.611,Upper error margin,1.019
2002.619,Upper error margin,1.017
2002.66,Upper error margin,1.011
2002.697,Upper error margin,1.004
2002.746,Upper error margin,0.995
2002.75,Upper error margin,0.994
2002.829,Upper error margin,0.979
2002.864,Upper error margin,0.973
2002.941,Upper error margin,0.958
2002.944,Upper error margin,0.958
2003.027,Upper error margin,0.944
2003.063,Upper error margin,0.944
2003.092,Upper error margin,0.943
2003.264,Upper error margin,0.941
2003.272,Upper error margin,0.941
2003.313,Upper error margin,0.94
2003.316,Upper error margin,0.94
2003.318,Upper error margin,0.94
2003.344,Upper error margin,0.939
2003.425,Upper error margin,0.938
2003.471,Upper error margin,0.937
2003.477,Upper error margin,0.937
2003.48,Upper error margin,0.937
2003.482,Upper error margin,0.937
2003.505,Upper error margin,0.937
2003.552,Upper error margin,0.936
2003.589,Upper error margin,0.935
2003.592,Upper error margin,0.935
2003.635,Upper error margin,0.934
2003.669,Upper error margin,0.934
2003.743,Upper error margin,0.933
2003.799,Upper error margin,0.932
2003.807,Upper error margin,0.931
2004.077,Upper error margin,0.927
2004.288,Upper error margin,0.923
2004.31,Upper error margin,0.922
2004.324,Upper error margin,0.922
2004.364,Upper error margin,0.921
2004.366,Upper error margin,0.921
2004.402,Upper error margin,0.92
2004.444,Upper error margin,0.92
2004.447,Upper error margin,0.92
2004.449,Upper error margin,0.92
2004.471,Upper error margin,0.919
2004.485,Upper error margin,0.919
2004.527,Upper error margin,0.919
2004.53,Upper error margin,0.919
2004.563,Upper error margin,0.918
2004.568,Upper error margin,0.918
2004.605,Upper error margin,0.917
2004.608,Upper error margin,0.917
2004.638,Upper error margin,0.917
2004.766,Upper error margin,0.915
2004.88,Upper error margin,0.913
2005.038,Upper error margin,0.911
2005.086,Upper error margin,0.91
2005.277,Upper error margin,0.906
2005.336,Upper error margin,0.905
2005.339,Upper error margin,0.905
2005.375,Upper error margin,0.905
2005.416,Upper error margin,0.904
2005.417,Upper error margin,0.904
2005.419,Upper error margin,0.904
2005.452,Upper error margin,0.904
2005.458,Upper error margin,0.904
2005.491,Upper error margin,0.903
2005.493,Upper error margin,0.903
2005.5,Upper error margin,0.903
2006.582,Upper error margin,0.883
2007.138,Upper error margin,0.892
2007.361,Upper error margin,0.917
2007.364,Upper error margin,0.917
2007.441,Upper error margin,0.926
2007.474,Upper error margin,0.93
2007.519,Upper error margin,0.935
2007.522,Upper error margin,0.935
2007.552,Upper error margin,0.938
2007.597,Upper error margin,0.943
2007.6,Upper error margin,0.943
2007.603,Upper error margin,0.944
2007.633,Upper error margin,0.947
2007.678,Upper error margin,0.951
2007.68,Upper error margin,0.952
2007.719,Upper error margin,0.956
2007.755,Upper error margin,0.96
2007.758,Upper error margin,0.96
2007.764,Upper error margin,0.96
2007.883,Upper error margin,0.973
2007.952,Upper error margin,0.98
2007.955,Upper error margin,0.981
2007.958,Upper error margin,0.981
2008.0,Upper error margin,0.984
2008.038,Upper error margin,0.983
2008.155,Upper error margin,0.981
2008.16,Upper error margin,0.981
2008.197,Upper error margin,0.98
2008.28,Upper error margin,0.979
2008.327,Upper error margin,0.978
2008.353,Upper error margin,0.977
2008.361,Upper error margin,0.977
2008.41,Upper error margin,0.976
2008.413,Upper error margin,0.976
2008.488,Upper error margin,0.975
2008.491,Upper error margin,0.974
2008.519,Upper error margin,0.974
2008.568,Upper error margin,0.973
2008.571,Upper error margin,0.973
2008.574,Upper error margin,0.973
2008.597,Upper error margin,0.972
2008.649,Upper error margin,0.971
2008.652,Upper error margin,0.971
2008.675,Upper error margin,0.971
2008.678,Upper error margin,0.971
2008.68,Upper error margin,0.971
2008.839,Upper error margin,0.968
2008.842,Upper error margin,0.968
2008.919,Upper error margin,0.968
2008.922,Upper error margin,0.968
2009.297,Upper error margin,0.992
2009.299,Upper error margin,0.992
2009.377,Upper error margin,0.999
2009.405,Upper error margin,1.002
2009.455,Upper error margin,1.007
2009.482,Upper error margin,1.01
2009.491,Upper error margin,1.011
2009.541,Upper error margin,1.016
2009.544,Upper error margin,1.017
2009.571,Upper error margin,1.02
2009.574,Upper error margin,1.02
2009.622,Upper error margin,1.025
2009.627,Upper error margin,1.025
2009.649,Upper error margin,1.028
2009.699,Upper error margin,1.033
2009.702,Upper error margin,1.033
2009.732,Upper error margin,1.036
2009.735,Upper error margin,1.037
2009.738,Upper error margin,1.037
2009.896,Upper error margin,1.054
2009.899,Upper error margin,1.054
2009.98,Upper error margin,1.062
2010.027,Upper error margin,1.055
2010.13,Upper error margin,1.033
2010.194,Upper error margin,1.02
2010.219,Upper error margin,1.014
2010.221,Upper error margin,1.014
2010.266,Upper error margin,1.001
2010.35,Upper error margin,0.978
2010.388,Upper error margin,0.967
2010.425,Upper error margin,0.957
2010.428,Upper error margin,0.956
2010.463,Upper error margin,0.946
2010.466,Upper error margin,0.945
2010.508,Upper error margin,0.932
2010.522,Upper error margin,0.928
2010.6,Upper error margin,0.905
2010.619,Upper error margin,0.899
2010.622,Upper error margin,0.898
2010.667,Upper error margin,0.884
2010.669,Upper error margin,0.884
2010.758,Upper error margin,0.86
2010.832,Upper error margin,0.841
2010.864,Upper error margin,0.833
2010.866,Upper error margin,0.833
2010.919,Upper error margin,0.819
2010.991,Upper error margin,0.801
2011.027,Upper error margin,0.792
2011.033,Upper error margin,0.791
2011.068,Upper error margin,0.782
2011.077,Upper error margin,0.78
2011.1,Upper error margin,0.776
2011.103,Upper error margin,0.775
2011.105,Upper error margin,0.775
2011.108,Upper error margin,0.775
2011.114,Upper error margin,0.774
2011.189,Upper error margin,0.763
2011.191,Upper error margin,0.763
2011.194,Upper error margin,0.763
2011.235,Upper error margin,0.757
2011.241,Upper error margin,0.756
2011.277,Upper error margin,0.751
2011.318,Upper error margin,0.745
2011.321,Upper error margin,0.745
2011.324,Upper error margin,0.745
2011.327,Upper error margin,0.744
2011.361,Upper error margin,0.739
2011.396,Upper error margin,0.735
2011.399,Upper error margin,0.734
2011.638,Upper error margin,0.704
2011.669,Upper error margin,0.7
2011.672,Upper error margin,0.699
2011.675,Upper error margin,0.699
2011.721,Upper error margin,0.693
2011.724,Upper error margin,0.693
2011.75,Upper error margin,0.69
2011.753,Upper error margin,0.689
2011.755,Upper error margin,0.689
2011.802,Upper error margin,0.683
2011.891,Upper error margin,0.671
2011.971,Upper error margin,0.659
2012.068,Upper error margin,0.657
2012.082,Upper error margin,0.659
2012.086,Upper error margin,0.659
2012.127,Upper error margin,0.664
2012.152,Upper error margin,0.667
2012.155,Upper error margin,0.667
2012.172,Upper error margin,0.669
2012.199,Upper error margin,0.672
2012.205,Upper error margin,0.673
2012.208,Upper error margin,0.673
2012.238,Upper error margin,0.677
2012.243,Upper error margin,0.677
2012.288,Upper error margin,0.682
2012.291,Upper error margin,0.682
2012.369,Upper error margin,0.691
2012.372,Upper error margin,0.692
2012.375,Upper error margin,0.692
2012.399,Upper error margin,0.695
2012.407,Upper error margin,0.696
2012.439,Upper error margin,0.699
2012.447,Upper error margin,0.7
2012.452,Upper error margin,0.701
2012.455,Upper error margin,0.701
2012.485,Upper error margin,0.704
2012.605,Upper error margin,0.719
2012.611,Upper error margin,0.719
2012.616,Upper error margin,0.72
2012.619,Upper error margin,0.72
2013.008,Upper error margin,0.767
2013.041,Upper error margin,0.771
2013.044,Upper error margin,0.772
2013.1,Upper error margin,0.787
2013.213,Upper error margin,0.817
2013.25,Upper error margin,0.827
2013.264,Upper error margin,0.831
