Domain,Area,Element,Item,Year,Unit,Value
"New Food Balances","World","Food supply (kcal/capita/day)","Treenuts","2018","kcal/capita/day","17"
"New Food Balances","World","Food supply (kcal/capita/day)","Vegetables","2014","kcal/capita/day","95"
"New Food Balances","World","Food supply (kcal/capita/day)","Vegetables","2015","kcal/capita/day","96"
"New Food Balances","World","Food supply (kcal/capita/day)","Vegetables","2016","kcal/capita/day","97"
"New Food Balances","World","Food supply (kcal/capita/day)","Vegetables","2017","kcal/capita/day","98"
"New Food Balances","World","Food supply (kcal/capita/day)","Vegetables","2018","kcal/capita/day","98"
"New Food Balances","World","Food supply (kcal/capita/day)","Fruits - Excluding Wine","2014","kcal/capita/day","97"
"New Food Balances","World","Food supply (kcal/capita/day)","Fruits - Excluding Wine","2015","kcal/capita/day","99"
"New Food Balances","World","Food supply (kcal/capita/day)","Fruits - Excluding Wine","2016","kcal/capita/day","98"
"New Food Balances","World","Food supply (kcal/capita/day)","Fruits - Excluding Wine","2017","kcal/capita/day","99"
"New Food Balances","World","Food supply (kcal/capita/day)","Fruits - Excluding Wine","2018","kcal/capita/day","101"
"New Food Balances","World","Food supply (kcal/capita/day)","Bovine Meat","2014","kcal/capita/day","39"
"New Food Balances","World","Food supply (kcal/capita/day)","Bovine Meat","2015","kcal/capita/day","38"
"New Food Balances","World","Food supply (kcal/capita/day)","Bovine Meat","2016","kcal/capita/day","38"
"New Food Balances","World","Food supply (kcal/capita/day)","Bovine Meat","2017","kcal/capita/day","38"
"New Food Balances","World","Food supply (kcal/capita/day)","Bovine Meat","2018","kcal/capita/day","39"
"New Food Balances","World","Food supply (kcal/capita/day)","Mutton & Goat Meat","2014","kcal/capita/day","11"
"New Food Balances","World","Food supply (kcal/capita/day)","Mutton & Goat Meat","2015","kcal/capita/day","11"
"New Food Balances","World","Food supply (kcal/capita/day)","Mutton & Goat Meat","2016","kcal/capita/day","11"
"New Food Balances","World","Food supply (kcal/capita/day)","Mutton & Goat Meat","2017","kcal/capita/day","11"
"New Food Balances","World","Food supply (kcal/capita/day)","Mutton & Goat Meat","2018","kcal/capita/day","11"
"New Food Balances","World","Food supply (kcal/capita/day)","Pigmeat","2014","kcal/capita/day","119"
"New Food Balances","World","Food supply (kcal/capita/day)","Pigmeat","2015","kcal/capita/day","120"
"New Food Balances","World","Food supply (kcal/capita/day)","Pigmeat","2016","kcal/capita/day","121"
"New Food Balances","World","Food supply (kcal/capita/day)","Pigmeat","2017","kcal/capita/day","122"
"New Food Balances","World","Food supply (kcal/capita/day)","Pigmeat","2018","kcal/capita/day","123"
"New Food Balances","World","Food supply (kcal/capita/day)","Poultry Meat","2014","kcal/capita/day","59"
"New Food Balances","World","Food supply (kcal/capita/day)","Poultry Meat","2015","kcal/capita/day","60"
"New Food Balances","World","Food supply (kcal/capita/day)","Poultry Meat","2016","kcal/capita/day","60"
"New Food Balances","World","Food supply (kcal/capita/day)","Poultry Meat","2017","kcal/capita/day","61"
"New Food Balances","World","Food supply (kcal/capita/day)","Poultry Meat","2018","kcal/capita/day","61"
"New Food Balances","World","Food supply (kcal/capita/day)","Meat, Other","2014","kcal/capita/day","3"
"New Food Balances","World","Food supply (kcal/capita/day)","Meat, Other","2015","kcal/capita/day","3"
"New Food Balances","World","Food supply (kcal/capita/day)","Meat, Other","2016","kcal/capita/day","3"
"New Food Balances","World","Food supply (kcal/capita/day)","Meat, Other","2017","kcal/capita/day","3"
"New Food Balances","World","Food supply (kcal/capita/day)","Meat, Other","2018","kcal/capita/day","3"
"New Food Balances","World","Food supply (kcal/capita/day)","Offals, Edible","2014","kcal/capita/day","7"
"New Food Balances","World","Food supply (kcal/capita/day)","Offals, Edible","2015","kcal/capita/day","7"
"New Food Balances","World","Food supply (kcal/capita/day)","Offals, Edible","2016","kcal/capita/day","7"
"New Food Balances","World","Food supply (kcal/capita/day)","Offals, Edible","2017","kcal/capita/day","7"
"New Food Balances","World","Food supply (kcal/capita/day)","Offals, Edible","2018","kcal/capita/day","7"
"New Food Balances","World","Food supply (kcal/capita/day)","Butter, Ghee","2014","kcal/capita/day","30"
"New Food Balances","World","Food supply (kcal/capita/day)","Butter, Ghee","2015","kcal/capita/day","30"
"New Food Balances","World","Food supply (kcal/capita/day)","Butter, Ghee","2016","kcal/capita/day","30"
"New Food Balances","World","Food supply (kcal/capita/day)","Butter, Ghee","2017","kcal/capita/day","31"
"New Food Balances","World","Food supply (kcal/capita/day)","Butter, Ghee","2018","kcal/capita/day","31"
"New Food Balances","World","Food supply (kcal/capita/day)","Cream","2014","kcal/capita/day","2"
"New Food Balances","World","Food supply (kcal/capita/day)","Cream","2015","kcal/capita/day","2"
"New Food Balances","World","Food supply (kcal/capita/day)","Cream","2016","kcal/capita/day","2"
"New Food Balances","World","Food supply (kcal/capita/day)","Cream","2017","kcal/capita/day","2"
"New Food Balances","World","Food supply (kcal/capita/day)","Cream","2018","kcal/capita/day","2"
"New Food Balances","World","Food supply (kcal/capita/day)","Fats, Animals, Raw","2014","kcal/capita/day","31"
"New Food Balances","World","Food supply (kcal/capita/day)","Fats, Animals, Raw","2015","kcal/capita/day","31"
"New Food Balances","World","Food supply (kcal/capita/day)","Fats, Animals, Raw","2016","kcal/capita/day","30"
"New Food Balances","World","Food supply (kcal/capita/day)","Fats, Animals, Raw","2017","kcal/capita/day","30"
"New Food Balances","World","Food supply (kcal/capita/day)","Fats, Animals, Raw","2018","kcal/capita/day","30"
"New Food Balances","World","Food supply (kcal/capita/day)","Fish, Body Oil","2014","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Fish, Body Oil","2015","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Fish, Body Oil","2016","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Fish, Body Oil","2017","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Fish, Body Oil","2018","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Fish, Liver Oil","2014","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Fish, Liver Oil","2015","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Fish, Liver Oil","2016","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Fish, Liver Oil","2017","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Fish, Liver Oil","2018","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Eggs","2014","kcal/capita/day","36"
"New Food Balances","World","Food supply (kcal/capita/day)","Eggs","2015","kcal/capita/day","37"
"New Food Balances","World","Food supply (kcal/capita/day)","Eggs","2016","kcal/capita/day","37"
"New Food Balances","World","Food supply (kcal/capita/day)","Eggs","2017","kcal/capita/day","37"
"New Food Balances","World","Food supply (kcal/capita/day)","Eggs","2018","kcal/capita/day","38"
"New Food Balances","World","Food supply (kcal/capita/day)","Milk - Excluding Butter","2014","kcal/capita/day","139"
"New Food Balances","World","Food supply (kcal/capita/day)","Milk - Excluding Butter","2015","kcal/capita/day","138"
"New Food Balances","World","Food supply (kcal/capita/day)","Milk - Excluding Butter","2016","kcal/capita/day","140"
"New Food Balances","World","Food supply (kcal/capita/day)","Milk - Excluding Butter","2017","kcal/capita/day","141"
"New Food Balances","World","Food supply (kcal/capita/day)","Milk - Excluding Butter","2018","kcal/capita/day","144"
"New Food Balances","World","Food supply (kcal/capita/day)","Freshwater Fish","2014","kcal/capita/day","14"
"New Food Balances","World","Food supply (kcal/capita/day)","Freshwater Fish","2015","kcal/capita/day","15"
"New Food Balances","World","Food supply (kcal/capita/day)","Freshwater Fish","2016","kcal/capita/day","15"
"New Food Balances","World","Food supply (kcal/capita/day)","Freshwater Fish","2017","kcal/capita/day","15"
"New Food Balances","World","Food supply (kcal/capita/day)","Freshwater Fish","2018","kcal/capita/day","15"
"New Food Balances","World","Food supply (kcal/capita/day)","Demersal Fish","2014","kcal/capita/day","5"
"New Food Balances","World","Food supply (kcal/capita/day)","Demersal Fish","2015","kcal/capita/day","5"
"New Food Balances","World","Food supply (kcal/capita/day)","Demersal Fish","2016","kcal/capita/day","5"
"New Food Balances","World","Food supply (kcal/capita/day)","Demersal Fish","2017","kcal/capita/day","5"
"New Food Balances","World","Food supply (kcal/capita/day)","Demersal Fish","2018","kcal/capita/day","5"
"New Food Balances","World","Food supply (kcal/capita/day)","Pelagic Fish","2014","kcal/capita/day","9"
"New Food Balances","World","Food supply (kcal/capita/day)","Pelagic Fish","2015","kcal/capita/day","8"
"New Food Balances","World","Food supply (kcal/capita/day)","Pelagic Fish","2016","kcal/capita/day","8"
"New Food Balances","World","Food supply (kcal/capita/day)","Pelagic Fish","2017","kcal/capita/day","8"
"New Food Balances","World","Food supply (kcal/capita/day)","Pelagic Fish","2018","kcal/capita/day","8"
"New Food Balances","World","Food supply (kcal/capita/day)","Marine Fish, Other","2014","kcal/capita/day","2"
"New Food Balances","World","Food supply (kcal/capita/day)","Marine Fish, Other","2015","kcal/capita/day","2"
"New Food Balances","World","Food supply (kcal/capita/day)","Marine Fish, Other","2016","kcal/capita/day","2"
"New Food Balances","World","Food supply (kcal/capita/day)","Marine Fish, Other","2017","kcal/capita/day","2"
"New Food Balances","World","Food supply (kcal/capita/day)","Marine Fish, Other","2018","kcal/capita/day","2"
"New Food Balances","World","Food supply (kcal/capita/day)","Crustaceans","2014","kcal/capita/day","2"
"New Food Balances","World","Food supply (kcal/capita/day)","Crustaceans","2015","kcal/capita/day","2"
"New Food Balances","World","Food supply (kcal/capita/day)","Crustaceans","2016","kcal/capita/day","2"
"New Food Balances","World","Food supply (kcal/capita/day)","Crustaceans","2017","kcal/capita/day","3"
"New Food Balances","World","Food supply (kcal/capita/day)","Crustaceans","2018","kcal/capita/day","3"
"New Food Balances","World","Food supply (kcal/capita/day)","Cephalopods","2014","kcal/capita/day","1"
"New Food Balances","World","Food supply (kcal/capita/day)","Cephalopods","2015","kcal/capita/day","1"
"New Food Balances","World","Food supply (kcal/capita/day)","Cephalopods","2016","kcal/capita/day","1"
"New Food Balances","World","Food supply (kcal/capita/day)","Cephalopods","2017","kcal/capita/day","1"
"New Food Balances","World","Food supply (kcal/capita/day)","Cephalopods","2018","kcal/capita/day","1"
"New Food Balances","World","Food supply (kcal/capita/day)","Molluscs, Other","2014","kcal/capita/day","1"
"New Food Balances","World","Food supply (kcal/capita/day)","Molluscs, Other","2015","kcal/capita/day","1"
"New Food Balances","World","Food supply (kcal/capita/day)","Molluscs, Other","2016","kcal/capita/day","1"
"New Food Balances","World","Food supply (kcal/capita/day)","Molluscs, Other","2017","kcal/capita/day","1"
"New Food Balances","World","Food supply (kcal/capita/day)","Molluscs, Other","2018","kcal/capita/day","1"
"New Food Balances","World","Food supply (kcal/capita/day)","Meat, Aquatic Mammals","2014","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Meat, Aquatic Mammals","2015","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Meat, Aquatic Mammals","2016","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Meat, Aquatic Mammals","2017","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Meat, Aquatic Mammals","2018","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Aquatic Animals, Others","2014","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Aquatic Animals, Others","2015","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Aquatic Animals, Others","2016","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Aquatic Animals, Others","2017","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Aquatic Animals, Others","2018","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Aquatic Plants","2014","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Aquatic Plants","2015","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Aquatic Plants","2016","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Aquatic Plants","2017","kcal/capita/day","0"
"New Food Balances","World","Food supply (kcal/capita/day)","Aquatic Plants","2018","kcal/capita/day","0"
