    Date       Albedo_anomaly
  2012.4851074    -0.0011787
  2012.6053467     0.0164815
  2012.6107178    -0.0083623
  2012.6162109     0.0195512
  2012.6190186    -0.0236834
  2013.0081787    -0.0098546
  2013.0411377     0.0090418
  2013.0438232     0.0125426
  2013.0998535    -0.0100911
  2013.2132568     0.0239412
  2013.2500000    -0.0234021
  2013.2636719     0.0033294
  2013.2883301     0.0172846
  2013.2938232    -0.0218248
  2013.3020020    -0.0014134
  2013.3388672     0.0097165
  2013.3415527     0.0227785
  2013.3690186     0.0051541
  2013.3800049    -0.0181967
  2013.4193115     0.0079073
  2013.4248047     0.0016665
  2013.4494629     0.0047753
  2013.4522705     0.0217558
  2013.4549561     0.0137505
  2013.4577637    -0.0142879
  2013.4960938     0.0130431
  2013.5328369     0.0136346
  2013.5766602     0.0078148
  2013.5794678     0.0125493
  2013.5860596    -0.0140135
  2013.6573486    -0.0159411
  2013.6600342     0.0111878
  2013.6628418     0.0066849
  2013.7379150    -0.0159472
  2013.7406006     0.0192247
  2013.7500000     0.0152579
  2013.7719727    -0.0084105
  2013.7856445    -0.0085795
  2013.8212891    -0.0003970
  2013.8553467    -0.0180892
  2013.8991699    -0.0102692
  2013.9796143    -0.0122135
  2013.9824219    -0.0131102
  2014.0246582    -0.0173692
  2014.0603027    -0.0229961
  2014.0860596    -0.0044108
  2014.1053467     0.0126968
  2014.1408691    -0.0029174
  2014.1857910     0.0098868
  2014.2269287     0.0176677
  2014.2554932     0.0065448
  2014.2636719     0.0043306
  2014.2664795    -0.0206973
  2014.3020020    -0.0036340
  2014.3048096    -0.0216595
  2014.3388672     0.0124691
  2014.3881836     0.0145885
  2014.4166260    -0.0008653
  2014.4248047     0.0095879
  2014.4276123    -0.0238303
  2014.4331055    -0.0009975
  2014.4357910     0.0092630
  2014.4632568    -0.0084819
  2014.4659424    -0.0138073
  2014.4686279     0.0189038
  2014.4741211    -0.0083444
  2014.4960938     0.0022563
  2014.5000000    -0.0033633
  2014.5026855     0.0169749
  2014.5054932     0.0177438
  2014.5081787    -0.0018930
  2014.5520020    -0.0032399
  2014.5548096     0.0011767
  2014.5574951    -0.0185488
  2014.6271973    -0.0127604
  2014.6300049     0.0127093
  2014.6326904    -0.0094375
  2014.7049561    -0.0089788
  2014.7077637    -0.0020844
  2014.7132568     0.0176629
  2014.7159424     0.0130848
  2014.7186279    -0.0187068
  2014.7432861    -0.0076694
  2015.0629883     0.0015325
  2015.0657959     0.0119569
  2015.1053467    -0.0015125
  2015.1107178    -0.0148675
  2015.1135254     0.0013426
  2015.1518555    -0.0082672
  2015.2296143     0.0022643
  2015.2351074    -0.0098929
  2015.2801514    -0.0239739
  2015.3048096     0.0175528
  2015.3157959    -0.0219210
  2015.3963623    -0.0066029
  2015.3991699    -0.0149315
  2015.4018555     0.0191518
  2015.4357910    -0.0156163
  2015.4412842     0.0212457
  2015.4467773     0.0099802
  2015.4769287    -0.0127766
  2015.4796143    -0.0141415
  2015.5246582     0.0176657
  2015.5273438     0.0035075
  2015.5548096    -0.0074526
  2015.5603027    -0.0222401
  2015.5970459    -0.0058438
  2015.6025391     0.0080617
  2015.6748047     0.0128418
  2015.6776123    -0.0141504
  2015.6802979    -0.0005752
  2015.6831055     0.0090062
  2015.6857910    -0.0079676
  2015.7186279    -0.0189437
  2015.7664795     0.0047355
  2015.7993164    -0.0080676
  2015.8074951    -0.0198845
  2015.8360596     0.0221151
  2015.8498535     0.0049555
  2015.8800049    -0.0058334
  2015.9248047    -0.0053651
  2015.9357910     0.0031409
  2015.9577637     0.0050368
  2016.0356445    -0.0189310
  2016.1135254    -0.0082049
  2016.1162109     0.0194605
  2016.1666260     0.0001137
  2016.1994629     0.0195828
  2016.2801514    -0.0148473
  2016.2828369    -0.0089744
  2016.3294678     0.0065565
  2016.3388672     0.0112939
  2016.3607178     0.0169580
  2016.3635254     0.0058632
  2016.4357910    -0.0143751
  2016.4385986     0.0237110
  2016.4412842    -0.0111471
  2016.5246582    -0.0090804
  2016.5328369    -0.0192384
  2016.5970459     0.0194771
  2016.6025391     0.0187327
  2016.6053467    -0.0026829
  2016.6107178    -0.0197070
  2016.6491699    -0.0235772
  2016.6518555     0.0091408
  2016.6546631    -0.0021162
  2016.6831055    -0.0211823
  2016.7269287    -0.0131663
  2016.7296143    -0.0084695
  2016.7324219    -0.0001525
  2016.7351074    -0.0168873
  2016.7719727    -0.0212911
  2016.8048096    -0.0062180
  2016.8074951     0.0190091
  2016.8415527    -0.0218830
  2016.8991699    -0.0212200
  2016.9357910     0.0013474
  2016.9686279     0.0045975
  2017.0081787     0.0064837
  2017.0833740    -0.0051580
  2017.1693115     0.0138441
  2017.2966309    -0.0149548
  2017.2993164     0.0106660
  2017.3266602    -0.0212832
  2017.3800049    -0.0011688
  2017.3826904     0.0036294
  2017.4166260    -0.0140826
  2017.4932861     0.0204096
  2017.4960938    -0.0170876
  2017.5520020    -0.0097752
  2017.6217041    -0.0141564
  2017.6245117     0.0158954
  2017.6271973     0.0202404
  2017.6573486    -0.0195441
  2017.6994629    -0.0118034
  2017.7022705     0.0196280
  2017.7049561     0.0070212
  2017.7077637    -0.0101272
  2017.7828369     0.0126138
  2017.7856445    -0.0051696
  2017.7883301     0.0027236
  2017.8129883    -0.0086994
  2017.8157959     0.0111184
  2017.8184814    -0.0131634
  2017.8239746    -0.0196620
  2017.8580322    -0.0006018
  2017.9494629     0.0178509
  2017.9741211    -0.0099069
