category,Item,Year,Unit,Value,producing_population_Mhd
eggs,"Eggs, hen, in shell",2004,1000 Head,5557018,5557.018
eggs,"Eggs, hen, in shell",2005,1000 Head,5722981,5722.981
eggs,"Eggs, hen, in shell",2006,1000 Head,5918965,5918.965
eggs,"Eggs, hen, in shell",2007,1000 Head,6077780,6077.78
eggs,"Eggs, hen, in shell",2008,1000 Head,6254368,6254.368
eggs,"Eggs, hen, in shell",2009,1000 Head,6348052,6348.052
eggs,"Eggs, hen, in shell",2010,1000 Head,6520831,6520.831
eggs,"Eggs, hen, in shell",2011,1000 Head,6616656,6616.656
eggs,"Eggs, hen, in shell",2012,1000 Head,6819159,6819.159
eggs,"Eggs, hen, in shell",2013,1000 Head,6974713,6974.713
eggs,"Eggs, hen, in shell",2014,1000 Head,7111061,7111.061
eggs,"Eggs, hen, in shell",2015,1000 Head,7223672,7223.672
eggs,"Eggs, hen, in shell",2016,1000 Head,7389729,7389.729
eggs,"Eggs, hen, in shell",2017,1000 Head,7483715,7483.715
eggs,"Eggs, hen, in shell",2018,1000 Head,7466460,7466.46
eggs,"Eggs, other bird, in shell",1961,1000 Head,56115,56.115
eggs,"Eggs, other bird, in shell",1962,1000 Head,57424,57.424
eggs,"Eggs, other bird, in shell",1963,1000 Head,57932,57.932
eggs,"Eggs, other bird, in shell",1964,1000 Head,58222,58.222
eggs,"Eggs, other bird, in shell",1965,1000 Head,58616,58.616
eggs,"Eggs, other bird, in shell",1966,1000 Head,59331,59.331
eggs,"Eggs, other bird, in shell",1967,1000 Head,59826,59.826
eggs,"Eggs, other bird, in shell",1968,1000 Head,61347,61.347
eggs,"Eggs, other bird, in shell",1969,1000 Head,62024,62.024
eggs,"Eggs, other bird, in shell",1970,1000 Head,62214,62.214
eggs,"Eggs, other bird, in shell",1971,1000 Head,62438,62.438
eggs,"Eggs, other bird, in shell",1972,1000 Head,62558,62.558
eggs,"Eggs, other bird, in shell",1973,1000 Head,62676,62.676
eggs,"Eggs, other bird, in shell",1974,1000 Head,61721,61.721
eggs,"Eggs, other bird, in shell",1975,1000 Head,67982,67.982
eggs,"Eggs, other bird, in shell",1976,1000 Head,68110,68.11
eggs,"Eggs, other bird, in shell",1977,1000 Head,74353,74.353
eggs,"Eggs, other bird, in shell",1978,1000 Head,76586,76.586
eggs,"Eggs, other bird, in shell",1979,1000 Head,79877,79.877
eggs,"Eggs, other bird, in shell",1980,1000 Head,81246,81.246
eggs,"Eggs, other bird, in shell",1981,1000 Head,80132,80.132
eggs,"Eggs, other bird, in shell",1982,1000 Head,80166,80.166
eggs,"Eggs, other bird, in shell",1983,1000 Head,79002,79.002
eggs,"Eggs, other bird, in shell",1984,1000 Head,79805,79.805
eggs,"Eggs, other bird, in shell",1985,1000 Head,74421,74.421
eggs,"Eggs, other bird, in shell",1986,1000 Head,77172,77.172
eggs,"Eggs, other bird, in shell",1987,1000 Head,74529,74.529
eggs,"Eggs, other bird, in shell",1988,1000 Head,70453,70.453
eggs,"Eggs, other bird, in shell",1989,1000 Head,67158,67.158
eggs,"Eggs, other bird, in shell",1990,1000 Head,68638,68.638
eggs,"Eggs, other bird, in shell",1991,1000 Head,73058,73.058
eggs,"Eggs, other bird, in shell",1992,1000 Head,79684,79.684
eggs,"Eggs, other bird, in shell",1993,1000 Head,83576,83.576
eggs,"Eggs, other bird, in shell",1994,1000 Head,89068,89.068
eggs,"Eggs, other bird, in shell",1995,1000 Head,91411,91.411
eggs,"Eggs, other bird, in shell",1996,1000 Head,105215,105.215
eggs,"Eggs, other bird, in shell",1997,1000 Head,112882,112.882
eggs,"Eggs, other bird, in shell",1998,1000 Head,115732,115.732
eggs,"Eggs, other bird, in shell",1999,1000 Head,105356,105.356
eggs,"Eggs, other bird, in shell",2000,1000 Head,108562,108.562
eggs,"Eggs, other bird, in shell",2001,1000 Head,113883,113.883
eggs,"Eggs, other bird, in shell",2002,1000 Head,118095,118.095
eggs,"Eggs, other bird, in shell",2003,1000 Head,122489,122.489
eggs,"Eggs, other bird, in shell",2004,1000 Head,124271,124.271
eggs,"Eggs, other bird, in shell",2005,1000 Head,134529,134.529
eggs,"Eggs, other bird, in shell",2006,1000 Head,137895,137.895
eggs,"Eggs, other bird, in shell",2007,1000 Head,143715,143.715
eggs,"Eggs, other bird, in shell",2008,1000 Head,152449,152.449
eggs,"Eggs, other bird, in shell",2009,1000 Head,162562,162.562
eggs,"Eggs, other bird, in shell",2010,1000 Head,169422,169.422
eggs,"Eggs, other bird, in shell",2011,1000 Head,170034,170.034
eggs,"Eggs, other bird, in shell",2012,1000 Head,180866,180.866
eggs,"Eggs, other bird, in shell",2013,1000 Head,193990,193.99
eggs,"Eggs, other bird, in shell",2014,1000 Head,212914,212.914
eggs,"Eggs, other bird, in shell",2015,1000 Head,216574,216.574
eggs,"Eggs, other bird, in shell",2016,1000 Head,211089,211.089
eggs,"Eggs, other bird, in shell",2017,1000 Head,228562,228.562
eggs,"Eggs, other bird, in shell",2018,1000 Head,235666,235.666
meat,"Meat, ass",1961,Head,245200,0.2452
meat,"Meat, ass",1962,Head,277300,0.2773
meat,"Meat, ass",1963,Head,272900,0.2729
meat,"Meat, ass",1964,Head,290100,0.2901
meat,"Meat, ass",1965,Head,326100,0.3261
meat,"Meat, ass",1966,Head,344500,0.3445
meat,"Meat, ass",1967,Head,351900,0.3519
meat,"Meat, ass",1968,Head,361700,0.3617
meat,"Meat, ass",1969,Head,359600,0.3596
meat,"Meat, ass",1970,Head,369100,0.3691
meat,"Meat, ass",1971,Head,403000,0.403
meat,"Meat, ass",1972,Head,406000,0.406
meat,"Meat, ass",1973,Head,380700,0.3807
meat,"Meat, ass",1974,Head,380700,0.3807
meat,"Meat, ass",1975,Head,376886,0.376886
meat,"Meat, ass",1976,Head,381826,0.381826
meat,"Meat, ass",1977,Head,369168,0.369168
meat,"Meat, ass",1978,Head,373655,0.373655
meat,"Meat, ass",1979,Head,367010,0.36701
meat,"Meat, ass",1980,Head,364733,0.364733
meat,"Meat, ass",1981,Head,381709,0.381709
meat,"Meat, ass",1982,Head,404238,0.404238
meat,"Meat, ass",1983,Head,414280,0.41428
meat,"Meat, ass",1984,Head,401132,0.401132
meat,"Meat, ass",1985,Head,397910,0.39791
meat,"Meat, ass",1986,Head,423000,0.423
meat,"Meat, ass",1987,Head,428678,0.428678
meat,"Meat, ass",1988,Head,458990,0.45899
meat,"Meat, ass",1989,Head,474432,0.474432
meat,"Meat, ass",1990,Head,472242,0.472242
meat,"Meat, ass",1991,Head,492947,0.492947
meat,"Meat, ass",1992,Head,2157864,2.157864
meat,"Meat, ass",1993,Head,2137063,2.137063
meat,"Meat, ass",1994,Head,2123371,2.123371
meat,"Meat, ass",1995,Head,2130103,2.130103
meat,"Meat, ass",1996,Head,2281887,2.281887
meat,"Meat, ass",1997,Head,2031672,2.031672
meat,"Meat, ass",1998,Head,2031924,2.031924
meat,"Meat, ass",1999,Head,2106923,2.106923
meat,"Meat, ass",2000,Head,2170178,2.170178
meat,"Meat, ass",2001,Head,2193207,2.193207
meat,"Meat, ass",2002,Head,2281668,2.281668
meat,"Meat, ass",2003,Head,2337336,2.337336
meat,"Meat, ass",2004,Head,2408262,2.408262
meat,"Meat, ass",2005,Head,2420426,2.420426
meat,"Meat, ass",2006,Head,2493460,2.49346
meat,"Meat, ass",2007,Head,2429033,2.429033
meat,"Meat, ass",2008,Head,2427923,2.427923
meat,"Meat, ass",2009,Head,2568750,2.56875
meat,"Meat, ass",2010,Head,2587981,2.587981
meat,"Meat, ass",2011,Head,2687288,2.687288
meat,"Meat, ass",2012,Head,2680194,2.680194
meat,"Meat, ass",2013,Head,2656199,2.656199
meat,"Meat, ass",2014,Head,2561140,2.56114
meat,"Meat, ass",2015,Head,2352766,2.352766
meat,"Meat, ass",2016,Head,2156023,2.156023
meat,"Meat, ass",2017,Head,2578320,2.57832
meat,"Meat, ass",2018,Head,2622294,2.622294
meat,"Meat, buffalo",1961,Head,7744138,7.744138
meat,"Meat, buffalo",1962,Head,7989005,7.989005
meat,"Meat, buffalo",1963,Head,8126567,8.126567
meat,"Meat, buffalo",1964,Head,8408709,8.408709
meat,"Meat, buffalo",1965,Head,8566276,8.566276
meat,"Meat, buffalo",1966,Head,8683014,8.683014
meat,"Meat, buffalo",1967,Head,8897804,8.897804
meat,"Meat, buffalo",1968,Head,9239157,9.239157
meat,"Meat, buffalo",1969,Head,9410766,9.410766
meat,"Meat, buffalo",1970,Head,9626620,9.62662
meat,"Meat, buffalo",1971,Head,9912534,9.912534
meat,"Meat, buffalo",1972,Head,10089752,10.089752
meat,"Meat, buffalo",1973,Head,10436843,10.436843
meat,"Meat, buffalo",1974,Head,10725229,10.725229
meat,"Meat, buffalo",1975,Head,10816252,10.816252
meat,"Meat, buffalo",1976,Head,11050517,11.050517
meat,"Meat, buffalo",1977,Head,11269026,11.269026
meat,"Meat, buffalo",1978,Head,11448237,11.448237
meat,"Meat, buffalo",1979,Head,11758463,11.758463
meat,"Meat, buffalo",1980,Head,11971723,11.971723
meat,"Meat, buffalo",1981,Head,12320424,12.320424
meat,"Meat, buffalo",1982,Head,13106993,13.106993
meat,"Meat, buffalo",1983,Head,13293766,13.293766
meat,"Meat, buffalo",1984,Head,13711963,13.711963
meat,"Meat, buffalo",1985,Head,14285916,14.285916
meat,"Meat, buffalo",1986,Head,14771297,14.771297
meat,"Meat, buffalo",1987,Head,14841151,14.841151
meat,"Meat, buffalo",1988,Head,16025272,16.025272
meat,"Meat, buffalo",1989,Head,15878165,15.878165
meat,"Meat, buffalo",1990,Head,16265647,16.265647
meat,"Meat, buffalo",1991,Head,16598082,16.598082
meat,"Meat, buffalo",1992,Head,17032094,17.032094
meat,"Meat, buffalo",1993,Head,17769774,17.769774
meat,"Meat, buffalo",1994,Head,18408102,18.408102
meat,"Meat, buffalo",1995,Head,19185260,19.18526
meat,"Meat, buffalo",1996,Head,17953694,17.953694
meat,"Meat, buffalo",1997,Head,19318866,19.318866
meat,"Meat, buffalo",1998,Head,19652520,19.65252
meat,"Meat, buffalo",1999,Head,20308853,20.308853
meat,"Meat, buffalo",2000,Head,20484013,20.484013
meat,"Meat, buffalo",2001,Head,20372364,20.372364
meat,"Meat, buffalo",2002,Head,20758787,20.758787
meat,"Meat, buffalo",2003,Head,20047840,20.04784
meat,"Meat, buffalo",2004,Head,20680262,20.680262
meat,"Meat, buffalo",2005,Head,21280719,21.280719
meat,"Meat, buffalo",2006,Head,22036401,22.036401
meat,"Meat, buffalo",2007,Head,22884747,22.884747
meat,"Meat, buffalo",2008,Head,23175670,23.17567
meat,"Meat, buffalo",2009,Head,24826950,24.82695
meat,"Meat, buffalo",2010,Head,25771225,25.771225
meat,"Meat, buffalo",2011,Head,26003977,26.003977
meat,"Meat, buffalo",2012,Head,26469509,26.469509
meat,"Meat, buffalo",2013,Head,26110595,26.110595
meat,"Meat, buffalo",2014,Head,26326049,26.326049
meat,"Meat, buffalo",2015,Head,26545189,26.545189
meat,"Meat, buffalo",2016,Head,26945966,26.945966
meat,"Meat, buffalo",2017,Head,27330110,27.33011
meat,"Meat, buffalo",2018,Head,27799035,27.799035
meat,"Meat, camel",1961,Head,648845,0.648845
meat,"Meat, camel",1962,Head,667424,0.667424
meat,"Meat, camel",1963,Head,689554,0.689554
meat,"Meat, camel",1964,Head,708068,0.708068
meat,"Meat, camel",1965,Head,748660,0.74866
meat,"Meat, camel",1966,Head,798943,0.798943
meat,"Meat, camel",1967,Head,801909,0.801909
meat,"Meat, camel",1968,Head,849681,0.849681
meat,"Meat, camel",1969,Head,830793,0.830793
meat,"Meat, camel",1970,Head,846539,0.846539
meat,"Meat, camel",1971,Head,853649,0.853649
meat,"Meat, camel",1972,Head,888092,0.888092
meat,"Meat, camel",1973,Head,900154,0.900154
meat,"Meat, camel",1974,Head,963079,0.963079
meat,"Meat, camel",1975,Head,919709,0.919709
meat,"Meat, camel",1976,Head,927569,0.927569
meat,"Meat, camel",1977,Head,920754,0.920754
meat,"Meat, camel",1978,Head,897786,0.897786
meat,"Meat, camel",1979,Head,903347,0.903347
meat,"Meat, camel",1980,Head,960432,0.960432
meat,"Meat, camel",1981,Head,927205,0.927205
meat,"Meat, camel",1982,Head,990970,0.99097
meat,"Meat, camel",1983,Head,988922,0.988922
meat,"Meat, camel",1984,Head,1048244,1.048244
meat,"Meat, camel",1985,Head,1063270,1.06327
meat,"Meat, camel",1986,Head,1023965,1.023965
meat,"Meat, camel",1987,Head,1007031,1.007031
meat,"Meat, camel",1988,Head,1065845,1.065845
meat,"Meat, camel",1989,Head,1150276,1.150276
meat,"Meat, camel",1990,Head,1233767,1.233767
meat,"Meat, camel",1991,Head,1311409,1.311409
meat,"Meat, camel",1992,Head,1385577,1.385577
meat,"Meat, camel",1993,Head,1311595,1.311595
meat,"Meat, camel",1994,Head,1393524,1.393524
meat,"Meat, camel",1995,Head,1440408,1.440408
meat,"Meat, camel",1996,Head,1555095,1.555095
meat,"Meat, camel",1997,Head,1582227,1.582227
meat,"Meat, camel",1998,Head,1650056,1.650056
meat,"Meat, camel",1999,Head,1607052,1.607052
meat,"Meat, camel",2000,Head,1624133,1.624133
meat,"Meat, camel",2001,Head,1698786,1.698786
meat,"Meat, camel",2002,Head,1695378,1.695378
meat,"Meat, camel",2003,Head,1773658,1.773658
meat,"Meat, camel",2004,Head,1851662,1.851662
meat,"Meat, camel",2005,Head,1708419,1.708419
meat,"Meat, camel",2006,Head,1931149,1.931149
meat,"Meat, camel",2007,Head,2134683,2.134683
meat,"Meat, camel",2008,Head,2322316,2.322316
meat,"Meat, camel",2009,Head,2283597,2.283597
meat,"Meat, camel",2010,Head,2414283,2.414283
meat,"Meat, camel",2011,Head,2468763,2.468763
meat,"Meat, camel",2012,Head,2331713,2.331713
meat,"Meat, camel",2013,Head,2411649,2.411649
meat,"Meat, camel",2014,Head,2412796,2.412796
meat,"Meat, camel",2015,Head,2454144,2.454144
meat,"Meat, camel",2016,Head,2479153,2.479153
meat,"Meat, camel",2017,Head,2543657,2.543657
meat,"Meat, camel",2018,Head,2540635,2.540635
meat,"Meat, cattle",1961,Head,172956292,172.956292
meat,"Meat, cattle",1962,Head,184306019,184.306019
meat,"Meat, cattle",1963,Head,193884384,193.884384
meat,"Meat, cattle",1964,Head,191783550,191.78355
meat,"Meat, cattle",1965,Head,191617876,191.617876
meat,"Meat, cattle",1966,Head,196736063,196.736063
meat,"Meat, cattle",1967,Head,204662382,204.662382
meat,"Meat, cattle",1968,Head,211065231,211.065231
meat,"Meat, cattle",1969,Head,211695232,211.695232
meat,"Meat, cattle",1970,Head,210511331,210.511331
meat,"Meat, cattle",1971,Head,204371632,204.371632
meat,"Meat, cattle",1972,Head,203966484,203.966484
meat,"Meat, cattle",1973,Head,203885585,203.885585
meat,"Meat, cattle",1974,Head,216929813,216.929813
meat,"Meat, cattle",1975,Head,232901568,232.901568
meat,"Meat, cattle",1976,Head,243246550,243.24655
meat,"Meat, cattle",1977,Head,243788050,243.78805
meat,"Meat, cattle",1978,Head,245202771,245.202771
meat,"Meat, cattle",1979,Head,237016110,237.01611
meat,"Meat, cattle",1980,Head,234955671,234.955671
meat,"Meat, cattle",1981,Head,237104169,237.104169
meat,"Meat, cattle",1982,Head,238507532,238.507532
meat,"Meat, cattle",1983,Head,240569335,240.569335
meat,"Meat, cattle",1984,Head,246319936,246.319936
meat,"Meat, cattle",1985,Head,246807157,246.807157
meat,"Meat, cattle",1986,Head,253564338,253.564338
meat,"Meat, cattle",1987,Head,250641496,250.641496
meat,"Meat, cattle",1988,Head,249686489,249.686489
meat,"Meat, cattle",1989,Head,249967413,249.967413
meat,"Meat, cattle",1990,Head,254316127,254.316127
meat,"Meat, cattle",1991,Head,256255651,256.255651
meat,"Meat, cattle",1992,Head,254214526,254.214526
meat,"Meat, cattle",1993,Head,254737613,254.737613
meat,"Meat, cattle",1994,Head,258019568,258.019568
meat,"Meat, cattle",1995,Head,259539306,259.539306
meat,"Meat, cattle",1996,Head,261227492,261.227492
meat,"Meat, cattle",1997,Head,268305393,268.305393
meat,"Meat, cattle",1998,Head,269588084,269.588084
meat,"Meat, cattle",1999,Head,271235668,271.235668
meat,"Meat, cattle",2000,Head,271971267,271.971267
meat,"Meat, cattle",2001,Head,267078997,267.078997
meat,"Meat, cattle",2002,Head,272335478,272.335478
meat,"Meat, cattle",2003,Head,276921991,276.921991
meat,"Meat, cattle",2004,Head,281211809,281.211809
meat,"Meat, cattle",2005,Head,283404941,283.404941
meat,"Meat, cattle",2006,Head,288761840,288.76184
meat,"Meat, cattle",2007,Head,293835954,293.835954
meat,"Meat, cattle",2008,Head,294116193,294.116193
meat,"Meat, cattle",2009,Head,291736127,291.736127
meat,"Meat, cattle",2010,Head,291416468,291.416468
meat,"Meat, cattle",2011,Head,290285032,290.285032
meat,"Meat, cattle",2012,Head,293093702,293.093702
meat,"Meat, cattle",2013,Head,297593570,297.59357
meat,"Meat, cattle",2014,Head,296583849,296.583849
meat,"Meat, cattle",2015,Head,293893542,293.893542
meat,"Meat, cattle",2016,Head,294463976,294.463976
meat,"Meat, cattle",2017,Head,297730185,297.730185
meat,"Meat, cattle",2018,Head,302128113,302.128113
meat,"Meat, chicken",1961,1000 Head,6577869,6577.869
meat,"Meat, chicken",1962,1000 Head,6853536,6853.536
meat,"Meat, chicken",1963,1000 Head,7219918,7219.918
meat,"Meat, chicken",1964,1000 Head,7495146,7495.146
meat,"Meat, chicken",1965,1000 Head,8120139,8120.139
meat,"Meat, chicken",1966,1000 Head,8277472,8277.472
meat,"Meat, chicken",1967,1000 Head,9159074,9159.074
meat,"Meat, chicken",1968,1000 Head,9474670,9474.67
meat,"Meat, chicken",1969,1000 Head,10158324,10158.324
meat,"Meat, chicken",1970,1000 Head,11034188,11034.188
meat,"Meat, chicken",1971,1000 Head,11390271,11390.271
meat,"Meat, chicken",1972,1000 Head,12169120,12169.12
meat,"Meat, chicken",1973,1000 Head,12704649,12704.649
meat,"Meat, chicken",1974,1000 Head,13190174,13190.174
meat,"Meat, chicken",1975,1000 Head,13382800,13382.8
meat,"Meat, chicken",1976,1000 Head,14286949,14286.949
meat,"Meat, chicken",1977,1000 Head,15193656,15193.656
meat,"Meat, chicken",1978,1000 Head,16215309,16215.309
meat,"Meat, chicken",1979,1000 Head,17452391,17452.391
meat,"Meat, chicken",1980,1000 Head,18392525,18392.525
meat,"Meat, chicken",1981,1000 Head,19353538,19353.538
meat,"Meat, chicken",1982,1000 Head,20022384,20022.384
meat,"Meat, chicken",1983,1000 Head,20481154,20481.154
meat,"Meat, chicken",1984,1000 Head,20861570,20861.57
meat,"Meat, chicken",1985,1000 Head,21774959,21774.959
meat,"Meat, chicken",1986,1000 Head,22869302,22869.302
meat,"Meat, chicken",1987,1000 Head,24545918,24545.918
meat,"Meat, chicken",1988,1000 Head,25491080,25491.08
meat,"Meat, chicken",1989,1000 Head,25863051,25863.051
meat,"Meat, chicken",1990,1000 Head,27184885,27184.885
meat,"Meat, chicken",1991,1000 Head,28202998,28202.998
meat,"Meat, chicken",1992,1000 Head,29335752,29335.752
meat,"Meat, chicken",1993,1000 Head,30831975,30831.975
meat,"Meat, chicken",1994,1000 Head,32078838,32078.838
meat,"Meat, chicken",1995,1000 Head,34087381,34087.381
meat,"Meat, chicken",1996,1000 Head,34994325,34994.325
meat,"Meat, chicken",1997,1000 Head,36368946,36368.946
meat,"Meat, chicken",1998,1000 Head,37102236,37102.236
meat,"Meat, chicken",1999,1000 Head,38954106,38954.106
meat,"Meat, chicken",2000,1000 Head,40554848,40554.848
meat,"Meat, chicken",2001,1000 Head,42005596,42005.596
meat,"Meat, chicken",2002,1000 Head,43664254,43664.254
meat,"Meat, chicken",2003,1000 Head,44363159,44363.159
meat,"Meat, chicken",2004,1000 Head,45278330,45278.33
meat,"Meat, chicken",2005,1000 Head,47461643,47461.643
meat,"Meat, chicken",2006,1000 Head,48259122,48259.122
meat,"Meat, chicken",2007,1000 Head,51167523,51167.523
meat,"Meat, chicken",2008,1000 Head,53571315,53571.315
meat,"Meat, chicken",2009,1000 Head,55394628,55394.628
meat,"Meat, chicken",2010,1000 Head,56643368,56643.368
meat,"Meat, chicken",2011,1000 Head,58260235,58260.235
meat,"Meat, chicken",2012,1000 Head,59489556,59489.556
meat,"Meat, chicken",2013,1000 Head,60408983,60408.983
meat,"Meat, chicken",2014,1000 Head,61827376,61827.376
meat,"Meat, chicken",2015,1000 Head,63814249,63814.249
meat,"Meat, chicken",2016,1000 Head,65326782,65326.782
meat,"Meat, chicken",2017,1000 Head,66708647,66708.647
meat,"Meat, chicken",2018,1000 Head,68785221,68785.221
meat,"Meat, duck",1961,1000 Head,226713,226.713
meat,"Meat, duck",1962,1000 Head,235197,235.197
meat,"Meat, duck",1963,1000 Head,250608,250.608
meat,"Meat, duck",1964,1000 Head,258949,258.949
meat,"Meat, duck",1965,1000 Head,272838,272.838
meat,"Meat, duck",1966,1000 Head,283829,283.829
meat,"Meat, duck",1967,1000 Head,293365,293.365
meat,"Meat, duck",1968,1000 Head,304553,304.553
meat,"Meat, duck",1969,1000 Head,315310,315.31
meat,"Meat, duck",1970,1000 Head,336631,336.631
meat,"Meat, duck",1971,1000 Head,350875,350.875
meat,"Meat, duck",1972,1000 Head,358449,358.449
meat,"Meat, duck",1973,1000 Head,373609,373.609
meat,"Meat, duck",1974,1000 Head,386389,386.389
meat,"Meat, duck",1975,1000 Head,381434,381.434
meat,"Meat, duck",1976,1000 Head,396430,396.43
meat,"Meat, duck",1977,1000 Head,416215,416.215
meat,"Meat, duck",1978,1000 Head,441339,441.339
meat,"Meat, duck",1979,1000 Head,479383,479.383
meat,"Meat, duck",1980,1000 Head,479245,479.245
meat,"Meat, duck",1981,1000 Head,502921,502.921
meat,"Meat, duck",1982,1000 Head,523895,523.895
meat,"Meat, duck",1983,1000 Head,545569,545.569
meat,"Meat, duck",1984,1000 Head,560407,560.407
meat,"Meat, duck",1985,1000 Head,583083,583.083
meat,"Meat, duck",1986,1000 Head,629610,629.61
meat,"Meat, duck",1987,1000 Head,687256,687.256
meat,"Meat, duck",1988,1000 Head,730986,730.986
meat,"Meat, duck",1989,1000 Head,749728,749.728
meat,"Meat, duck",1990,1000 Head,812040,812.04
meat,"Meat, duck",1991,1000 Head,924383,924.383
meat,"Meat, duck",1992,1000 Head,1024252,1024.252
meat,"Meat, duck",1993,1000 Head,1190739,1190.739
meat,"Meat, duck",1994,1000 Head,1294263,1294.263
meat,"Meat, duck",1995,1000 Head,1449338,1449.338
meat,"Meat, duck",1996,1000 Head,1508791,1508.791
meat,"Meat, duck",1997,1000 Head,1623025,1623.025
meat,"Meat, duck",1998,1000 Head,1746135,1746.135
meat,"Meat, duck",1999,1000 Head,2051294,2051.294
meat,"Meat, duck",2000,1000 Head,1968545,1968.545
meat,"Meat, duck",2001,1000 Head,2031932,2031.932
meat,"Meat, duck",2002,1000 Head,1998405,1998.405
meat,"Meat, duck",2003,1000 Head,2075858,2075.858
meat,"Meat, duck",2004,1000 Head,2107170,2107.17
meat,"Meat, duck",2005,1000 Head,2290327,2290.327
meat,"Meat, duck",2006,1000 Head,2273089,2273.089
meat,"Meat, duck",2007,1000 Head,2440230,2440.23
meat,"Meat, duck",2008,1000 Head,2576155,2576.155
meat,"Meat, duck",2009,1000 Head,2598656,2598.656
meat,"Meat, duck",2010,1000 Head,2685590,2685.59
meat,"Meat, duck",2011,1000 Head,2784859,2784.859
meat,"Meat, duck",2012,1000 Head,2902224,2902.224
meat,"Meat, duck",2013,1000 Head,2881886,2881.886
meat,"Meat, duck",2014,1000 Head,2831009,2831.009
meat,"Meat, duck",2015,1000 Head,2922409,2922.409
meat,"Meat, duck",2016,1000 Head,2975190,2975.19
meat,"Meat, duck",2017,1000 Head,2939492,2939.492
meat,"Meat, duck",2018,1000 Head,2989098,2989.098
meat,"Meat, game",1991,Head,757108,0.757108
meat,"Meat, game",1992,Head,836588,0.836588
meat,"Meat, game",1993,Head,770795,0.770795
meat,"Meat, game",1994,Head,796310,0.79631
meat,"Meat, game",1995,Head,725423,0.725423
meat,"Meat, game",1996,Head,660725,0.660725
meat,"Meat, game",1997,Head,760728,0.760728
meat,"Meat, game",1998,Head,797963,0.797963
meat,"Meat, game",1999,Head,823441,0.823441
meat,"Meat, game",2000,Head,838364,0.838364
meat,"Meat, game",2001,Head,831939,0.831939
meat,"Meat, game",2002,Head,818993,0.818993
meat,"Meat, game",2003,Head,781721,0.781721
meat,"Meat, game",2004,Head,848454,0.848454
meat,"Meat, game",2005,Head,861374,0.861374
meat,"Meat, game",2006,Head,677999,0.677999
meat,"Meat, game",2007,Head,899269,0.899269
meat,"Meat, game",2008,Head,811660,0.81166
