median,.lower,.upper,.width,full_taxa_name,source,stressor
20.81667642,19.57936679,22.07584037,0.5,catfish,Farmed,phosphorus
20.81667642,18.48096287,23.24237993,0.8,catfish,Farmed,phosphorus
20.81667642,17.26923414,24.60327885,0.95,catfish,Farmed,phosphorus
23.98413645,22.85587828,25.11597107,0.5,shrimp,Farmed,phosphorus
23.98413645,21.77028788,26.22132695,0.8,shrimp,Farmed,phosphorus
23.98413645,20.67234141,27.37980657,0.95,shrimp,Farmed,phosphorus
24.41310789,23.39936237,25.46363754,0.5,tilapia,Farmed,phosphorus
24.41310789,22.5113498,26.36671075,0.8,tilapia,Farmed,phosphorus
24.41310789,21.49351564,27.37820523,0.95,tilapia,Farmed,phosphorus
50.17616112,45.85387671,54.98948485,0.5,misc marine,Farmed,phosphorus
50.17616112,42.12843804,59.55637768,0.8,misc marine,Farmed,phosphorus
50.17616112,37.93418269,64.66790452,0.95,misc marine,Farmed,phosphorus
37.50265945,26.61304774,49.65125545,0.5,misc diad,Farmed,phosphorus
37.50265945,18.00586871,61.03533704,0.8,misc diad,Farmed,phosphorus
37.50265945,9.580161716,75.4371369,0.95,misc diad,Farmed,phosphorus
NA,27.5,40,NA,chicken,NA,phosphorus
0,0,0,0.5,seaweeds,Farmed,water
0,0,0,0.8,seaweeds,Farmed,water
0,0,0,0.95,seaweeds,Farmed,water
0,0,0,0.5,bivalves,Farmed,water
0,0,0,0.8,bivalves,Farmed,water
0,0,0,0.95,bivalves,Farmed,water
9277.279692,8641.69443,9909.05722,0.5,silver/bighead,Farmed,water
9277.279692,8080.999784,10526.59108,0.8,silver/bighead,Farmed,water
9277.279692,7431.861834,11154.72605,0.95,silver/bighead,Farmed,water
155.7114717,147.4271882,164.1376349,0.5,salmon,Farmed,water
155.7114717,140.2152282,171.6968843,0.8,salmon,Farmed,water
155.7114717,132.4148296,181.0703413,0.95,salmon,Farmed,water
112.580508,0,452.8757853,0.5,trout,Farmed,water
112.580508,0,771.9128447,0.8,trout,Farmed,water
112.580508,0,1087.36764,0.95,trout,Farmed,water
282.91342,252.9344596,314.0668463,0.5,milkfish,Farmed,water
282.91342,227.6891641,343.4838354,0.8,milkfish,Farmed,water
282.91342,197.3377619,382.2754713,0.95,milkfish,Farmed,water
3522.775104,3190.275345,3876.35359,0.5,misc carp,Farmed,water
3522.775104,2881.809852,4176.18416,0.8,misc carp,Farmed,water
3522.775104,2543.045772,4518.437249,0.95,misc carp,Farmed,water
2094.4458,1837.935623,2350.085302,0.5,catfish,Farmed,water
2094.4458,1605.509055,2603.337867,0.8,catfish,Farmed,water
2094.4458,1318.250475,2886.662676,0.95,catfish,Farmed,water
219.1653337,211.0827312,227.232292,0.5,shrimp,Farmed,water
219.1653337,203.8810267,234.2724964,0.8,shrimp,Farmed,water
219.1653337,196.0056878,242.4103164,0.95,shrimp,Farmed,water
1230.467594,979.9558893,1490.52769,0.5,tilapia,Farmed,water
1230.467594,728.7222508,1739.585777,0.8,tilapia,Farmed,water
1230.467594,450.371448,2027.180247,0.95,tilapia,Farmed,water
401.3947201,367.6614582,438.7210327,0.5,misc marine,Farmed,water
401.3947201,338.9939476,474.4584041,0.8,misc marine,Farmed,water
401.3947201,311.3712735,517.9489909,0.95,misc marine,Farmed,water
362.8803627,267.1874378,482.6153119,0.5,misc diad,Farmed,water
362.8803627,199.240368,607.1245981,0.8,misc diad,Farmed,water
362.8803627,139.0406994,769.0502808,0.95,misc diad,Farmed,water
NA,425,505,NA,chicken,NA,water
3877.940448,3142.98756,4661.169743,0.5,"herring, etc",Wild,ghg
3877.940448,2567.113274,5413.310322,0.8,"herring, etc",Wild,ghg
3877.940448,1983.36283,6419.343163,0.95,"herring, etc",Wild,ghg
5125.038766,4048.773193,6557.120176,0.5,"cod, etc",Wild,ghg
5125.038766,3320.489678,7908.041908,0.8,"cod, etc",Wild,ghg
5125.038766,2732.07545,9416.2172,0.95,"cod, etc",Wild,ghg
6881.338695,4344.843965,10016.34949,0.5,"salmon, etc",Wild,ghg
6881.338695,2847.535855,13091.04317,0.8,"salmon, etc",Wild,ghg
6881.338695,1673.84994,16900.33849,0.95,"salmon, etc",Wild,ghg
7629.053804,5874.823132,9871.400747,0.5,"tuna, etc",Wild,ghg
7629.053804,4705.760737,12098.80208,0.8,"tuna, etc",Wild,ghg
7629.053804,3632.497746,14639.923,0.95,"tuna, etc",Wild,ghg
8184.950304,5782.754421,10848.80554,0.5,"squid, etc",Wild,ghg
8184.950304,3991.745236,13388.43757,0.8,"squid, etc",Wild,ghg
8184.950304,2475.364399,16367.93182,0.95,"squid, etc",Wild,ghg
9665.174349,7405.113936,12036.08924,0.5,"jack, etc",Wild,ghg
9665.174349,5297.202662,14043.12595,0.8,"jack, etc",Wild,ghg
9665.174349,3003.289607,16260.7207,0.95,"jack, etc",Wild,ghg
9914.649563,6942.245484,13192.84883,0.5,"redfish, etc",Wild,ghg
9914.649563,4807.235334,16323.44489,0.8,"redfish, etc",Wild,ghg
9914.649563,2921.63385,20311.45087,0.95,"redfish, etc",Wild,ghg
11400.04939,9338.218871,13719.72435,0.5,bivalves,Wild,ghg
11400.04939,7923.328978,15846.5206,0.8,bivalves,Wild,ghg
11400.04939,6535.310906,18280.13332,0.95,bivalves,Wild,ghg
11956.73939,10787.93008,13186.11711,0.5,shrimp,Wild,ghg
11956.73939,9689.193961,14282.02091,0.8,shrimp,Wild,ghg
11956.73939,8607.155002,15477.93518,0.95,shrimp,Wild,ghg
19444.95157,17689.87201,21276.84302,0.5,lobster,Wild,ghg
19444.95157,16176.92717,22947.18363,0.8,lobster,Wild,ghg
19444.95157,14561.42102,24980.80327,0.95,lobster,Wild,ghg
20313.31444,18746.54327,21896.74146,0.5,"flounder, etc",Wild,ghg
20313.31444,17390.88396,23246.99611,0.8,"flounder, etc",Wild,ghg
20313.31444,15956.19492,24745.63049,0.95,"flounder, etc",Wild,ghg
