animal_category,animal_subcategory,feed_category,feed_subcategory,quantity,units,value
cattle,beef,barely,silage,total digestible nutrients,percent,60
cattle,beef,barely,silage,crude protein,percent,11.9
cattle,beef,barely,silage,crude fiber,percent,2.92
cattle,beef,barely,silage,ash,percent,8.3
cattle,beef,barely,silage,neutral detergent fiber,percent,56.8
cattle,beef,barely,silage,acid detergent fiber,percent,33.9
cattle,beef,barely,silage,calcium,percent,0.52
cattle,beef,barely,silage,phosphorus,percent,0.29
cattle,beef,barely,silage,dry matter,percent,37.1
cattle,beef,barely,beet pulp (dried),digestible energy,Mcal/kg,3.26
cattle,beef,barely,beet pulp (dried),metabolizable energy,Mcal/kg,2.68
cattle,beef,barely,beet pulp (dried),net energy (maintenance),Mcal/kg,1.76
cattle,beef,barely,beet pulp (dried),net energy (gain),Mcal/kg,1.14
cattle,beef,barely,beet pulp (dried),total digestible nutrients,percent,74
cattle,beef,barely,beet pulp (dried),crude protein,percent,9.8
cattle,beef,barely,beet pulp (dried),crude fiber,percent,20
cattle,beef,barely,beet pulp (dried),ash,percent,5.3
cattle,beef,barely,beet pulp (dried),neutral detergent fiber,percent,44.6
cattle,beef,barely,beet pulp (dried),acid detergent fiber,percent,27.5
cattle,beef,barely,beet pulp (dried),calcium,percent,0.68
cattle,beef,barely,beet pulp (dried),phosphorus,percent,0.1
cattle,beef,barely,beet pulp (dried),dry matter,percent,91
cattle,beef,bermuda grass,fresh ,digestible energy,Mcal/kg,2.82
cattle,beef,bermuda grass,fresh ,metabolizable energy,Mcal/kg,2.31
cattle,beef,bermuda grass,fresh ,net energy (maintenance),Mcal/kg,1.44
cattle,beef,bermuda grass,fresh ,net energy (gain),Mcal/kg,0.86
cattle,beef,bermuda grass,fresh ,total digestible nutrients,percent,64
cattle,beef,bermuda grass,fresh ,crude protein,percent,12.6
cattle,beef,bermuda grass,fresh ,crude fiber,percent,28.4
cattle,beef,bermuda grass,fresh ,ash,percent,8.1
cattle,beef,bermuda grass,fresh ,neutral detergent fiber,percent,73.3
cattle,beef,bermuda grass,fresh ,acid detergent fiber,percent,36.8
cattle,beef,bermuda grass,fresh ,calcium,percent,0.49
cattle,beef,bermuda grass,fresh ,phosphorus,percent,0.27
cattle,beef,bermuda grass,fresh ,dry matter,percent,30.3
cattle,beef,bermuda grass,hay (sun cured),digestible energy,Mcal/kg,2.16
cattle,beef,bermuda grass,hay (sun cured),metabolizable energy,Mcal/kg,1.77
cattle,beef,bermuda grass,hay (sun cured),net energy (maintenance),Mcal/kg,0.93
cattle,beef,bermuda grass,hay (sun cured),net energy (gain),Mcal/kg,0.39
cattle,beef,bermuda grass,hay (sun cured),total digestible nutrients,percent,49
cattle,beef,bermuda grass,hay (sun cured),crude protein,percent,7.8
cattle,beef,bermuda grass,hay (sun cured),crude fiber,percent,2.7
cattle,beef,bermuda grass,hay (sun cured),ash,percent,76.6
cattle,beef,bermuda grass,hay (sun cured),calcium,percent,38.3
cattle,beef,bermuda grass,hay (sun cured),phosphorus,percent,8
cattle,beef,bermuda grass,hay (sun cured),dry matter,percent,93
cattle,beef,bermuda grass,brewers grains (dried),digestible energy,Mcal/kg,2.39
cattle,beef,bermuda grass,brewers grains (dried),metabolizable energy,Mcal/kg,2.39
cattle,beef,bermuda grass,brewers grains (dried),net energy (maintenance),Mcal/kg,1.51
cattle,beef,bermuda grass,brewers grains (dried),net energy (gain),Mcal/kg,0.91
cattle,beef,bermuda grass,brewers grains (dried),total digestible nutrients,percent,66
cattle,beef,bermuda grass,brewers grains (dried),crude protein,percent,29.2
cattle,beef,bermuda grass,brewers grains (dried),crude fiber,percent,7.899
cattle,beef,bermuda grass,brewers grains (dried),ash,percent,4.18
cattle,beef,bermuda grass,brewers grains (dried),neutral detergent fiber,percent,48.7
cattle,beef,bermuda grass,brewers grains (dried),acid detergent fiber,percent,31.2
cattle,beef,bermuda grass,brewers grains (dried),calcium,percent,0.29
cattle,beef,bermuda grass,brewers grains (dried),phosphorus,percent,0.7
cattle,beef,bermuda grass,brewers grains (dried),dry matter,percent,90.2
cattle,beef,bermuda grass,citrus pulp (dried),digestible energy,Mcal/kg,3.62
cattle,beef,bermuda grass,citrus pulp (dried),metabolizable energy,Mcal/kg,2.96
cattle,beef,bermuda grass,citrus pulp (dried),net energy (maintenance),Mcal/kg,2
cattle,beef,bermuda grass,citrus pulp (dried),net energy (gain),Mcal/kg,1.35
cattle,beef,bermuda grass,citrus pulp (dried),total digestible nutrients,percent,82
cattle,beef,bermuda grass,citrus pulp (dried),crude protein,percent,6.7
cattle,beef,bermuda grass,citrus pulp (dried),crude fiber,percent,12.8
cattle,beef,bermuda grass,citrus pulp (dried),ash,percent,6.6
cattle,beef,bermuda grass,citrus pulp (dried),neutral detergent fiber,percent,23
cattle,beef,bermuda grass,citrus pulp (dried),acid detergent fiber,percent,23
cattle,beef,bermuda grass,citrus pulp (dried),calcium,percent,1.88
cattle,beef,bermuda grass,citrus pulp (dried),phosphorus,percent,0.18
cattle,beef,bermuda grass,citrus pulp (dried),dry matter,percent,91.1
cattle,beef,corn,distillers grains (dried),digestible energy,Mcal/kg,3.88
cattle,beef,corn,distillers grains (dried),metabolizable energy,Mcal/kg,3.18
cattle,beef,corn,distillers grains (dried),net energy (maintenance),Mcal/kg,2.18
cattle,beef,corn,distillers grains (dried),net energy (gain),Mcal/kg,1.5
cattle,beef,corn,distillers grains (dried),total digestible nutrients,percent,90
cattle,beef,corn,distillers grains (dried),crude protein,percent,30.4
cattle,beef,corn,distillers grains (dried),crude fiber,percent,6.9
cattle,beef,corn,distillers grains (dried),ash,percent,4.6
cattle,beef,corn,distillers grains (dried),neutral detergent fiber,percent,46
cattle,beef,corn,distillers grains (dried),acid detergent fiber,percent,21.3
cattle,beef,corn,distillers grains (dried),calcium,percent,0.26
cattle,beef,corn,distillers grains (dried),phosphorus,percent,0.83
cattle,beef,corn,distillers grains (dried),dry matter,percent,90.3
cattle,beef,corn,gluten feed,digestible energy,Mcal/kg,3.53
cattle,beef,corn,gluten feed,metabolizable energy,Mcal/kg,2.89
cattle,beef,corn,gluten feed,net energy (maintenance),Mcal/kg,1.94
cattle,beef,corn,gluten feed,net energy (gain),Mcal/kg,1.3
cattle,beef,corn,gluten feed,total digestible nutrients,percent,80
cattle,beef,corn,gluten feed,crude protein,percent,23.8
cattle,beef,corn,gluten feed,crude fiber,percent,7.5
cattle,beef,corn,gluten feed,ash,percent,6.9
cattle,beef,corn,gluten feed,neutral detergent fiber,percent,36.2
cattle,beef,corn,gluten feed,acid detergent fiber,percent,12.7
cattle,beef,corn,gluten feed,calcium,percent,0.07
cattle,beef,corn,gluten feed,phosphorus,percent,0.95
cattle,beef,corn,gluten feed,dry matter,percent,90
cattle,beef,corn,grain (cracked),digestible energy,Mcal/kg,3.92
cattle,beef,corn,grain (cracked),metabolizable energy,Mcal/kg,3.25
cattle,beef,corn,grain (cracked),net energy (maintenance),Mcal/kg,2.24
cattle,beef,corn,grain (cracked),net energy (gain),Mcal/kg,1.55
cattle,beef,corn,grain (cracked),total digestible nutrients,percent,90
cattle,beef,corn,grain (cracked),crude protein,percent,9.8
cattle,beef,corn,grain (cracked),crude fiber,percent,2.3
cattle,beef,corn,grain (cracked),ash,percent,1.5
cattle,beef,corn,grain (cracked),neutral detergent fiber,percent,10.8
cattle,beef,corn,grain (cracked),acid detergent fiber,percent,3.3
cattle,beef,corn,grain (cracked),calcium,percent,0.03
cattle,beef,corn,grain (cracked),phosphorus,percent,0.32
cattle,beef,corn,grain (cracked),dry matter,percent,90
cattle,beef,corn,"silage, well eared",digestible energy,Mcal/kg,3.17
cattle,beef,corn,"silage, well eared",metabolizable energy,Mcal/kg,2.6
cattle,beef,corn,"silage, well eared",net energy (maintenance),Mcal/kg,1.69
cattle,beef,corn,"silage, well eared",net energy (gain),Mcal/kg,1.08
cattle,beef,corn,"silage, well eared",total digestible nutrients,percent,72
cattle,beef,corn,"silage, well eared",crude protein,percent,8.7
cattle,beef,corn,"silage, well eared",crude fiber,percent,19.5
cattle,beef,corn,"silage, well eared",ash,percent,3.6
cattle,beef,corn,"silage, well eared",neutral detergent fiber,percent,46
cattle,beef,corn,"silage, well eared",acid detergent fiber,percent,26.6
cattle,beef,corn,"silage, well eared",calcium,percent,0.25
cattle,beef,corn,"silage, well eared",phosphorus,percent,0.22
