,River,measurement,value
131,Magothy,Mmpw_t_yr,47.6
132,Magothy,R_mm_d,0.54
133,Magothy,Micro_#_m^-3,0.369
134,Magothy,Macro_#_m^-3,0.015
135,Magothy,Micro_g_m^-3,0.00018
136,Magothy,Macro_g_m^-3,0.00254
137,Magothy,Total_g_m^-3,0.00272
138,Magothy,Mmpw_t_yr,47.6
139,Magothy,R_mm_d,0.74
140,Magothy,Micro_#_m^-3,0.24
141,Magothy,Macro_#_m^-3,0.096
142,Magothy,Micro_g_m^-3,3.5e-05
143,Magothy,Macro_g_m^-3,0.00165
144,Magothy,Total_g_m^-3,0.00168
145,Magothy,Mmpw_t_yr,47.6
146,Magothy,R_mm_d,0.81
147,Rhode,Micro_#_m^-3,0.249
148,Rhode,Macro_#_m^-3,0.01
149,Rhode,Micro_g_m^-3,2.3e-05
150,Rhode,Macro_g_m^-3,0.00171
151,Rhode,Total_g_m^-3,0.00174
152,Rhode,Mmpw_t_yr,14.5
153,Rhode,R_mm_d,0.13
154,Rhode,Micro_#_m^-3,0.88
155,Rhode,Macro_#_m^-3,0.035
156,Rhode,Micro_g_m^-3,0.00037
157,Rhode,Macro_g_m^-3,0.00605
158,Rhode,Total_g_m^-3,0.00642
159,Rhode,Mmpw_t_yr,14.5
160,Rhode,R_mm_d,0.17
161,Rhode,Micro_#_m^-3,0.546
162,Rhode,Macro_#_m^-3,0.022
163,Rhode,Micro_g_m^-3,6.3e-05
164,Rhode,Macro_g_m^-3,0.00375
165,Rhode,Total_g_m^-3,0.00382
166,Rhode,Mmpw_t_yr,14.5
167,Rhode,R_mm_d,0.35
168,Rhode,Micro_#_m^-3,0.124
169,Rhode,Macro_#_m^-3,0.005
170,Rhode,Micro_g_m^-3,2.1e-05
171,Rhode,Macro_g_m^-3,0.000851
172,Rhode,Total_g_m^-3,0.000872
173,Rhode,Mmpw_t_yr,14.5
174,Rhode,R_mm_d,0.6
175,Corsica,Micro_#_m^-3,0.617
176,Corsica,Macro_#_m^-3,0.025
177,Corsica,Micro_g_m^-3,0.00013
178,Corsica,Macro_g_m^-3,0.00424
179,Corsica,Total_g_m^-3,0.00437
180,Corsica,Mmpw_t_yr,7.82
181,Corsica,R_mm_d,0.22
182,Corsica,Micro_#_m^-3,0.364
183,Corsica,Macro_#_m^-3,0.015
184,Corsica,Micro_g_m^-3,7.7e-05
185,Corsica,Macro_g_m^-3,0.0025
186,Corsica,Total_g_m^-3,0.00258
187,Corsica,Mmpw_t_yr,7.82
188,Corsica,R_mm_d,0.19
189,Corsica,Micro_#_m^-3,0.0714
190,Corsica,Macro_#_m^-3,0.0029
191,Corsica,Micro_g_m^-3,1.8e-05
192,Corsica,Macro_g_m^-3,0.000491
193,Corsica,Total_g_m^-3,0.000509
194,Corsica,Mmpw_t_yr,7.82
195,Corsica,R_mm_d,0.32
196,Corsica,Micro_#_m^-3,0.0369
197,Corsica,Macro_#_m^-3,0.0015
198,Corsica,Micro_g_m^-3,2.7e-05
199,Corsica,Macro_g_m^-3,0.000254
200,Corsica,Total_g_m^-3,0.00028
201,Corsica,Mmpw_t_yr,7.82
202,Corsica,R_mm_d,0.47
203,Yangtze,Micro_#_m^-3,4140.0
204,Yangtze,Macro_#_m^-3,170.0
205,Yangtze,Micro_g_m^-3,12.0
206,Yangtze,Macro_g_m^-3,28.4
207,Yangtze,Total_g_m^-3,40.8
208,Yangtze,Mmpw_t_yr,17700000.0
209,Yangtze,R_mm_d,1.5
