Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1899,-.15,-.37,-.35,-.19,-.22,-.31,-.15,-.08,-.04,-.04,.14,-.25,-.17,-.17,-.25,-.25,-.18,.02
1900,-.34,-.04,.02,-.08,-.07,-.09,-.12,-.08,-.04,.11,-.06,-.05,-.07,-.09,-.21,-.04,-.10,.00
1901,-.21,-.10,.07,-.01,-.14,-.11,-.14,-.20,-.22,-.28,-.17,-.27,-.15,-.13,-.12,-.03,-.15,-.22
1902,-.17,-.06,-.28,-.28,-.31,-.30,-.28,-.29,-.29,-.28,-.35,-.41,-.27,-.26,-.17,-.29,-.29,-.30
1903,-.22,-.05,-.22,-.40,-.39,-.41,-.35,-.44,-.49,-.48,-.42,-.50,-.36,-.36,-.23,-.33,-.40,-.46
1904,-.63,-.57,-.47,-.49,-.51,-.47,-.50,-.48,-.55,-.38,-.17,-.32,-.46,-.48,-.56,-.49,-.48,-.37
1905,-.34,-.58,-.21,-.33,-.28,-.27,-.26,-.20,-.19,-.24,-.07,-.12,-.26,-.27,-.41,-.28,-.24,-.17
1906,-.27,-.28,-.17,-.04,-.25,-.19,-.22,-.19,-.28,-.19,-.36,-.13,-.21,-.21,-.22,-.15,-.20,-.28
1907,-.42,-.49,-.26,-.35,-.46,-.41,-.35,-.33,-.34,-.23,-.46,-.45,-.38,-.35,-.35,-.36,-.36,-.34
1908,-.42,-.31,-.55,-.44,-.37,-.37,-.34,-.45,-.36,-.43,-.50,-.48,-.42,-.42,-.40,-.45,-.39,-.43
1909,-.71,-.46,-.55,-.58,-.53,-.50,-.44,-.32,-.38,-.38,-.32,-.54,-.48,-.47,-.55,-.55,-.42,-.36
1910,-.41,-.40,-.50,-.42,-.33,-.38,-.34,-.36,-.38,-.40,-.53,-.66,-.42,-.41,-.45,-.41,-.36,-.44
1911,-.61,-.57,-.61,-.53,-.50,-.49,-.41,-.43,-.40,-.26,-.21,-.21,-.43,-.47,-.62,-.55,-.44,-.29
1912,-.25,-.13,-.37,-.17,-.20,-.22,-.42,-.54,-.58,-.57,-.38,-.42,-.35,-.33,-.19,-.25,-.39,-.51
1913,-.40,-.44,-.42,-.39,-.43,-.44,-.36,-.33,-.34,-.31,-.19,-.01,-.34,-.37,-.42,-.41,-.38,-.28
1914,.05,-.09,-.23,-.29,-.21,-.25,-.23,-.15,-.17,-.03,-.15,-.03,-.15,-.15,-.02,-.24,-.21,-.11
1915,-.20,-.03,-.09,.07,-.05,-.21,-.12,-.21,-.20,-.24,-.12,-.21,-.14,-.12,-.09,-.03,-.18,-.19
1916,-.11,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.33,-.45,-.81,-.35,-.30,-.16,-.30,-.38,-.38
1917,-.57,-.63,-.63,-.54,-.54,-.43,-.25,-.22,-.22,-.44,-.33,-.67,-.45,-.47,-.67,-.57,-.30,-.33
1918,-.47,-.33,-.24,-.43,-.42,-.35,-.31,-.31,-.17,-.06,-.11,-.29,-.29,-.32,-.49,-.36,-.32,-.11
1919,-.20,-.24,-.21,-.12,-.27,-.36,-.29,-.32,-.25,-.20,-.41,-.41,-.27,-.26,-.24,-.20,-.32,-.28
1920,-.24,-.26,-.12,-.23,-.26,-.35,-.30,-.26,-.22,-.26,-.26,-.46,-.27,-.27,-.30,-.20,-.31,-.25
1921,-.05,-.17,-.23,-.29,-.29,-.27,-.14,-.26,-.19,-.03,-.13,-.17,-.19,-.21,-.23,-.27,-.22,-.12
1922,-.33,-.44,-.15,-.22,-.33,-.30,-.27,-.32,-.36,-.33,-.14,-.18,-.28,-.28,-.31,-.23,-.30,-.28
1923,-.27,-.39,-.34,-.40,-.33,-.29,-.31,-.33,-.31,-.14,-.02,-.04,-.26,-.28,-.28,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.29
1925,-.38,-.40,-.27,-.25,-.29,-.32,-.26,-.20,-.19,-.17,.05,.06,-.22,-.26,-.40,-.27,-.26,-.11
1926,.21,.03,.11,-.12,-.23,-.25,-.27,-.13,-.14,-.11,-.05,-.29,-.10,-.07,.10,-.08,-.22,-.10
1927,-.26,-.18,-.38,-.31,-.25,-.27,-.18,-.24,-.13,-.01,-.05,-.33,-.22,-.21,-.24,-.31,-.23,-.06
1928,-.02,-.09,-.25,-.27,-.29,-.38,-.19,-.22,-.21,-.19,-.09,-.16,-.20,-.21,-.15,-.27,-.26,-.16
1929,-.45,-.58,-.33,-.41,-.37,-.43,-.37,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.37,-.17
1930,-.29,-.27,-.11,-.25,-.24,-.22,-.21,-.15,-.16,-.12,.17,-.06,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.11,-.21,-.10,-.23,-.19,-.08,-.04,-.04,-.07,.05,-.05,-.06,-.09,-.09,-.12,-.17,-.05,-.03
1932,.15,-.17,-.18,-.06,-.17,-.29,-.25,-.22,-.11,-.09,-.27,-.26,-.16,-.14,-.03,-.14,-.25,-.15
1933,-.23,-.29,-.30,-.24,-.29,-.34,-.21,-.23,-.29,-.25,-.31,-.44,-.29,-.27,-.26,-.28,-.26,-.28
1934,-.21,-.02,-.29,-.31,-.09,-.15,-.11,-.13,-.15,-.06,.03,-.02,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.34,.14,-.14,-.36,-.29,-.27,-.22,-.22,-.22,-.06,-.26,-.17,-.20,-.19,-.07,-.27,-.24,-.18
1936,-.28,-.38,-.21,-.20,-.17,-.22,-.10,-.13,-.09,-.03,.01,-.01,-.15,-.16,-.28,-.19,-.15,-.04
1937,-.07,.03,-.21,-.16,-.05,-.05,-.04,.01,.08,.09,.08,-.07,-.03,-.02,-.02,-.14,-.02,.08
1938,.08,.03,.09,.06,-.09,-.17,-.09,-.05,.00,.15,.08,-.12,.00,.00,.01,.02,-.11,.07
1939,-.05,-.06,-.18,-.10,-.04,-.07,-.06,-.06,-.07,-.03,.07,.43,-.02,-.07,-.08,-.11,-.06,-.01
1940,.00,.08,.09,.18,.11,.11,.12,.07,.15,.11,.16,.32,.13,.14,.17,.13,.10,.14
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.23,.22,.19,.19,.27,.15,.17,.20
1942,.29,.03,.05,.10,.11,.05,.00,-.04,-.03,.01,.10,.13,.07,.07,.18,.09,.01,.03
1943,-.01,.17,-.04,.11,.07,-.05,.08,.01,.05,.23,.20,.24,.09,.08,.10,.05,.01,.16
1944,.36,.24,.26,.19,.18,.15,.18,.18,.28,.26,.11,.04,.20,.22,.28,.21,.17,.22
1945,.10,.00,.06,.19,.06,.00,.03,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.02,.01,.05,-.07,-.21,-.12,-.20,-.08,-.08,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.04,-.07,-.12,.07,.03,-.13,-.03,-.04,-.15,.03,-.04,-.01
1948,.07,-.15,-.24,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.12,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.15,-.07,-.10,-.18,-.11,-.12,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.11,-.20,-.34,-.21,-.17,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,.00,-.07,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.12,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.03,.02,-.02
1953,.08,.15,.11,.20,.12,.11,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.18,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.27,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.16,.02,.15,.09,.01,.07,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.08,.01,.06,-.08,.05,-.05,-.02,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,-.01,.03,.03,.05,.13,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.05,-.11,.18,-.03,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.11,.01,.01,.08,.00,.03,-.16,.06,.09,.15,.12,.04,.04
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.18,.14,.15,-.03,.05,.05,.04,-.09,.11,.15
1964,-.09,-.10,-.22,-.32,-.25,-.04,-.04,-.22,-.30,-.32,-.21,-.30,-.20,-.18,-.08,-.26,-.10,-.27
1965,-.08,-.18,-.13,-.19,-.12,-.09,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.13,-.18,-.15,-.09,-.09
1966,-.19,-.05,.03,-.13,-.12,.01,.09,-.09,-.03,-.17,-.01,-.03,-.06,-.06,-.11,-.07,.00,-.07
1967,-.07,-.21,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.26,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.15,-.08,-.07,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.03,-.04,.04,.09,.10,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.12,.03,.02,-.12,.03,.06,.18,.03,-.04,.06
1971,-.02,-.15,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.08,-.08,-.09,-.10,-.10,-.09,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.23,.19,.13,.05,.09,.10,.05,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.12,-.04,-.05,-.03,.11,-.08,-.05,-.07,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.13,.04,.16,-.01,-.01,-.17,-.03,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.21,-.07,-.20,-.12,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.08,-.16,-.11,-.12
1977,.18,.23,.25,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.19,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.07,.15,-.04,.08
1979,.08,-.10,.19,.15,.04,.14,.04,.17,.25,.26,.28,.48,.16,.13,.02,.13,.12,.26
1980,.30,.40,.30,.30,.35,.20,.22,.19,.20,.13,.30,.22,.26,.28,.39,.32,.20,.21
1981,.53,.43,.48,.32,.25,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.16,.03,.15,.18,.06,.14,.04,.14,.13,.18,.42,.14,.14,.21,.12,.08,.15
1983,.53,.43,.42,.28,.34,.23,.18,.35,.37,.17,.30,.17,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.14,.07,-.04,.16,.17,.21,.22,.14,.14
1985,.22,-.03,.17,.12,.15,.15,.04,.17,.13,.12,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.26,.25,.13,.09
1987,.32,.43,.19,.25,.25,.35,.40,.25,.35,.33,.29,.46,.32,.29,.29,.23,.33,.32
1988,.57,.45,.52,.43,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.17,.34,.33,.35,.29,.19,.37,.27,.27,.24,.27,.28,.28
1990,.41,.44,.80,.56,.45,.37,.46,.34,.23,.45,.47,.41,.45,.45,.41,.61,.39,.38
1991,.43,.50,.35,.51,.34,.53,.47,.39,.44,.29,.30,.32,.41,.41,.44,.40,.46,.34
1992,.47,.40,.48,.27,.31,.26,.08,.08,-.01,.06,.03,.21,.22,.23,.40,.35,.14,.03
1993,.35,.37,.36,.28,.28,.23,.25,.11,.12,.23,.04,.18,.23,.24,.31,.31,.20,.13
1994,.26,.03,.29,.42,.28,.44,.30,.21,.32,.42,.44,.38,.32,.30,.16,.33,.32,.39
1995,.52,.79,.47,.47,.27,.44,.45,.46,.34,.48,.44,.25,.45,.46,.56,.40,.45,.42
1996,.24,.46,.33,.32,.28,.26,.36,.48,.25,.20,.39,.37,.33,.32,.32,.31,.37,.28
1997,.30,.41,.52,.34,.34,.54,.34,.42,.52,.61,.64,.59,.46,.45,.36,.40,.43,.59
1998,.58,.88,.63,.63,.68,.77,.66,.66,.42,.42,.43,.56,.61,.61,.68,.65,.70,.42
1999,.49,.64,.32,.32,.27,.36,.38,.32,.39,.35,.37,.42,.39,.40,.56,.30,.36,.37
2000,.25,.56,.56,.56,.36,.40,.39,.42,.40,.28,.31,.29,.40,.41,.41,.49,.40,.33
2001,.46,.44,.56,.51,.58,.52,.60,.50,.52,.51,.73,.56,.54,.52,.40,.55,.54,.59
2002,.78,.79,.89,.58,.64,.53,.61,.53,.64,.55,.59,.44,.63,.64,.71,.70,.56,.59
2003,.76,.58,.60,.56,.61,.48,.58,.65,.63,.74,.53,.76,.62,.60,.59,.59,.57,.63
2004,.59,.73,.64,.62,.38,.44,.27,.47,.51,.61,.73,.51,.54,.56,.69,.54,.39,.62
2005,.75,.60,.75,.68,.63,.65,.62,.62,.72,.75,.74,.69,.68,.67,.62,.69,.63,.74
2006,.56,.73,.63,.49,.50,.66,.55,.71,.65,.70,.74,.79,.64,.63,.66,.54,.64,.70
2007,1.03,.71,.74,.77,.69,.62,.61,.60,.60,.59,.59,.50,.67,.70,.84,.74,.61,.59
2008,.31,.38,.75,.54,.49,.50,.61,.48,.61,.67,.69,.55,.55,.54,.40,.59,.53,.66
2009,.65,.54,.55,.61,.65,.65,.71,.68,.73,.65,.82,.69,.66,.65,.58,.60,.68,.74
2010,.76,.84,.93,.85,.75,.68,.63,.68,.64,.71,.82,.45,.73,.75,.76,.84,.66,.72
2011,.52,.49,.65,.65,.53,.62,.71,.75,.58,.67,.59,.60,.61,.60,.49,.61,.69,.61
2012,.49,.50,.58,.72,.79,.65,.58,.64,.72,.79,.79,.53,.65,.65,.53,.70,.62,.77
2013,.71,.63,.68,.55,.61,.70,.61,.70,.77,.70,.84,.70,.68,.67,.62,.61,.67,.77
2014,.76,.55,.79,.81,.87,.68,.58,.82,.87,.81,.66,.79,.75,.74,.67,.82,.70,.78
2015,.86,.90,.96,.76,.80,.81,.74,.81,.85,1.09,1.06,1.16,.90,.87,.85,.84,.79,1.00
2016,1.18,1.37,1.35,1.12,.96,.81,.85,1.02,.91,.89,.91,.86,1.02,1.04,1.23,1.14,.89,.90
2017,1.02,1.14,1.17,.95,.92,.73,.82,.87,.78,.91,.88,.94,.93,.92,1.01,1.01,.81,.86
2018,.82,.85,.90,.90,.83,.79,.84,.76,.80,1.02,.83,.92,.86,.86,.87,.88,.80,.89
2019,.93,.96,1.18,1.02,.86,.93,.95,.95,.93,1.02,1.00,1.11,.99,.97,.94,1.02,.95,.99
2020,1.17,1.26,1.19,1.14,1.04,.93,***,***,***,***,***,***,***,***,1.18,1.12,***,***
