year.decimal,Antarctic Mass Gt,Antarctic Mass Gt (1-sigma uncertainty)
2010.45,-791.97,38.44
2010.54,-991.63,35.63
2010.62,-918.37,34.62
2010.71,-840.27,36.4
2010.79,-872,38.44
2010.87,-892.3,39.59
2010.95,-904.81,40.67
2011.13,-996.8,43.16
2011.2,-1010.7,41.62
2011.29,-1022.41,41.22
2011.37,-956.4,40.16
2011.54,-904.52,42.75
2011.62,-920.01,40.5
2011.71,-830.79,39.71
2011.79,-876.75,38.98
2011.83,-872.38,39.28
2012,-1139.48,39.05
2012.04,-1069.18,37.63
2012.12,-1132.53,38.79
2012.21,-1109.64,37.12
2012.26,-1048.98,43.32
2012.46,-1085.97,39.99
2012.54,-1052.54,38.8
2012.62,-972.91,37.7
2012.7,-939.37,41.16
2012.88,-1061.32,41.62
2012.96,-1108.72,39.53
2013.04,-1277.93,38.98
2013.12,-1385.89,40.16
2013.3,-1127.16,41.36
2013.37,-1228.36,37.57
2013.46,-1237.15,38.44
2013.54,-1199.32,37.79
2013.79,-1291,38.01
2013.87,-1338.07,36.03
2013.96,-1389.44,35.45
2014.02,-1498.77,40.12
2014.2,-1605.6,32.35
2014.29,-1525.19,33.19
2014.37,-1430.96,33.14
2014.45,-1475.97,35.04
2014.62,-1524.08,33.51
2014.71,-1352.06,33
2014.79,-1440.3,31.99
2014.88,-1514.75,31.56
2015.06,-1819.83,35.31
2015.12,-1896.32,56.93
2015.2,-1860.91,30.75
2015.29,-1839.9,32.24
2015.32,-1767.06,34.83
2015.53,-1735.7,37.19
2015.62,-1886.18,34.62
2015.7,-1838.41,36.97
2015.98,-1881.87,36.86
2016.04,-1905.26,35.36
2016.12,-1979.99,34.1
2016.21,-1915.91,35.08
2016.38,-1779.61,37.4
2016.46,-1762.06,34.43
2016.54,-1643.71,34.27
2016.64,-1589.18,36.53
2016.91,-1660.85,61.29
2016.98,-1574.37,61.17
2017.06,-1592.85,60.59
2017.25,-1913.16,61.89
2017.31,-1835.48,61.26
2017.36,-1800.18,59.87
2017.44,-1797.85,59.78
2018.45,-1968.68,34.35
2018.52,-1984.32,31.43
2018.83,-2243.42,30.3
2018.87,-2207.79,28.2
2018.96,-2260.25,27.41
2019.04,-2350.92,27.15
2019.12,-2394.07,27.11
2019.2,-2298.11,26.87
2019.29,-2118,26.88
2019.37,-2171.2,26.79
2019.45,-2263.28,26.75
2019.54,-2167.63,26.79
2019.62,-2212.51,26.79
2019.71,-2087.37,26.85
2019.79,-2270.56,26.81
2019.87,-2331.28,26.74
2019.96,-2376.38,26.73
2020.04,-2684.93,26.93
2020.12,-2794.57,26.96
2020.21,-2612.85,26.75
2020.29,-2518.54,26.79
2020.37,-2440.13,26.76
2020.46,-2406.58,26.74
2020.54,-2338,26.79
2020.62,-2229.93,26.78
2020.71,-2417.19,26.75
2020.79,-2518.03,26.77
2020.87,-2563.8,26.85
2020.96,-2717.19,26.78
2021.04,-3032.43,27.52
2021.12,-2717.02,28.31
2021.2,-2670.25,28.93
2021.29,-2458.79,29.73
2021.37,-2441.89,30.64
2021.46,-2606.83,31.5
2021.54,-2653.1,32.33
2021.62,-2606.64,33.27
2021.71,-2674.51,39.23
2021.79,-2530.17,46.37
2021.87,-2869.44,55.07
2021.96,-2759.9,63.49
