Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1917,-.57,-.62,-.63,-.54,-.54,-.42,-.24,-.22,-.22,-.44,-.32,-.66,-.45,-.46,-.67,-.57,-.30,-.33
1918,-.47,-.34,-.24,-.43,-.42,-.35,-.31,-.30,-.16,-.05,-.11,-.29,-.29,-.32,-.49,-.36,-.32,-.11
1919,-.20,-.24,-.20,-.12,-.27,-.36,-.29,-.32,-.24,-.19,-.40,-.42,-.27,-.26,-.24,-.20,-.32,-.28
1920,-.24,-.26,-.11,-.23,-.26,-.35,-.30,-.26,-.21,-.26,-.26,-.46,-.27,-.26,-.30,-.20,-.30,-.24
1921,-.04,-.17,-.22,-.29,-.29,-.27,-.14,-.25,-.18,-.03,-.13,-.17,-.18,-.21,-.22,-.27,-.22,-.11
1922,-.32,-.44,-.14,-.22,-.33,-.30,-.27,-.32,-.35,-.32,-.14,-.18,-.28,-.28,-.31,-.23,-.30,-.27
1923,-.27,-.38,-.33,-.40,-.33,-.29,-.30,-.32,-.31,-.13,-.02,-.04,-.26,-.27,-.28,-.35,-.30,-.15
1924,-.22,-.23,-.08,-.31,-.18,-.26,-.28,-.36,-.32,-.35,-.20,-.42,-.27,-.24,-.16,-.19,-.30,-.29
1925,-.38,-.40,-.27,-.25,-.29,-.32,-.26,-.20,-.19,-.17,.05,.06,-.22,-.26,-.40,-.27,-.26,-.10
1926,.21,.03,.11,-.12,-.23,-.25,-.27,-.13,-.13,-.10,-.05,-.29,-.10,-.07,.10,-.08,-.22,-.10
1927,-.27,-.18,-.38,-.30,-.25,-.27,-.18,-.24,-.12,-.01,-.05,-.33,-.21,-.21,-.24,-.31,-.23,-.06
1928,-.01,-.09,-.25,-.28,-.29,-.38,-.19,-.22,-.21,-.19,-.09,-.16,-.20,-.21,-.14,-.27,-.26,-.16
1929,-.45,-.58,-.33,-.41,-.38,-.43,-.37,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.37,-.17
1930,-.29,-.26,-.11,-.25,-.24,-.22,-.21,-.15,-.16,-.12,.18,-.05,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.10,-.21,-.10,-.23,-.19,-.08,-.04,-.04,-.07,.05,-.05,-.06,-.09,-.09,-.12,-.17,-.05,-.03
1932,.15,-.17,-.18,-.06,-.17,-.29,-.25,-.22,-.11,-.09,-.27,-.26,-.16,-.14,-.03,-.14,-.25,-.16
1933,-.23,-.29,-.30,-.24,-.29,-.34,-.21,-.24,-.29,-.25,-.31,-.44,-.29,-.27,-.26,-.27,-.26,-.28
1934,-.21,-.02,-.29,-.31,-.10,-.15,-.11,-.12,-.15,-.07,.04,-.02,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.33,.14,-.14,-.37,-.29,-.27,-.22,-.22,-.22,-.06,-.26,-.17,-.20,-.19,-.07,-.27,-.23,-.18
1936,-.27,-.38,-.21,-.20,-.16,-.21,-.09,-.13,-.09,-.03,.02,-.01,-.15,-.16,-.27,-.19,-.15,-.03
1937,-.07,.03,-.21,-.15,-.05,-.05,-.04,.02,.09,.09,.09,-.07,-.03,-.02,-.01,-.14,-.02,.09
1938,.08,.04,.10,.06,-.09,-.17,-.09,-.05,.00,.15,.08,-.12,.00,.00,.02,.02,-.10,.08
1939,-.05,-.06,-.18,-.10,-.04,-.07,-.06,-.06,-.07,-.03,.07,.44,-.02,-.06,-.08,-.10,-.06,-.01
1940,.00,.08,.09,.18,.11,.11,.12,.07,.15,.11,.17,.32,.13,.14,.17,.13,.10,.15
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.23,.22,.19,.20,.27,.14,.17,.20
1942,.30,.02,.05,.10,.11,.05,.01,-.04,-.03,.02,.10,.13,.07,.07,.18,.09,.01,.03
1943,-.01,.17,-.03,.11,.07,-.05,.09,.01,.06,.23,.20,.24,.09,.08,.10,.05,.02,.16
1944,.36,.24,.26,.19,.19,.16,.18,.18,.28,.26,.11,.04,.20,.22,.28,.21,.17,.22
1945,.10,.00,.06,.19,.06,.01,.03,.26,.20,.19,.07,-.06,.09,.10,.05,.10,.10,.15
1946,.15,.03,.01,.06,-.07,-.21,-.12,-.20,-.08,-.07,-.05,-.30,-.07,-.05,.04,.00,-.18,-.07
1947,-.06,-.08,.06,.06,-.02,-.01,-.04,-.07,-.12,.07,.03,-.13,-.03,-.04,-.15,.04,-.04,-.01
1948,.07,-.14,-.24,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.12,-.23,-.11,-.10,-.07,-.12,-.09,-.11
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.14,-.06,-.10,-.18,-.11,-.11,-.10,-.07,-.18,-.10
1950,-.26,-.26,-.07,-.20,-.11,-.05,-.08,-.16,-.11,-.20,-.33,-.21,-.17,-.17,-.23,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,.00,-.06,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.11,.00,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.02,.02,-.02
1953,.08,.15,.11,.20,.12,.12,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.18,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.27,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.16,.02,.15,.09,.01,.08,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.08,.01,.06,-.09,.05,-.05,-.02,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,-.01,.03,.03,.05,.13,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.02,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.12,.01,.01,.09,.00,.04,-.16,.06,.09,.15,.12,.04,.04
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.18,.15,.15,-.03,.05,.05,.04,-.09,.11,.16
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.30,-.32,-.21,-.30,-.20,-.18,-.07,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.13,-.18,-.15,-.09,-.09
1966,-.19,-.04,.03,-.13,-.12,.01,.08,-.09,-.03,-.16,-.01,-.02,-.06,-.06,-.10,-.07,.00,-.07
1967,-.07,-.21,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.26,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.15,-.08,-.08,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.04,-.04,.04,.09,.10,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.12,.03,.02,-.12,.03,.06,.18,.02,-.04,.06
1971,-.02,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.08,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.22,.18,.12,.05,.09,.10,.05,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.12,-.04,-.05,-.03,.11,-.08,-.06,-.07,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.03,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.21,-.07,-.21,-.12,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.18,.23,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.08
1979,.08,-.10,.19,.15,.04,.14,.03,.17,.25,.26,.28,.48,.16,.13,.02,.12,.11,.26
1980,.29,.40,.30,.30,.35,.20,.22,.18,.20,.13,.29,.21,.26,.28,.39,.31,.20,.21
1981,.53,.42,.48,.32,.24,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.15,.03,.15,.18,.05,.14,.04,.14,.13,.18,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.41,.28,.34,.22,.18,.35,.37,.17,.30,.16,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.14,.07,-.04,.16,.17,.21,.22,.14,.14
1985,.22,-.04,.17,.12,.15,.15,.04,.17,.13,.12,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.26,.24,.13,.09
1987,.32,.43,.18,.24,.25,.34,.40,.25,.35,.32,.29,.46,.32,.29,.29,.23,.33,.32
1988,.56,.44,.51,.42,.44,.40,.33,.39,.36,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.16,.34,.33,.35,.29,.19,.37,.27,.27,.23,.27,.28,.28
1990,.41,.44,.80,.56,.45,.37,.45,.34,.23,.45,.47,.41,.45,.45,.41,.60,.39,.38
1991,.43,.50,.35,.51,.34,.53,.47,.39,.44,.29,.29,.32,.40,.41,.44,.40,.46,.34
1992,.47,.40,.48,.27,.31,.25,.08,.08,-.01,.06,.03,.21,.22,.23,.40,.35,.14,.03
1993,.35,.37,.36,.27,.28,.23,.25,.11,.12,.23,.03,.18,.23,.23,.31,.31,.20,.13
1994,.26,.02,.29,.41,.28,.43,.30,.21,.32,.42,.44,.38,.31,.30,.15,.33,.32,.39
1995,.52,.79,.47,.46,.27,.43,.45,.45,.34,.47,.44,.25,.44,.46,.56,.40,.44,.42
1996,.24,.46,.33,.32,.28,.25,.36,.48,.24,.19,.38,.37,.33,.32,.32,.31,.36,.27
1997,.30,.40,.52,.34,.34,.54,.34,.42,.52,.61,.64,.58,.46,.44,.36,.40,.43,.59
1998,.58,.88,.63,.63,.68,.77,.66,.65,.42,.41,.43,.55,.61,.61,.68,.64,.69,.42
1999,.49,.64,.32,.31,.27,.36,.38,.32,.38,.34,.37,.41,.38,.39,.56,.30,.35,.36
2000,.25,.56,.55,.56,.35,.40,.39,.42,.38,.27,.30,.28,.39,.40,.40,.49,.40,.32
2001,.46,.43,.56,.50,.57,.51,.59,.50,.52,.50,.72,.56,.54,.51,.39,.54,.53,.58
2002,.77,.78,.88,.58,.63,.53,.61,.53,.62,.54,.59,.43,.62,.63,.70,.70,.55,.58
2003,.75,.58,.59,.55,.60,.47,.58,.65,.62,.73,.53,.75,.62,.59,.59,.58,.57,.63
2004,.58,.72,.63,.61,.37,.44,.26,.47,.50,.60,.73,.50,.53,.55,.68,.54,.39,.61
2005,.74,.60,.74,.68,.62,.64,.62,.61,.71,.74,.73,.68,.68,.66,.61,.68,.62,.73
2006,.56,.73,.63,.48,.49,.65,.54,.70,.64,.69,.73,.79,.64,.63,.66,.53,.63,.69
2007,1.02,.70,.73,.77,.69,.61,.60,.59,.59,.58,.59,.49,.66,.69,.83,.73,.60,.59
2008,.30,.38,.74,.53,.49,.49,.60,.47,.60,.66,.69,.54,.54,.54,.39,.59,.52,.65
2009,.64,.53,.54,.61,.65,.65,.74,.68,.72,.65,.81,.68,.66,.65,.57,.60,.69,.73
2010,.75,.83,.92,.84,.75,.67,.62,.67,.63,.70,.82,.45,.72,.74,.75,.84,.66,.72
2011,.51,.48,.65,.64,.52,.61,.70,.74,.57,.66,.58,.60,.61,.59,.48,.60,.69,.60
2012,.49,.49,.57,.71,.78,.64,.58,.63,.72,.79,.78,.53,.64,.65,.53,.69,.62,.76
2013,.70,.62,.68,.54,.61,.69,.60,.70,.77,.69,.84,.69,.68,.66,.62,.61,.66,.77
2014,.75,.55,.79,.80,.86,.67,.58,.82,.88,.80,.67,.79,.75,.74,.67,.82,.69,.78
2015,.85,.90,.96,.75,.80,.81,.73,.81,.85,1.09,1.06,1.15,.90,.87,.85,.83,.78,1.00
2016,1.17,1.37,1.35,1.11,.96,.81,.85,1.01,.91,.88,.91,.86,1.01,1.04,1.23,1.14,.89,.90
2017,1.03,1.15,1.16,.95,.91,.72,.81,.87,.77,.90,.88,.93,.92,.92,1.01,1.01,.80,.85
2018,.81,.85,.89,.89,.82,.78,.83,.76,.80,1.02,.83,.92,.85,.85,.87,.87,.79,.88
2019,.93,.96,1.18,1.01,.85,.92,.94,.94,.92,1.01,1.00,1.10,.98,.97,.93,1.01,.93,.98
2020,1.17,1.25,1.18,1.13,1.02,.92,.90,.87,.99,.88,1.13,***,***,1.04,1.17,1.11,.89,1.00
