kingdom,class_order,assessment,number
plantae,LILIOPSIDA,extinct,12
plantae,LYCOPODIOPSIDA,extinct,0
plantae,MAGNOLIOPSIDA,extinct,101
plantae,MARCHANTIOPSIDA,extinct,0
plantae,PINOPSIDA,extinct,0
plantae,POLYPODIOPSIDA,extinct,2
plantae,POLYTRICHOPSIDA,extinct,0
plantae,SPHAGNOPSIDA,extinct,0
plantae,TAKAKIOPSIDA,extinct,0
plantae,ULVOPHYCEAE,extinct,0
animalia,ACTINOPTERYGII,extinct_in_wild,10
animalia,AMPHIBIA,extinct_in_wild,2
animalia,ANTHOZOA,extinct_in_wild,0
animalia,ARACHNIDA,extinct_in_wild,0
animalia,AVES,extinct_in_wild,5
animalia,BIVALVIA,extinct_in_wild,0
animalia,BRANCHIOPODA,extinct_in_wild,0
animalia,CEPHALASPIDOMORPHI,extinct_in_wild,0
animalia,CEPHALOPODA,extinct_in_wild,0
animalia,CHILOPODA,extinct_in_wild,0
animalia,CHONDRICHTHYES,extinct_in_wild,0
animalia,CLITELLATA,extinct_in_wild,0
animalia,DIPLOPODA,extinct_in_wild,0
animalia,ECHINOIDEA,extinct_in_wild,0
animalia,ENOPLA,extinct_in_wild,0
animalia,ENTOGNATHA,extinct_in_wild,0
animalia,GASTROPODA,extinct_in_wild,14
animalia,HOLOTHUROIDEA,extinct_in_wild,0
animalia,HYDROZOA,extinct_in_wild,0
animalia,INSECTA,extinct_in_wild,1
animalia,MALACOSTRACA,extinct_in_wild,1
animalia,MAMMALIA,extinct_in_wild,2
animalia,MAXILLOPODA,extinct_in_wild,0
animalia,MEROSTOMATA,extinct_in_wild,0
animalia,MYXINI,extinct_in_wild,0
animalia,ONYCHOPHORA,extinct_in_wild,0
animalia,OSTRACODA,extinct_in_wild,0
animalia,POLYCHAETA,extinct_in_wild,0
animalia,REPTILIA,extinct_in_wild,3
animalia,SARCOPTERYGII,extinct_in_wild,0
animalia,TURBELLARIA,extinct_in_wild,0
chromista,PHAEOPHYCEAE,extinct_in_wild,0
fungi,AGARICOMYCETES,extinct_in_wild,0
fungi,ARTHONIOMYCETES,extinct_in_wild,0
fungi,EUROTIOMYCETES,extinct_in_wild,0
fungi,GEOGLOSSOMYCETES,extinct_in_wild,0
fungi,LECANOROMYCETES,extinct_in_wild,0
fungi,LEOTIOMYCETES,extinct_in_wild,0
fungi,NOT ASSIGNED,extinct_in_wild,0
fungi,PEZIZOMYCETES,extinct_in_wild,0
fungi,SORDARIOMYCETES,extinct_in_wild,0
fungi,USTILAGINOMYCETES,extinct_in_wild,0
plantae,ANDREAEOPSIDA,extinct_in_wild,0
plantae,ANTHOCEROTOPSIDA,extinct_in_wild,0
plantae,BRYOPSIDA,extinct_in_wild,0
plantae,CHAROPHYACEAE,extinct_in_wild,0
plantae,CHLOROPHYCEAE,extinct_in_wild,0
plantae,CYCADOPSIDA,extinct_in_wild,4
plantae,FLORIDEOPHYCEAE,extinct_in_wild,0
plantae,GINKGOOPSIDA,extinct_in_wild,0
plantae,GNETOPSIDA,extinct_in_wild,0
plantae,JUNGERMANNIOPSIDA,extinct_in_wild,0
plantae,LILIOPSIDA,extinct_in_wild,8
plantae,LYCOPODIOPSIDA,extinct_in_wild,0
plantae,MAGNOLIOPSIDA,extinct_in_wild,26
plantae,MARCHANTIOPSIDA,extinct_in_wild,0
plantae,PINOPSIDA,extinct_in_wild,0
plantae,POLYPODIOPSIDA,extinct_in_wild,1
plantae,POLYTRICHOPSIDA,extinct_in_wild,0
plantae,SPHAGNOPSIDA,extinct_in_wild,0
plantae,TAKAKIOPSIDA,extinct_in_wild,0
plantae,ULVOPHYCEAE,extinct_in_wild,0
animalia,ACTINOPTERYGII,probably_extinct,111
animalia,AMPHIBIA,probably_extinct,131
animalia,ANTHOZOA,probably_extinct,1
animalia,ARACHNIDA,probably_extinct,21
animalia,AVES,probably_extinct,22
animalia,BIVALVIA,probably_extinct,15
animalia,BRANCHIOPODA,probably_extinct,0
animalia,CEPHALASPIDOMORPHI,probably_extinct,1
animalia,CEPHALOPODA,probably_extinct,0
animalia,CHILOPODA,probably_extinct,2
animalia,CHONDRICHTHYES,probably_extinct,3
animalia,CLITELLATA,probably_extinct,4
animalia,DIPLOPODA,probably_extinct,4
animalia,ECHINOIDEA,probably_extinct,0
animalia,ENOPLA,probably_extinct,1
animalia,ENTOGNATHA,probably_extinct,2
animalia,GASTROPODA,probably_extinct,134
animalia,HOLOTHUROIDEA,probably_extinct,0
animalia,HYDROZOA,probably_extinct,1
animalia,INSECTA,probably_extinct,68
animalia,MALACOSTRACA,probably_extinct,17
animalia,MAMMALIA,probably_extinct,29
animalia,MAXILLOPODA,probably_extinct,0
animalia,MEROSTOMATA,probably_extinct,0
animalia,MYXINI,probably_extinct,0
animalia,ONYCHOPHORA,probably_extinct,0
animalia,OSTRACODA,probably_extinct,0
animalia,POLYCHAETA,probably_extinct,0
animalia,REPTILIA,probably_extinct,41
animalia,SARCOPTERYGII,probably_extinct,0
animalia,TURBELLARIA,probably_extinct,0
chromista,PHAEOPHYCEAE,probably_extinct,4
fungi,AGARICOMYCETES,probably_extinct,1
fungi,ARTHONIOMYCETES,probably_extinct,0
fungi,EUROTIOMYCETES,probably_extinct,0
fungi,GEOGLOSSOMYCETES,probably_extinct,0
fungi,LECANOROMYCETES,probably_extinct,0
fungi,LEOTIOMYCETES,probably_extinct,0
fungi,NOT ASSIGNED,probably_extinct,0
fungi,PEZIZOMYCETES,probably_extinct,0
fungi,SORDARIOMYCETES,probably_extinct,0
fungi,USTILAGINOMYCETES,probably_extinct,0
plantae,ANDREAEOPSIDA,probably_extinct,0
plantae,ANTHOCEROTOPSIDA,probably_extinct,0
plantae,BRYOPSIDA,probably_extinct,0
plantae,CHAROPHYACEAE,probably_extinct,0
plantae,CHLOROPHYCEAE,probably_extinct,0
plantae,CYCADOPSIDA,probably_extinct,0
plantae,FLORIDEOPHYCEAE,probably_extinct,2
plantae,GINKGOOPSIDA,probably_extinct,0
plantae,GNETOPSIDA,probably_extinct,0
plantae,JUNGERMANNIOPSIDA,probably_extinct,0
plantae,LILIOPSIDA,probably_extinct,78
plantae,LYCOPODIOPSIDA,probably_extinct,2
plantae,MAGNOLIOPSIDA,probably_extinct,233
plantae,MARCHANTIOPSIDA,probably_extinct,0
plantae,PINOPSIDA,probably_extinct,1
plantae,POLYPODIOPSIDA,probably_extinct,8
plantae,POLYTRICHOPSIDA,probably_extinct,0
plantae,SPHAGNOPSIDA,probably_extinct,0
plantae,TAKAKIOPSIDA,probably_extinct,0
plantae,ULVOPHYCEAE,probably_extinct,0
animalia,ACTINOPTERYGII,probably_extinct_in_wild,4
animalia,AMPHIBIA,probably_extinct_in_wild,3
animalia,ANTHOZOA,probably_extinct_in_wild,0
animalia,ARACHNIDA,probably_extinct_in_wild,0
animalia,AVES,probably_extinct_in_wild,0
animalia,BIVALVIA,probably_extinct_in_wild,0
animalia,BRANCHIOPODA,probably_extinct_in_wild,0
animalia,CEPHALASPIDOMORPHI,probably_extinct_in_wild,0
animalia,CEPHALOPODA,probably_extinct_in_wild,0
animalia,CHILOPODA,probably_extinct_in_wild,0
animalia,CHONDRICHTHYES,probably_extinct_in_wild,0
animalia,CLITELLATA,probably_extinct_in_wild,0
animalia,DIPLOPODA,probably_extinct_in_wild,0
animalia,ECHINOIDEA,probably_extinct_in_wild,0
animalia,ENOPLA,probably_extinct_in_wild,0
animalia,ENTOGNATHA,probably_extinct_in_wild,0
animalia,GASTROPODA,probably_extinct_in_wild,2
animalia,HOLOTHUROIDEA,probably_extinct_in_wild,0
animalia,HYDROZOA,probably_extinct_in_wild,0
animalia,INSECTA,probably_extinct_in_wild,0
animalia,MALACOSTRACA,probably_extinct_in_wild,1
animalia,MAMMALIA,probably_extinct_in_wild,0
animalia,MAXILLOPODA,probably_extinct_in_wild,0
animalia,MEROSTOMATA,probably_extinct_in_wild,0
animalia,MYXINI,probably_extinct_in_wild,0
animalia,ONYCHOPHORA,probably_extinct_in_wild,0
animalia,OSTRACODA,probably_extinct_in_wild,0
animalia,POLYCHAETA,probably_extinct_in_wild,0
animalia,REPTILIA,probably_extinct_in_wild,0
animalia,SARCOPTERYGII,probably_extinct_in_wild,0
animalia,TURBELLARIA,probably_extinct_in_wild,0
chromista,PHAEOPHYCEAE,probably_extinct_in_wild,0
fungi,AGARICOMYCETES,probably_extinct_in_wild,0
fungi,ARTHONIOMYCETES,probably_extinct_in_wild,0
fungi,EUROTIOMYCETES,probably_extinct_in_wild,0
fungi,GEOGLOSSOMYCETES,probably_extinct_in_wild,0
fungi,LECANOROMYCETES,probably_extinct_in_wild,0
fungi,LEOTIOMYCETES,probably_extinct_in_wild,0
fungi,NOT ASSIGNED,probably_extinct_in_wild,0
fungi,PEZIZOMYCETES,probably_extinct_in_wild,0
fungi,SORDARIOMYCETES,probably_extinct_in_wild,0
fungi,USTILAGINOMYCETES,probably_extinct_in_wild,0
plantae,ANDREAEOPSIDA,probably_extinct_in_wild,0
plantae,ANTHOCEROTOPSIDA,probably_extinct_in_wild,0
plantae,BRYOPSIDA,probably_extinct_in_wild,0
plantae,CHAROPHYACEAE,probably_extinct_in_wild,0
plantae,CHLOROPHYCEAE,probably_extinct_in_wild,0
plantae,CYCADOPSIDA,probably_extinct_in_wild,4
plantae,FLORIDEOPHYCEAE,probably_extinct_in_wild,0
plantae,GINKGOOPSIDA,probably_extinct_in_wild,0
plantae,GNETOPSIDA,probably_extinct_in_wild,0
plantae,JUNGERMANNIOPSIDA,probably_extinct_in_wild,0
plantae,LILIOPSIDA,probably_extinct_in_wild,11
plantae,LYCOPODIOPSIDA,probably_extinct_in_wild,0
plantae,MAGNOLIOPSIDA,probably_extinct_in_wild,24
plantae,MARCHANTIOPSIDA,probably_extinct_in_wild,0
plantae,PINOPSIDA,probably_extinct_in_wild,0
plantae,POLYPODIOPSIDA,probably_extinct_in_wild,0
plantae,POLYTRICHOPSIDA,probably_extinct_in_wild,0
plantae,SPHAGNOPSIDA,probably_extinct_in_wild,0
plantae,TAKAKIOPSIDA,probably_extinct_in_wild,0
plantae,ULVOPHYCEAE,probably_extinct_in_wild,0
animalia,ACTINOPTERYGII,total_species_assessed,19624
animalia,AMPHIBIA,total_species_assessed,6892
animalia,ANTHOZOA,total_species_assessed,868
animalia,ARACHNIDA,total_species_assessed,344
animalia,AVES,total_species_assessed,11147
animalia,BIVALVIA,total_species_assessed,801
animalia,BRANCHIOPODA,total_species_assessed,42
animalia,CEPHALASPIDOMORPHI,total_species_assessed,37
animalia,CEPHALOPODA,total_species_assessed,750
animalia,CHILOPODA,total_species_assessed,10
animalia,CHONDRICHTHYES,total_species_assessed,1134
animalia,CLITELLATA,total_species_assessed,222
animalia,DIPLOPODA,total_species_assessed,200
animalia,ECHINOIDEA,total_species_assessed,1
animalia,ENOPLA,total_species_assessed,6
animalia,ENTOGNATHA,total_species_assessed,6
animalia,GASTROPODA,total_species_assessed,7221
animalia,HOLOTHUROIDEA,total_species_assessed,371
animalia,HYDROZOA,total_species_assessed,16
animalia,INSECTA,total_species_assessed,9793
animalia,MALACOSTRACA,total_species_assessed,3016
animalia,MAMMALIA,total_species_assessed,5899
animalia,MAXILLOPODA,total_species_assessed,110
animalia,MEROSTOMATA,total_species_assessed,4
animalia,MYXINI,total_species_assessed,76
animalia,ONYCHOPHORA,total_species_assessed,11
animalia,OSTRACODA,total_species_assessed,13
animalia,POLYCHAETA,total_species_assessed,2
animalia,REPTILIA,total_species_assessed,7833
animalia,SARCOPTERYGII,total_species_assessed,7
animalia,TURBELLARIA,total_species_assessed,1
chromista,PHAEOPHYCEAE,total_species_assessed,15
fungi,AGARICOMYCETES,total_species_assessed,279
fungi,ARTHONIOMYCETES,total_species_assessed,1
fungi,EUROTIOMYCETES,total_species_assessed,2
fungi,GEOGLOSSOMYCETES,total_species_assessed,4
fungi,LECANOROMYCETES,total_species_assessed,29
fungi,LEOTIOMYCETES,total_species_assessed,7
fungi,NOT ASSIGNED,total_species_assessed,1
fungi,PEZIZOMYCETES,total_species_assessed,11
fungi,SORDARIOMYCETES,total_species_assessed,7
fungi,USTILAGINOMYCETES,total_species_assessed,2
plantae,ANDREAEOPSIDA,total_species_assessed,2
plantae,ANTHOCEROTOPSIDA,total_species_assessed,2
plantae,BRYOPSIDA,total_species_assessed,171
plantae,CHAROPHYACEAE,total_species_assessed,14
plantae,CHLOROPHYCEAE,total_species_assessed,1
plantae,CYCADOPSIDA,total_species_assessed,307
plantae,FLORIDEOPHYCEAE,total_species_assessed,58
plantae,GINKGOOPSIDA,total_species_assessed,1
plantae,GNETOPSIDA,total_species_assessed,97
plantae,JUNGERMANNIOPSIDA,total_species_assessed,85
plantae,LILIOPSIDA,total_species_assessed,7627
plantae,LYCOPODIOPSIDA,total_species_assessed,95
plantae,MAGNOLIOPSIDA,total_species_assessed,33889
plantae,MARCHANTIOPSIDA,total_species_assessed,13
plantae,PINOPSIDA,total_species_assessed,610
plantae,POLYPODIOPSIDA,total_species_assessed,576
plantae,POLYTRICHOPSIDA,total_species_assessed,1
plantae,SPHAGNOPSIDA,total_species_assessed,6
plantae,TAKAKIOPSIDA,total_species_assessed,1
plantae,ULVOPHYCEAE,total_species_assessed,1
