crop,year,mass_t
Avocados,2004,3238876
Avocados,2005,3426427
Avocados,2006,3645498
Avocados,2007,3591501
Avocados,2008,3438621
Avocados,2009,3902685
Avocados,2010,3871140
Avocados,2011,4161262
Avocados,2012,4405855
Avocados,2013,4632934
Avocados,2014,5044382
Avocados,2015,5284135
Avocados,2016,5636234
Avocados,2017,6005285
Avocados,2018,6407171
Bambara beans,1961,29600
Bambara beans,1962,30100
Bambara beans,1963,30600
Bambara beans,1964,30600
Bambara beans,1965,30600
Bambara beans,1966,29600
Bambara beans,1967,27727
Bambara beans,1968,27515
Bambara beans,1969,34720
Bambara beans,1970,33994
Bambara beans,1971,34361
Bambara beans,1972,37354
Bambara beans,1973,34745
Bambara beans,1974,34911
Bambara beans,1975,41235
Bambara beans,1976,42078
Bambara beans,1977,42724
Bambara beans,1978,30250
Bambara beans,1979,30554
Bambara beans,1980,31741
Bambara beans,1981,33011
Bambara beans,1982,35640
Bambara beans,1983,28453
Bambara beans,1984,34656
Bambara beans,1985,33786
Bambara beans,1986,38186
Bambara beans,1987,35396
Bambara beans,1988,41338
Bambara beans,1989,41461
Bambara beans,1990,55652
Bambara beans,1991,80019
Bambara beans,1992,81985
Bambara beans,1993,91475
Bambara beans,1994,98198
Bambara beans,1995,130490
Bambara beans,1996,104092
Bambara beans,1997,66485
Bambara beans,1998,75606
Bambara beans,1999,87620
Bambara beans,2000,67321
Bambara beans,2001,79306
Bambara beans,2002,88801
Bambara beans,2003,96557
Bambara beans,2004,78514
Bambara beans,2005,101225
Bambara beans,2006,105597
Bambara beans,2007,105645
Bambara beans,2008,141441
Bambara beans,2009,143407
Bambara beans,2010,158364
Bambara beans,2011,142670
Bambara beans,2012,162013
Bambara beans,2013,163578
Bambara beans,2014,173907
Bambara beans,2015,181609
Bambara beans,2016,180360
Bambara beans,2017,184948
Bambara beans,2018,195151
Bananas,1961,21444719
Bananas,1962,21870798
Bananas,1963,22970177
Bananas,1964,24595605
Bananas,1965,26541380
Bananas,1966,26884693
Bananas,1967,27573195
Bananas,1968,28777999
Bananas,1969,30280593
Bananas,1970,31497318
Bananas,1971,32568681
Bananas,1972,32854000
Bananas,1973,31107839
Bananas,1974,31871389
Bananas,1975,31413837
Bananas,1976,32521103
Bananas,1977,34201378
Bananas,1978,34616291
Bananas,1979,35536111
Bananas,1980,37043567
Bananas,1981,37553806
Bananas,1982,38172453
Bananas,1983,36894214
Bananas,1984,39327377
Bananas,1985,40103697
Bananas,1986,42835650
Bananas,1987,44438809
Bananas,1988,44852924
Bananas,1989,44823616
Bananas,1990,49943534
Bananas,1991,51197554
Bananas,1992,55618397
Bananas,1993,56368505
Bananas,1994,58059868
Bananas,1995,58753963
Bananas,1996,58033631
Bananas,1997,62771139
Bananas,1998,64915109
Bananas,1999,69952280
Bananas,2000,67215329
Bananas,2001,70057040
Bananas,2002,72917378
Bananas,2003,74944117
Bananas,2004,79403508
Bananas,2005,83665933
Bananas,2006,88652980
Bananas,2007,94417610
Bananas,2008,98763459
Bananas,2009,103421795
Bananas,2010,108664115
Bananas,2011,109408704
Bananas,2012,109342149
Bananas,2013,112251767
Bananas,2014,112809324
Bananas,2015,115209380
Bananas,2016,112627980
Bananas,2017,114359133
Bananas,2018,115737861
Barley,1961,72411104
Barley,1962,88396959
Barley,1963,90385850
Barley,1964,95524923
Barley,1965,92617012
Barley,1966,100425696
Barley,1967,103177495
Barley,1968,113504505
Barley,1969,118006371
Barley,1970,119378695
Barley,1971,131237044
Barley,1972,132963909
Barley,1973,146966081
Barley,1974,148818870
Barley,1975,135491720
Barley,1976,166595806
Barley,1977,156386493
Barley,1978,174929309
Barley,1979,154989948
Barley,1980,156702822
Barley,1981,149602582
Barley,1982,161352537
Barley,1983,159470171
Barley,1984,169433845
Barley,1985,172618338
Barley,1986,177169275
Barley,1987,175288684
Barley,1988,163396406
Barley,1989,164166455
Barley,1990,178074020
Barley,1991,169582274
Barley,1992,165533308
Barley,1993,169542965
Barley,1994,161019263
Barley,1995,140724630
Barley,1996,155017318
Barley,1997,154359212
Barley,1998,137411482
Barley,1999,128085634
Barley,2000,133113066
Barley,2001,140599680
Barley,2002,141030434
Barley,2003,136544686
Barley,2004,156267473
Barley,2005,136742390
Barley,2006,144502756
Barley,2007,131148005
Barley,2008,153807910
Barley,2009,150783127
Barley,2010,123317085
Barley,2011,132747522
Barley,2012,132229102
Barley,2013,143481044
Barley,2014,145091156
Barley,2015,147748880
Barley,2016,145906773
Barley,2017,149141292
Barley,2018,141423028
"Bastfibres, other",1961,843278
"Bastfibres, other",1962,683627
"Bastfibres, other",1963,806375
"Bastfibres, other",1964,862725
"Bastfibres, other",1965,1039717
"Bastfibres, other",1966,1163452
"Bastfibres, other",1967,1006503
"Bastfibres, other",1968,792935
"Bastfibres, other",1969,898993
"Bastfibres, other",1970,897543
"Bastfibres, other",1971,894136
"Bastfibres, other",1972,924967
"Bastfibres, other",1973,1080372
"Bastfibres, other",1974,998017
"Bastfibres, other",1975,983707
"Bastfibres, other",1976,931706
"Bastfibres, other",1977,1013097
"Bastfibres, other",1978,1183792
"Bastfibres, other",1979,1069945
"Bastfibres, other",1980,1020526
"Bastfibres, other",1981,1047983
"Bastfibres, other",1982,912200
"Bastfibres, other",1983,979837
"Bastfibres, other",1984,1010687
"Bastfibres, other",1985,1885984
"Bastfibres, other",1986,1035779
"Bastfibres, other",1987,811103
"Bastfibres, other",1988,796455
"Bastfibres, other",1989,847847
"Bastfibres, other",1990,885343
"Bastfibres, other",1991,724516
"Bastfibres, other",1992,768879
"Bastfibres, other",1993,784882
"Bastfibres, other",1994,643345
"Bastfibres, other",1995,623777
"Bastfibres, other",1996,654243
"Bastfibres, other",1997,583545
"Bastfibres, other",1998,453582
"Bastfibres, other",1999,414772
"Bastfibres, other",2000,408183
"Bastfibres, other",2001,445658
"Bastfibres, other",2002,399930
"Bastfibres, other",2003,358066
"Bastfibres, other",2004,346907
"Bastfibres, other",2005,343565
"Bastfibres, other",2006,343174
"Bastfibres, other",2007,366396
"Bastfibres, other",2008,350445
"Bastfibres, other",2009,298311
"Bastfibres, other",2010,265145
"Bastfibres, other",2011,277561
"Bastfibres, other",2012,262727
"Bastfibres, other",2013,253530
"Bastfibres, other",2014,242419
"Bastfibres, other",2015,234983
"Bastfibres, other",2016,223558
"Bastfibres, other",2017,207777
"Bastfibres, other",2018,221276
"Beans, dry",1961,11228313
"Beans, dry",1962,11744939
"Beans, dry",1963,11693428
"Beans, dry",1964,12139318
"Beans, dry",1965,12044424
"Beans, dry",1966,11897234
"Beans, dry",1967,12490784
"Beans, dry",1968,11701307
"Beans, dry",1969,11740358
"Beans, dry",1970,12629727
"Beans, dry",1971,12596557
"Beans, dry",1972,12319681
"Beans, dry",1973,13037173
"Beans, dry",1974,12753197
"Beans, dry",1975,13412679
"Beans, dry",1976,12327437
"Beans, dry",1977,13242206
"Beans, dry",1978,13554877
"Beans, dry",1979,12731407
"Beans, dry",1980,13711771
"Beans, dry",1981,15278695
"Beans, dry",1982,15342446
"Beans, dry",1983,14825734
"Beans, dry",1984,15664232
"Beans, dry",1985,15499453
"Beans, dry",1986,15143551
"Beans, dry",1987,15045832
"Beans, dry",1988,16567574
"Beans, dry",1989,15582299
"Beans, dry",1990,17544635
"Beans, dry",1991,18003141
"Beans, dry",1992,17169073
"Beans, dry",1993,16467245
"Beans, dry",1994,17611866
"Beans, dry",1995,17787767
"Beans, dry",1996,17102924
"Beans, dry",1997,16524782
"Beans, dry",1998,16609308
"Beans, dry",1999,17953180
"Beans, dry",2000,17839493
"Beans, dry",2001,18475305
"Beans, dry",2002,20130279
"Beans, dry",2003,21369678
"Beans, dry",2004,18659215
"Beans, dry",2005,19270113
"Beans, dry",2006,21170504
"Beans, dry",2007,21737860
"Beans, dry",2008,21893433
"Beans, dry",2009,21991442
"Beans, dry",2010,24634101
"Beans, dry",2011,23832337
"Beans, dry",2012,24226303
"Beans, dry",2013,24739129
"Beans, dry",2014,26849343
"Beans, dry",2015,27614253
"Beans, dry",2016,28370254
"Beans, dry",2017,30811933
"Beans, dry",2018,30434280
"Beans, green",1961,2632012
"Beans, green",1962,2576531
"Beans, green",1963,2638434
"Beans, green",1964,2734299
"Beans, green",1965,2716652
"Beans, green",1966,2804820
"Beans, green",1967,2847014
"Beans, green",1968,2853535
"Beans, green",1969,2958870
"Beans, green",1970,3069315
"Beans, green",1971,3126849
"Beans, green",1972,3226604
"Beans, green",1973,3288529
"Beans, green",1974,3435688
"Beans, green",1975,3431663
"Beans, green",1976,3347391
"Beans, green",1977,3622146
"Beans, green",1978,3661016
"Beans, green",1979,3818595
"Beans, green",1980,3854047
"Beans, green",1981,4087064
"Beans, green",1982,4321373
"Beans, green",1983,4383863
"Beans, green",1984,4737131
"Beans, green",1985,4908984
"Beans, green",1986,4885512
"Beans, green",1987,5121953
"Beans, green",1988,5375367
"Beans, green",1989,5785474
"Beans, green",1990,5942817
"Beans, green",1991,6232678
"Beans, green",1992,6694618
"Beans, green",1993,6810927
"Beans, green",1994,6918021
"Beans, green",1995,8521778
"Beans, green",1996,8798619
"Beans, green",1997,8903901
"Beans, green",1998,9114653
"Beans, green",1999,9549114
"Beans, green",2000,9836864
"Beans, green",2001,10919366
"Beans, green",2002,11665423
"Beans, green",2003,12847005
"Beans, green",2004,13752535
"Beans, green",2005,15441689
"Beans, green",2006,17215594
"Beans, green",2007,18017731
"Beans, green",2008,18954409
"Beans, green",2009,19141756
"Beans, green",2010,19781471
"Beans, green",2011,20146705
"Beans, green",2012,20874010
"Beans, green",2013,21362203
"Beans, green",2014,21705172
"Beans, green",2015,23183217
"Beans, green",2016,23595644
"Beans, green",2017,24214148
"Beans, green",2018,24752675
Berries nes,1961,305559
Berries nes,1962,298619
Berries nes,1963,309462
Berries nes,1964,323869
Berries nes,1965,329476
Berries nes,1966,292712
Berries nes,1967,296345
Berries nes,1968,306145
Berries nes,1969,300419
Berries nes,1970,305959
Berries nes,1971,307038
Berries nes,1972,308398
Berries nes,1973,296202
Berries nes,1974,312641
Berries nes,1975,314563
Berries nes,1976,325928
Berries nes,1977,304596
Berries nes,1978,340255
Berries nes,1979,347523
Berries nes,1980,367133
Berries nes,1981,366346
Berries nes,1982,374543
Berries nes,1983,382779
Berries nes,1984,383349
Berries nes,1985,355280
Berries nes,1986,349974
Berries nes,1987,359719
Berries nes,1988,353824
Berries nes,1989,375685
Berries nes,1990,423072
Berries nes,1991,463056
Berries nes,1992,514088
Berries nes,1993,509337
Berries nes,1994,519043
Berries nes,1995,519044
Berries nes,1996,500549
Berries nes,1997,494079
Berries nes,1998,486760
Berries nes,1999,493266
Berries nes,2000,527019
Berries nes,2001,550798
Berries nes,2002,554056
Berries nes,2003,650191
Berries nes,2004,639601
Berries nes,2005,689373
Berries nes,2006,689999
Berries nes,2007,728840
Berries nes,2008,811267
Berries nes,2009,796481
Berries nes,2010,751073
Berries nes,2011,823607
Berries nes,2012,836535
Berries nes,2013,827744
Berries nes,2014,839638
Berries nes,2015,816026
Berries nes,2016,954569
Berries nes,2017,963675
Berries nes,2018,1009912
Blueberries,1961,35091
Blueberries,1962,30048
Blueberries,1963,36251
Blueberries,1964,38370
Blueberries,1965,33416
Blueberries,1966,48367
Blueberries,1967,41404
Blueberries,1968,35380
Blueberries,1969,62328
Blueberries,1970,60749
Blueberries,1971,61515
Blueberries,1972,55459
Blueberries,1973,76000
Blueberries,1974,62164
Blueberries,1975,62205
Blueberries,1976,64825
Blueberries,1977,56813
Blueberries,1978,65422
Blueberries,1979,71287
Blueberries,1980,73769
Blueberries,1981,85310
Blueberries,1982,92935
Blueberries,1983,98050
Blueberries,1984,85206
Blueberries,1985,103226
Blueberries,1986,99115
Blueberries,1987,110949
Blueberries,1988,115016
Blueberries,1989,112893
Blueberries,1990,135547
Blueberries,1991,125931
Blueberries,1992,115625
Blueberries,1993,143247
Blueberries,1994,133923
Blueberries,1995,156818
Blueberries,1996,158338
Blueberries,1997,174143
Blueberries,1998,158224
Blueberries,1999,205410
Blueberries,2000,211144
Blueberries,2001,230985
Blueberries,2002,201296
Blueberries,2003,216602
Blueberries,2004,230592
Blueberries,2005,242301
Blueberries,2006,266802
Blueberries,2007,266389
Blueberries,2008,314895
Blueberries,2009,339517
Blueberries,2010,327866
Blueberries,2011,363776
Blueberries,2012,403624
Blueberries,2013,434520
Blueberries,2014,546384
Blueberries,2015,555721
Blueberries,2016,641518
Blueberries,2017,606206
Blueberries,2018,682790
"Brazil nuts, with shell",1961,59377
"Brazil nuts, with shell",1962,53389
"Brazil nuts, with shell",1963,48987
"Brazil nuts, with shell",1964,54053
"Brazil nuts, with shell",1965,51528
"Brazil nuts, with shell",1966,66108
"Brazil nuts, with shell",1967,45657
"Brazil nuts, with shell",1968,62324
"Brazil nuts, with shell",1969,50621
"Brazil nuts, with shell",1970,117667
"Brazil nuts, with shell",1971,82140
"Brazil nuts, with shell",1972,85647
"Brazil nuts, with shell",1973,63944
"Brazil nuts, with shell",1974,50843
"Brazil nuts, with shell",1975,67903
"Brazil nuts, with shell",1976,80076
"Brazil nuts, with shell",1977,70173
"Brazil nuts, with shell",1978,56039
"Brazil nuts, with shell",1979,56119
"Brazil nuts, with shell",1980,53943
"Brazil nuts, with shell",1981,51416
"Brazil nuts, with shell",1982,52325
"Brazil nuts, with shell",1983,68381
"Brazil nuts, with shell",1984,56866
