crop,year,mass_t
"Citrus Fruit, Total",1989,79474084
"Citrus Fruit, Total",1990,77530907
"Citrus Fruit, Total",1991,82514431
"Citrus Fruit, Total",1992,85246263
"Citrus Fruit, Total",1993,88522330
"Citrus Fruit, Total",1994,88079877
"Citrus Fruit, Total",1995,93511057
"Citrus Fruit, Total",1996,96297763
"Citrus Fruit, Total",1997,105617059
"Citrus Fruit, Total",1998,100119019
"Citrus Fruit, Total",1999,104519029
"Citrus Fruit, Total",2000,106176458
"Citrus Fruit, Total",2001,105680051
"Citrus Fruit, Total",2002,108175928
"Citrus Fruit, Total",2003,107093340
"Citrus Fruit, Total",2004,113962519
"Citrus Fruit, Total",2005,111964379
"Citrus Fruit, Total",2006,117687082
"Citrus Fruit, Total",2007,120063413
"Citrus Fruit, Total",2008,126088415
"Citrus Fruit, Total",2009,127112900
"Citrus Fruit, Total",2010,129410982
"Citrus Fruit, Total",2011,134181152
"Citrus Fruit, Total",2012,134326218
"Citrus Fruit, Total",2013,138732875
"Citrus Fruit, Total",2014,140283432
"Citrus Fruit, Total",2015,144377310
"Citrus Fruit, Total",2016,144931671
"Citrus Fruit, Total",2017,146276055
"Citrus Fruit, Total",2018,152448800
"Coarse Grain, Total",1961,438871022
"Coarse Grain, Total",1962,456597832
"Coarse Grain, Total",1963,468887430
"Coarse Grain, Total",1964,469493683
"Coarse Grain, Total",1965,480887530
"Coarse Grain, Total",1966,513373536
"Coarse Grain, Total",1967,552399175
"Coarse Grain, Total",1968,545211651
"Coarse Grain, Total",1969,566775000
"Coarse Grain, Total",1970,565422009
"Coarse Grain, Total",1971,634430750
"Coarse Grain, Total",1972,608188382
"Coarse Grain, Total",1973,652753322
"Coarse Grain, Total",1974,635754555
"Coarse Grain, Total",1975,647035959
"Coarse Grain, Total",1976,696157956
"Coarse Grain, Total",1977,704587740
"Coarse Grain, Total",1978,752967561
"Coarse Grain, Total",1979,739252124
"Coarse Grain, Total",1980,712854637
"Coarse Grain, Total",1981,772674604
"Coarse Grain, Total",1982,793824015
"Coarse Grain, Total",1983,689376542
"Coarse Grain, Total",1984,809124318
"Coarse Grain, Total",1985,853550879
"Coarse Grain, Total",1986,836664052
"Coarse Grain, Total",1987,805015450
"Coarse Grain, Total",1988,739515287
"Coarse Grain, Total",1989,818730133
"Coarse Grain, Total",1990,841827721
"Coarse Grain, Total",1991,823971858
"Coarse Grain, Total",1992,880497008
"Coarse Grain, Total",1993,809726974
"Coarse Grain, Total",1994,889781697
"Coarse Grain, Total",1995,807778488
"Coarse Grain, Total",1996,914032380
"Coarse Grain, Total",1997,903862888
"Coarse Grain, Total",1998,910368737
"Coarse Grain, Total",1999,886558725
"Coarse Grain, Total",2000,874988993
"Coarse Grain, Total",2001,916345418
"Coarse Grain, Total",2002,890493429
"Coarse Grain, Total",2003,936742834
"Coarse Grain, Total",2004,1043833468
"Coarse Grain, Total",2005,1005032169
"Coarse Grain, Total",2006,1000451512
"Coarse Grain, Total",2007,1084564361
"Coarse Grain, Total",2008,1153608423
"Coarse Grain, Total",2009,1122499760
"Coarse Grain, Total",2010,1125473845
"Coarse Grain, Total",2011,1164887563
"Coarse Grain, Total",2012,1154010956
"Coarse Grain, Total",2013,1316136252
"Coarse Grain, Total",2014,1349262962
"Coarse Grain, Total",2015,1362292182
"Coarse Grain, Total",2016,1438238127
"Coarse Grain, Total",2017,1476993776
"Coarse Grain, Total",2018,1446822305
Fibre Crops Primary,1961,15074913
Fibre Crops Primary,1962,15480737
Fibre Crops Primary,1963,16702173
Fibre Crops Primary,1964,17222467
Fibre Crops Primary,1965,18198801
Fibre Crops Primary,1966,17643603
Fibre Crops Primary,1967,17304988
Fibre Crops Primary,1968,17079570
Fibre Crops Primary,1969,17640072
Fibre Crops Primary,1970,17534110
Fibre Crops Primary,1971,18045485
Fibre Crops Primary,1972,19068805
Fibre Crops Primary,1973,19987019
Fibre Crops Primary,1974,19208881
Fibre Crops Primary,1975,17652909
Fibre Crops Primary,1976,17279239
Fibre Crops Primary,1977,19409932
Fibre Crops Primary,1978,19182904
Fibre Crops Primary,1979,19561575
Fibre Crops Primary,1980,19464655
Fibre Crops Primary,1981,20821522
Fibre Crops Primary,1982,20024370
Fibre Crops Primary,1983,19619608
Fibre Crops Primary,1984,23651180
Fibre Crops Primary,1985,25745834
Fibre Crops Primary,1986,21855483
Fibre Crops Primary,1987,22726098
Fibre Crops Primary,1988,23917472
Fibre Crops Primary,1989,22459680
Fibre Crops Primary,1990,23915378
Fibre Crops Primary,1991,26401556
Fibre Crops Primary,1992,23697458
Fibre Crops Primary,1993,21768405
Fibre Crops Primary,1994,23570763
Fibre Crops Primary,1995,24857029
Fibre Crops Primary,1996,24907429
Fibre Crops Primary,1997,24725863
Fibre Crops Primary,1998,22976897
Fibre Crops Primary,1999,23115110
Fibre Crops Primary,2000,23624559
Fibre Crops Primary,2001,26252247
Fibre Crops Primary,2002,24487520
Fibre Crops Primary,2003,25041171
Fibre Crops Primary,2004,30099045
Fibre Crops Primary,2005,30249597
Fibre Crops Primary,2006,31273300
Fibre Crops Primary,2007,30562710
Fibre Crops Primary,2008,27803599
Fibre Crops Primary,2009,26239446
Fibre Crops Primary,2010,28673230
Fibre Crops Primary,2011,31944480
Fibre Crops Primary,2012,32048468
Fibre Crops Primary,2013,30038555
Fibre Crops Primary,2014,31179291
Fibre Crops Primary,2015,27511963
Fibre Crops Primary,2016,28646848
Fibre Crops Primary,2017,30685704
Fibre Crops Primary,2018,29801977
Fruit Primary,1961,199851774
Fruit Primary,1962,216858062
Fruit Primary,1963,213995134
Fruit Primary,1964,224699088
Fruit Primary,1965,229611394
Fruit Primary,1966,235599365
Fruit Primary,1967,247184256
Fruit Primary,1968,253765522
Fruit Primary,1969,258921806
Fruit Primary,1970,266254915
Fruit Primary,1971,271348163
Fruit Primary,1972,267388877
Fruit Primary,1973,290196834
Fruit Primary,1974,290978763
Fruit Primary,1975,297818626
Fruit Primary,1976,305296839
Fruit Primary,1977,300030480
Fruit Primary,1978,311423303
Fruit Primary,1979,332452564
Fruit Primary,1980,338784459
Fruit Primary,1981,334727845
Fruit Primary,1982,358809329
Fruit Primary,1983,357713034
Fruit Primary,1984,358664971
Fruit Primary,1985,367922932
Fruit Primary,1986,387685120
Fruit Primary,1987,392876916
Fruit Primary,1988,393724424
Fruit Primary,1989,401780140
Fruit Primary,1990,401610031
Fruit Primary,1991,406051267
Fruit Primary,1992,436891214
Fruit Primary,1993,447640236
Fruit Primary,1994,453555915
Fruit Primary,1995,471360689
Fruit Primary,1996,496613394
Fruit Primary,1997,523822453
Fruit Primary,1998,524126239
Fruit Primary,1999,559757054
Fruit Primary,2000,576564000
Fruit Primary,2001,587331089
Fruit Primary,2002,605518522
Fruit Primary,2003,618469020
Fruit Primary,2004,641942338
Fruit Primary,2005,657314534
Fruit Primary,2006,682203661
Fruit Primary,2007,690143901
Fruit Primary,2008,707618673
Fruit Primary,2009,726345418
Fruit Primary,2010,740541779
Fruit Primary,2011,766206400
Fruit Primary,2012,778937145
Fruit Primary,2013,810438234
Fruit Primary,2014,822814484
Fruit Primary,2015,833493584
Fruit Primary,2016,835068140
Fruit Primary,2017,842561838
Fruit Primary,2018,867774832
Oilcrops,1961,111113746
Oilcrops,1962,113847144
Oilcrops,1963,122204861
Oilcrops,1964,122239047
Oilcrops,1965,127803745
Oilcrops,1966,133024410
Oilcrops,1967,136060726
Oilcrops,1968,141219155
Oilcrops,1969,139635365
Oilcrops,1970,148386578
Oilcrops,1971,156463091
Oilcrops,1972,155388908
Oilcrops,1973,170636344
Oilcrops,1974,163839307
Oilcrops,1975,179129980
Oilcrops,1976,168882937
Oilcrops,1977,192716854
Oilcrops,1978,199589506
Oilcrops,1979,214700734
Oilcrops,1980,207399075
Oilcrops,1981,223292441
Oilcrops,1982,232247496
Oilcrops,1983,214882943
Oilcrops,1984,238979302
Oilcrops,1985,259082071
Oilcrops,1986,253958460
Oilcrops,1987,267216493
Oilcrops,1988,264069785
Oilcrops,1989,279313204
Oilcrops,1990,291686887
Oilcrops,1991,298091153
Oilcrops,1992,303907652
Oilcrops,1993,304584106
Oilcrops,1994,340532611
Oilcrops,1995,344354659
Oilcrops,1996,349718502
Oilcrops,1997,366379646
Oilcrops,1998,386167814
Oilcrops,1999,397543420
Oilcrops,2000,402576579
Oilcrops,2001,417456326
Oilcrops,2002,421192235
Oilcrops,2003,446716449
Oilcrops,2004,482833844
Oilcrops,2005,505992682
Oilcrops,2006,519239006
Oilcrops,2007,522544635
Oilcrops,2008,550593662
Oilcrops,2009,544264611
Oilcrops,2010,596367627
Oilcrops,2011,614681100
Oilcrops,2012,595002874
Oilcrops,2013,660031097
Oilcrops,2014,685131979
Oilcrops,2015,695567419
Oilcrops,2016,709659224
Oilcrops,2017,751203227
Oilcrops,2018,754094644
"Pulses, Total",1961,40782133
"Pulses, Total",1962,46090076
"Pulses, Total",1963,44674341
"Pulses, Total",1964,46802987
"Pulses, Total",1965,45244887
"Pulses, Total",1966,40967266
"Pulses, Total",1967,40005814
"Pulses, Total",1968,42252645
"Pulses, Total",1969,41718239
"Pulses, Total",1970,43865040
"Pulses, Total",1971,42675088
"Pulses, Total",1972,41601629
"Pulses, Total",1973,42214624
"Pulses, Total",1974,43048226
"Pulses, Total",1975,40351075
"Pulses, Total",1976,44644330
"Pulses, Total",1977,42466566
"Pulses, Total",1978,44230136
"Pulses, Total",1979,40978385
"Pulses, Total",1980,40798315
"Pulses, Total",1981,41634513
"Pulses, Total",1982,45521379
"Pulses, Total",1983,47801409
"Pulses, Total",1984,49875847
"Pulses, Total",1985,50474075
"Pulses, Total",1986,52275259
"Pulses, Total",1987,54066722
"Pulses, Total",1988,55565252
"Pulses, Total",1989,55737593
"Pulses, Total",1990,59182797
"Pulses, Total",1991,56409117
"Pulses, Total",1992,53194809
"Pulses, Total",1993,55815949
"Pulses, Total",1994,57200107
"Pulses, Total",1995,56717641
"Pulses, Total",1996,54505935
"Pulses, Total",1997,55768410
"Pulses, Total",1998,56668635
"Pulses, Total",1999,58064829
"Pulses, Total",2000,56053814
"Pulses, Total",2001,56179120
"Pulses, Total",2002,59242926
"Pulses, Total",2003,59166149
"Pulses, Total",2004,60579130
"Pulses, Total",2005,61159079
"Pulses, Total",2006,62389905
"Pulses, Total",2007,61589354
"Pulses, Total",2008,63112218
"Pulses, Total",2009,64533010
"Pulses, Total",2010,71270420
"Pulses, Total",2011,69664613
"Pulses, Total",2012,74338883
"Pulses, Total",2013,78196907
"Pulses, Total",2014,78452594
"Pulses, Total",2015,78063144
"Pulses, Total",2016,83694926
"Pulses, Total",2017,93598195
"Pulses, Total",2018,92277859
"Roots and Tubers, Total",1961,455331248
"Roots and Tubers, Total",1962,448880143
"Roots and Tubers, Total",1963,463451978
"Roots and Tubers, Total",1964,478584021
"Roots and Tubers, Total",1965,484017123
"Roots and Tubers, Total",1966,506460236
"Roots and Tubers, Total",1967,525182374
"Roots and Tubers, Total",1968,537341813
"Roots and Tubers, Total",1969,524574738
"Roots and Tubers, Total",1970,559627800
"Roots and Tubers, Total",1971,529306614
"Roots and Tubers, Total",1972,516159673
"Roots and Tubers, Total",1973,583403275
"Roots and Tubers, Total",1974,548574577
"Roots and Tubers, Total",1975,544513406
"Roots and Tubers, Total",1976,539986732
"Roots and Tubers, Total",1977,561142412
"Roots and Tubers, Total",1978,585747802
"Roots and Tubers, Total",1979,575036691
"Roots and Tubers, Total",1980,522547342
"Roots and Tubers, Total",1981,540886404
"Roots and Tubers, Total",1982,543844825
"Roots and Tubers, Total",1983,549656085
"Roots and Tubers, Total",1984,578292668
"Roots and Tubers, Total",1985,561329193
"Roots and Tubers, Total",1986,564217196
"Roots and Tubers, Total",1987,573601333
"Roots and Tubers, Total",1988,562541597
"Roots and Tubers, Total",1989,581243303
"Roots and Tubers, Total",1990,574032378
"Roots and Tubers, Total",1991,582227746
"Roots and Tubers, Total",1992,608406235
"Roots and Tubers, Total",1993,646644324
"Roots and Tubers, Total",1994,608737391
"Roots and Tubers, Total",1995,632328754
"Roots and Tubers, Total",1996,661311182
"Roots and Tubers, Total",1997,636875486
"Roots and Tubers, Total",1998,651865931
"Roots and Tubers, Total",1999,671304477
"Roots and Tubers, Total",2000,698396276
"Roots and Tubers, Total",2001,684257410
"Roots and Tubers, Total",2002,693471265
"Roots and Tubers, Total",2003,697318105
"Roots and Tubers, Total",2004,732625817
"Roots and Tubers, Total",2005,724945345
"Roots and Tubers, Total",2006,714778662
"Roots and Tubers, Total",2007,713137591
"Roots and Tubers, Total",2008,738585067
"Roots and Tubers, Total",2009,731443106
"Roots and Tubers, Total",2010,741145202
"Roots and Tubers, Total",2011,790974832
"Roots and Tubers, Total",2012,807313012
"Roots and Tubers, Total",2013,815583434
"Roots and Tubers, Total",2014,843171220
"Roots and Tubers, Total",2015,840150010
"Roots and Tubers, Total",2016,830171608
"Roots and Tubers, Total",2017,838732186
"Roots and Tubers, Total",2018,832131696
"Treenuts, Total",1961,2615211
"Treenuts, Total",1962,2310032
"Treenuts, Total",1963,2556674
"Treenuts, Total",1964,2695757
"Treenuts, Total",1965,2521708
"Treenuts, Total",1966,2749729
"Treenuts, Total",1967,2695547
"Treenuts, Total",1968,2927819
"Treenuts, Total",1969,2786575
"Treenuts, Total",1970,3164334
"Treenuts, Total",1971,2988849
"Treenuts, Total",1972,3110342
"Treenuts, Total",1973,3351939
"Treenuts, Total",1974,3315794
"Treenuts, Total",1975,3403816
"Treenuts, Total",1976,3393992
"Treenuts, Total",1977,3388759
"Treenuts, Total",1978,3534644
"Treenuts, Total",1979,3471420
"Treenuts, Total",1980,3461952
"Treenuts, Total",1981,4098069
"Treenuts, Total",1982,3765989
"Treenuts, Total",1983,3813044
"Treenuts, Total",1984,3942622
"Treenuts, Total",1985,4008034
"Treenuts, Total",1986,4029049
"Treenuts, Total",1987,4369445
"Treenuts, Total",1988,4506808
"Treenuts, Total",1989,4843092
"Treenuts, Total",1990,4832801
"Treenuts, Total",1991,5232631
"Treenuts, Total",1992,5434670
"Treenuts, Total",1993,5549455
"Treenuts, Total",1994,5925045
"Treenuts, Total",1995,5756952
"Treenuts, Total",1996,6115533
"Treenuts, Total",1997,6634182
"Treenuts, Total",1998,6658207
"Treenuts, Total",1999,7449374
"Treenuts, Total",2000,7643378
"Treenuts, Total",2001,7832653
"Treenuts, Total",2002,8709407
"Treenuts, Total",2003,9030163
"Treenuts, Total",2004,9182675
"Treenuts, Total",2005,10298117
"Treenuts, Total",2006,11380802
"Treenuts, Total",2007,12030738
"Treenuts, Total",2008,13024780
"Treenuts, Total",2009,13047978
"Treenuts, Total",2010,13818470
"Treenuts, Total",2011,14721726
"Treenuts, Total",2012,15126550
"Treenuts, Total",2013,14279566
"Treenuts, Total",2014,14269717
"Treenuts, Total",2015,15252864
"Treenuts, Total",2016,15320094
"Treenuts, Total",2017,16926048
"Treenuts, Total",2018,18399741
Vegetables Primary,1961,197674663
Vegetables Primary,1962,196718210
Vegetables Primary,1963,197459315
Vegetables Primary,1964,199994150
Vegetables Primary,1965,202758068
Vegetables Primary,1966,210058552
Vegetables Primary,1967,217394730
Vegetables Primary,1968,223147801
Vegetables Primary,1969,225791632
Vegetables Primary,1970,224759458
Vegetables Primary,1971,234111920
Vegetables Primary,1972,232387596
Vegetables Primary,1973,245916163
Vegetables Primary,1974,253004642
Vegetables Primary,1975,258244857
Vegetables Primary,1976,259666518
Vegetables Primary,1977,271572811
Vegetables Primary,1978,287493157
Vegetables Primary,1979,292557518
Vegetables Primary,1980,290301340
Vegetables Primary,1981,304436421
Vegetables Primary,1982,321002961
Vegetables Primary,1983,327342402
Vegetables Primary,1984,352906179
Vegetables Primary,1985,355678343
Vegetables Primary,1986,377284538
Vegetables Primary,1987,384443935
Vegetables Primary,1988,394258435
Vegetables Primary,1989,407863816
Vegetables Primary,1990,418772929
Vegetables Primary,1991,422276467
Vegetables Primary,1992,436813931
Vegetables Primary,1993,464587490
Vegetables Primary,1994,488580812
Vegetables Primary,1995,514923027
Vegetables Primary,1996,544875783
Vegetables Primary,1997,553979171
Vegetables Primary,1998,574932260
Vegetables Primary,1999,617378304
Vegetables Primary,2000,684733756
Vegetables Primary,2001,702358012
Vegetables Primary,2002,723675252
Vegetables Primary,2003,753141950
Vegetables Primary,2004,762509059
Vegetables Primary,2005,782071947
Vegetables Primary,2006,811515036
Vegetables Primary,2007,845401614
Vegetables Primary,2008,878364304
Vegetables Primary,2009,902939677
Vegetables Primary,2010,924041381
Vegetables Primary,2011,957214274
Vegetables Primary,2012,980777558
Vegetables Primary,2013,1000022339
Vegetables Primary,2014,1032600421
Vegetables Primary,2015,1054772908
Vegetables Primary,2016,1073489024
Vegetables Primary,2017,1083464124
Vegetables Primary,2018,1088839427
