product,year,production_quantity_Mt,area_harvested_ha
"Almonds, with shell",2002,1.839124,1674891
"Almonds, with shell",2003,1.759987,1595788
"Almonds, with shell",2004,1.594305,1622280
"Almonds, with shell",2005,1.824627,1698514
"Almonds, with shell",2006,2.062078,1659640
"Almonds, with shell",2007,2.249552,1683208
"Almonds, with shell",2008,2.482861,1673922
"Almonds, with shell",2009,2.345221,1757154
"Almonds, with shell",2010,2.569793,1717328
"Almonds, with shell",2011,3.02021,1727686
"Almonds, with shell",2012,2.824871,1767444
"Almonds, with shell",2013,2.838962,1822879
"Almonds, with shell",2014,2.637275,1735516
"Almonds, with shell",2015,2.447193,1773788
"Almonds, with shell",2016,2.493303,1891156
"Almonds, with shell",2017,2.68781,1919853
"Almonds, with shell",2018,3.182902,2071884
"Anise, badian, fennel, coriander",1961,0.082455,123600
"Anise, badian, fennel, coriander",1962,0.090662,134343
"Anise, badian, fennel, coriander",1963,0.093901,143174
"Anise, badian, fennel, coriander",1964,0.08907,131389
"Anise, badian, fennel, coriander",1965,0.09726,138257
"Anise, badian, fennel, coriander",1966,0.094085,144251
"Anise, badian, fennel, coriander",1967,0.09759,142769
"Anise, badian, fennel, coriander",1968,0.116324,155145
"Anise, badian, fennel, coriander",1969,0.100479,153159
"Anise, badian, fennel, coriander",1970,0.093886,144088
"Anise, badian, fennel, coriander",1971,0.106783,141257
"Anise, badian, fennel, coriander",1972,0.108417,154439
"Anise, badian, fennel, coriander",1973,0.09842,153593
"Anise, badian, fennel, coriander",1974,0.107431,166245
"Anise, badian, fennel, coriander",1975,0.109487,174145
"Anise, badian, fennel, coriander",1976,0.135436,222416
"Anise, badian, fennel, coriander",1977,0.175047,246596
"Anise, badian, fennel, coriander",1978,0.166284,262624
"Anise, badian, fennel, coriander",1979,0.152468,237557
"Anise, badian, fennel, coriander",1980,0.173185,235601
"Anise, badian, fennel, coriander",1981,0.13181,152040
"Anise, badian, fennel, coriander",1982,0.157865,207805
"Anise, badian, fennel, coriander",1983,0.206165,255227
"Anise, badian, fennel, coriander",1984,0.164176,181833
"Anise, badian, fennel, coriander",1985,0.141664,197391
"Anise, badian, fennel, coriander",1986,0.170785,226490
"Anise, badian, fennel, coriander",1987,0.180891,258546
"Anise, badian, fennel, coriander",1988,0.276234,390940
"Anise, badian, fennel, coriander",1989,0.220249,337920
"Anise, badian, fennel, coriander",1990,0.232302,297219
"Anise, badian, fennel, coriander",1991,0.237787,337644
"Anise, badian, fennel, coriander",1992,0.429133,667442
"Anise, badian, fennel, coriander",1993,0.407779,707451
"Anise, badian, fennel, coriander",1994,0.299502,525362
"Anise, badian, fennel, coriander",1995,0.30685,508172
"Anise, badian, fennel, coriander",1996,0.333121,554393
"Anise, badian, fennel, coriander",1997,0.368682,578199
"Anise, badian, fennel, coriander",1998,0.436936,642431
"Anise, badian, fennel, coriander",1999,0.40601,610404
"Anise, badian, fennel, coriander",2000,0.382767,565615
"Anise, badian, fennel, coriander",2001,0.479369,798032
"Anise, badian, fennel, coriander",2002,0.495211,902121
"Anise, badian, fennel, coriander",2003,0.569992,818696
"Anise, badian, fennel, coriander",2004,0.568128,750969
"Anise, badian, fennel, coriander",2005,0.556979,698346
"Anise, badian, fennel, coriander",2006,0.587024,748126
"Anise, badian, fennel, coriander",2007,0.698265,860344
"Anise, badian, fennel, coriander",2008,0.714714,915384
"Anise, badian, fennel, coriander",2009,0.728206,898855
"Anise, badian, fennel, coriander",2010,0.827246,942862
"Anise, badian, fennel, coriander",2011,0.95348,1084198
"Anise, badian, fennel, coriander",2012,0.924025,1041163
"Anise, badian, fennel, coriander",2013,0.907375,1000635
"Anise, badian, fennel, coriander",2014,1.000735,1137852
"Anise, badian, fennel, coriander",2015,1.076816,1187818
"Anise, badian, fennel, coriander",2016,1.156679,1334129
"Anise, badian, fennel, coriander",2017,1.172591,1265052
"Anise, badian, fennel, coriander",2018,1.14661,1236049
Apples,1961,17.053651,1721568
Apples,1962,21.69411,1824876
Apples,1963,21.009272,1871108
Apples,1964,22.231724,1910463
Apples,1965,21.323988,1981766
Apples,1966,21.762455,2021976
Apples,1967,25.37091,2156677
Apples,1968,24.087398,2276370
Apples,1969,26.778974,2300478
Apples,1970,27.005728,2778777
Apples,1971,26.580791,2796644
Apples,1972,24.759595,2896559
Apples,1973,29.138481,3049261
Apples,1974,27.121411,3049136
Apples,1975,31.135523,3292617
Apples,1976,31.40694,3406071
Apples,1977,30.490589,3449361
Apples,1978,32.48684,3475335
Apples,1979,36.556334,3777541
Apples,1980,33.942609,3575044
Apples,1981,32.667138,3548212
Apples,1982,40.496873,3703764
Apples,1983,39.795515,3702932
Apples,1984,39.814942,3762460
Apples,1985,38.908542,4311352
Apples,1986,42.595784,4672497
Apples,1987,38.462837,4891547
Apples,1988,42.688532,5162285
Apples,1989,42.464226,5146862
Apples,1990,41.045985,5096960
Apples,1991,35.992511,4880625
Apples,1992,44.265125,5142276
Apples,1993,47.728624,5582878
Apples,1994,46.469873,6084543
Apples,1995,48.853754,6280579
Apples,1996,54.339163,6258101
Apples,1997,56.005416,6110592
Apples,1998,54.929371,5736840
Apples,1999,56.992187,5610208
Apples,2000,59.132499,5448972
Apples,2001,57.101395,5162755
Apples,2002,55.303952,5007770
Apples,2003,58.10405,4880159
Apples,2004,62.242493,4803527
Apples,2005,61.908488,4836532
Apples,2006,63.251447,4721233
Apples,2007,65.665515,4837040
Apples,2008,69.041332,4669756
Apples,2009,71.641156,4752616
Apples,2010,71.19084,4886266
Apples,2011,77.073691,4987356
Apples,2012,78.600228,5072862
Apples,2013,82.829058,5162915
Apples,2014,85.485079,5137851
Apples,2015,82.556084,5207675
Apples,2016,84.743988,5107557
Apples,2017,83.000398,4928661
Apples,2018,86.142197,4904305
Apricots,1961,1.317607,213367
Apricots,1962,1.087534,223208
Apricots,1963,1.318117,219610
Apricots,1964,1.291201,223744
Apricots,1965,1.362005,230034
Apricots,1966,1.268849,231310
Apricots,1967,1.562896,229555
Apricots,1968,1.532289,231084
Apricots,1969,1.618039,256067
Apricots,1970,1.630277,277627
Apricots,1971,1.475632,263618
Apricots,1972,1.50878,283705
Apricots,1973,1.701975,284475
Apricots,1974,1.71996,310618
Apricots,1975,1.546572,270518
Apricots,1976,1.79084,271150
Apricots,1977,1.51702,273853
Apricots,1978,1.534821,264543
Apricots,1979,1.505945,237608
Apricots,1980,1.734556,294057
Apricots,1981,1.860438,289710
Apricots,1982,1.869665,242187
Apricots,1983,2.003532,259721
Apricots,1984,1.987417,252564
Apricots,1985,2.028885,314024
Apricots,1986,2.079897,305049
Apricots,1987,1.895085,310023
Apricots,1988,2.221037,316050
Apricots,1989,2.401631,321300
Apricots,1990,2.18911,316531
Apricots,1991,2.027541,320279
Apricots,1992,2.482843,392673
Apricots,1993,2.296009,388960
Apricots,1994,2.516532,391417
Apricots,1995,2.088708,397614
Apricots,1996,2.563254,406011
Apricots,1997,2.404556,414213
Apricots,1998,2.500418,395317
Apricots,1999,2.641407,424364
Apricots,2000,2.86301,435535
Apricots,2001,2.641009,433451
Apricots,2002,2.616307,439742
Apricots,2003,2.891452,466506
Apricots,2004,2.784214,475845
Apricots,2005,3.625968,480609
Apricots,2006,3.462297,521144
Apricots,2007,3.294176,508211
Apricots,2008,3.68515,512171
Apricots,2009,3.756435,550849
Apricots,2010,3.303477,564438
Apricots,2011,3.812012,535832
Apricots,2012,3.861793,531974
Apricots,2013,4.089834,557165
Apricots,2014,3.336174,552053
Apricots,2015,3.9344,558969
Apricots,2016,4.925675,592775
Apricots,2017,4.768977,560308
Apricots,2018,3.838523,548730
Areca nuts,1961,0.214214,300557
Areca nuts,1962,0.205239,298082
Areca nuts,1963,0.210234,301069
Areca nuts,1964,0.211752,306223
Areca nuts,1965,0.201733,298427
Areca nuts,1966,0.185192,277726
Areca nuts,1967,0.200225,278012
Areca nuts,1968,0.207901,281061
Areca nuts,1969,0.209511,299703
Areca nuts,1970,0.20758,302941
Areca nuts,1971,0.211648,310922
Areca nuts,1972,0.223661,316224
Areca nuts,1973,0.220945,325532
Areca nuts,1974,0.244178,331721
Areca nuts,1975,0.24223,336291
Areca nuts,1976,0.240472,324217
Areca nuts,1977,0.250555,331396
Areca nuts,1978,0.265912,321738
Areca nuts,1979,0.270588,331064
Areca nuts,1980,0.271277,333283
Areca nuts,1981,0.291621,342252
Areca nuts,1982,0.290417,338497
Areca nuts,1983,0.327106,351067
Areca nuts,1984,0.315358,358099
Areca nuts,1985,0.364563,336832
Areca nuts,1986,0.368325,353591
Areca nuts,1987,0.370146,350470
Areca nuts,1988,0.406774,382932
Areca nuts,1989,0.448705,394032
Areca nuts,1990,0.502795,409609
Areca nuts,1991,0.496844,420349
Areca nuts,1992,0.50656,428941
Areca nuts,1993,0.541246,424518
Areca nuts,1994,0.574684,437252
Areca nuts,1995,0.622813,445048
Areca nuts,1996,0.635873,461281
Areca nuts,1997,0.648151,470704
Areca nuts,1998,0.710553,492532
Areca nuts,1999,0.698689,532669
Areca nuts,2000,0.727453,560134
Areca nuts,2001,0.767094,582366
Areca nuts,2002,0.832938,590560
Areca nuts,2003,0.874014,669337
Areca nuts,2004,0.916245,699598
Areca nuts,2005,0.956756,780707
Areca nuts,2006,1.0251,807482
Areca nuts,2007,1.056485,816187
Areca nuts,2008,1.074442,839945
Areca nuts,2009,1.102135,857862
Areca nuts,2010,1.081506,871891
Areca nuts,2011,1.096126,879010
Areca nuts,2012,1.340932,985385
Areca nuts,2013,1.246137,976376
Areca nuts,2014,1.277301,971411
Areca nuts,2015,1.447198,979925
Areca nuts,2016,1.397351,1003990
Areca nuts,2017,1.414764,970995
Areca nuts,2018,1.428617,1029894
Artichokes,1961,0.855442,103377
Artichokes,1962,0.762372,103935
Artichokes,1963,0.708759,108446
Artichokes,1964,0.945747,114386
Artichokes,1965,1.063352,121125
Artichokes,1966,1.093257,122728
Artichokes,1967,1.127804,125478
Artichokes,1968,1.053363,121297
Artichokes,1969,1.126999,120403
Artichokes,1970,1.276057,131949
Artichokes,1971,1.36864,134532
Artichokes,1972,1.403474,130384
Artichokes,1973,1.368111,133327
Artichokes,1974,1.397116,130949
Artichokes,1975,1.280066,118563
Artichokes,1976,1.245582,120384
Artichokes,1977,1.155025,117936
Artichokes,1978,1.335607,122013
Artichokes,1979,1.090391,120446
Artichokes,1980,1.254405,116596
Artichokes,1981,1.164973,119678
Artichokes,1982,1.184349,113970
Artichokes,1983,1.119356,111975
Artichokes,1984,1.14246,115511
Artichokes,1985,1.016894,111310
Artichokes,1986,1.189494,111712
Artichokes,1987,1.13004,111193
Artichokes,1988,1.268859,113077
Artichokes,1989,1.348239,117552
Artichokes,1990,1.333471,117830
Artichokes,1991,1.32872,111855
Artichokes,1992,1.24938,112410
Artichokes,1993,1.170459,111897
Artichokes,1994,1.207993,114438
Artichokes,1995,1.161779,113442
Artichokes,1996,1.13584,113462
Artichokes,1997,1.256438,114511
Artichokes,1998,1.250775,120891
Artichokes,1999,1.245907,120283
Artichokes,2000,1.330461,122556
Artichokes,2001,1.259163,118950
Artichokes,2002,1.27828,121997
Artichokes,2003,1.279446,123245
Artichokes,2004,1.368945,122185
Artichokes,2005,1.283432,125974
Artichokes,2006,1.422836,130507
Artichokes,2007,1.495017,133569
Artichokes,2008,1.500901,130436
Artichokes,2009,1.524162,130271
Artichokes,2010,1.480369,127513
Artichokes,2011,1.528101,129483
Artichokes,2012,1.615475,124811
Artichokes,2013,1.609045,128947
Artichokes,2014,1.575163,128239
Artichokes,2015,1.454847,116921
Artichokes,2016,1.418886,122085
Artichokes,2017,1.670861,129261
Artichokes,2018,1.678872,127368
Asparagus,1961,1.695701,640003
Asparagus,1962,1.379606,496849
Asparagus,1963,1.291043,445013
Asparagus,1964,1.207568,419836
Asparagus,1965,1.228842,421702
Asparagus,1966,1.247071,410685
Asparagus,1967,1.22207,408340
Asparagus,1968,1.328756,395218
Asparagus,1969,1.398664,393344
Asparagus,1970,1.113572,294013
Asparagus,1971,1.231942,324828
Asparagus,1972,1.147798,322568
Asparagus,1973,1.233105,346903
Asparagus,1974,1.252871,339701
Asparagus,1975,1.223169,347258
Asparagus,1976,1.258216,339821
Asparagus,1977,1.272569,347258
Asparagus,1978,1.264951,369709
Asparagus,1979,1.30626,364866
Asparagus,1980,1.252898,359086
Asparagus,1981,1.354656,381131
Asparagus,1982,1.389783,411460
Asparagus,1983,1.395671,410374
Asparagus,1984,1.435224,419972
Asparagus,1985,1.486065,421736
Asparagus,1986,1.592985,462386
Asparagus,1987,1.733698,494604
Asparagus,1988,1.758617,509471
Asparagus,1989,1.837078,545587
Asparagus,1990,2.01282,580038
Asparagus,1991,2.139182,619107
Asparagus,1992,2.228652,596219
Asparagus,1993,2.699509,696929
Asparagus,1994,2.92178,714094
Asparagus,1995,3.005813,755506
Asparagus,1996,3.321796,831482
Asparagus,1997,3.501495,843091
Asparagus,1998,3.654791,869086
Asparagus,1999,3.960944,927453
Asparagus,2000,4.640819,1063560
Asparagus,2001,4.966942,1115014
Asparagus,2002,5.751719,1197611
Asparagus,2003,6.271954,1231273
Asparagus,2004,6.621192,1305615
Asparagus,2005,6.706236,1312310
Asparagus,2006,6.931585,1348918
Asparagus,2007,7.093029,1397580
Asparagus,2008,7.215947,1412189
Asparagus,2009,7.364497,1417000
Asparagus,2010,7.487645,1426560
Asparagus,2011,8.190796,1454462
Asparagus,2012,8.282937,1483258
Asparagus,2013,7.935254,1463237
Asparagus,2014,7.877021,1455816
Asparagus,2015,8.57296,1512826
Asparagus,2016,8.754094,1544439
Asparagus,2017,8.951427,1564614
Asparagus,2018,9.108203,1584544
Avocados,1961,0.716369,78690
Avocados,1962,0.747313,81377
Avocados,1963,0.787325,84289
Avocados,1964,0.788533,85792
Avocados,1965,0.857205,89261
Avocados,1966,0.884538,93189
Avocados,1967,0.945039,97540
Avocados,1968,0.960429,102385
Avocados,1969,1.005431,107324
Avocados,1970,1.029652,113730
Avocados,1971,1.086788,116189
Avocados,1972,1.124014,124534
Avocados,1973,1.168953,133144
Avocados,1974,1.180214,141484
Avocados,1975,1.243263,148422
Avocados,1976,1.280301,153171
Avocados,1977,1.347811,172553
Avocados,1978,1.40904,181046
Avocados,1979,1.348701,177163
Avocados,1980,1.577867,188389
Avocados,1981,1.544663,201459
Avocados,1982,1.664432,208953
Avocados,1983,1.6761,214326
Avocados,1984,1.662042,217819
Avocados,1985,1.752917,271093
Avocados,1986,1.961163,265006
Avocados,1987,1.825118,259499
Avocados,1988,1.907343,286367
Avocados,1989,1.676416,269795
Avocados,1990,1.849931,285674
Avocados,1991,2.135162,297359
Avocados,1992,2.222604,303496
Avocados,1993,2.056007,288362
Avocados,1994,2.167749,296926
Avocados,1995,2.217521,294760
Avocados,1996,2.316028,296582
Avocados,1997,2.280964,275989
Avocados,1998,2.452878,294810
Avocados,1999,2.550656,307734
Avocados,2000,2.7834,329372
Avocados,2001,2.839704,316827
Avocados,2002,3.019862,331393
Avocados,2003,3.197199,342058
Avocados,2004,3.238876,353344
Avocados,2005,3.426427,362987
Avocados,2006,3.645498,370856
Avocados,2007,3.591501,387987
Avocados,2008,3.438621,399601
Avocados,2009,3.902685,412981
Avocados,2010,3.87114,433000
Avocados,2011,4.161262,446841
Avocados,2012,4.405855,462305
Avocados,2013,4.632934,496208
Avocados,2014,5.044382,519660
Avocados,2015,5.284135,542072
Avocados,2016,5.636234,574375
Avocados,2017,6.005285,592389
Avocados,2018,6.407171,918531
Bambara beans,1961,0.0296,40500
Bambara beans,1962,0.0301,41500
Bambara beans,1963,0.0306,42500
Bambara beans,1964,0.0306,42500
Bambara beans,1965,0.0306,42500
Bambara beans,1966,0.0296,40500
Bambara beans,1967,0.027727,40890
Bambara beans,1968,0.027515,39711
Bambara beans,1969,0.03472,44876
Bambara beans,1970,0.033994,50374
Bambara beans,1971,0.034361,49772
Bambara beans,1972,0.037354,49500
Bambara beans,1973,0.034745,51801
Bambara beans,1974,0.034911,52174
Bambara beans,1975,0.041235,59875
Bambara beans,1976,0.042078,63258
Bambara beans,1977,0.042724,65026
Bambara beans,1978,0.03025,41000
Bambara beans,1979,0.030554,41200
Bambara beans,1980,0.031741,46500
Bambara beans,1981,0.033011,48700
Bambara beans,1982,0.03564,52700
Bambara beans,1983,0.028453,41765
Bambara beans,1984,0.034656,52400
Bambara beans,1985,0.033786,51024
Bambara beans,1986,0.038186,53336
Bambara beans,1987,0.035396,49118
Bambara beans,1988,0.041338,63420
Bambara beans,1989,0.041461,58559
Bambara beans,1990,0.055652,82544
Bambara beans,1991,0.080019,126247
Bambara beans,1992,0.081985,123742
Bambara beans,1993,0.091475,124009
Bambara beans,1994,0.098198,151039
Bambara beans,1995,0.13049,116100
Bambara beans,1996,0.104092,130676
Bambara beans,1997,0.066485,110201
Bambara beans,1998,0.075606,91653
Bambara beans,1999,0.08762,101781
Bambara beans,2000,0.067321,94207
Bambara beans,2001,0.079306,100573
Bambara beans,2002,0.088801,126369
Bambara beans,2003,0.096557,139325
Bambara beans,2004,0.078514,120807
Bambara beans,2005,0.101225,135511
Bambara beans,2006,0.105597,145340
Bambara beans,2007,0.105645,159137
Bambara beans,2008,0.141441,197607
Bambara beans,2009,0.143407,213203
Bambara beans,2010,0.158364,207634
Bambara beans,2011,0.14267,209268
Bambara beans,2012,0.162013,229266
Bambara beans,2013,0.163578,245649
Bambara beans,2014,0.173907,243168
Bambara beans,2015,0.181609,244731
Bambara beans,2016,0.18036,251809
Bambara beans,2017,0.184948,267201
Bambara beans,2018,0.195151,253973
Bananas,1961,21.444719,2008953
Bananas,1962,21.870798,2043176
Bananas,1963,22.970177,2117503
Bananas,1964,24.595605,2223746
Bananas,1965,26.54138,2380791
Bananas,1966,26.884693,2395962
Bananas,1967,27.573195,2424528
Bananas,1968,28.777999,2466831
Bananas,1969,30.280593,2573730
Bananas,1970,31.497318,2712224
Bananas,1971,32.568681,2675341
Bananas,1972,32.854,2779126
Bananas,1973,31.107839,2790668
Bananas,1974,31.871389,2740585
Bananas,1975,31.413837,2669143
Bananas,1976,32.521103,2643849
Bananas,1977,34.201378,2680013
Bananas,1978,34.616291,2639192
Bananas,1979,35.536111,2706027
Bananas,1980,37.043567,2775480
Bananas,1981,37.553806,2769980
Bananas,1982,38.172453,2869692
Bananas,1983,36.894214,2828678
Bananas,1984,39.327377,2892314
Bananas,1985,40.103697,2970383
Bananas,1986,42.83565,3063386
Bananas,1987,44.438809,3225223
Bananas,1988,44.852924,3488320
Bananas,1989,44.823616,3283244
Bananas,1990,49.943534,3726348
Bananas,1991,51.197554,3886943
Bananas,1992,55.618397,4126119
Bananas,1993,56.368505,3970236
Bananas,1994,58.059868,3796183
Bananas,1995,58.753963,3860779
Bananas,1996,58.033631,3944359
Bananas,1997,62.771139,4253408
Bananas,1998,64.915109,4377591
Bananas,1999,69.95228,4435189
Bananas,2000,67.215329,4555747
Bananas,2001,70.05704,4537233
Bananas,2002,72.917378,4624193
Bananas,2003,74.944117,4757046
Bananas,2004,79.403508,4785583
Bananas,2005,83.665933,4784533
Bananas,2006,88.65298,5042735
Bananas,2007,94.41761,5054346
Bananas,2008,98.763459,5167092
Bananas,2009,103.421795,5312347
Bananas,2010,108.664115,5398206
Bananas,2011,109.408704,5488448
Bananas,2012,109.342149,5316181
Bananas,2013,112.251767,5332537
Bananas,2014,112.809324,5322915
Bananas,2015,115.20938,5435446
Bananas,2016,112.62798,5323982
Bananas,2017,114.359133,5576915
Bananas,2018,115.737861,5728680
Barley,1961,72.411104,54518640
Barley,1962,88.396959,57951553
Barley,1963,90.38585,63268153
Barley,1964,95.524923,61580399
Barley,1965,92.617012,59835181
Barley,1966,100.425696,60736194
Barley,1967,103.177495,60852051
Barley,1968,113.504505,63301996
Barley,1969,118.006371,66218345
Barley,1970,119.378695,66122199
Barley,1971,131.237044,67657847
Barley,1972,132.963909,72945333
Barley,1973,146.966081,75867762
Barley,1974,148.81887,76221357
Barley,1975,135.49172,79808986
Barley,1976,166.595806,81036487
Barley,1977,156.386493,81993685
Barley,1978,174.929309,80405841
Barley,1979,154.989948,83694982
Barley,1980,156.702822,78442333
Barley,1981,149.602582,81544282
Barley,1982,161.352537,77835810
Barley,1983,159.470171,79338685
Barley,1984,169.433845,78527195
Barley,1985,172.618338,79212628
Barley,1986,177.169275,79170500
Barley,1987,175.288684,78053366
Barley,1988,163.396406,75449162
Barley,1989,164.166455,73657544
Barley,1990,178.07402,73716444
Barley,1991,169.582274,76045266
Barley,1992,165.533308,73328104
Barley,1993,169.542965,74100565
Barley,1994,161.019263,72188865
Barley,1995,140.72463,68013922
Barley,1996,155.017318,65629879
Barley,1997,154.359212,63203487
Barley,1998,137.411482,56658928
Barley,1999,128.085634,53193452
Barley,2000,133.113066,54411415
Barley,2001,140.59968,55815394
Barley,2002,141.030434,55126903
Barley,2003,136.544686,57493930
Barley,2004,156.267473,57378570
Barley,2005,136.74239,55568949
Barley,2006,144.502756,56567147
Barley,2007,131.148005,54906620
Barley,2008,153.80791,55105317
Barley,2009,150.783127,54427192
Barley,2010,123.317085,47408351
Barley,2011,132.747522,48444128
Barley,2012,132.229102,49859977
Barley,2013,143.481044,49811032
Barley,2014,145.091156,49759004
Barley,2015,147.74888,49618452
Barley,2016,145.906773,48190505
Barley,2017,149.141292,48165251
Barley,2018,141.423028,47928609
"Bastfibres, other",1961,0.843278,950125
"Bastfibres, other",1962,0.683627,853590
"Bastfibres, other",1963,0.806375,975280
"Bastfibres, other",1964,0.862725,934139
"Bastfibres, other",1965,1.039717,1080479
"Bastfibres, other",1966,1.163452,1216951
"Bastfibres, other",1967,1.006503,1087359
"Bastfibres, other",1968,0.792935,900084
"Bastfibres, other",1969,0.898993,1056889
"Bastfibres, other",1970,0.897543,1079092
"Bastfibres, other",1971,0.894136,1074591
"Bastfibres, other",1972,0.924967,1086874
"Bastfibres, other",1973,1.080372,1210888
"Bastfibres, other",1974,0.998017,1163839
"Bastfibres, other",1975,0.983707,1092005
"Bastfibres, other",1976,0.931706,992740
"Bastfibres, other",1977,1.013097,1111093
"Bastfibres, other",1978,1.183792,1174128
"Bastfibres, other",1979,1.069945,1102643
"Bastfibres, other",1980,1.020526,974620
"Bastfibres, other",1981,1.047983,968275
"Bastfibres, other",1982,0.9122,885171
"Bastfibres, other",1983,0.979837,890279
"Bastfibres, other",1984,1.010687,881821
"Bastfibres, other",1985,1.885984,1327420
"Bastfibres, other",1986,1.035779,850535
"Bastfibres, other",1987,0.811103,736778
"Bastfibres, other",1988,0.796455,667673
"Bastfibres, other",1989,0.847847,657676
"Bastfibres, other",1990,0.885343,664733
"Bastfibres, other",1991,0.724516,578405
"Bastfibres, other",1992,0.768879,557863
"Bastfibres, other",1993,0.784882,532592
"Bastfibres, other",1994,0.643345,479229
"Bastfibres, other",1995,0.623777,451485
"Bastfibres, other",1996,0.654243,399571
"Bastfibres, other",1997,0.583545,383946
"Bastfibres, other",1998,0.453582,315783
"Bastfibres, other",1999,0.414772,301312
"Bastfibres, other",2000,0.408183,307685
"Bastfibres, other",2001,0.445658,328433
"Bastfibres, other",2002,0.39993,283723
"Bastfibres, other",2003,0.358066,279117
"Bastfibres, other",2004,0.346907,263272
"Bastfibres, other",2005,0.343565,253518
"Bastfibres, other",2006,0.343174,245766
"Bastfibres, other",2007,0.366396,255311
"Bastfibres, other",2008,0.350445,230037
"Bastfibres, other",2009,0.298311,211911
"Bastfibres, other",2010,0.265145,175846
"Bastfibres, other",2011,0.277561,178717
"Bastfibres, other",2012,0.262727,168332
"Bastfibres, other",2013,0.25353,179337
"Bastfibres, other",2014,0.242419,164450
"Bastfibres, other",2015,0.234983,154220
