product,year,harvested_t,area_harvested_ha,yield_t_per_ha
"Fruit, fresh nes",2014,31.86057277777778,5277109.111111111,6.047614255307269
"Tangerines, mandarins, clementines, satsumas",2014,30.20775477777778,2522749.3333333335,12.095445730786185
Millet,2014,28.515466888888895,32330888.666666668,0.8823971030246782
"Beans, dry",2014,26.834659222222218,31722754.888888888,0.8455140943427872
"Melons, other (inc.cantaloupes)",2014,26.219657222222224,1070214.3333333333,24.51589759185076
Lettuce and chicory,2014,25.971245,1198139.3333333333,21.676184005902883
"Pumpkins, squash and gourds",2014,25.352032111111114,1890899.0,13.398140457651936
Garlic,2014,25.331226666666666,1450982.0,17.435019880066754
Pineapples,2014,25.127405555555562,1023477.6666666666,24.52107438088816
Cotton lint,2014,24.712987444444448,,
Pears,2014,24.183584222222223,1517701.5555555555,15.967389205353973
Spinach,2014,23.975158111111114,918876.5555555555,26.039277612293276
Cauliflowers and broccoli,2014,23.970588444444445,1284427.2222222222,18.65804770480783
Oats,2014,22.92490777777778,9677070.333333334,2.3666400431051082
"Fruit, tropical fresh nes",2014,22.84507588888889,3212371.4444444445,7.107940559742873
Peaches and nectarines,2014,22.72587288888889,1579459.6666666667,14.384254298604166
"Beans, green",2014,22.179471666666668,1528089.7777777778,14.498928673048178
Olives,2014,19.858516666666667,10131637.444444444,1.961027532068764
"Peas, green",2014,18.461675555555555,2430008.888888889,7.587851504611423
Lemons and limes,2014,16.345731444444443,1050510.2222222222,15.562798832734481
Palm kernels,2014,15.134854666666667,,
Triticale,2014,14.801850555555554,4017056.111111111,3.6814193994655273
Rye,2014,13.73709322222222,4909944.333333333,2.8017647340079677
"Rubber, natural",2014,12.941415222222222,10835077.333333334,1.1941298701751297
"Fruit, citrus nes",2014,12.940838666666666,1370049.6666666667,9.439116993312492
Chick peas,2014,12.781044777777776,13346947.111111112,0.9558920942068236
Papayas,2014,12.31294688888889,488792.8888888889,27.062319210715547
"Peas, dry",2014,12.284548666666668,6998481.444444444,1.7460479079258118
Plums and sloes,2014,11.401977444444444,2548775.888888889,4.4736797916393085
"Maize, green",2014,11.098275333333333,1145791.3333333333,9.687050919211613
Taro (cocoyam),2014,10.022624111111112,1522305.5555555555,6.633065222010409
Roots and tubers nes,2014,9.933957999999999,1324939.2222222222,7.499456998252376
Okra,2014,9.198689333333332,1877773.3333333333,5.057094810273747
"Coffee, green",2014,9.003088222222225,10426285.222222222,0.8634694159809086
Mushrooms and truffles,2014,8.829121555555556,32731.666666666668,312.323387060693
Grapefruit (inc. pomelos),2014,8.524482666666666,336312.22222222225,25.35622597256427
Cereals nes,2014,8.488920555555557,4773425.333333333,1.7090538769021943
Asparagus,2014,8.351148555555556,1498861.7777777778,5.56696079827648
Dates,2014,7.8256615555555555,1121225.5555555555,7.009842228460097
Strawberries,2014,7.384845555555554,347698.8888888889,21.19379924036499
"Tobacco, unmanufactured",2014,6.963063888888888,3859306.111111111,1.8053234292812377
"Cow peas, dry",2014,6.860411,12028086.111111112,0.5702997268789729
Sesame seed,2014,5.566522333333334,9884743.222222222,0.5643970067025535
Tea,2014,5.486555222222222,3722650.888888889,1.4720313524904645
Lentils,2014,5.364708222222223,4755619.111111111,1.1321799566800745
"Onions, shallots, green",2014,5.097525666666666,245868.22222222222,20.746895616161726
Avocados,2014,5.049822,553931.2222222222,9.277838892414085
"Cocoa, beans",2014,4.761283777777778,10671081.222222222,0.4462646191807218
Pigeon peas,2014,4.713816555555557,5789887.0,0.8096805511196989
"Broad beans, horse beans, dry",2014,4.67089,2436329.222222222,1.9171052429251714
"Cashew nuts, with shell",2014,4.363350555555556,5713391.222222222,0.7623333347299748
Persimmons,2014,4.287858666666668,917388.3333333334,4.67184764158908
Pulses nes,2014,4.134112777777777,5521678.666666667,0.7480304349556078
Apricots,2014,3.985651666666666,555804.8888888889,7.162746200860836
Oilseeds nes,2014,3.959948444444445,1702434.0,2.3301229489425372
"Grain, mixed",2014,3.7557411111111114,1243027.7777777778,3.027102684408023
"Chillies and peppers, dry",2014,3.717050222222222,1726537.3333333333,2.148294789839452
Kiwi fruit,2014,3.5138384444444437,220309.77777777778,15.998760334297394
Jute,2014,3.3804021111111116,1483430.111111111,2.2800105882614448
"Walnuts, with shell",2014,3.3478272222222225,1080352.2222222222,3.099453326496818
"Almonds, with shell",2014,2.744702111111111,1825281.5555555555,1.506008852123037
Linseed,2014,2.5878403333333333,2619339.6666666665,0.9824168388185011
Buckwheat,2014,2.569396888888889,2706611.777777778,0.9435734742177887
Ginger,2014,2.5308958888888893,342369.8888888889,7.3694344311026
Spices nes,2014,2.4111193333333336,1015868.3333333334,2.3708042585017615
Cassava leaves,2014,2.369661555555556,237901.77777777778,9.982187143590686
Cherries,2014,2.2512715555555554,412706.1111111111,5.449423703958678
"Leeks, other alliaceous vegetables",2014,2.1611652222222224,131965.77777777778,16.38318833903537
Chestnut,2014,2.1326475555555553,573598.1111111111,3.7153886568686922
Castor oil seed,2014,1.9453084444444444,1554888.111111111,1.2479328616071317
String beans,2014,1.9151817777777778,205294.0,9.341623747921467
Cashewapple,2014,1.818181888888889,713915.1111111111,2.5557236270031787
Artichokes,2014,1.5590687777777776,126069.77777777778,12.365387313439394
"Vegetables, leguminous nes",2014,1.555288777777778,242101.0,6.426240605489369
"Fruit, stone nes",2014,1.4167072222222223,186015.44444444444,9.83665321866696
Areca nuts,2014,1.3033257777777776,963208.5555555555,1.3502481859725508
"Cherries, sour",2014,1.302413111111111,214863.0,6.074085912358967
Lupins,2014,1.2193606666666665,920165.3333333334,1.3295424788260017
Coir,2014,1.1784408888888889,,
Figs,2014,1.1084837777777776,302305.3333333333,3.67354759669966
"Anise, badian, fennel, coriander",2014,1.0183952222222223,1136639.7777777778,0.8954102545475651
Tallowtree seed,2014,0.9988192222222223,408243.3333333333,2.4462012036642493
Sugar crops nes,2014,0.9456118888888889,119310.55555555556,7.933481018931092
Pistachios,2014,0.922332111111111,719720.3333333334,1.3036626441287549
Vetches,2014,0.9158861111111111,558436.4444444445,1.6438089076274585
Maté,2014,0.9055866666666665,268011.8888888889,3.391631270968306
Nuts nes,2014,0.8933627777777777,629534.6666666666,1.4254692069145039
Melonseed,2014,0.889635,1591017.7777777778,0.599808801271654
Berries nes,2014,0.8691976666666666,124200.22222222222,6.989616997554521
"Hazelnuts, with shell",2014,0.8485097777777778,730401.1111111111,1.2033652772135808
Safflower seed,2014,0.7536776666666667,921464.5555555555,0.8211868427236584
Flax fibre and tow,2014,0.7223035555555555,219319.11111111112,3.290016138634317
Raspberries,2014,0.675204111111111,106668.55555555556,6.310196452337631
Currants,2014,0.632024,116357.0,5.431345202341209
Quinces,2014,0.6289042222222222,76692.66666666667,8.207776869810406
Cranberries,2014,0.6279993333333334,37498.333333333336,16.716119770784022
Fonio,2014,0.6152311111111111,769203.0,0.8155255378390671
Mustard seed,2014,0.598614,727446.0,0.824475283083503
Karite nuts (sheanuts),2014,0.5888733333333334,526054.8888888889,1.1231705785279262
Pepper (piper spp.),2014,0.566003,539085.5555555555,1.0498352195078033
Chicory roots,2014,0.5296027777777778,16802.222222222223,31.804548609848514
Blueberries,2014,0.5069338888888889,93952.88888888889,5.320129067134161
Tung nuts,2014,0.4728623333333333,170922.11111111112,2.764499611074494
Yautia (cocoyam),2014,0.46179233333333336,42723.11111111111,10.917996026991021
Kapok fruit,2014,0.29396755555555554,194844.66666666666,1.5172229631198215
Sisal,2014,0.2848566666666667,328670.3333333333,0.8710593545715659
Kola nuts,2014,0.28348477777777775,547473.2222222222,0.5179392848907185
Fibre crops nes,2014,0.28270466666666666,381930.3333333333,0.7404738410546767
"Bastfibres, other",2014,0.24321955555555552,160817.33333333334,1.5136868521111932
Kapokseed in shell,2014,0.22672788888888887,,
Canary seed,2014,0.21674177777777773,234680.77777777778,0.927267563474709
Cinnamon (cannella),2014,0.21154533333333334,255457.77777777778,0.8281472952041997
Bambara beans,2014,0.1714,239188.77777777778,0.7167879817125712
Gooseberries,2014,0.16830755555555554,29502.666666666668,5.7096368702873415
Cloves,2014,0.15281233333333333,571778.6666666666,0.268799884394219
Carobs,2014,0.13760155555555553,42602.333333333336,3.2342579760244363
Quinoa,2014,0.13481177777777778,164940.44444444444,0.8172547001418216
Hops,2014,0.13292933333333332,83635.0,1.5881712223543774
Ramie,2014,0.12846455555555558,65724.11111111111,1.961185883929009
Manila fibre (abaca),2014,0.10563511111111111,168697.55555555556,0.6262019916070859
Hempseed,2014,0.10115988888888888,25362.777777777777,3.93328443599169
"Nutmeg, mace and cardamoms",2014,0.10011455555555555,350466.8888888889,0.2831325074599534
Kapok fibre,2014,0.09542444444444445,,
Peppermint,2014,0.09536788888888889,3374.222222222222,28.34084083636576
"Brazil nuts, with shell",2014,0.09335399999999999,11664.777777777777,8.005849280911521
Poppy seed,2014,0.081885,112918.55555555556,0.7263590907669116
Hemp tow waste,2014,0.059630888888888886,41671.77777777778,1.4274956414827253
"Fruit, pome nes",2014,0.05645511111111111,10930.444444444445,5.231892186926796
Agave fibres nes,2014,0.041732111111111116,56624.77777777778,0.7373592336249684
"Pyrethrum, dried",2014,0.009137444444444443,20363.88888888889,0.44518380299432025
Vanilla,2014,0.007729111111111113,93706.88888888889,0.08265788133810181
Jojoba seed,2014,0.0001518888888888889,305.1111111111111,0.4978545916313325
