product,year,variable,value,units
"Almonds, with shell",1987,production_quantity,1.251975,megatonnes
"Almonds, with shell",1988,production_quantity,1.141283,megatonnes
"Almonds, with shell",1989,production_quantity,1.273584,megatonnes
"Almonds, with shell",1990,production_quantity,1.3154190000000001,megatonnes
"Almonds, with shell",1991,production_quantity,1.287291,megatonnes
"Almonds, with shell",1992,production_quantity,1.318116,megatonnes
"Almonds, with shell",1993,production_quantity,1.275182,megatonnes
"Almonds, with shell",1994,production_quantity,1.384321,megatonnes
"Almonds, with shell",1995,production_quantity,1.0475700000000001,megatonnes
"Almonds, with shell",1996,production_quantity,1.292076,megatonnes
"Almonds, with shell",1997,production_quantity,1.59274,megatonnes
"Almonds, with shell",1998,production_quantity,1.310894,megatonnes
"Almonds, with shell",1999,production_quantity,1.65715,megatonnes
"Almonds, with shell",2000,production_quantity,1.4522059999999999,megatonnes
"Almonds, with shell",2001,production_quantity,1.5419129999999999,megatonnes
"Almonds, with shell",2002,production_quantity,1.8391240000000002,megatonnes
"Almonds, with shell",2003,production_quantity,1.759987,megatonnes
"Almonds, with shell",2004,production_quantity,1.5943049999999999,megatonnes
"Almonds, with shell",2005,production_quantity,1.824627,megatonnes
"Almonds, with shell",2006,production_quantity,2.062078,megatonnes
"Almonds, with shell",2007,production_quantity,2.249552,megatonnes
"Almonds, with shell",2008,production_quantity,2.482861,megatonnes
"Almonds, with shell",2009,production_quantity,2.345221,megatonnes
"Almonds, with shell",2010,production_quantity,2.569793,megatonnes
"Almonds, with shell",2011,production_quantity,3.02021,megatonnes
"Almonds, with shell",2012,production_quantity,2.824871,megatonnes
"Almonds, with shell",2013,production_quantity,2.838962,megatonnes
"Almonds, with shell",2014,production_quantity,2.637275,megatonnes
"Almonds, with shell",2015,production_quantity,2.447193,megatonnes
"Almonds, with shell",2016,production_quantity,2.493303,megatonnes
"Almonds, with shell",2017,production_quantity,2.68781,megatonnes
"Almonds, with shell",2018,production_quantity,3.182902,megatonnes
"Anise, badian, fennel, coriander",1961,production_quantity,0.082455,megatonnes
"Anise, badian, fennel, coriander",1962,production_quantity,0.090662,megatonnes
"Anise, badian, fennel, coriander",1963,production_quantity,0.093901,megatonnes
"Anise, badian, fennel, coriander",1964,production_quantity,0.08907000000000001,megatonnes
"Anise, badian, fennel, coriander",1965,production_quantity,0.09726,megatonnes
"Anise, badian, fennel, coriander",1966,production_quantity,0.094085,megatonnes
"Anise, badian, fennel, coriander",1967,production_quantity,0.09759,megatonnes
"Anise, badian, fennel, coriander",1968,production_quantity,0.116324,megatonnes
"Anise, badian, fennel, coriander",1969,production_quantity,0.100479,megatonnes
"Anise, badian, fennel, coriander",1970,production_quantity,0.093886,megatonnes
"Anise, badian, fennel, coriander",1971,production_quantity,0.10678299999999999,megatonnes
"Anise, badian, fennel, coriander",1972,production_quantity,0.10841700000000001,megatonnes
"Anise, badian, fennel, coriander",1973,production_quantity,0.09842000000000001,megatonnes
"Anise, badian, fennel, coriander",1974,production_quantity,0.107431,megatonnes
"Anise, badian, fennel, coriander",1975,production_quantity,0.10948699999999999,megatonnes
"Anise, badian, fennel, coriander",1976,production_quantity,0.135436,megatonnes
"Anise, badian, fennel, coriander",1977,production_quantity,0.175047,megatonnes
"Anise, badian, fennel, coriander",1978,production_quantity,0.166284,megatonnes
"Anise, badian, fennel, coriander",1979,production_quantity,0.15246800000000002,megatonnes
"Anise, badian, fennel, coriander",1980,production_quantity,0.17318499999999998,megatonnes
"Anise, badian, fennel, coriander",1981,production_quantity,0.13180999999999998,megatonnes
"Anise, badian, fennel, coriander",1982,production_quantity,0.157865,megatonnes
"Anise, badian, fennel, coriander",1983,production_quantity,0.20616500000000001,megatonnes
"Anise, badian, fennel, coriander",1984,production_quantity,0.164176,megatonnes
"Anise, badian, fennel, coriander",1985,production_quantity,0.141664,megatonnes
"Anise, badian, fennel, coriander",1986,production_quantity,0.170785,megatonnes
"Anise, badian, fennel, coriander",1987,production_quantity,0.180891,megatonnes
"Anise, badian, fennel, coriander",1988,production_quantity,0.27623400000000004,megatonnes
"Anise, badian, fennel, coriander",1989,production_quantity,0.22024899999999997,megatonnes
"Anise, badian, fennel, coriander",1990,production_quantity,0.232302,megatonnes
"Anise, badian, fennel, coriander",1991,production_quantity,0.237787,megatonnes
"Anise, badian, fennel, coriander",1992,production_quantity,0.429133,megatonnes
"Anise, badian, fennel, coriander",1993,production_quantity,0.407779,megatonnes
"Anise, badian, fennel, coriander",1994,production_quantity,0.299502,megatonnes
"Anise, badian, fennel, coriander",1995,production_quantity,0.30685,megatonnes
"Anise, badian, fennel, coriander",1996,production_quantity,0.333121,megatonnes
"Anise, badian, fennel, coriander",1997,production_quantity,0.368682,megatonnes
"Anise, badian, fennel, coriander",1998,production_quantity,0.436936,megatonnes
"Anise, badian, fennel, coriander",1999,production_quantity,0.40601,megatonnes
"Anise, badian, fennel, coriander",2000,production_quantity,0.382767,megatonnes
"Anise, badian, fennel, coriander",2001,production_quantity,0.47936899999999993,megatonnes
"Anise, badian, fennel, coriander",2002,production_quantity,0.49521099999999996,megatonnes
"Anise, badian, fennel, coriander",2003,production_quantity,0.569992,megatonnes
"Anise, badian, fennel, coriander",2004,production_quantity,0.568128,megatonnes
"Anise, badian, fennel, coriander",2005,production_quantity,0.556979,megatonnes
"Anise, badian, fennel, coriander",2006,production_quantity,0.587024,megatonnes
"Anise, badian, fennel, coriander",2007,production_quantity,0.6982649999999999,megatonnes
"Anise, badian, fennel, coriander",2008,production_quantity,0.7147140000000001,megatonnes
"Anise, badian, fennel, coriander",2009,production_quantity,0.728206,megatonnes
"Anise, badian, fennel, coriander",2010,production_quantity,0.8272459999999999,megatonnes
"Anise, badian, fennel, coriander",2011,production_quantity,0.9534799999999999,megatonnes
"Anise, badian, fennel, coriander",2012,production_quantity,0.924025,megatonnes
"Anise, badian, fennel, coriander",2013,production_quantity,0.907375,megatonnes
"Anise, badian, fennel, coriander",2014,production_quantity,1.000735,megatonnes
"Anise, badian, fennel, coriander",2015,production_quantity,1.076816,megatonnes
"Anise, badian, fennel, coriander",2016,production_quantity,1.156679,megatonnes
"Anise, badian, fennel, coriander",2017,production_quantity,1.172591,megatonnes
"Anise, badian, fennel, coriander",2018,production_quantity,1.1466100000000001,megatonnes
Apples,1961,production_quantity,17.053651000000002,megatonnes
Apples,1962,production_quantity,21.694110000000002,megatonnes
Apples,1963,production_quantity,21.009272,megatonnes
Apples,1964,production_quantity,22.231724,megatonnes
Apples,1965,production_quantity,21.323988,megatonnes
Apples,1966,production_quantity,21.762455,megatonnes
Apples,1967,production_quantity,25.370910000000002,megatonnes
Apples,1968,production_quantity,24.087398,megatonnes
Apples,1969,production_quantity,26.778973999999998,megatonnes
Apples,1970,production_quantity,27.005728,megatonnes
Apples,1971,production_quantity,26.580790999999998,megatonnes
Apples,1972,production_quantity,24.759595,megatonnes
Apples,1973,production_quantity,29.138481,megatonnes
Apples,1974,production_quantity,27.121411,megatonnes
Apples,1975,production_quantity,31.135523,megatonnes
Apples,1976,production_quantity,31.406940000000002,megatonnes
Apples,1977,production_quantity,30.490589,megatonnes
Apples,1978,production_quantity,32.48684,megatonnes
Apples,1979,production_quantity,36.556334,megatonnes
Apples,1980,production_quantity,33.942609000000004,megatonnes
Apples,1981,production_quantity,32.667138,megatonnes
Apples,1982,production_quantity,40.496873,megatonnes
Apples,1983,production_quantity,39.795515,megatonnes
Apples,1984,production_quantity,39.814941999999995,megatonnes
Apples,1985,production_quantity,38.908542,megatonnes
Apples,1986,production_quantity,42.595784,megatonnes
Apples,1987,production_quantity,38.462837,megatonnes
Apples,1988,production_quantity,42.688532,megatonnes
Apples,1989,production_quantity,42.464226000000004,megatonnes
Apples,1990,production_quantity,41.045984999999995,megatonnes
Apples,1991,production_quantity,35.992511,megatonnes
Apples,1992,production_quantity,44.265125,megatonnes
Apples,1993,production_quantity,47.728623999999996,megatonnes
Apples,1994,production_quantity,46.469873,megatonnes
Apples,1995,production_quantity,48.853753999999995,megatonnes
Apples,1996,production_quantity,54.339163,megatonnes
Apples,1997,production_quantity,56.005416000000004,megatonnes
Apples,1998,production_quantity,54.929370999999996,megatonnes
Apples,1999,production_quantity,56.992187,megatonnes
Apples,2000,production_quantity,59.132498999999996,megatonnes
Apples,2001,production_quantity,57.101395,megatonnes
Apples,2002,production_quantity,55.303952,megatonnes
Apples,2003,production_quantity,58.10405,megatonnes
Apples,2004,production_quantity,62.242493,megatonnes
Apples,2005,production_quantity,61.908488,megatonnes
Apples,2006,production_quantity,63.251447,megatonnes
Apples,2007,production_quantity,65.665515,megatonnes
Apples,2008,production_quantity,69.041332,megatonnes
Apples,2009,production_quantity,71.64115600000001,megatonnes
Apples,2010,production_quantity,71.19084000000001,megatonnes
Apples,2011,production_quantity,77.073691,megatonnes
Apples,2012,production_quantity,78.600228,megatonnes
Apples,2013,production_quantity,82.82905799999999,megatonnes
Apples,2014,production_quantity,85.485079,megatonnes
Apples,2015,production_quantity,82.556084,megatonnes
Apples,2016,production_quantity,84.743988,megatonnes
Apples,2017,production_quantity,83.000398,megatonnes
Apples,2018,production_quantity,86.142197,megatonnes
Apricots,1961,production_quantity,1.317607,megatonnes
Apricots,1962,production_quantity,1.087534,megatonnes
Apricots,1963,production_quantity,1.318117,megatonnes
Apricots,1964,production_quantity,1.291201,megatonnes
Apricots,1965,production_quantity,1.362005,megatonnes
Apricots,1966,production_quantity,1.268849,megatonnes
Apricots,1967,production_quantity,1.5628959999999998,megatonnes
Apricots,1968,production_quantity,1.532289,megatonnes
Apricots,1969,production_quantity,1.618039,megatonnes
Apricots,1970,production_quantity,1.630277,megatonnes
Apricots,1971,production_quantity,1.475632,megatonnes
Apricots,1972,production_quantity,1.50878,megatonnes
Apricots,1973,production_quantity,1.701975,megatonnes
Apricots,1974,production_quantity,1.71996,megatonnes
Apricots,1975,production_quantity,1.5465719999999998,megatonnes
Apricots,1976,production_quantity,1.7908400000000002,megatonnes
Apricots,1977,production_quantity,1.51702,megatonnes
Apricots,1978,production_quantity,1.534821,megatonnes
Apricots,1979,production_quantity,1.505945,megatonnes
Apricots,1980,production_quantity,1.7345560000000002,megatonnes
Apricots,1981,production_quantity,1.860438,megatonnes
Apricots,1982,production_quantity,1.8696650000000001,megatonnes
Apricots,1983,production_quantity,2.003532,megatonnes
Apricots,1984,production_quantity,1.9874169999999998,megatonnes
Apricots,1985,production_quantity,2.028885,megatonnes
Apricots,1986,production_quantity,2.0798970000000003,megatonnes
Apricots,1987,production_quantity,1.895085,megatonnes
Apricots,1988,production_quantity,2.221037,megatonnes
Apricots,1989,production_quantity,2.401631,megatonnes
Apricots,1990,production_quantity,2.18911,megatonnes
Apricots,1991,production_quantity,2.027541,megatonnes
Apricots,1992,production_quantity,2.482843,megatonnes
Apricots,1993,production_quantity,2.296009,megatonnes
Apricots,1994,production_quantity,2.5165319999999998,megatonnes
Apricots,1995,production_quantity,2.088708,megatonnes
Apricots,1996,production_quantity,2.563254,megatonnes
Apricots,1997,production_quantity,2.404556,megatonnes
Apricots,1998,production_quantity,2.500418,megatonnes
Apricots,1999,production_quantity,2.641407,megatonnes
Apricots,2000,production_quantity,2.86301,megatonnes
Apricots,2001,production_quantity,2.641009,megatonnes
Apricots,2002,production_quantity,2.616307,megatonnes
Apricots,2003,production_quantity,2.891452,megatonnes
Apricots,2004,production_quantity,2.784214,megatonnes
Apricots,2005,production_quantity,3.625968,megatonnes
Apricots,2006,production_quantity,3.462297,megatonnes
Apricots,2007,production_quantity,3.294176,megatonnes
Apricots,2008,production_quantity,3.68515,megatonnes
Apricots,2009,production_quantity,3.7564349999999997,megatonnes
Apricots,2010,production_quantity,3.3034769999999996,megatonnes
Apricots,2011,production_quantity,3.812012,megatonnes
Apricots,2012,production_quantity,3.861793,megatonnes
Apricots,2013,production_quantity,4.089834,megatonnes
Apricots,2014,production_quantity,3.3361739999999998,megatonnes
Apricots,2015,production_quantity,3.9344,megatonnes
Apricots,2016,production_quantity,4.925675,megatonnes
Apricots,2017,production_quantity,4.768977,megatonnes
Apricots,2018,production_quantity,3.8385230000000004,megatonnes
Areca nuts,1961,production_quantity,0.214214,megatonnes
Areca nuts,1962,production_quantity,0.20523899999999998,megatonnes
Areca nuts,1963,production_quantity,0.210234,megatonnes
Areca nuts,1964,production_quantity,0.211752,megatonnes
Areca nuts,1965,production_quantity,0.201733,megatonnes
Areca nuts,1966,production_quantity,0.185192,megatonnes
Areca nuts,1967,production_quantity,0.200225,megatonnes
Areca nuts,1968,production_quantity,0.20790100000000003,megatonnes
Areca nuts,1969,production_quantity,0.209511,megatonnes
Areca nuts,1970,production_quantity,0.20758000000000001,megatonnes
Areca nuts,1971,production_quantity,0.211648,megatonnes
Areca nuts,1972,production_quantity,0.22366100000000003,megatonnes
Areca nuts,1973,production_quantity,0.22094499999999997,megatonnes
Areca nuts,1974,production_quantity,0.244178,megatonnes
Areca nuts,1975,production_quantity,0.24223000000000003,megatonnes
Areca nuts,1976,production_quantity,0.240472,megatonnes
Areca nuts,1977,production_quantity,0.250555,megatonnes
Areca nuts,1978,production_quantity,0.265912,megatonnes
Areca nuts,1979,production_quantity,0.270588,megatonnes
Areca nuts,1980,production_quantity,0.271277,megatonnes
Areca nuts,1981,production_quantity,0.291621,megatonnes
Areca nuts,1982,production_quantity,0.290417,megatonnes
Areca nuts,1983,production_quantity,0.327106,megatonnes
Areca nuts,1984,production_quantity,0.31535799999999997,megatonnes
Areca nuts,1985,production_quantity,0.364563,megatonnes
Areca nuts,1986,production_quantity,0.368325,megatonnes
Areca nuts,1987,production_quantity,0.37014600000000003,megatonnes
Areca nuts,1988,production_quantity,0.40677399999999997,megatonnes
Areca nuts,1989,production_quantity,0.448705,megatonnes
Areca nuts,1990,production_quantity,0.502795,megatonnes
Areca nuts,1991,production_quantity,0.49684399999999995,megatonnes
Areca nuts,1992,production_quantity,0.50656,megatonnes
Areca nuts,1993,production_quantity,0.541246,megatonnes
Areca nuts,1994,production_quantity,0.574684,megatonnes
Areca nuts,1995,production_quantity,0.6228130000000001,megatonnes
Areca nuts,1996,production_quantity,0.6358729999999999,megatonnes
Areca nuts,1997,production_quantity,0.648151,megatonnes
Areca nuts,1998,production_quantity,0.710553,megatonnes
Areca nuts,1999,production_quantity,0.698689,megatonnes
Areca nuts,2000,production_quantity,0.727453,megatonnes
Areca nuts,2001,production_quantity,0.7670939999999999,megatonnes
Areca nuts,2002,production_quantity,0.832938,megatonnes
Areca nuts,2003,production_quantity,0.874014,megatonnes
Areca nuts,2004,production_quantity,0.9162450000000001,megatonnes
Areca nuts,2005,production_quantity,0.9567559999999999,megatonnes
Areca nuts,2006,production_quantity,1.0251,megatonnes
Areca nuts,2007,production_quantity,1.0564850000000001,megatonnes
Areca nuts,2008,production_quantity,1.074442,megatonnes
Areca nuts,2009,production_quantity,1.102135,megatonnes
Areca nuts,2010,production_quantity,1.0815059999999999,megatonnes
Areca nuts,2011,production_quantity,1.096126,megatonnes
Areca nuts,2012,production_quantity,1.340932,megatonnes
Areca nuts,2013,production_quantity,1.246137,megatonnes
Areca nuts,2014,production_quantity,1.277301,megatonnes
Areca nuts,2015,production_quantity,1.447198,megatonnes
Areca nuts,2016,production_quantity,1.397351,megatonnes
Areca nuts,2017,production_quantity,1.414764,megatonnes
Areca nuts,2018,production_quantity,1.428617,megatonnes
Artichokes,1961,production_quantity,0.855442,megatonnes
Artichokes,1962,production_quantity,0.762372,megatonnes
Artichokes,1963,production_quantity,0.708759,megatonnes
Artichokes,1964,production_quantity,0.9457469999999999,megatonnes
Artichokes,1965,production_quantity,1.063352,megatonnes
Artichokes,1966,production_quantity,1.093257,megatonnes
Artichokes,1967,production_quantity,1.127804,megatonnes
Artichokes,1968,production_quantity,1.0533629999999998,megatonnes
Artichokes,1969,production_quantity,1.126999,megatonnes
Artichokes,1970,production_quantity,1.276057,megatonnes
Artichokes,1971,production_quantity,1.3686399999999999,megatonnes
Artichokes,1972,production_quantity,1.4034739999999999,megatonnes
Artichokes,1973,production_quantity,1.368111,megatonnes
Artichokes,1974,production_quantity,1.397116,megatonnes
Artichokes,1975,production_quantity,1.280066,megatonnes
Artichokes,1976,production_quantity,1.245582,megatonnes
Artichokes,1977,production_quantity,1.155025,megatonnes
Artichokes,1978,production_quantity,1.335607,megatonnes
Artichokes,1979,production_quantity,1.0903909999999999,megatonnes
Artichokes,1980,production_quantity,1.254405,megatonnes
Artichokes,1981,production_quantity,1.164973,megatonnes
Artichokes,1982,production_quantity,1.1843489999999999,megatonnes
Artichokes,1983,production_quantity,1.119356,megatonnes
Artichokes,1984,production_quantity,1.14246,megatonnes
Artichokes,1985,production_quantity,1.016894,megatonnes
Artichokes,1986,production_quantity,1.189494,megatonnes
Artichokes,1987,production_quantity,1.13004,megatonnes
Artichokes,1988,production_quantity,1.268859,megatonnes
Artichokes,1989,production_quantity,1.348239,megatonnes
Artichokes,1990,production_quantity,1.3334709999999999,megatonnes
Artichokes,1991,production_quantity,1.3287200000000001,megatonnes
Artichokes,1992,production_quantity,1.24938,megatonnes
Artichokes,1993,production_quantity,1.170459,megatonnes
Artichokes,1994,production_quantity,1.207993,megatonnes
Artichokes,1995,production_quantity,1.1617790000000001,megatonnes
Artichokes,1996,production_quantity,1.13584,megatonnes
Artichokes,1997,production_quantity,1.256438,megatonnes
Artichokes,1998,production_quantity,1.250775,megatonnes
Artichokes,1999,production_quantity,1.2459069999999999,megatonnes
Artichokes,2000,production_quantity,1.3304610000000001,megatonnes
Artichokes,2001,production_quantity,1.2591629999999998,megatonnes
Artichokes,2002,production_quantity,1.2782799999999999,megatonnes
Artichokes,2003,production_quantity,1.2794459999999999,megatonnes
Artichokes,2004,production_quantity,1.368945,megatonnes
Artichokes,2005,production_quantity,1.283432,megatonnes
Artichokes,2006,production_quantity,1.422836,megatonnes
Artichokes,2007,production_quantity,1.495017,megatonnes
Artichokes,2008,production_quantity,1.500901,megatonnes
Artichokes,2009,production_quantity,1.524162,megatonnes
Artichokes,2010,production_quantity,1.480369,megatonnes
Artichokes,2011,production_quantity,1.528101,megatonnes
Artichokes,2012,production_quantity,1.615475,megatonnes
Artichokes,2013,production_quantity,1.609045,megatonnes
Artichokes,2014,production_quantity,1.5751629999999999,megatonnes
Artichokes,2015,production_quantity,1.454847,megatonnes
Artichokes,2016,production_quantity,1.418886,megatonnes
Artichokes,2017,production_quantity,1.6708610000000002,megatonnes
Artichokes,2018,production_quantity,1.6788720000000001,megatonnes
Asparagus,1961,production_quantity,1.695701,megatonnes
Asparagus,1962,production_quantity,1.3796059999999999,megatonnes
Asparagus,1963,production_quantity,1.291043,megatonnes
Asparagus,1964,production_quantity,1.207568,megatonnes
Asparagus,1965,production_quantity,1.228842,megatonnes
Asparagus,1966,production_quantity,1.2470709999999998,megatonnes
Asparagus,1967,production_quantity,1.22207,megatonnes
Asparagus,1968,production_quantity,1.328756,megatonnes
Asparagus,1969,production_quantity,1.398664,megatonnes
Asparagus,1970,production_quantity,1.113572,megatonnes
Asparagus,1971,production_quantity,1.231942,megatonnes
Asparagus,1972,production_quantity,1.1477979999999999,megatonnes
Asparagus,1973,production_quantity,1.233105,megatonnes
Asparagus,1974,production_quantity,1.2528709999999998,megatonnes
Asparagus,1975,production_quantity,1.223169,megatonnes
Asparagus,1976,production_quantity,1.258216,megatonnes
Asparagus,1977,production_quantity,1.272569,megatonnes
Asparagus,1978,production_quantity,1.264951,megatonnes
Asparagus,1979,production_quantity,1.30626,megatonnes
Asparagus,1980,production_quantity,1.252898,megatonnes
Asparagus,1981,production_quantity,1.3546559999999999,megatonnes
Asparagus,1982,production_quantity,1.389783,megatonnes
Asparagus,1983,production_quantity,1.3956709999999999,megatonnes
Asparagus,1984,production_quantity,1.435224,megatonnes
Asparagus,1985,production_quantity,1.486065,megatonnes
Asparagus,1986,production_quantity,1.592985,megatonnes
Asparagus,1987,production_quantity,1.733698,megatonnes
Asparagus,1988,production_quantity,1.7586169999999999,megatonnes
Asparagus,1989,production_quantity,1.837078,megatonnes
Asparagus,1990,production_quantity,2.01282,megatonnes
Asparagus,1991,production_quantity,2.139182,megatonnes
Asparagus,1992,production_quantity,2.228652,megatonnes
Asparagus,1993,production_quantity,2.699509,megatonnes
Asparagus,1994,production_quantity,2.92178,megatonnes
Asparagus,1995,production_quantity,3.0058130000000003,megatonnes
Asparagus,1996,production_quantity,3.321796,megatonnes
Asparagus,1997,production_quantity,3.501495,megatonnes
Asparagus,1998,production_quantity,3.6547910000000003,megatonnes
Asparagus,1999,production_quantity,3.960944,megatonnes
Asparagus,2000,production_quantity,4.6408190000000005,megatonnes
Asparagus,2001,production_quantity,4.9669419999999995,megatonnes
Asparagus,2002,production_quantity,5.7517190000000005,megatonnes
Asparagus,2003,production_quantity,6.271954,megatonnes
Asparagus,2004,production_quantity,6.621192,megatonnes
Asparagus,2005,production_quantity,6.706236,megatonnes
Asparagus,2006,production_quantity,6.931585000000001,megatonnes
Asparagus,2007,production_quantity,7.093029,megatonnes
Asparagus,2008,production_quantity,7.215947,megatonnes
Asparagus,2009,production_quantity,7.364497,megatonnes
Asparagus,2010,production_quantity,7.487645,megatonnes
Asparagus,2011,production_quantity,8.190796,megatonnes
Asparagus,2012,production_quantity,8.282936999999999,megatonnes
Asparagus,2013,production_quantity,7.935254,megatonnes
Asparagus,2014,production_quantity,7.877021000000001,megatonnes
Asparagus,2015,production_quantity,8.57296,megatonnes
Asparagus,2016,production_quantity,8.754094,megatonnes
Asparagus,2017,production_quantity,8.951427,megatonnes
Asparagus,2018,production_quantity,9.108203,megatonnes
Avocados,1961,production_quantity,0.7163689999999999,megatonnes
Avocados,1962,production_quantity,0.747313,megatonnes
Avocados,1963,production_quantity,0.787325,megatonnes
Avocados,1964,production_quantity,0.788533,megatonnes
Avocados,1965,production_quantity,0.8572049999999999,megatonnes
Avocados,1966,production_quantity,0.8845379999999999,megatonnes
Avocados,1967,production_quantity,0.945039,megatonnes
Avocados,1968,production_quantity,0.9604290000000001,megatonnes
Avocados,1969,production_quantity,1.005431,megatonnes
Avocados,1970,production_quantity,1.029652,megatonnes
Avocados,1971,production_quantity,1.0867879999999999,megatonnes
Avocados,1972,production_quantity,1.1240139999999998,megatonnes
Avocados,1973,production_quantity,1.1689530000000001,megatonnes
Avocados,1974,production_quantity,1.1802139999999999,megatonnes
Avocados,1975,production_quantity,1.243263,megatonnes
Avocados,1976,production_quantity,1.280301,megatonnes
Avocados,1977,production_quantity,1.347811,megatonnes
Avocados,1978,production_quantity,1.40904,megatonnes
Avocados,1979,production_quantity,1.348701,megatonnes
Avocados,1980,production_quantity,1.577867,megatonnes
Avocados,1981,production_quantity,1.544663,megatonnes
