product,year,variable,harvested_t,units,area_harvested_ha,yield_t_per_ha
Potatoes,2012,production_quantity,361.003266,megatonnes,18689631.0,19.315697886170145
Wheat,1974,production_quantity,358.825442,megatonnes,222117967.0,1.6154723854464237
"Rice, paddy",1975,production_quantity,356.96309,megatonnes,141729334.0,2.518625325650652
Potatoes,2016,production_quantity,356.952488,megatonnes,17551476.0,20.337462672654993
Wheat,1975,production_quantity,355.806146,megatonnes,226617018.0,1.570076903933137
Vegetables Primary,1985,production_quantity,355.6783430000001,megatonnes,26324698.0,13.511203167458943
Soybeans,2017,production_quantity,353.026796,megatonnes,123893950.0,2.8494272399903307
Vegetables Primary,1984,production_quantity,352.906179,megatonnes,25278406.0,13.960776601182843
Maize,1976,production_quantity,352.395866,megatonnes,124209113.0,2.8371176436949517
Soybeans,2018,production_quantity,348.712311,megatonnes,124921956.0,2.791441329977254
"Rice, paddy",1976,production_quantity,347.686462,megatonnes,141860234.0,2.4509085611687347
Wheat,1971,production_quantity,347.525581,megatonnes,213924167.0,1.6245269801611522
Maize,1983,production_quantity,347.082034,megatonnes,117848186.0,2.945162295497701
Wheat,1972,production_quantity,343.0014290000001,megatonnes,213762072.0,1.6045944249642194
Maize,1975,production_quantity,341.751971,megatonnes,121483621.0,2.8131526553690724
Soybeans,2016,production_quantity,335.613801,megatonnes,121640061.0,2.759072942260363
"Rice, paddy",1973,production_quantity,334.928838,megatonnes,136572628.0,2.4523862717205676
"Rice, paddy",1974,production_quantity,331.970614,megatonnes,136887929.0,2.4251270102859106
Potatoes,2009,production_quantity,330.740148,megatonnes,18577561.0,17.803206136693618
Potatoes,2010,production_quantity,328.61692,megatonnes,18167194.0,18.088479706882637
Potatoes,2004,production_quantity,328.165612,megatonnes,18741812.0,17.509812391672693
Vegetables Primary,1983,production_quantity,327.342402,megatonnes,24613596.0,13.299251438107621
Potatoes,2008,production_quantity,327.188473,megatonnes,18162053.0,18.014949796699746
Wheat,1968,production_quantity,326.8439410000001,megatonnes,224875053.0,1.4534468658913449
Soybeans,2015,production_quantity,323.3067020000001,megatonnes,120900547.0,2.67415417070032
Potatoes,2000,production_quantity,322.775223,megatonnes,19895640.0,16.223414929100045
Vegetables Primary,1982,production_quantity,321.002961,megatonnes,24374574.0,13.16958240993258
Maize,1973,production_quantity,318.290469,megatonnes,116943608.0,2.7217431926677
"Rice, paddy",1971,production_quantity,317.712426,megatonnes,134513986.0,2.361928565554514
Potatoes,2005,production_quantity,317.675179,megatonnes,18753326.0,16.939671341499636
"Rice, paddy",1970,production_quantity,316.345703,megatonnes,132873227.0,2.3808084603830686
Sugar beet,1989,production_quantity,314.4028990000001,megatonnes,8601865.0,36.55055025857766
Maize,1971,production_quantity,313.6226220000001,megatonnes,118195157.0,2.653430393937377
Potatoes,2007,production_quantity,313.191368,megatonnes,18007360.0,17.392408881701705
Wheat,1970,production_quantity,310.740954,megatonnes,207979029.0,1.494097532304567
Potatoes,1996,production_quantity,310.493658,megatonnes,18812630.0,16.504532221172692
Sugar beet,2017,production_quantity,310.374816,megatonnes,4954952.0,62.63931840308443
Potatoes,2002,production_quantity,309.8002259999999,megatonnes,18817147.0,16.463719287520043
Sugar beet,1990,production_quantity,309.186724,megatonnes,8657657.0,35.712517139452395
Maize,1972,production_quantity,308.82629,megatonnes,114947847.0,2.6866644139928955
Wheat,1969,production_quantity,308.640283,megatonnes,217750101.0,1.4174059234994338
Potatoes,2003,production_quantity,307.591201,megatonnes,18702391.0,16.4466244449707
Potatoes,2006,production_quantity,307.5721660000001,megatonnes,17799831.0,17.279499226706147
"Rice, paddy",1972,production_quantity,307.289937,megatonnes,132197995.0,2.324467455047257
Potatoes,1973,production_quantity,307.16013,megatonnes,20091178.0,15.288308629787661
Maize,1974,production_quantity,306.427347,megatonnes,119862457.0,2.5564914542007093
Soybeans,2014,production_quantity,306.34853,megatonnes,117745021.0,2.6017960453716342
Potatoes,2001,production_quantity,305.492291,megatonnes,19438118.0,15.716145513675759
