,type,year,kcal_capita_day
218,Treenuts,1967,6
589,"Meat, Other",1967,3
748,Cream,1967,2
1384,"Molluscs, Other",1967,0
1437,"Meat, Aquatic Mammals",1967,0
483,Pigmeat,1967,61
1066,Freshwater Fish,1967,4
960,Eggs,1967,19
1278,Crustaceans,1967,1
801,"Fats, Animals, Raw",1967,35
112,Cereals - Excluding Beer,1967,1163
271,Vegetables,1967,42
907,"Fish, Liver Oil",1967,0
536,Poultry Meat,1967,14
1543,Aquatic Plants,1967,0
1013,Milk - Excluding Butter,1967,116
324,Fruits - Excluding Wine,1967,57
1172,Pelagic Fish,1967,7
59,Animal Products,1967,364
1119,Demersal Fish,1967,5
1225,"Marine Fish, Other",1967,3
430,Mutton & Goat Meat,1967,10
854,"Fish, Body Oil",1967,1
642,"Offals, Edible",1967,5
1490,"Aquatic Animals, Others",1967,0
695,"Butter, Ghee",1967,33
6,Grand Total,1967,2330
165,Starchy Roots,1967,173
1331,Cephalopods,1967,1
7,Grand Total,1968,2334
1332,Cephalopods,1968,1
590,"Meat, Other",1968,3
749,Cream,1968,2
1385,"Molluscs, Other",1968,0
696,"Butter, Ghee",1968,33
166,Starchy Roots,1968,172
1544,Aquatic Plants,1968,0
855,"Fish, Body Oil",1968,1
1067,Freshwater Fish,1968,4
325,Fruits - Excluding Wine,1968,57
1173,Pelagic Fish,1968,7
961,Eggs,1968,19
60,Animal Products,1968,369
1438,"Meat, Aquatic Mammals",1968,0
802,"Fats, Animals, Raw",1968,36
378,Bovine Meat,1968,46
484,Pigmeat,1968,61
908,"Fish, Liver Oil",1968,0
1014,Milk - Excluding Butter,1968,118
1279,Crustaceans,1968,1
272,Vegetables,1968,42
537,Poultry Meat,1968,14
643,"Offals, Edible",1968,5
431,Mutton & Goat Meat,1968,10
1226,"Marine Fish, Other",1968,3
1491,"Aquatic Animals, Others",1968,0
219,Treenuts,1968,6
113,Cereals - Excluding Beer,1968,1154
1120,Demersal Fish,1968,5
114,Cereals - Excluding Beer,1969,1159
326,Fruits - Excluding Wine,1969,58
61,Animal Products,1969,366
538,Poultry Meat,1969,15
909,"Fish, Liver Oil",1969,0
273,Vegetables,1969,42
1545,Aquatic Plants,1969,0
1386,"Molluscs, Other",1969,0
1333,Cephalopods,1969,0
8,Grand Total,1969,2343
803,"Fats, Animals, Raw",1969,34
167,Starchy Roots,1969,176
220,Treenuts,1969,6
485,Pigmeat,1969,59
1280,Crustaceans,1969,1
697,"Butter, Ghee",1969,33
1121,Demersal Fish,1969,6
379,Bovine Meat,1969,46
1492,"Aquatic Animals, Others",1969,0
1227,"Marine Fish, Other",1969,3
432,Mutton & Goat Meat,1969,10
644,"Offals, Edible",1969,5
1015,Milk - Excluding Butter,1969,118
591,"Meat, Other",1969,3
962,Eggs,1969,19
750,Cream,1969,3
856,"Fish, Body Oil",1969,1
1068,Freshwater Fish,1969,4
1174,Pelagic Fish,1969,7
1439,"Meat, Aquatic Mammals",1969,0
645,"Offals, Edible",1970,5
327,Fruits - Excluding Wine,1970,58
857,"Fish, Body Oil",1970,1
62,Animal Products,1970,366
1122,Demersal Fish,1970,6
804,"Fats, Animals, Raw",1970,34
486,Pigmeat,1970,59
9,Grand Total,1970,2389
1175,Pelagic Fish,1970,7
910,"Fish, Liver Oil",1970,0
1387,"Molluscs, Other",1970,0
592,"Meat, Other",1970,3
963,Eggs,1970,20
751,Cream,1970,3
168,Starchy Roots,1970,177
1016,Milk - Excluding Butter,1970,117
1069,Freshwater Fish,1970,4
221,Treenuts,1970,6
1228,"Marine Fish, Other",1970,3
380,Bovine Meat,1970,45
433,Mutton & Goat Meat,1970,10
698,"Butter, Ghee",1970,33
1493,"Aquatic Animals, Others",1970,0
1546,Aquatic Plants,1970,0
1281,Crustaceans,1970,1
115,Cereals - Excluding Beer,1970,1189
539,Poultry Meat,1970,16
1334,Cephalopods,1970,0
274,Vegetables,1970,40
1440,"Meat, Aquatic Mammals",1970,0
381,Bovine Meat,1971,44
116,Cereals - Excluding Beer,1971,1168
964,Eggs,1971,20
434,Mutton & Goat Meat,1971,10
1070,Freshwater Fish,1971,4
1017,Milk - Excluding Butter,1971,117
911,"Fish, Liver Oil",1971,0
1494,"Aquatic Animals, Others",1971,0
328,Fruits - Excluding Wine,1971,58
63,Animal Products,1971,369
1441,"Meat, Aquatic Mammals",1971,0
1123,Demersal Fish,1971,6
646,"Offals, Edible",1971,5
540,Poultry Meat,1971,16
699,"Butter, Ghee",1971,31
10,Grand Total,1971,2365
1388,"Molluscs, Other",1971,0
169,Starchy Roots,1971,169
1547,Aquatic Plants,1971,0
1282,Crustaceans,1971,1
1176,Pelagic Fish,1971,7
1229,"Marine Fish, Other",1971,3
858,"Fish, Body Oil",1971,1
752,Cream,1971,3
1335,Cephalopods,1971,0
593,"Meat, Other",1971,3
275,Vegetables,1971,41
487,Pigmeat,1971,64
222,Treenuts,1971,6
805,"Fats, Animals, Raw",1971,35
382,Bovine Meat,1972,43
912,"Fish, Liver Oil",1972,0
1495,"Aquatic Animals, Others",1972,0
1389,"Molluscs, Other",1972,0
1230,"Marine Fish, Other",1972,3
700,"Butter, Ghee",1972,31
1124,Demersal Fish,1972,6
223,Treenuts,1972,6
753,Cream,1972,3
594,"Meat, Other",1972,3
1442,"Meat, Aquatic Mammals",1972,0
1071,Freshwater Fish,1972,4
1283,Crustaceans,1972,1
1548,Aquatic Plants,1972,0
541,Poultry Meat,1972,17
488,Pigmeat,1972,66
1336,Cephalopods,1972,0
170,Starchy Roots,1972,163
1018,Milk - Excluding Butter,1972,116
859,"Fish, Body Oil",1972,1
1177,Pelagic Fish,1972,7
329,Fruits - Excluding Wine,1972,56
647,"Offals, Edible",1972,5
965,Eggs,1972,20
64,Animal Products,1972,371
11,Grand Total,1972,2352
276,Vegetables,1972,40
117,Cereals - Excluding Beer,1972,1168
806,"Fats, Animals, Raw",1972,35
435,Mutton & Goat Meat,1972,10
648,"Offals, Edible",1973,5
1284,Crustaceans,1973,1
966,Eggs,1973,20
701,"Butter, Ghee",1973,32
1019,Milk - Excluding Butter,1973,113
12,Grand Total,1973,2389
1443,"Meat, Aquatic Mammals",1973,0
383,Bovine Meat,1973,43
1337,Cephalopods,1973,0
224,Treenuts,1973,6
1125,Demersal Fish,1973,6
436,Mutton & Goat Meat,1973,9
489,Pigmeat,1973,65
1496,"Aquatic Animals, Others",1973,0
860,"Fish, Body Oil",1973,1
118,Cereals - Excluding Beer,1973,1192
1178,Pelagic Fish,1973,8
330,Fruits - Excluding Wine,1973,57
807,"Fats, Animals, Raw",1973,32
65,Animal Products,1973,365
595,"Meat, Other",1973,3
542,Poultry Meat,1973,17
1390,"Molluscs, Other",1973,0
277,Vegetables,1973,41
171,Starchy Roots,1973,173
1072,Freshwater Fish,1973,4
754,Cream,1973,3
1231,"Marine Fish, Other",1973,3
1549,Aquatic Plants,1973,0
913,"Fish, Liver Oil",1973,0
437,Mutton & Goat Meat,1974,9
490,Pigmeat,1974,65
861,"Fish, Body Oil",1974,0
755,Cream,1974,3
1550,Aquatic Plants,1974,0
967,Eggs,1974,20
543,Poultry Meat,1974,17
808,"Fats, Animals, Raw",1974,33
702,"Butter, Ghee",1974,31
649,"Offals, Edible",1974,5
66,Animal Products,1974,370
13,Grand Total,1974,2381
914,"Fish, Liver Oil",1974,0
596,"Meat, Other",1974,3
1497,"Aquatic Animals, Others",1974,0
172,Starchy Roots,1974,170
1073,Freshwater Fish,1974,4
119,Cereals - Excluding Beer,1974,1180
331,Fruits - Excluding Wine,1974,57
1179,Pelagic Fish,1974,8
384,Bovine Meat,1974,46
1020,Milk - Excluding Butter,1974,115
1444,"Meat, Aquatic Mammals",1974,0
225,Treenuts,1974,6
1232,"Marine Fish, Other",1974,3
1285,Crustaceans,1974,1
278,Vegetables,1974,41
1338,Cephalopods,1974,0
1391,"Molluscs, Other",1974,0
1126,Demersal Fish,1974,6
120,Cereals - Excluding Beer,1975,1201
1551,Aquatic Plants,1975,0
67,Animal Products,1975,369
703,"Butter, Ghee",1975,31
650,"Offals, Edible",1975,5
915,"Fish, Liver Oil",1975,0
332,Fruits - Excluding Wine,1975,57
491,Pigmeat,1975,64
1074,Freshwater Fish,1975,4
862,"Fish, Body Oil",1975,0
1180,Pelagic Fish,1975,8
1498,"Aquatic Animals, Others",1975,0
14,Grand Total,1975,2396
1233,"Marine Fish, Other",1975,3
809,"Fats, Animals, Raw",1975,32
1339,Cephalopods,1975,1
279,Vegetables,1975,42
1392,"Molluscs, Other",1975,0
544,Poultry Meat,1975,18
1127,Demersal Fish,1975,6
756,Cream,1975,3
1286,Crustaceans,1975,1
226,Treenuts,1975,6
968,Eggs,1975,20
1445,"Meat, Aquatic Mammals",1975,0
1021,Milk - Excluding Butter,1975,114
438,Mutton & Goat Meat,1975,9
173,Starchy Roots,1975,167
385,Bovine Meat,1975,47
597,"Meat, Other",1975,3
1446,"Meat, Aquatic Mammals",1976,0
280,Vegetables,1976,41
333,Fruits - Excluding Wine,1976,58
1234,"Marine Fish, Other",1976,3
121,Cereals - Excluding Beer,1976,1183
15,Grand Total,1976,2389
1128,Demersal Fish,1976,8
386,Bovine Meat,1976,48
68,Animal Products,1976,373
1181,Pelagic Fish,1976,7
757,Cream,1976,3
810,"Fats, Animals, Raw",1976,33
863,"Fish, Body Oil",1976,0
1340,Cephalopods,1976,1
969,Eggs,1976,20
1022,Milk - Excluding Butter,1976,115
1499,"Aquatic Animals, Others",1976,0
598,"Meat, Other",1976,3
492,Pigmeat,1976,63
1287,Crustaceans,1976,1
227,Treenuts,1976,6
1552,Aquatic Plants,1976,0
704,"Butter, Ghee",1976,31
174,Starchy Roots,1976,159
545,Poultry Meat,1976,18
439,Mutton & Goat Meat,1976,9
1075,Freshwater Fish,1976,3
1393,"Molluscs, Other",1976,0
651,"Offals, Edible",1976,5
916,"Fish, Liver Oil",1976,0
1235,"Marine Fish, Other",1977,3
1394,"Molluscs, Other",1977,0
69,Animal Products,1977,372
864,"Fish, Body Oil",1977,0
811,"Fats, Animals, Raw",1977,31
1341,Cephalopods,1977,1
970,Eggs,1977,21
1182,Pelagic Fish,1977,8
1288,Crustaceans,1977,1
1023,Milk - Excluding Butter,1977,114
440,Mutton & Goat Meat,1977,9
1500,"Aquatic Animals, Others",1977,0
546,Poultry Meat,1977,19
758,Cream,1977,4
705,"Butter, Ghee",1977,31
493,Pigmeat,1977,63
122,Cereals - Excluding Beer,1977,1202
1553,Aquatic Plants,1977,0
599,"Meat, Other",1977,3
334,Fruits - Excluding Wine,1977,57
652,"Offals, Edible",1977,5
175,Starchy Roots,1977,163
1129,Demersal Fish,1977,7
281,Vegetables,1977,42
16,Grand Total,1977,2418
917,"Fish, Liver Oil",1977,0
1447,"Meat, Aquatic Mammals",1977,0
228,Treenuts,1977,6
387,Bovine Meat,1977,48
1076,Freshwater Fish,1977,3
1395,"Molluscs, Other",1978,0
812,"Fats, Animals, Raw",1978,32
1183,Pelagic Fish,1978,8
282,Vegetables,1978,43
600,"Meat, Other",1978,3
971,Eggs,1978,21
1448,"Meat, Aquatic Mammals",1978,0
229,Treenuts,1978,6
1236,"Marine Fish, Other",1978,3
1289,Crustaceans,1978,1
17,Grand Total,1978,2477
70,Animal Products,1978,378
706,"Butter, Ghee",1978,32
918,"Fish, Liver Oil",1978,0
1077,Freshwater Fish,1978,3
1554,Aquatic Plants,1978,0
335,Fruits - Excluding Wine,1978,58
1501,"Aquatic Animals, Others",1978,0
547,Poultry Meat,1978,20
388,Bovine Meat,1978,48
123,Cereals - Excluding Beer,1978,1239
1342,Cephalopods,1978,1
653,"Offals, Edible",1978,5
494,Pigmeat,1978,67
441,Mutton & Goat Meat,1978,9
176,Starchy Roots,1978,164
865,"Fish, Body Oil",1978,0
1130,Demersal Fish,1978,7
1024,Milk - Excluding Butter,1978,114
759,Cream,1978,4
230,Treenuts,1979,6
760,Cream,1979,4
601,"Meat, Other",1979,3
1555,Aquatic Plants,1979,0
707,"Butter, Ghee",1979,32
1184,Pelagic Fish,1979,8
1237,"Marine Fish, Other",1979,3
18,Grand Total,1979,2476
1343,Cephalopods,1979,1
1449,"Meat, Aquatic Mammals",1979,0
548,Poultry Meat,1979,21
495,Pigmeat,1979,73
442,Mutton & Goat Meat,1979,9
654,"Offals, Edible",1979,5
866,"Fish, Body Oil",1979,0
919,"Fish, Liver Oil",1979,0
177,Starchy Roots,1979,153
124,Cereals - Excluding Beer,1979,1235
336,Fruits - Excluding Wine,1979,60
71,Animal Products,1979,386
1025,Milk - Excluding Butter,1979,114
389,Bovine Meat,1979,46
813,"Fats, Animals, Raw",1979,33
1290,Crustaceans,1979,1
283,Vegetables,1979,44
972,Eggs,1979,21
1078,Freshwater Fish,1979,3
1396,"Molluscs, Other",1979,0
1502,"Aquatic Animals, Others",1979,0
1131,Demersal Fish,1979,7
72,Animal Products,1980,389
1291,Crustaceans,1980,1
19,Grand Total,1980,2490
178,Starchy Roots,1980,149
443,Mutton & Goat Meat,1980,9
1026,Milk - Excluding Butter,1980,114
708,"Butter, Ghee",1980,31
390,Bovine Meat,1980,45
973,Eggs,1980,22
1450,"Meat, Aquatic Mammals",1980,0
231,Treenuts,1980,6
920,"Fish, Liver Oil",1980,0
337,Fruits - Excluding Wine,1980,61
1079,Freshwater Fish,1980,4
1397,"Molluscs, Other",1980,0
1185,Pelagic Fish,1980,8
1503,"Aquatic Animals, Others",1980,0
284,Vegetables,1980,43
814,"Fats, Animals, Raw",1980,33
125,Cereals - Excluding Beer,1980,1246
761,Cream,1980,4
1556,Aquatic Plants,1980,0
602,"Meat, Other",1980,3
496,Pigmeat,1980,77
1132,Demersal Fish,1980,7
1238,"Marine Fish, Other",1980,3
867,"Fish, Body Oil",1980,1
1344,Cephalopods,1980,1
549,Poultry Meat,1980,22
655,"Offals, Edible",1980,5
656,"Offals, Edible",1981,5
179,Starchy Roots,1981,143
1292,Crustaceans,1981,1
709,"Butter, Ghee",1981,30
285,Vegetables,1981,44
1345,Cephalopods,1981,1
338,Fruits - Excluding Wine,1981,59
868,"Fish, Body Oil",1981,1
1133,Demersal Fish,1981,7
497,Pigmeat,1981,76
126,Cereals - Excluding Beer,1981,1255
603,"Meat, Other",1981,2
1398,"Molluscs, Other",1981,0
73,Animal Products,1981,388
815,"Fats, Animals, Raw",1981,32
1504,"Aquatic Animals, Others",1981,0
921,"Fish, Liver Oil",1981,0
550,Poultry Meat,1981,23
444,Mutton & Goat Meat,1981,9
1027,Milk - Excluding Butter,1981,114
762,Cream,1981,4
1239,"Marine Fish, Other",1981,3
391,Bovine Meat,1981,45
974,Eggs,1981,22
232,Treenuts,1981,7
1557,Aquatic Plants,1981,0
1451,"Meat, Aquatic Mammals",1981,0
20,Grand Total,1981,2501
1186,Pelagic Fish,1981,8
1080,Freshwater Fish,1981,4
1028,Milk - Excluding Butter,1982,114
1293,Crustaceans,1982,1
922,"Fish, Liver Oil",1982,0
975,Eggs,1982,22
657,"Offals, Edible",1982,5
1134,Demersal Fish,1982,7
1399,"Molluscs, Other",1982,0
816,"Fats, Animals, Raw",1982,31
1505,"Aquatic Animals, Others",1982,0
1187,Pelagic Fish,1982,8
763,Cream,1982,4
1240,"Marine Fish, Other",1982,3
1346,Cephalopods,1982,1
710,"Butter, Ghee",1982,30
1558,Aquatic Plants,1982,0
1081,Freshwater Fish,1982,4
1452,"Meat, Aquatic Mammals",1982,0
869,"Fish, Body Oil",1982,1
445,Mutton & Goat Meat,1982,9
551,Poultry Meat,1982,23
498,Pigmeat,1982,76
339,Fruits - Excluding Wine,1982,61
392,Bovine Meat,1982,44
21,Grand Total,1982,2531
604,"Meat, Other",1982,2
74,Animal Products,1982,386
127,Cereals - Excluding Beer,1982,1277
233,Treenuts,1982,7
180,Starchy Roots,1982,143
286,Vegetables,1982,46
1347,Cephalopods,1983,1
1453,"Meat, Aquatic Mammals",1983,0
128,Cereals - Excluding Beer,1983,1317
764,Cream,1983,4
1559,Aquatic Plants,1983,0
1082,Freshwater Fish,1983,4
711,"Butter, Ghee",1983,31
1400,"Molluscs, Other",1983,1
1135,Demersal Fish,1983,7
870,"Fish, Body Oil",1983,1
605,"Meat, Other",1983,2
446,Mutton & Goat Meat,1983,9
499,Pigmeat,1983,77
22,Grand Total,1983,2575
393,Bovine Meat,1983,44
181,Starchy Roots,1983,141
1294,Crustaceans,1983,1
658,"Offals, Edible",1983,5
552,Poultry Meat,1983,23
1029,Milk - Excluding Butter,1983,115
1188,Pelagic Fish,1983,8
817,"Fats, Animals, Raw",1983,32
234,Treenuts,1983,7
1506,"Aquatic Animals, Others",1983,0
976,Eggs,1983,22
287,Vegetables,1983,46
923,"Fish, Liver Oil",1983,0
1241,"Marine Fish, Other",1983,2
340,Fruits - Excluding Wine,1983,61
75,Animal Products,1983,392
606,"Meat, Other",1984,2
235,Treenuts,1984,7
1189,Pelagic Fish,1984,8
182,Starchy Roots,1984,139
712,"Butter, Ghee",1984,31
1295,Crustaceans,1984,1
765,Cream,1984,4
23,Grand Total,1984,2584
977,Eggs,1984,23
1348,Cephalopods,1984,1
288,Vegetables,1984,48
394,Bovine Meat,1984,45
1030,Milk - Excluding Butter,1984,117
1242,"Marine Fish, Other",1984,3
500,Pigmeat,1984,79
924,"Fish, Liver Oil",1984,0
818,"Fats, Animals, Raw",1984,32
1507,"Aquatic Animals, Others",1984,0
659,"Offals, Edible",1984,6
1560,Aquatic Plants,1984,0
76,Animal Products,1984,397
553,Poultry Meat,1984,23
1454,"Meat, Aquatic Mammals",1984,0
1083,Freshwater Fish,1984,4
341,Fruits - Excluding Wine,1984,61
871,"Fish, Body Oil",1984,1
1136,Demersal Fish,1984,7
129,Cereals - Excluding Beer,1984,1310
447,Mutton & Goat Meat,1984,9
1401,"Molluscs, Other",1984,1
1296,Crustaceans,1985,1
1561,Aquatic Plants,1985,0
660,"Offals, Edible",1985,6
1243,"Marine Fish, Other",1985,3
872,"Fish, Body Oil",1985,1
819,"Fats, Animals, Raw",1985,33
1084,Freshwater Fish,1985,5
607,"Meat, Other",1985,2
1031,Milk - Excluding Butter,1985,120
925,"Fish, Liver Oil",1985,0
766,Cream,1985,4
1508,"Aquatic Animals, Others",1985,0
236,Treenuts,1985,7
24,Grand Total,1985,2587
1190,Pelagic Fish,1985,8
978,Eggs,1985,24
77,Animal Products,1985,407
342,Fruits - Excluding Wine,1985,62
501,Pigmeat,1985,83
289,Vegetables,1985,48
183,Starchy Roots,1985,130
448,Mutton & Goat Meat,1985,9
554,Poultry Meat,1985,24
1455,"Meat, Aquatic Mammals",1985,0
1402,"Molluscs, Other",1985,1
1349,Cephalopods,1985,1
713,"Butter, Ghee",1985,31
395,Bovine Meat,1985,45
130,Cereals - Excluding Beer,1985,1309
1137,Demersal Fish,1985,7
1297,Crustaceans,1986,1
25,Grand Total,1986,2589
290,Vegetables,1986,50
1032,Milk - Excluding Butter,1986,120
1562,Aquatic Plants,1986,0
1138,Demersal Fish,1986,7
555,Poultry Meat,1986,25
343,Fruits - Excluding Wine,1986,64
1085,Freshwater Fish,1986,5
767,Cream,1986,4
1191,Pelagic Fish,1986,8
820,"Fats, Animals, Raw",1986,30
131,Cereals - Excluding Beer,1986,1309
449,Mutton & Goat Meat,1986,9
1456,"Meat, Aquatic Mammals",1986,0
184,Starchy Roots,1986,128
1403,"Molluscs, Other",1986,1
78,Animal Products,1986,405
979,Eggs,1986,24
714,"Butter, Ghee",1986,31
502,Pigmeat,1986,82
1350,Cephalopods,1986,1
396,Bovine Meat,1986,46
661,"Offals, Edible",1986,6
1509,"Aquatic Animals, Others",1986,0
1244,"Marine Fish, Other",1986,3
237,Treenuts,1986,6
608,"Meat, Other",1986,2
926,"Fish, Liver Oil",1986,0
873,"Fish, Body Oil",1986,1
1404,"Molluscs, Other",1987,1
556,Poultry Meat,1987,27
1457,"Meat, Aquatic Mammals",1987,0
26,Grand Total,1987,2607
450,Mutton & Goat Meat,1987,9
344,Fruits - Excluding Wine,1987,64
927,"Fish, Liver Oil",1987,0
662,"Offals, Edible",1987,6
821,"Fats, Animals, Raw",1987,30
1086,Freshwater Fish,1987,5
1510,"Aquatic Animals, Others",1987,0
874,"Fish, Body Oil",1987,1
79,Animal Products,1987,408
609,"Meat, Other",1987,2
1351,Cephalopods,1987,1
980,Eggs,1987,24
397,Bovine Meat,1987,45
132,Cereals - Excluding Beer,1987,1318
185,Starchy Roots,1987,129
768,Cream,1987,4
503,Pigmeat,1987,85
291,Vegetables,1987,51
1245,"Marine Fish, Other",1987,3
1033,Milk - Excluding Butter,1987,119
238,Treenuts,1987,7
715,"Butter, Ghee",1987,31
1563,Aquatic Plants,1987,0
1139,Demersal Fish,1987,7
1192,Pelagic Fish,1987,8
1298,Crustaceans,1987,1
1564,Aquatic Plants,1988,0
398,Bovine Meat,1988,45
504,Pigmeat,1988,89
981,Eggs,1988,25
928,"Fish, Liver Oil",1988,0
451,Mutton & Goat Meat,1988,9
875,"Fish, Body Oil",1988,1
1034,Milk - Excluding Butter,1988,117
345,Fruits - Excluding Wine,1988,64
822,"Fats, Animals, Raw",1988,30
1193,Pelagic Fish,1988,8
769,Cream,1988,4
1458,"Meat, Aquatic Mammals",1988,0
1299,Crustaceans,1988,1
1246,"Marine Fish, Other",1988,3
239,Treenuts,1988,7
1087,Freshwater Fish,1988,5
186,Starchy Roots,1988,126
27,Grand Total,1988,2624
716,"Butter, Ghee",1988,31
292,Vegetables,1988,51
663,"Offals, Edible",1988,6
610,"Meat, Other",1988,2
1511,"Aquatic Animals, Others",1988,0
1405,"Molluscs, Other",1988,1
557,Poultry Meat,1988,28
133,Cereals - Excluding Beer,1988,1329
1140,Demersal Fish,1988,6
1352,Cephalopods,1988,1
80,Animal Products,1988,411
134,Cereals - Excluding Beer,1989,1335
