category,product,year,producing_population_Mhd
eggs,"Eggs, other bird, in shell",1978,76.586
eggs,"Eggs, other bird, in shell",1979,79.877
eggs,"Eggs, other bird, in shell",1980,81.246
eggs,"Eggs, other bird, in shell",1981,80.132
eggs,"Eggs, other bird, in shell",1982,80.166
eggs,"Eggs, other bird, in shell",1983,79.002
eggs,"Eggs, other bird, in shell",1984,79.805
eggs,"Eggs, other bird, in shell",1985,74.421
eggs,"Eggs, other bird, in shell",1986,77.172
eggs,"Eggs, other bird, in shell",1987,74.529
eggs,"Eggs, other bird, in shell",1988,70.453
eggs,"Eggs, other bird, in shell",1989,67.158
eggs,"Eggs, other bird, in shell",1990,68.638
eggs,"Eggs, other bird, in shell",1991,73.058
eggs,"Eggs, other bird, in shell",1992,79.684
eggs,"Eggs, other bird, in shell",1993,83.576
eggs,"Eggs, other bird, in shell",1994,89.068
eggs,"Eggs, other bird, in shell",1995,91.411
eggs,"Eggs, other bird, in shell",1996,105.215
eggs,"Eggs, other bird, in shell",1997,112.882
eggs,"Eggs, other bird, in shell",1998,115.732
eggs,"Eggs, other bird, in shell",1999,105.356
eggs,"Eggs, other bird, in shell",2000,108.562
eggs,"Eggs, other bird, in shell",2001,113.883
eggs,"Eggs, other bird, in shell",2002,118.095
eggs,"Eggs, other bird, in shell",2003,122.489
eggs,"Eggs, other bird, in shell",2004,124.271
eggs,"Eggs, other bird, in shell",2005,134.529
eggs,"Eggs, other bird, in shell",2006,137.895
eggs,"Eggs, other bird, in shell",2007,143.715
eggs,"Eggs, other bird, in shell",2008,152.449
eggs,"Eggs, other bird, in shell",2009,162.562
eggs,"Eggs, other bird, in shell",2010,169.422
eggs,"Eggs, other bird, in shell",2011,170.034
eggs,"Eggs, other bird, in shell",2012,180.866
eggs,"Eggs, other bird, in shell",2013,193.99
eggs,"Eggs, other bird, in shell",2014,212.914
eggs,"Eggs, other bird, in shell",2015,216.574
eggs,"Eggs, other bird, in shell",2016,211.089
eggs,"Eggs, other bird, in shell",2017,228.562
eggs,"Eggs, other bird, in shell",2018,235.666
meat,"Meat, ass",1961,0.2452
meat,"Meat, ass",1962,0.2773
meat,"Meat, ass",1963,0.2729
meat,"Meat, ass",1964,0.2901
meat,"Meat, ass",1965,0.3261
meat,"Meat, ass",1966,0.3445
meat,"Meat, ass",1967,0.3519
meat,"Meat, ass",1968,0.3617
meat,"Meat, ass",1969,0.3596
meat,"Meat, ass",1970,0.3691
meat,"Meat, ass",1971,0.403
meat,"Meat, ass",1972,0.406
meat,"Meat, ass",1973,0.3807
meat,"Meat, ass",1974,0.3807
meat,"Meat, ass",1975,0.376886
meat,"Meat, ass",1976,0.381826
meat,"Meat, ass",1977,0.369168
meat,"Meat, ass",1978,0.373655
meat,"Meat, ass",1979,0.36701
meat,"Meat, ass",1980,0.364733
meat,"Meat, ass",1981,0.381709
meat,"Meat, ass",1982,0.404238
meat,"Meat, ass",1983,0.41428
meat,"Meat, ass",1984,0.401132
meat,"Meat, ass",1985,0.39791
meat,"Meat, ass",1986,0.423
meat,"Meat, ass",1987,0.428678
meat,"Meat, ass",1988,0.45899
meat,"Meat, ass",1989,0.474432
meat,"Meat, ass",1990,0.472242
meat,"Meat, ass",1991,0.492947
meat,"Meat, ass",1992,2.157864
meat,"Meat, ass",1993,2.137063
meat,"Meat, ass",1994,2.123371
meat,"Meat, ass",1995,2.130103
meat,"Meat, ass",1996,2.281887
meat,"Meat, ass",1997,2.031672
meat,"Meat, ass",1998,2.031924
meat,"Meat, ass",1999,2.106923
meat,"Meat, ass",2000,2.170178
meat,"Meat, ass",2001,2.193207
meat,"Meat, ass",2002,2.281668
meat,"Meat, ass",2003,2.337336
meat,"Meat, ass",2004,2.408262
meat,"Meat, ass",2005,2.420426
meat,"Meat, ass",2006,2.49346
meat,"Meat, ass",2007,2.429033
meat,"Meat, ass",2008,2.427923
meat,"Meat, ass",2009,2.56875
meat,"Meat, ass",2010,2.587981
meat,"Meat, ass",2011,2.687288
meat,"Meat, ass",2012,2.680194
meat,"Meat, ass",2013,2.656199
meat,"Meat, ass",2014,2.56114
meat,"Meat, ass",2015,2.352766
meat,"Meat, ass",2016,2.156023
meat,"Meat, ass",2017,2.57832
meat,"Meat, ass",2018,2.622294
meat,"Meat, buffalo",1961,7.744138
meat,"Meat, buffalo",1962,7.989005
meat,"Meat, buffalo",1963,8.126567
meat,"Meat, buffalo",1964,8.408709
meat,"Meat, buffalo",1965,8.566276
meat,"Meat, buffalo",1966,8.683014
meat,"Meat, buffalo",1967,8.897804
meat,"Meat, buffalo",1968,9.239157
meat,"Meat, buffalo",1969,9.410766
meat,"Meat, buffalo",1970,9.62662
meat,"Meat, buffalo",1971,9.912534
meat,"Meat, buffalo",1972,10.089752
meat,"Meat, buffalo",1973,10.436843
meat,"Meat, buffalo",1974,10.725229
meat,"Meat, buffalo",1975,10.816252
meat,"Meat, buffalo",1976,11.050517
meat,"Meat, buffalo",1977,11.269026
meat,"Meat, buffalo",1978,11.448237
meat,"Meat, buffalo",1979,11.758463
meat,"Meat, buffalo",1980,11.971723
meat,"Meat, buffalo",1981,12.320424
meat,"Meat, buffalo",1982,13.106993
meat,"Meat, buffalo",1983,13.293766
meat,"Meat, buffalo",1984,13.711963
meat,"Meat, buffalo",1985,14.285916
meat,"Meat, buffalo",1986,14.771297
meat,"Meat, buffalo",1987,14.841151
meat,"Meat, buffalo",1988,16.025272
meat,"Meat, buffalo",1989,15.878165
meat,"Meat, buffalo",1990,16.265647
meat,"Meat, buffalo",1991,16.598082
meat,"Meat, buffalo",1992,17.032094
meat,"Meat, buffalo",1993,17.769774
meat,"Meat, buffalo",1994,18.408102
meat,"Meat, buffalo",1995,19.18526
meat,"Meat, buffalo",1996,17.953694
meat,"Meat, buffalo",1997,19.318866
meat,"Meat, buffalo",1998,19.65252
meat,"Meat, buffalo",1999,20.308853
meat,"Meat, buffalo",2000,20.484013
meat,"Meat, buffalo",2001,20.372364
meat,"Meat, buffalo",2002,20.758787
meat,"Meat, buffalo",2003,20.04784
meat,"Meat, buffalo",2004,20.680262
meat,"Meat, buffalo",2005,21.280719
meat,"Meat, buffalo",2006,22.036401
meat,"Meat, buffalo",2007,22.884747
meat,"Meat, buffalo",2008,23.17567
meat,"Meat, buffalo",2009,24.82695
meat,"Meat, buffalo",2010,25.771225
meat,"Meat, buffalo",2011,26.003977
meat,"Meat, buffalo",2012,26.469509
meat,"Meat, buffalo",2013,26.110595
meat,"Meat, buffalo",2014,26.326049
meat,"Meat, buffalo",2015,26.545189
meat,"Meat, buffalo",2016,26.945966
meat,"Meat, buffalo",2017,27.33011
meat,"Meat, buffalo",2018,27.799035
meat,"Meat, camel",1961,0.648845
meat,"Meat, camel",1962,0.667424
meat,"Meat, camel",1963,0.689554
meat,"Meat, camel",1964,0.708068
meat,"Meat, camel",1965,0.74866
meat,"Meat, camel",1966,0.798943
meat,"Meat, camel",1967,0.801909
meat,"Meat, camel",1968,0.849681
meat,"Meat, camel",1969,0.830793
meat,"Meat, camel",1970,0.846539
meat,"Meat, camel",1971,0.853649
meat,"Meat, camel",1972,0.888092
meat,"Meat, camel",1973,0.900154
meat,"Meat, camel",1974,0.963079
meat,"Meat, camel",1975,0.919709
meat,"Meat, camel",1976,0.927569
meat,"Meat, camel",1977,0.920754
meat,"Meat, camel",1978,0.897786
meat,"Meat, camel",1979,0.903347
meat,"Meat, camel",1980,0.960432
meat,"Meat, camel",1981,0.927205
meat,"Meat, camel",1982,0.99097
meat,"Meat, camel",1983,0.988922
meat,"Meat, camel",1984,1.048244
meat,"Meat, camel",1985,1.06327
meat,"Meat, camel",1986,1.023965
meat,"Meat, camel",1987,1.007031
meat,"Meat, camel",1988,1.065845
meat,"Meat, camel",1989,1.150276
meat,"Meat, camel",1990,1.233767
meat,"Meat, camel",1991,1.311409
meat,"Meat, camel",1992,1.385577
meat,"Meat, camel",1993,1.311595
meat,"Meat, camel",1994,1.393524
meat,"Meat, camel",1995,1.440408
meat,"Meat, camel",1996,1.555095
meat,"Meat, camel",1997,1.582227
meat,"Meat, camel",1998,1.650056
meat,"Meat, camel",1999,1.607052
meat,"Meat, camel",2000,1.624133
meat,"Meat, camel",2001,1.698786
meat,"Meat, camel",2002,1.695378
meat,"Meat, camel",2003,1.773658
meat,"Meat, camel",2004,1.851662
meat,"Meat, camel",2005,1.708419
meat,"Meat, camel",2006,1.931149
meat,"Meat, camel",2007,2.134683
meat,"Meat, camel",2008,2.322316
meat,"Meat, camel",2009,2.283597
meat,"Meat, camel",2010,2.414283
meat,"Meat, camel",2011,2.468763
meat,"Meat, camel",2012,2.331713
meat,"Meat, camel",2013,2.411649
meat,"Meat, camel",2014,2.412796
meat,"Meat, camel",2015,2.454144
meat,"Meat, camel",2016,2.479153
meat,"Meat, camel",2017,2.543657
meat,"Meat, camel",2018,2.540635
meat,"Meat, cattle",1961,172.956292
meat,"Meat, cattle",1962,184.306019
meat,"Meat, cattle",1963,193.884384
meat,"Meat, cattle",1964,191.78355
meat,"Meat, cattle",1965,191.617876
meat,"Meat, cattle",1966,196.736063
meat,"Meat, cattle",1967,204.662382
meat,"Meat, cattle",1968,211.065231
meat,"Meat, cattle",1969,211.695232
meat,"Meat, cattle",1970,210.511331
meat,"Meat, cattle",1971,204.371632
meat,"Meat, cattle",1972,203.966484
meat,"Meat, cattle",1973,203.885585
meat,"Meat, cattle",1974,216.929813
meat,"Meat, cattle",1975,232.901568
meat,"Meat, cattle",1976,243.24655
meat,"Meat, cattle",1977,243.78805
meat,"Meat, cattle",1978,245.202771
meat,"Meat, cattle",1979,237.01611
meat,"Meat, cattle",1980,234.955671
meat,"Meat, cattle",1981,237.104169
meat,"Meat, cattle",1982,238.507532
meat,"Meat, cattle",1983,240.569335
meat,"Meat, cattle",1984,246.319936
meat,"Meat, cattle",1985,246.807157
meat,"Meat, cattle",1986,253.564338
meat,"Meat, cattle",1987,250.641496
meat,"Meat, cattle",1988,249.686489
meat,"Meat, cattle",1989,249.967413
meat,"Meat, cattle",1990,254.316127
meat,"Meat, cattle",1991,256.255651
meat,"Meat, cattle",1992,254.214526
meat,"Meat, cattle",1993,254.737613
meat,"Meat, cattle",1994,258.019568
meat,"Meat, cattle",1995,259.539306
meat,"Meat, cattle",1996,261.227492
meat,"Meat, cattle",1997,268.305393
meat,"Meat, cattle",1998,269.588084
meat,"Meat, cattle",1999,271.235668
meat,"Meat, cattle",2000,271.971267
meat,"Meat, cattle",2001,267.078997
meat,"Meat, cattle",2002,272.335478
meat,"Meat, cattle",2003,276.921991
meat,"Meat, cattle",2004,281.211809
meat,"Meat, cattle",2005,283.404941
meat,"Meat, cattle",2006,288.76184
meat,"Meat, cattle",2007,293.835954
meat,"Meat, cattle",2008,294.116193
meat,"Meat, cattle",2009,291.736127
meat,"Meat, cattle",2010,291.416468
meat,"Meat, cattle",2011,290.285032
meat,"Meat, cattle",2012,293.093702
meat,"Meat, cattle",2013,297.59357
meat,"Meat, cattle",2014,296.583849
meat,"Meat, cattle",2015,293.893542
meat,"Meat, cattle",2016,294.463976
meat,"Meat, cattle",2017,297.730185
meat,"Meat, cattle",2018,302.128113
meat,"Meat, chicken",1961,6577.869
meat,"Meat, chicken",1962,6853.536
meat,"Meat, chicken",1963,7219.918
meat,"Meat, chicken",1964,7495.146
meat,"Meat, chicken",1965,8120.139
meat,"Meat, chicken",1966,8277.472
meat,"Meat, chicken",1967,9159.074
meat,"Meat, chicken",1968,9474.67
meat,"Meat, chicken",1969,10158.324
meat,"Meat, chicken",1970,11034.188
meat,"Meat, chicken",1971,11390.271
meat,"Meat, chicken",1972,12169.12
meat,"Meat, chicken",1973,12704.649
meat,"Meat, chicken",1974,13190.174
meat,"Meat, chicken",1975,13382.8
meat,"Meat, chicken",1976,14286.949
meat,"Meat, chicken",1977,15193.656
meat,"Meat, chicken",1978,16215.309
meat,"Meat, chicken",1979,17452.391
meat,"Meat, chicken",1980,18392.525
meat,"Meat, chicken",1981,19353.538
meat,"Meat, chicken",1982,20022.384
meat,"Meat, chicken",1983,20481.154
meat,"Meat, chicken",1984,20861.57
meat,"Meat, chicken",1985,21774.959
meat,"Meat, chicken",1986,22869.302
meat,"Meat, chicken",1987,24545.918
meat,"Meat, chicken",1988,25491.08
meat,"Meat, chicken",1989,25863.051
meat,"Meat, chicken",1990,27184.885
meat,"Meat, chicken",1991,28202.998
meat,"Meat, chicken",1992,29335.752
meat,"Meat, chicken",1993,30831.975
meat,"Meat, chicken",1994,32078.838
meat,"Meat, chicken",1995,34087.381
meat,"Meat, chicken",1996,34994.325
meat,"Meat, chicken",1997,36368.946
meat,"Meat, chicken",1998,37102.236
meat,"Meat, chicken",1999,38954.106
meat,"Meat, chicken",2000,40554.848
meat,"Meat, chicken",2001,42005.596
meat,"Meat, chicken",2002,43664.254
meat,"Meat, chicken",2003,44363.159
meat,"Meat, chicken",2004,45278.33
meat,"Meat, chicken",2005,47461.643
meat,"Meat, chicken",2006,48259.122
meat,"Meat, chicken",2007,51167.523
meat,"Meat, chicken",2008,53571.315
meat,"Meat, chicken",2009,55394.628
meat,"Meat, chicken",2010,56643.368
meat,"Meat, chicken",2011,58260.235
meat,"Meat, chicken",2012,59489.556
meat,"Meat, chicken",2013,60408.983
meat,"Meat, chicken",2014,61827.376
meat,"Meat, chicken",2015,63814.249
meat,"Meat, chicken",2016,65326.782
meat,"Meat, chicken",2017,66708.647
meat,"Meat, chicken",2018,68785.221
meat,"Meat, duck",1961,226.713
meat,"Meat, duck",1962,235.197
meat,"Meat, duck",1963,250.608
meat,"Meat, duck",1964,258.949
meat,"Meat, duck",1965,272.838
meat,"Meat, duck",1966,283.829
meat,"Meat, duck",1967,293.365
meat,"Meat, duck",1968,304.553
meat,"Meat, duck",1969,315.31
meat,"Meat, duck",1970,336.631
meat,"Meat, duck",1971,350.875
meat,"Meat, duck",1972,358.449
meat,"Meat, duck",1973,373.609
meat,"Meat, duck",1974,386.389
meat,"Meat, duck",1975,381.434
meat,"Meat, duck",1976,396.43
meat,"Meat, duck",1977,416.215
meat,"Meat, duck",1978,441.339
meat,"Meat, duck",1979,479.383
meat,"Meat, duck",1980,479.245
meat,"Meat, duck",1981,502.921
meat,"Meat, duck",1982,523.895
meat,"Meat, duck",1983,545.569
meat,"Meat, duck",1984,560.407
meat,"Meat, duck",1985,583.083
meat,"Meat, duck",1986,629.61
meat,"Meat, duck",1987,687.256
meat,"Meat, duck",1988,730.986
meat,"Meat, duck",1989,749.728
meat,"Meat, duck",1990,812.04
meat,"Meat, duck",1991,924.383
meat,"Meat, duck",1992,1024.252
meat,"Meat, duck",1993,1190.739
meat,"Meat, duck",1994,1294.263
meat,"Meat, duck",1995,1449.338
meat,"Meat, duck",1996,1508.791
meat,"Meat, duck",1997,1623.025
meat,"Meat, duck",1998,1746.135
meat,"Meat, duck",1999,2051.294
meat,"Meat, duck",2000,1968.545
meat,"Meat, duck",2001,2031.932
meat,"Meat, duck",2002,1998.405
meat,"Meat, duck",2003,2075.858
meat,"Meat, duck",2004,2107.17
meat,"Meat, duck",2005,2290.327
meat,"Meat, duck",2006,2273.089
meat,"Meat, duck",2007,2440.23
meat,"Meat, duck",2008,2576.155
meat,"Meat, duck",2009,2598.656
meat,"Meat, duck",2010,2685.59
meat,"Meat, duck",2011,2784.859
meat,"Meat, duck",2012,2902.224
meat,"Meat, duck",2013,2881.886
meat,"Meat, duck",2014,2831.009
meat,"Meat, duck",2015,2922.409
meat,"Meat, duck",2016,2975.19
meat,"Meat, duck",2017,2939.492
meat,"Meat, duck",2018,2989.098
meat,"Meat, game",1991,0.757108
meat,"Meat, game",1992,0.836588
meat,"Meat, game",1993,0.770795
meat,"Meat, game",1994,0.79631
meat,"Meat, game",1995,0.725423
meat,"Meat, game",1996,0.660725
meat,"Meat, game",1997,0.760728
meat,"Meat, game",1998,0.797963
meat,"Meat, game",1999,0.823441
meat,"Meat, game",2000,0.838364
meat,"Meat, game",2001,0.831939
meat,"Meat, game",2002,0.818993
meat,"Meat, game",2003,0.781721
meat,"Meat, game",2004,0.848454
meat,"Meat, game",2005,0.861374
meat,"Meat, game",2006,0.677999
meat,"Meat, game",2007,0.899269
meat,"Meat, game",2008,0.81166
meat,"Meat, game",2009,0.664267
meat,"Meat, game",2010,0.656519
meat,"Meat, game",2011,0.687328
meat,"Meat, game",2012,0.729491
meat,"Meat, game",2013,0.591838
meat,"Meat, game",2014,0.627753
meat,"Meat, game",2015,0.643245
meat,"Meat, game",2016,0.661466
meat,"Meat, game",2017,0.628542
meat,"Meat, game",2018,0.595998
meat,"Meat, goat",1961,102.919701
meat,"Meat, goat",1962,104.626745
meat,"Meat, goat",1963,105.240845
meat,"Meat, goat",1964,106.687125
meat,"Meat, goat",1965,108.978029
meat,"Meat, goat",1966,111.484322
meat,"Meat, goat",1967,112.804276
meat,"Meat, goat",1968,114.705523
meat,"Meat, goat",1969,117.289368
meat,"Meat, goat",1970,118.837457
meat,"Meat, goat",1971,122.130975
meat,"Meat, goat",1972,125.282673
meat,"Meat, goat",1973,128.288351
meat,"Meat, goat",1974,130.844209
meat,"Meat, goat",1975,135.994437
meat,"Meat, goat",1976,138.036723
meat,"Meat, goat",1977,142.205731
meat,"Meat, goat",1978,148.488512
meat,"Meat, goat",1979,152.412994
meat,"Meat, goat",1980,156.407034
meat,"Meat, goat",1981,161.721278
meat,"Meat, goat",1982,163.678164
meat,"Meat, goat",1983,169.991008
meat,"Meat, goat",1984,174.416591
meat,"Meat, goat",1985,179.990888
meat,"Meat, goat",1986,185.446777
meat,"Meat, goat",1987,201.412501
meat,"Meat, goat",1988,207.31314
meat,"Meat, goat",1989,218.774686
meat,"Meat, goat",1990,228.282931
meat,"Meat, goat",1991,234.070228
meat,"Meat, goat",1992,242.70336
meat,"Meat, goat",1993,246.886613
meat,"Meat, goat",1994,254.527264
meat,"Meat, goat",1995,272.337374
meat,"Meat, goat",1996,266.07921
meat,"Meat, goat",1997,283.014488
meat,"Meat, goat",1998,299.857565
meat,"Meat, goat",1999,317.390537
meat,"Meat, goat",2000,319.370159
meat,"Meat, goat",2001,321.628426
meat,"Meat, goat",2002,325.986494
meat,"Meat, goat",2003,345.356858
meat,"Meat, goat",2004,369.884824
meat,"Meat, goat",2005,383.24619
meat,"Meat, goat",2006,384.956543
meat,"Meat, goat",2007,391.75933
meat,"Meat, goat",2008,400.921838
meat,"Meat, goat",2009,419.291269
meat,"Meat, goat",2010,426.317144
meat,"Meat, goat",2011,429.413577
meat,"Meat, goat",2012,434.691552
meat,"Meat, goat",2013,443.075261
meat,"Meat, goat",2014,453.671378
meat,"Meat, goat",2015,462.885192
meat,"Meat, goat",2016,475.381822
meat,"Meat, goat",2017,470.25028
meat,"Meat, goat",2018,479.172097
meat,"Meat, goose and guinea fowl",1961,44.488
meat,"Meat, goose and guinea fowl",1962,46.795
meat,"Meat, goose and guinea fowl",1963,46.957
meat,"Meat, goose and guinea fowl",1964,49.962
meat,"Meat, goose and guinea fowl",1965,54.319
meat,"Meat, goose and guinea fowl",1966,56.055
meat,"Meat, goose and guinea fowl",1967,60.017
meat,"Meat, goose and guinea fowl",1968,64.517
meat,"Meat, goose and guinea fowl",1969,63.131
meat,"Meat, goose and guinea fowl",1970,67.737
meat,"Meat, goose and guinea fowl",1971,74.618
meat,"Meat, goose and guinea fowl",1972,69.637
meat,"Meat, goose and guinea fowl",1973,71.101
meat,"Meat, goose and guinea fowl",1974,70.99
meat,"Meat, goose and guinea fowl",1975,74.563
meat,"Meat, goose and guinea fowl",1976,73.413
meat,"Meat, goose and guinea fowl",1977,75.473
meat,"Meat, goose and guinea fowl",1978,80.459
meat,"Meat, goose and guinea fowl",1979,82.214
meat,"Meat, goose and guinea fowl",1980,83.536
meat,"Meat, goose and guinea fowl",1981,86.164
meat,"Meat, goose and guinea fowl",1982,90.307
meat,"Meat, goose and guinea fowl",1983,93.742
meat,"Meat, goose and guinea fowl",1984,95.548
meat,"Meat, goose and guinea fowl",1985,95.26
meat,"Meat, goose and guinea fowl",1986,106.267
meat,"Meat, goose and guinea fowl",1987,118.422
meat,"Meat, goose and guinea fowl",1988,151.673
meat,"Meat, goose and guinea fowl",1989,158.217
meat,"Meat, goose and guinea fowl",1990,179.602
meat,"Meat, goose and guinea fowl",1991,216.231
meat,"Meat, goose and guinea fowl",1992,227.173
meat,"Meat, goose and guinea fowl",1993,254.672
meat,"Meat, goose and guinea fowl",1994,271.534
meat,"Meat, goose and guinea fowl",1995,375.293
meat,"Meat, goose and guinea fowl",1996,384.106
meat,"Meat, goose and guinea fowl",1997,418.451
meat,"Meat, goose and guinea fowl",1998,455.486
meat,"Meat, goose and guinea fowl",1999,471.547
meat,"Meat, goose and guinea fowl",2000,478.939
meat,"Meat, goose and guinea fowl",2001,477.465
meat,"Meat, goose and guinea fowl",2002,465.898
meat,"Meat, goose and guinea fowl",2003,482.883
meat,"Meat, goose and guinea fowl",2004,490.806
meat,"Meat, goose and guinea fowl",2005,526.276
meat,"Meat, goose and guinea fowl",2006,520.864
meat,"Meat, goose and guinea fowl",2007,571.435
meat,"Meat, goose and guinea fowl",2008,586.229
meat,"Meat, goose and guinea fowl",2009,620.279
meat,"Meat, goose and guinea fowl",2010,633.898
meat,"Meat, goose and guinea fowl",2011,653.741
meat,"Meat, goose and guinea fowl",2012,696.104
meat,"Meat, goose and guinea fowl",2013,687.501
meat,"Meat, goose and guinea fowl",2014,699.895
meat,"Meat, goose and guinea fowl",2015,643.059
meat,"Meat, goose and guinea fowl",2016,662.399
meat,"Meat, goose and guinea fowl",2017,705.405
meat,"Meat, goose and guinea fowl",2018,691.325
meat,"Meat, horse",1961,3.070964
meat,"Meat, horse",1962,3.011027
meat,"Meat, horse",1963,3.004979
meat,"Meat, horse",1964,3.171073
meat,"Meat, horse",1965,3.04218
meat,"Meat, horse",1966,2.970305
meat,"Meat, horse",1967,2.929556
meat,"Meat, horse",1968,3.049182
meat,"Meat, horse",1969,3.074561
meat,"Meat, horse",1970,3.066567
meat,"Meat, horse",1971,3.03246
meat,"Meat, horse",1972,3.050209
meat,"Meat, horse",1973,3.091764
meat,"Meat, horse",1974,2.818583
meat,"Meat, horse",1975,2.940337
meat,"Meat, horse",1976,3.174995
meat,"Meat, horse",1977,3.114395
meat,"Meat, horse",1978,3.202272
meat,"Meat, horse",1979,3.108438
meat,"Meat, horse",1980,2.865611
meat,"Meat, horse",1981,2.8407
meat,"Meat, horse",1982,2.659156
meat,"Meat, horse",1983,2.6177
meat,"Meat, horse",1984,2.722388
meat,"Meat, horse",1985,2.750526
meat,"Meat, horse",1986,2.650492
meat,"Meat, horse",1987,2.740882
meat,"Meat, horse",1988,2.755635
meat,"Meat, horse",1989,2.80953
meat,"Meat, horse",1990,2.867423
meat,"Meat, horse",1991,3.007396
meat,"Meat, horse",1992,4.025633
meat,"Meat, horse",1993,3.752501
meat,"Meat, horse",1994,4.168208
meat,"Meat, horse",1995,4.330433
meat,"Meat, horse",1996,4.768955
meat,"Meat, horse",1997,4.709662
meat,"Meat, horse",1998,4.631221
meat,"Meat, horse",1999,4.766677
meat,"Meat, horse",2000,4.829421
meat,"Meat, horse",2001,5.036462
meat,"Meat, horse",2002,4.859416
meat,"Meat, horse",2003,4.87125
meat,"Meat, horse",2004,4.865373
meat,"Meat, horse",2005,4.830932
meat,"Meat, horse",2006,4.791667
meat,"Meat, horse",2007,4.708919
meat,"Meat, horse",2008,4.679767
meat,"Meat, horse",2009,4.698616
meat,"Meat, horse",2010,4.597205
meat,"Meat, horse",2011,4.714874
meat,"Meat, horse",2012,4.786319
meat,"Meat, horse",2013,4.677134
meat,"Meat, horse",2014,4.806414
meat,"Meat, horse",2015,4.757047
meat,"Meat, horse",2016,4.783417
meat,"Meat, horse",2017,5.041595
meat,"Meat, horse",2018,5.045488
meat,"Meat, mule",1961,0.07
meat,"Meat, mule",1962,0.0838
meat,"Meat, mule",1963,0.0885
meat,"Meat, mule",1964,0.0952
meat,"Meat, mule",1965,0.0957
