Year,Flux into atmosphere,Sink/source type,Reported value,Units,Value
1964,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.15
1965,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.15
1966,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.16
1967,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.17
1968,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.18
1969,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.19
1970,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.2
1971,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.21
1972,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.22
1973,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.23
1974,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.23
1975,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.23
1976,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.24
1977,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.25
1978,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.26
1979,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.27
1980,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.26
1981,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.26
1982,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.26
1983,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.26
1984,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.27
1985,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.27
1986,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.28
1987,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.29
1988,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.3
1989,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.3
1990,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.31
1991,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.32
1992,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.31
1993,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.31
1994,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.31
1995,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.32
1996,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.33
1997,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.33
1998,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.33
1999,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.33
2000,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.34
2001,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.35
2002,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.35
2003,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.37
2004,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.39
2005,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.4
2006,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.41
2007,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.43
2008,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.44
2009,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.43
2010,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.45
2011,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.47
2012,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.47
2013,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.48
2014,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.48
2015,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.48
2016,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.48
2017,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.49
2018,source,fossil fuel and industry,standard deviation,Pg C yr-1,0.5
1959,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1960,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1961,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1962,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1963,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1964,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1965,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1966,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1967,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1968,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1969,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1970,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1971,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1972,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1973,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1974,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1975,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1976,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1977,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1978,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1979,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1980,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1981,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1982,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1983,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1984,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1985,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1986,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1987,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1988,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1989,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1990,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1991,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1992,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1993,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1994,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1995,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1996,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1997,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1998,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1999,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2000,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2001,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2002,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2003,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2004,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2005,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2006,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2007,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2008,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2009,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2010,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2011,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2012,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2013,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2014,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2015,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2016,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2017,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
2018,source,land-use change emissions,standard deviation,Pg C yr-1,0.7
1959,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1960,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1961,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1962,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1963,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1964,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1965,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1966,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1967,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1968,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1969,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1970,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1971,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1972,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1973,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1974,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1975,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1976,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1977,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1978,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1979,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1980,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1981,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1982,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1983,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1984,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1985,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1986,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1987,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1988,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1989,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1990,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1991,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1992,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1993,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1994,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1995,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1996,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1997,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1998,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1999,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2000,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2001,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2002,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2003,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2004,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2005,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2006,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2007,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2008,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2009,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2010,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2011,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2012,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2013,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2014,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2015,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2016,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2017,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
2018,source,atmospheric growth,standard deviation,Pg C yr-1,0.2
1959,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1960,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1961,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1962,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1963,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1964,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1965,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1966,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1967,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1968,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1969,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1970,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1971,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1972,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1973,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1974,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1975,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1976,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1977,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1978,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1979,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1980,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1981,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1982,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1983,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1984,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1985,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1986,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1987,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1988,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1989,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1990,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1991,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1992,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1993,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1994,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1995,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1996,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1997,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1998,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1999,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2000,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2001,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2002,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2003,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2004,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2005,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2006,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2007,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2008,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2009,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2010,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2011,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2012,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2013,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2014,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2015,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2016,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2017,sink,ocean sink,standard deviation,Pg C yr-1,0.5
2018,sink,ocean sink,standard deviation,Pg C yr-1,0.5
1959,sink,land sink,standard deviation,Pg C yr-1,0.9
1960,sink,land sink,standard deviation,Pg C yr-1,0.9
1961,sink,land sink,standard deviation,Pg C yr-1,0.9
1962,sink,land sink,standard deviation,Pg C yr-1,0.9
1963,sink,land sink,standard deviation,Pg C yr-1,0.9
1964,sink,land sink,standard deviation,Pg C yr-1,0.9
1965,sink,land sink,standard deviation,Pg C yr-1,0.9
1966,sink,land sink,standard deviation,Pg C yr-1,0.9
1967,sink,land sink,standard deviation,Pg C yr-1,0.9
1968,sink,land sink,standard deviation,Pg C yr-1,0.9
1969,sink,land sink,standard deviation,Pg C yr-1,0.9
1970,sink,land sink,standard deviation,Pg C yr-1,0.9
1971,sink,land sink,standard deviation,Pg C yr-1,0.9
1972,sink,land sink,standard deviation,Pg C yr-1,0.9
1973,sink,land sink,standard deviation,Pg C yr-1,0.9
1974,sink,land sink,standard deviation,Pg C yr-1,0.9
1975,sink,land sink,standard deviation,Pg C yr-1,0.9
1976,sink,land sink,standard deviation,Pg C yr-1,0.9
1977,sink,land sink,standard deviation,Pg C yr-1,0.9
1978,sink,land sink,standard deviation,Pg C yr-1,0.9
1979,sink,land sink,standard deviation,Pg C yr-1,0.9
1980,sink,land sink,standard deviation,Pg C yr-1,0.9
1981,sink,land sink,standard deviation,Pg C yr-1,0.9
1982,sink,land sink,standard deviation,Pg C yr-1,0.9
1983,sink,land sink,standard deviation,Pg C yr-1,0.9
1984,sink,land sink,standard deviation,Pg C yr-1,0.9
1985,sink,land sink,standard deviation,Pg C yr-1,0.9
1986,sink,land sink,standard deviation,Pg C yr-1,0.9
1987,sink,land sink,standard deviation,Pg C yr-1,0.9
1988,sink,land sink,standard deviation,Pg C yr-1,0.9
1989,sink,land sink,standard deviation,Pg C yr-1,0.9
1990,sink,land sink,standard deviation,Pg C yr-1,0.9
1991,sink,land sink,standard deviation,Pg C yr-1,0.9
1992,sink,land sink,standard deviation,Pg C yr-1,0.9
1993,sink,land sink,standard deviation,Pg C yr-1,0.9
1994,sink,land sink,standard deviation,Pg C yr-1,0.9
1995,sink,land sink,standard deviation,Pg C yr-1,0.9
1996,sink,land sink,standard deviation,Pg C yr-1,0.9
1997,sink,land sink,standard deviation,Pg C yr-1,0.9
1998,sink,land sink,standard deviation,Pg C yr-1,0.9
1999,sink,land sink,standard deviation,Pg C yr-1,0.9
2000,sink,land sink,standard deviation,Pg C yr-1,0.9
2001,sink,land sink,standard deviation,Pg C yr-1,0.9
2002,sink,land sink,standard deviation,Pg C yr-1,0.9
2003,sink,land sink,standard deviation,Pg C yr-1,0.9
2004,sink,land sink,standard deviation,Pg C yr-1,0.9
2005,sink,land sink,standard deviation,Pg C yr-1,0.9
2006,sink,land sink,standard deviation,Pg C yr-1,0.9
2007,sink,land sink,standard deviation,Pg C yr-1,0.9
2008,sink,land sink,standard deviation,Pg C yr-1,0.9
2009,sink,land sink,standard deviation,Pg C yr-1,0.9
2010,sink,land sink,standard deviation,Pg C yr-1,0.9
2011,sink,land sink,standard deviation,Pg C yr-1,0.9
2012,sink,land sink,standard deviation,Pg C yr-1,0.9
2013,sink,land sink,standard deviation,Pg C yr-1,0.9
2014,sink,land sink,standard deviation,Pg C yr-1,0.9
2015,sink,land sink,standard deviation,Pg C yr-1,0.9
2016,sink,land sink,standard deviation,Pg C yr-1,0.9
2017,sink,land sink,standard deviation,Pg C yr-1,0.9
2018,sink,land sink,standard deviation,Pg C yr-1,0.9
1959,source,budget imbalance,standard deviation,Pg C yr-1,
1960,source,budget imbalance,standard deviation,Pg C yr-1,
1961,source,budget imbalance,standard deviation,Pg C yr-1,
1962,source,budget imbalance,standard deviation,Pg C yr-1,
1963,source,budget imbalance,standard deviation,Pg C yr-1,
1964,source,budget imbalance,standard deviation,Pg C yr-1,
1965,source,budget imbalance,standard deviation,Pg C yr-1,
1966,source,budget imbalance,standard deviation,Pg C yr-1,
1967,source,budget imbalance,standard deviation,Pg C yr-1,
1968,source,budget imbalance,standard deviation,Pg C yr-1,
1969,source,budget imbalance,standard deviation,Pg C yr-1,
1970,source,budget imbalance,standard deviation,Pg C yr-1,
1971,source,budget imbalance,standard deviation,Pg C yr-1,
1972,source,budget imbalance,standard deviation,Pg C yr-1,
1973,source,budget imbalance,standard deviation,Pg C yr-1,
1974,source,budget imbalance,standard deviation,Pg C yr-1,
1975,source,budget imbalance,standard deviation,Pg C yr-1,
1976,source,budget imbalance,standard deviation,Pg C yr-1,
1977,source,budget imbalance,standard deviation,Pg C yr-1,
1978,source,budget imbalance,standard deviation,Pg C yr-1,
1979,source,budget imbalance,standard deviation,Pg C yr-1,
1980,source,budget imbalance,standard deviation,Pg C yr-1,
1981,source,budget imbalance,standard deviation,Pg C yr-1,
1982,source,budget imbalance,standard deviation,Pg C yr-1,
1983,source,budget imbalance,standard deviation,Pg C yr-1,
1984,source,budget imbalance,standard deviation,Pg C yr-1,
1985,source,budget imbalance,standard deviation,Pg C yr-1,
1986,source,budget imbalance,standard deviation,Pg C yr-1,
1987,source,budget imbalance,standard deviation,Pg C yr-1,
1988,source,budget imbalance,standard deviation,Pg C yr-1,
1989,source,budget imbalance,standard deviation,Pg C yr-1,
1990,source,budget imbalance,standard deviation,Pg C yr-1,
1991,source,budget imbalance,standard deviation,Pg C yr-1,
1992,source,budget imbalance,standard deviation,Pg C yr-1,
1993,source,budget imbalance,standard deviation,Pg C yr-1,
1994,source,budget imbalance,standard deviation,Pg C yr-1,
1995,source,budget imbalance,standard deviation,Pg C yr-1,
1996,source,budget imbalance,standard deviation,Pg C yr-1,
1997,source,budget imbalance,standard deviation,Pg C yr-1,
1998,source,budget imbalance,standard deviation,Pg C yr-1,
1999,source,budget imbalance,standard deviation,Pg C yr-1,
2000,source,budget imbalance,standard deviation,Pg C yr-1,
2001,source,budget imbalance,standard deviation,Pg C yr-1,
2002,source,budget imbalance,standard deviation,Pg C yr-1,
2003,source,budget imbalance,standard deviation,Pg C yr-1,
2004,source,budget imbalance,standard deviation,Pg C yr-1,
2005,source,budget imbalance,standard deviation,Pg C yr-1,
2006,source,budget imbalance,standard deviation,Pg C yr-1,
2007,source,budget imbalance,standard deviation,Pg C yr-1,
2008,source,budget imbalance,standard deviation,Pg C yr-1,
2009,source,budget imbalance,standard deviation,Pg C yr-1,
2010,source,budget imbalance,standard deviation,Pg C yr-1,
2011,source,budget imbalance,standard deviation,Pg C yr-1,
2012,source,budget imbalance,standard deviation,Pg C yr-1,
2013,source,budget imbalance,standard deviation,Pg C yr-1,
2014,source,budget imbalance,standard deviation,Pg C yr-1,
2015,source,budget imbalance,standard deviation,Pg C yr-1,
2016,source,budget imbalance,standard deviation,Pg C yr-1,
2017,source,budget imbalance,standard deviation,Pg C yr-1,
2018,source,budget imbalance,standard deviation,Pg C yr-1,
1959,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.71
1960,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.71
1961,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.71
1962,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.71
1963,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.71
1964,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.72
1965,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.72
1966,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.72
1967,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.72
1968,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.72
1969,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.72
1970,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.73
1971,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.73
1972,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.73
1973,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.74
1974,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.74
1975,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.74
1976,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.74
1977,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.74
1978,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.75
1979,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.75
1980,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.75
1981,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.75
1982,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.75
1983,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.75
1984,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.75
1985,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.75
1986,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.75
1987,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.76
1988,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.76
1989,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.76
1990,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.77
1991,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.77
1992,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.76
1993,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.77
1994,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.77
1995,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.77
1996,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.77
1997,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.77
1998,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.77
1999,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.78
2000,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.78
2001,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.78
2002,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.78
2003,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.79
2004,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.8
2005,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.81
2006,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.81
2007,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.82
2008,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.82
2009,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.82
2010,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.83
2011,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.84
2012,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.85
2013,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.85
2014,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.85
2015,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.85
2016,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.85
2017,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.85
2018,source,anthropogenic emissions,standard deviation,Pg C yr-1,0.86
1959,sink,natural sink,standard deviation,Pg C yr-1,1.03
1960,sink,natural sink,standard deviation,Pg C yr-1,1.03
1961,sink,natural sink,standard deviation,Pg C yr-1,1.03
1962,sink,natural sink,standard deviation,Pg C yr-1,1.03
1963,sink,natural sink,standard deviation,Pg C yr-1,1.03
1964,sink,natural sink,standard deviation,Pg C yr-1,1.03
1965,sink,natural sink,standard deviation,Pg C yr-1,1.03
1966,sink,natural sink,standard deviation,Pg C yr-1,1.03
1967,sink,natural sink,standard deviation,Pg C yr-1,1.03
1968,sink,natural sink,standard deviation,Pg C yr-1,1.03
1969,sink,natural sink,standard deviation,Pg C yr-1,1.03
1970,sink,natural sink,standard deviation,Pg C yr-1,1.03
1971,sink,natural sink,standard deviation,Pg C yr-1,1.03
1972,sink,natural sink,standard deviation,Pg C yr-1,1.03
1973,sink,natural sink,standard deviation,Pg C yr-1,1.03
1974,sink,natural sink,standard deviation,Pg C yr-1,1.03
1975,sink,natural sink,standard deviation,Pg C yr-1,1.03
1976,sink,natural sink,standard deviation,Pg C yr-1,1.03
1977,sink,natural sink,standard deviation,Pg C yr-1,1.03
1978,sink,natural sink,standard deviation,Pg C yr-1,1.03
1979,sink,natural sink,standard deviation,Pg C yr-1,1.03
1980,sink,natural sink,standard deviation,Pg C yr-1,1.03
1981,sink,natural sink,standard deviation,Pg C yr-1,1.03
1982,sink,natural sink,standard deviation,Pg C yr-1,1.03
1983,sink,natural sink,standard deviation,Pg C yr-1,1.03
1984,sink,natural sink,standard deviation,Pg C yr-1,1.03
1985,sink,natural sink,standard deviation,Pg C yr-1,1.03
1986,sink,natural sink,standard deviation,Pg C yr-1,1.03
1987,sink,natural sink,standard deviation,Pg C yr-1,1.03
1988,sink,natural sink,standard deviation,Pg C yr-1,1.03
1989,sink,natural sink,standard deviation,Pg C yr-1,1.03
