Country,Wetland area in 1700 (Mkm2),Wetland area in 2020 (Mkm2),Wetland loss (Mkm2),Percentage loss in country (%),Perc of global losses contributed by country (%)
Saudi Arabia,0.036,0.032,0.004,10.0,0.09
Cuba,0.022,0.018,0.003,15.9,0.09
Zimbabwe,0.022,0.018,0.003,15.7,0.09
Algeria,0.060,0.057,0.003,5.1,0.08
Guinea,0.015,0.012,0.003,18.9,0.08
Sierra Leone,0.013,0.010,0.003,21.9,0.07
Somalia,0.050,0.047,0.003,5.4,0.07
Ghana,0.014,0.011,0.002,18.0,0.07
Sri Lanka,0.011,0.009,0.002,22.1,0.07
Uruguay,0.012,0.009,0.002,20.7,0.07
Tunisia,0.017,0.015,0.002,14.3,0.06
Senegal,0.026,0.024,0.002,7.6,0.05
Côte d’Ivoire,0.014,0.012,0.002,13.1,0.05
Ecuador,0.022,0.020,0.002,8.3,0.05
Chad,0.081,0.079,0.002,2.2,0.05
Burkina Faso,0.031,0.030,0.001,4.4,0.004
Malawi,0.016,0.014,0.001,8.6,0.04
Niger,0.063,0.0622,0.001,2.1,0.04
Chile,0.042,0.041,0.001,2.9,0.03
Kenya,0.035,0.034,0.001,3.2,0.03
Mauritania,0.025,0.034,0.001,3.1,0.03
Cameroon,0.024,0.023,0.001,4.5,0.03
Botswana,0.045,0.044,0.001,2.3,0.03
Guyana,0.021,0.020,0.001,4.4,0.03
Honduras,0.010,0.009,0.001,9.1,0.02
South Sudan,0.101,0.100,0.001,0.8,0.02
Nicaragua,0.015,0.014,0.001,5.1,0.02
Paraguay,0.053,0.052,0.001,1.3,0.02
Bolivia,0.145,0.144,0.001,0.5,0.02
Mozambique,0.045,0.045,0.001,1.3,0.02
Republic of Congo,0.059,0.058,0.001,0.9,0.01
Namibia,0.047,0.046,0.000,0.9,0.01
Central African Republic,0.022,0.022,0.000,1.2,0.01
Libya,0.029,0.029,0.000,0.7,0.01
Suriname,0.016,0.015,0.000,1.0,<0.01
Gabon,0.018,0.018,0.000,0.8,<0.01
Iceland,0.017,0.017,0.000,0.5,<0.01
