category,year,population,indiv_mass_kg,biomass_kg
cattle,2006,1391785786.0,1000,1391785786000.0
cattle,2007,1402914852.0,1000,1402914852000.0
cattle,2008,1415551742.0,1000,1415551742000.0
cattle,2009,1410206651.9999998,1000,1410206651999.9998
cattle,2010,1411752780.0,1000,1411752780000.0
cattle,2011,1415989982.0,1000,1415989982000.0
cattle,2012,1427429001.9999998,1000,1427429001999.9998
cattle,2013,1432055806.0,1000,1432055806000.0
cattle,2014,1439899608.0,1000,1439899608000.0
cattle,2015,1449084838.0,1000,1449084838000.0
cattle,2016,1468399225.0,1000,1468399225000.0
cattle,2017,1473287127.0,1000,1473287127000.0
cattle,2018,1489744504.0,1000,1489744504000.0
chicken,1961,3906690000.0,3,11720070000.0
chicken,1962,4048728000.0,3,12146184000.0
chicken,1963,4163130999.9999995,3,12489392999.999998
chicken,1964,4231220999.9999995,3,12693662999.999998
chicken,1965,4349674000.0,3,13049022000.0
chicken,1966,4445629000.0,3,13336887000.0
chicken,1967,4666510999.999999,3,13999532999.999996
chicken,1968,4823170000.0,3,14469510000.0
chicken,1969,4988438000.0,3,14965314000.0
chicken,1970,5209733000.0,3,15629199000.0
chicken,1971,5381140000.0,3,16143420000.0
chicken,1972,5538868000.0,3,16616604000.0
chicken,1973,5662376000.0,3,16987128000.0
chicken,1974,5803950000.0,3,17411850000.0
chicken,1975,5893257000.0,3,17679771000.0
chicken,1976,6061596000.0,3,18184788000.0
chicken,1977,6258969000.0,3,18776907000.0
chicken,1978,6587621999.999999,3,19762865999.999996
chicken,1979,6923979000.0,3,20771937000.0
chicken,1980,7218607000.0,3,21655821000.0
chicken,1981,7513928000.000001,3,22541784000.000004
chicken,1982,7748195000.0,3,23244585000.0
chicken,1983,7958785000.0,3,23876355000.0
chicken,1984,8274833000.000001,3,24824499000.000004
chicken,1985,8614186000.0,3,25842558000.0
chicken,1986,9059121000.0,3,27177363000.0
chicken,1987,9559725000.0,3,28679175000.0
chicken,1988,9931482000.0,3,29794446000.0
chicken,1989,10252775000.0,3,30758325000.0
chicken,1990,10620328000.000002,3,31860984000.000008
chicken,1991,11056223000.0,3,33168669000.0
chicken,1992,11442732000.0,3,34328196000.0
chicken,1993,11943645000.0,3,35830935000.0
chicken,1994,12495530000.0,3,37486590000.0
chicken,1995,12815558000.0,3,38446674000.0
chicken,1996,13488956000.0,3,40466868000.0
chicken,1997,14117511000.0,3,42352533000.0
chicken,1998,13141723000.0,3,39425169000.0
chicken,1999,13643219000.0,3,40929657000.0
chicken,2000,14391424000.0,3,43174272000.0
chicken,2001,14954283000.000002,3,44862849000.00001
chicken,2002,16118895000.0,3,48356685000.0
chicken,2003,16178760000.0,3,48536280000.0
chicken,2004,16742131000.000002,3,50226393000.00001
chicken,2005,17222996000.0,3,51668988000.0
chicken,2006,17592192000.0,3,52776576000.0
chicken,2007,18300491000.0,3,54901473000.0
chicken,2008,18969655000.0,3,56908965000.0
chicken,2009,19720796000.000004,3,59162388000.000015
chicken,2010,20244638000.0,3,60733914000.0
chicken,2011,19950281000.000004,3,59850843000.000015
chicken,2012,20489756000.0,3,61469268000.0
chicken,2013,20953583000.0,3,62860749000.0
chicken,2014,21118803000.0,3,63356409000.0
chicken,2015,21678752999.999996,3,65036258999.999985
chicken,2016,22826754000.0,3,68480262000.0
chicken,2017,23212565000.0,3,69637695000.0
chicken,2018,23707134000.0,3,71121402000.0
swine,1961,406180364.0,100,40618036400.0
swine,1962,422960866.0,100,42296086600.0
swine,1963,447860838.0,100,44786083800.0
swine,1964,459063275.0,100,45906327500.0
swine,1965,496424493.0,100,49642449300.0
swine,1966,510430408.0,100,51043040800.0
swine,1967,547590302.0,100,54759030200.0
swine,1968,547009258.9999999,100,54700925899.999985
swine,1969,537643813.0,100,53764381300.0
swine,1970,547231126.0,100,54723112600.0
swine,1971,618410886.0,100,61841088600.0
swine,1972,669138115.0000001,100,66913811500.000015
swine,1973,684133152.0,100,68413315200.0
swine,1974,687594781.0,100,68759478100.0
swine,1975,685650456.0,100,68565045600.0
swine,1976,682371515.0,100,68237151500.0
swine,1977,711244438.0,100,71124443800.0
swine,1978,737451088.9999999,100,73745108899.99998
swine,1979,764957041.0,100,76495704100.0
swine,1980,797777532.0000001,100,79777753200.00002
swine,1981,780626614.0,100,78062661400.0
swine,1982,769433705.9999999,100,76943370599.99998
swine,1983,776499380.0,100,77649938000.0
swine,1984,788162665.0000001,100,78816266500.00002
swine,1985,793467788.0,100,79346778800.0
swine,1986,825577345.0,100,82557734500.0
swine,1987,835829784.0,100,83582978400.0
swine,1988,829502334.0,100,82950233400.0
swine,1989,844211498.0,100,84421149800.0
swine,1990,849391422.0,100,84939142200.0
swine,1991,868743400.0,100,86874340000.0
swine,1992,870346815.0,100,87034681500.0
swine,1993,875234395.0,100,87523439500.0
swine,1994,883016275.0,100,88301627500.0
swine,1995,896218495.0,100,89621849500.0
swine,1996,910132598.0,100,91013259800.0
swine,1997,834867247.0,100,83486724700.0
swine,1998,870226225.0,100,87022622500.0
swine,1999,890250698.0,100,89025069800.0
swine,2000,898725258.0,100,89872525800.0
swine,2001,881945466.0,100,88194546600.0
swine,2002,892433390.0,100,89243339000.0
swine,2003,898609384.0,100,89860938400.0
swine,2004,892899926.9999999,100,89289992699.99998
swine,2005,904463989.0000001,100,90446398900.00002
swine,2006,925077886.9999999,100,92507788699.99998
swine,2007,919310394.0,100,91931039400.0
swine,2008,938736582.0,100,93873658200.0
swine,2009,968039061.0,100,96803906100.0
swine,2010,971952950.0,100,97195295000.0
swine,2011,973831300.9999999,100,97383130099.99998
swine,2012,983863280.0,100,98386328000.0
swine,2013,979279659.0,100,97927965900.0
swine,2014,989651393.0,100,98965139300.0
swine,2015,991318905.0000001,100,99131890500.00002
swine,2016,984822912.0,100,98482291200.0
swine,2017,970538517.0,100,97053851700.0
swine,2018,978332118.9999999,100,97833211899.99998
other poultry,1961,448388000.0,3,1345164000.0
other poultry,1962,429007000.0,3,1287021000.0
other poultry,1963,427044000.00000006,3,1281132000.0000002
other poultry,1964,428832000.0,3,1286496000.0
other poultry,1965,439981000.0,3,1319943000.0
other poultry,1966,460659000.0,3,1381977000.0
other poultry,1967,479073999.99999994,3,1437221999.9999998
other poultry,1968,462775999.99999994,3,1388327999.9999998
other poultry,1969,330846000.0,3,992538000.0
other poultry,1970,503085999.9999999,3,1509257999.9999995
other poultry,1971,540416000.0,3,1621248000.0
other poultry,1972,561884000.0,3,1685652000.0
other poultry,1973,590947000.0,3,1772841000.0
other poultry,1974,606535000.0,3,1819605000.0
other poultry,1975,604646000.0,3,1813938000.0
other poultry,1976,615192000.0,3,1845576000.0
other poultry,1977,640096000.0,3,1920288000.0
other poultry,1978,681406000.0000001,3,2044218000.0000005
other poultry,1979,727370000.0,3,2182110000.0
other poultry,1980,759653000.0,3,2278959000.0
other poultry,1981,780819000.0,3,2342457000.0
other poultry,1982,806272000.0,3,2418816000.0
other poultry,1983,833056000.0,3,2499168000.0
other poultry,1984,848563000.0000001,3,2545689000.0000005
other poultry,1985,886271999.9999999,3,2658815999.9999995
other poultry,1986,957918000.0000001,3,2873754000.0000005
other poultry,1987,1037508000.0,3,3112524000.0
other poultry,1988,1062227000.0000001,3,3186681000.0000005
other poultry,1989,1097524000.0,3,3292572000.0
other poultry,1990,1167620000.0,3,3502860000.0
other poultry,1991,1210150000.0,3,3630450000.0
other poultry,1992,1322114000.0,3,3966342000.0
other poultry,1993,1405500000.0,3,4216500000.0
other poultry,1994,1480663000.0,3,4441989000.0
other poultry,1995,1561528000.0000002,3,4684584000.000001
other poultry,1996,1614527999.9999998,3,4843583999.999999
other poultry,1997,1735790000.0,3,5207370000.0
other poultry,1998,1505502000.0,3,4516506000.0
other poultry,1999,1570835000.0,3,4712505000.0
other poultry,2000,1663341000.0000002,3,4990023000.000001
other poultry,2001,1716681000.0,3,5150043000.0
other poultry,2002,1837537000.0,3,5512611000.0
other poultry,2003,1794327000.0,3,5382981000.0
other poultry,2004,1839397000.0,3,5518191000.0
other poultry,2005,1877964000.0000005,3,5633892000.000002
other poultry,2006,1915860999.9999998,3,5747582999.999999
other poultry,2007,1866008000.0,3,5598024000.0
other poultry,2008,1980847000.0,3,5942541000.0
other poultry,2009,1983494000.0,3,5950482000.0
other poultry,2010,2066576000.0,3,6199728000.0
other poultry,2011,826105341.0,3,2478316023.0
other poultry,2012,1974727000.0000002,3,5924181000.000001
other poultry,2013,1939613999.9999998,3,5818841999.999999
other poultry,2014,1895170000.0,3,5685510000.0
other poultry,2015,1928768000.0,3,5786304000.0
other poultry,2016,1974697999.9999998,3,5924093999.999999
other poultry,2017,1963024000.0,3,5889072000.0
other poultry,2018,1985984000.0000002,3,5957952000.000001
other ruminants,1961,1431317336.0,100,143131733600.0
other ruminants,1962,1450156768.0,100,145015676800.0
other ruminants,1963,1459321806.9999998,100,145932180699.99997
other ruminants,1964,1475171296.0,100,147517129600.0
other ruminants,1965,1492676574.0,100,149267657400.0
other ruminants,1966,1508368943.0000002,100,150836894300.00003
other ruminants,1967,1530859315.0000002,100,153085931500.00003
other ruminants,1968,1555462662.0,100,155546266200.0
other ruminants,1969,1564782576.0,100,156478257600.0
other ruminants,1970,1548229004.0,100,154822900400.0
other ruminants,1971,1556850642.0,100,155685064200.0
other ruminants,1972,1532274820.0,100,153227482000.0
other ruminants,1973,1513884405.0,100,151388440500.0
other ruminants,1974,1536139132.0,100,153613913200.0
other ruminants,1975,1566403663.0,100,156640366300.0
other ruminants,1976,1578001187.0,100,157800118700.0
other ruminants,1977,1575145289.0,100,157514528900.0
other ruminants,1978,1606244784.0,100,160624478400.0
other ruminants,1979,1643146474.0000002,100,164314647400.00003
other ruminants,1980,1684491124.0,100,168449112400.0
other ruminants,1981,1711010597.9999998,100,171101059799.99997
other ruminants,1982,1740645420.0,100,174064542000.0
other ruminants,1983,1748445613.9999998,100,174844561399.99997
other ruminants,1984,1736614805.0,100,173661480500.0
other ruminants,1985,1741102176.9999998,100,174110217699.99997
other ruminants,1986,1767950429.0,100,176795042900.0
other ruminants,1987,1806066265.9999998,100,180606626599.99997
other ruminants,1988,1851567415.0,100,185156741500.0
other ruminants,1989,1916327518.0,100,191632751800.0
other ruminants,1990,1942770868.0,100,194277086800.0
other ruminants,1991,1938256765.0,100,193825676500.0
other ruminants,1992,1930074474.0,100,193007447400.0
other ruminants,1993,1896068800.0,100,189606880000.0
other ruminants,1994,1917798676.0,100,191779867600.0
other ruminants,1995,1917113599.0,100,191711359900.0
other ruminants,1996,1935832361.0,100,193583236100.0
other ruminants,1997,1902913217.0000002,100,190291321700.00003
other ruminants,1998,1932892531.0,100,193289253100.0
other ruminants,1999,1963854217.0,100,196385421700.0
other ruminants,2000,1989407098.0,100,198940709800.0
other ruminants,2001,1982225498.0,100,198222549800.0
other ruminants,2002,1988836394.9999998,100,198883639499.99997
other ruminants,2003,2016707668.0,100,201670766800.0
other ruminants,2004,2073002935.9999998,100,207300293599.99997
other ruminants,2005,2132086378.0,100,213208637800.0
other ruminants,2006,2142079553.0,100,214207955300.0
other ruminants,2007,2185816310.9999995,100,218581631099.99994
other ruminants,2008,2194900151.0,100,219490015100.0
other ruminants,2009,2210865882.0,100,221086588200.0
other ruminants,2010,2211241324.0,100,221124132400.0
other ruminants,2011,2246443797.0,100,224644379700.0
other ruminants,2012,2281845986.0000005,100,228184598600.00006
other ruminants,2013,2324961408.0,100,232496140800.0
other ruminants,2014,2334928315.0,100,233492831500.0
other ruminants,2015,2376679788.0000005,100,237667978800.00006
other ruminants,2016,2417032672.0,100,241703267200.0
other ruminants,2017,2434674073.0,100,243467407300.0
other ruminants,2018,2461983519.0000005,100,246198351900.00006
rodents,1961,118694000.0,3,356082000.0
rodents,1962,122234000.0,3,366702000.0
rodents,1963,314885999.99999994,3,944657999.9999998
rodents,1964,126502000.00000001,3,379506000.00000006
rodents,1965,128831000.00000001,3,386493000.00000006
rodents,1966,131535000.0,3,394605000.0
rodents,1967,134217000.00000001,3,402651000.00000006
rodents,1968,139636000.0,3,418908000.0
rodents,1969,145355000.0,3,436065000.0
rodents,1970,151460999.99999997,3,454382999.9999999
rodents,1971,159617000.00000003,3,478851000.0000001
rodents,1972,172100000.0,3,516300000.0
rodents,1973,177683000.0,3,533049000.0
rodents,1974,187344999.99999997,3,562034999.9999999
rodents,1975,193085999.99999997,3,579257999.9999999
rodents,1976,189098000.0,3,567294000.0
rodents,1977,192864999.99999997,3,578594999.9999999
rodents,1978,195674999.99999997,3,587024999.9999999
rodents,1979,207017000.0,3,621051000.0
rodents,1980,208394000.0,3,625182000.0
rodents,1981,210732999.99999997,3,632198999.9999999
rodents,1982,217748000.0,3,653244000.0
rodents,1983,222338000.0,3,667014000.0
rodents,1984,225341000.0,3,676023000.0
rodents,1985,227339000.0,3,682017000.0
rodents,1986,264935000.0,3,794805000.0
rodents,1987,305328000.0,3,915984000.0
rodents,1988,315974999.99999994,3,947924999.9999998
rodents,1989,315787999.99999994,3,947363999.9999998
rodents,1990,402538000.00000006,3,1207614000.0000002
rodents,1991,347008000.00000006,3,1041024000.0000002
rodents,1992,242206000.0,3,726618000.0
rodents,1993,249389000.0,3,748167000.0
rodents,1994,261403000.00000003,3,784209000.0000001
rodents,1995,223692999.99999997,3,671078999.9999999
rodents,1996,231344000.0,3,694032000.0
rodents,1997,225547000.0,3,676641000.0
rodents,1998,228852000.0,3,686556000.0
rodents,1999,235632000.0,3,706896000.0
rodents,2000,252429999.99999997,3,757289999.9999999
rodents,2001,265469000.0,3,796407000.0
rodents,2002,267615000.0,3,802845000.0
rodents,2003,271941000.0,3,815823000.0
rodents,2004,281157000.00000006,3,843471000.0000002
rodents,2005,286091000.0,3,858273000.0
rodents,2006,305177000.0,3,915531000.0
rodents,2007,304382000.0,3,913146000.0
rodents,2008,298441000.0,3,895323000.0
rodents,2009,303740000.0,3,911220000.0
rodents,2010,310013000.0,3,930039000.0
rodents,2011,315040000.0,3,945120000.0
rodents,2012,318158000.0,3,954474000.0
rodents,2013,319556000.0,3,958668000.0
rodents,2014,320487000.0,3,961461000.0
rodents,2015,315329000.0,3,945987000.0
rodents,2016,314625000.0,3,943875000.0
rodents,2017,327599000.00000006,3,982797000.0000002
rodents,2018,327138999.99999994,3,981416999.9999998
equines & camelids,1961,127817884.0,300,38345365200.0
equines & camelids,1962,125235842.00000001,300,37570752600.00001
equines & camelids,1963,123863135.0,300,37158940500.0
equines & camelids,1964,124736934.0,300,37421080200.0
equines & camelids,1965,126789376.0,300,38036812800.0
equines & camelids,1966,128521081.00000001,300,38556324300.00001
equines & camelids,1967,130270310.0,300,39081093000.0
equines & camelids,1968,133056613.0,300,39916983900.0
equines & camelids,1969,133497161.0,300,40049148300.0
equines & camelids,1970,135738111.0,300,40721433300.0
equines & camelids,1971,136841058.0,300,41052317400.0
equines & camelids,1972,136723911.00000003,300,41017173300.00001
equines & camelids,1973,136353680.0,300,40906104000.0
equines & camelids,1974,137513557.0,300,41254067100.0
equines & camelids,1975,138506738.0,300,41552021400.0
equines & camelids,1976,138149634.00000003,300,41444890200.00001
equines & camelids,1977,136532979.0,300,40959893700.0
equines & camelids,1978,136454350.0,300,40936305000.0
equines & camelids,1979,136476046.0,300,40942813800.0
equines & camelids,1980,135287734.0,300,40586320200.0
equines & camelids,1981,136397492.0,300,40919247600.0
equines & camelids,1982,138190367.0,300,41457110100.0
equines & camelids,1983,138625898.0,300,41587769400.0
equines & camelids,1984,137830616.0,300,41349184800.0
equines & camelids,1985,139099539.0,300,41729861700.0
equines & camelids,1986,140372262.0,300,42111678600.0
equines & camelids,1987,141450396.0,300,42435118800.0
equines & camelids,1988,142542272.0,300,42762681600.0
equines & camelids,1989,143811004.0,300,43143301200.0
equines & camelids,1990,144915609.00000003,300,43474682700.00001
equines & camelids,1991,145483523.00000003,300,43645056900.00001
equines & camelids,1992,145702431.0,300,43710729300.0
equines & camelids,1993,141319947.99999997,300,42395984399.99999
equines & camelids,1994,141938402.0,300,42581520600.0
equines & camelids,1995,142942244.0,300,42882673200.0
equines & camelids,1996,140797655.0,300,42239296500.0
equines & camelids,1997,138213128.0,300,41463938400.0
equines & camelids,1998,138610402.00000003,300,41583120600.00001
equines & camelids,1999,140307195.0,300,42092158500.0
equines & camelids,2000,140306889.0,300,42092066700.0
equines & camelids,2001,141287069.0,300,42386120700.0
equines & camelids,2002,141650815.0,300,42495244500.0
equines & camelids,2003,142811090.0,300,42843327000.0
equines & camelids,2004,144245094.0,300,43273528200.0
equines & camelids,2005,145766461.0,300,43729938300.0
equines & camelids,2006,146459411.0,300,43937823300.0
equines & camelids,2007,149566799.0,300,44870039700.0
equines & camelids,2008,149324742.0,300,44797422600.0
equines & camelids,2009,147033522.0,300,44110056600.0
equines & camelids,2010,145700386.99999997,300,43710116099.99999
equines & camelids,2011,146738854.0,300,44021656200.0
equines & camelids,2012,152831862.0,300,45849558600.0
equines & camelids,2013,153330385.0,300,45999115500.0
equines & camelids,2014,155216814.0,300,46565044200.0
equines & camelids,2015,158577693.99999997,300,47573308199.99999
equines & camelids,2016,160866109.0,300,48259832700.0
equines & camelids,2017,161102939.0,300,48330881700.0
equines & camelids,2018,161403639.0,300,48421091700.0
