Year,Reported value,Units,Value
2011,Mean,Millions of km2 (10^12 m2),24.71
2012,Mean,Millions of km2 (10^12 m2),17.84
2013,Mean,Millions of km2 (10^12 m2),21.04
2014,Mean,Millions of km2 (10^12 m2),20.94
2015,Mean,Millions of km2 (10^12 m2),25.64
2016,Mean,Millions of km2 (10^12 m2),20.71
2017,Mean,Millions of km2 (10^12 m2),17.42
2018,Mean,Millions of km2 (10^12 m2),22.88
2019,Mean,Millions of km2 (10^12 m2),9.34
2020,Mean,Millions of km2 (10^12 m2),23.54
1979,Maximum,Dobson Units,240.0
1980,Maximum,Dobson Units,215.0
1981,Maximum,Dobson Units,226.0
1982,Maximum,Dobson Units,199.0
1983,Maximum,Dobson Units,192.0
1984,Maximum,Dobson Units,184.0
1985,Maximum,Dobson Units,171.0
1986,Maximum,Dobson Units,185.0
1987,Maximum,Dobson Units,145.0
1988,Maximum,Dobson Units,184.0
1989,Maximum,Dobson Units,141.0
1990,Maximum,Dobson Units,148.0
1991,Maximum,Dobson Units,136.0
1992,Maximum,Dobson Units,126.0
1993,Maximum,Dobson Units,123.0
1994,Maximum,Dobson Units,108.0
1996,Maximum,Dobson Units,120.0
1997,Maximum,Dobson Units,117.0
1998,Maximum,Dobson Units,113.0
1999,Maximum,Dobson Units,116.0
2000,Maximum,Dobson Units,115.0
2001,Maximum,Dobson Units,109.0
2002,Maximum,Dobson Units,181.0
2003,Maximum,Dobson Units,133.0
2004,Maximum,Dobson Units,145.0
2005,Maximum,Dobson Units,129.0
2006,Maximum,Dobson Units,110.0
2007,Maximum,Dobson Units,130.0
2008,Maximum,Dobson Units,128.0
2009,Maximum,Dobson Units,133.0
2010,Maximum,Dobson Units,150.0
2011,Maximum,Dobson Units,124.0
2012,Maximum,Dobson Units,167.0
2013,Maximum,Dobson Units,150.0
2014,Maximum,Dobson Units,139.0
2015,Maximum,Dobson Units,141.0
2016,Maximum,Dobson Units,140.0
2017,Maximum,Dobson Units,163.0
2018,Maximum,Dobson Units,128.0
2019,Maximum,Dobson Units,179.0
2020,Maximum,Dobson Units,118.0
1979,Minimum,Dobson Units,212.0
1980,Minimum,Dobson Units,192.0
1981,Minimum,Dobson Units,195.0
1982,Minimum,Dobson Units,173.0
1983,Minimum,Dobson Units,154.0
1984,Minimum,Dobson Units,144.0
1985,Minimum,Dobson Units,132.0
1986,Minimum,Dobson Units,140.0
1987,Minimum,Dobson Units,109.0
1988,Minimum,Dobson Units,162.0
1989,Minimum,Dobson Units,108.0
1990,Minimum,Dobson Units,111.0
1991,Minimum,Dobson Units,94.0
1992,Minimum,Dobson Units,105.0
1993,Minimum,Dobson Units,104.0
1994,Minimum,Dobson Units,73.0
1996,Minimum,Dobson Units,103.0
1997,Minimum,Dobson Units,99.0
1998,Minimum,Dobson Units,86.0
1999,Minimum,Dobson Units,97.0
2000,Minimum,Dobson Units,89.0
2001,Minimum,Dobson Units,91.0
2002,Minimum,Dobson Units,131.0
2003,Minimum,Dobson Units,91.0
2004,Minimum,Dobson Units,102.0
2005,Minimum,Dobson Units,103.0
2006,Minimum,Dobson Units,84.0
2007,Minimum,Dobson Units,108.0
2008,Minimum,Dobson Units,101.0
2009,Minimum,Dobson Units,97.0
2010,Minimum,Dobson Units,119.0
2011,Minimum,Dobson Units,95.0
2012,Minimum,Dobson Units,124.0
2013,Minimum,Dobson Units,116.0
2014,Minimum,Dobson Units,114.0
2015,Minimum,Dobson Units,101.0
2016,Minimum,Dobson Units,111.0
2017,Minimum,Dobson Units,131.0
2018,Minimum,Dobson Units,102.0
2019,Minimum,Dobson Units,161.0
2020,Minimum,Dobson Units,94.0
1979,Mean,Dobson Units,225.04
1980,Mean,Dobson Units,202.96
1981,Mean,Dobson Units,209.46
1982,Mean,Dobson Units,184.96
1983,Mean,Dobson Units,172.88
1984,Mean,Dobson Units,163.58
1985,Mean,Dobson Units,146.54
1986,Mean,Dobson Units,157.81
1987,Mean,Dobson Units,123.04
1988,Mean,Dobson Units,170.96
1989,Mean,Dobson Units,127.0
1990,Mean,Dobson Units,124.15
1991,Mean,Dobson Units,118.96
1992,Mean,Dobson Units,114.31
1993,Mean,Dobson Units,112.6
1994,Mean,Dobson Units,92.35
1996,Mean,Dobson Units,108.77
1997,Mean,Dobson Units,108.81
1998,Mean,Dobson Units,98.77
1999,Mean,Dobson Units,102.88
2000,Mean,Dobson Units,98.69
2001,Mean,Dobson Units,100.92
2002,Mean,Dobson Units,157.42
2003,Mean,Dobson Units,108.69
2004,Mean,Dobson Units,123.46
2005,Mean,Dobson Units,113.85
2006,Mean,Dobson Units,98.38
2007,Mean,Dobson Units,116.23
2008,Mean,Dobson Units,114.0
2009,Mean,Dobson Units,107.92
2010,Mean,Dobson Units,128.54
2011,Mean,Dobson Units,106.5
2012,Mean,Dobson Units,139.31
2013,Mean,Dobson Units,132.65
2014,Mean,Dobson Units,128.62
2015,Mean,Dobson Units,117.15
2016,Mean,Dobson Units,123.15
2017,Mean,Dobson Units,141.85
2018,Mean,Dobson Units,111.77
2019,Mean,Dobson Units,167.04
2020,Mean,Dobson Units,102.62
