,year,type,consumption_EJ_yr,consumption_TW
66,1973,Geothermal/Biomass/Other,0.32,0.010172772
67,1974,Geothermal/Biomass/Other,0.34,0.010766903000000001
68,1975,Geothermal/Biomass/Other,0.34,0.010933316
69,1976,Geothermal/Biomass/Other,0.38,0.012194342
70,1977,Geothermal/Biomass/Other,0.41,0.012860671
71,1978,Geothermal/Biomass/Other,0.43,0.01362317
72,1979,Geothermal/Biomass/Other,0.46,0.014638341000000001
73,1980,Geothermal/Biomass/Other,0.49,0.01565801
74,1981,Geothermal/Biomass/Other,0.53,0.016853057
75,1982,Geothermal/Biomass/Other,0.61,0.019458008
76,1983,Geothermal/Biomass/Other,0.68,0.02156561
77,1984,Geothermal/Biomass/Other,0.76,0.024099308
78,1985,Geothermal/Biomass/Other,0.78,0.024664626000000002
79,1986,Geothermal/Biomass/Other,0.86,0.027133524
80,1987,Geothermal/Biomass/Other,0.92,0.029056072999999998
81,1988,Geothermal/Biomass/Other,0.94,0.029892431
82,1989,Geothermal/Biomass/Other,1.04,0.033084429
83,1990,Geothermal/Biomass/Other,1.17,0.037083197000000005
84,1991,Geothermal/Biomass/Other,1.22,0.038675642
85,1992,Geothermal/Biomass/Other,1.31,0.04151612
86,1993,Geothermal/Biomass/Other,1.35,0.042892124000000004
87,1994,Geothermal/Biomass/Other,1.4,0.044517969000000004
88,1995,Geothermal/Biomass/Other,1.46,0.046405093
89,1996,Geothermal/Biomass/Other,1.51,0.047737993
90,1997,Geothermal/Biomass/Other,1.61,0.051137204000000006
91,1998,Geothermal/Biomass/Other,1.69,0.053507327
92,1999,Geothermal/Biomass/Other,1.77,0.056243931
93,2000,Geothermal/Biomass/Other,1.86,0.058990225
94,2001,Geothermal/Biomass/Other,1.91,0.06044327099999999
95,2002,Geothermal/Biomass/Other,2.04,0.06458414400000001
96,2003,Geothermal/Biomass/Other,2.14,0.067766194
97,2004,Geothermal/Biomass/Other,2.29,0.072697978
98,2005,Geothermal/Biomass/Other,2.47,0.078164949
99,2006,Geothermal/Biomass/Other,2.61,0.082891997
100,2007,Geothermal/Biomass/Other,2.82,0.089374599
101,2008,Geothermal/Biomass/Other,3.0,0.095062157
102,2009,Geothermal/Biomass/Other,3.21,0.101705505
103,2010,Geothermal/Biomass/Other,3.57,0.11305352099999999
104,2011,Geothermal/Biomass/Other,3.72,0.11794266
105,2012,Geothermal/Biomass/Other,3.99,0.126643137
106,2013,Geothermal/Biomass/Other,4.28,0.135590333
107,2014,Geothermal/Biomass/Other,4.59,0.145503841
108,2015,Geothermal/Biomass/Other,4.9,0.155427073
109,2016,Geothermal/Biomass/Other,4.96,0.157259653
110,2017,Geothermal/Biomass/Other,5.25,0.166329683
111,2018,Geothermal/Biomass/Other,5.5,0.174476021
112,2019,Geothermal/Biomass/Other,5.81,0.184226138
113,1990,Biodiesel/Biogasoline,0.36993466799999997,0.011729063999999999
114,1991,Biodiesel/Biogasoline,0.39106944299999996,0.012399158
115,1992,Biodiesel/Biogasoline,0.383787207,0.012168268999999999
116,1993,Biodiesel/Biogasoline,0.40018257700000004,0.012688096999999999
117,1994,Biodiesel/Biogasoline,0.43241049600000003,0.013709908
118,1995,Biodiesel/Biogasoline,0.455188501,0.014432101999999999
119,1996,Biodiesel/Biogasoline,0.435734045,0.013815283999999999
120,1997,Biodiesel/Biogasoline,0.454577086,0.014412717
121,1998,Biodiesel/Biogasoline,0.45947614700000006,0.014568045
122,1999,Biodiesel/Biogasoline,0.46549944200000004,0.014759018
123,2000,Biodiesel/Biogasoline,0.45373875399999997,0.014386137
124,2001,Biodiesel/Biogasoline,0.452664764,0.014352085
125,2002,Biodiesel/Biogasoline,0.526314237,0.016687198
126,2003,Biodiesel/Biogasoline,0.593774895,0.018826091
127,2004,Biodiesel/Biogasoline,0.717657049,0.02275387
128,2005,Biodiesel/Biogasoline,0.858197442,0.027209811
129,2006,Biodiesel/Biogasoline,1.078316201,0.034188846
130,2007,Biodiesel/Biogasoline,1.419150237,0.044995252
131,2008,Biodiesel/Biogasoline,1.9433035840000001,0.061613937
132,2009,Biodiesel/Biogasoline,2.227135987,0.070613062
133,2010,Biodiesel/Biogasoline,2.56468733,0.081315388
134,2011,Biodiesel/Biogasoline,2.682544325,0.085052135
135,2012,Biodiesel/Biogasoline,2.752965681,0.08728489800000001
136,2013,Biodiesel/Biogasoline,2.9416694239999996,0.093267895
137,2014,Biodiesel/Biogasoline,3.153003214,0.099968396
138,2015,Biodiesel/Biogasoline,3.266634121,0.10357115199999999
139,2016,Biodiesel/Biogasoline,3.400199717,0.107805952
140,2017,Biodiesel/Biogasoline,3.499228845,0.110945747
141,2018,Biodiesel/Biogasoline,3.744187596,0.118712352
142,2019,Biodiesel/Biogasoline,3.967013688,0.125777225
143,1965,Coal,58.1,1.8422524359999999
144,1966,Coal,58.77,1.863244701
145,1967,Coal,57.82,1.8331932480000002
146,1968,Coal,58.68,1.8606254930000001
147,1969,Coal,60.48,1.917420705
148,1970,Coal,61.41,1.947082728
149,1971,Coal,61.08,1.936507715
150,1972,Coal,61.76,1.9580087869999998
151,1973,Coal,63.6,2.016622015
152,1974,Coal,63.66,2.018243005
153,1975,Coal,64.89,2.057334685
154,1976,Coal,67.28,2.133118137
155,1977,Coal,69.27,2.196216144
156,1978,Coal,70.05,2.220939425
157,1979,Coal,73.31,2.324309195
158,1980,Coal,75.09,2.380702808
159,1981,Coal,76.14,2.414040018
160,1982,Coal,76.98,2.440834568
161,1983,Coal,79.36,2.516233818
162,1984,Coal,82.8,2.625181717
163,1985,Coal,86.35,2.7377991739999996
164,1986,Coal,87.32,2.7686020589999996
165,1987,Coal,90.76,2.877519199
166,1988,Coal,93.47,2.963622558
167,1989,Coal,94.37,2.992023982
168,1990,Coal,93.22,2.95567259
169,1991,Coal,92.31,2.926883768
170,1992,Coal,91.98,2.916289794
171,1993,Coal,92.43,2.930576711
172,1994,Coal,92.78,2.9418119810000003
173,1995,Coal,93.44,2.962448676
174,1996,Coal,95.66,3.032962755
175,1997,Coal,95.5,3.0277909010000004
176,1998,Coal,94.89,3.0087002239999996
177,1999,Coal,95.48,3.027229384
178,2000,Coal,98.7,3.129430805
179,2001,Coal,100.27,3.17910378
180,2002,Coal,104.2,3.303761355
181,2003,Coal,113.39,3.595033007
182,2004,Coal,121.19,3.842470867
183,2005,Coal,130.21,4.128558149
184,2006,Coal,137.05,4.345412719
185,2007,Coal,144.8,4.591151919
186,2008,Coal,146.77,4.6535704419999995
187,2009,Coal,144.53,4.5825923280000005
188,2010,Coal,151.19,4.793592925
189,2011,Coal,158.46,5.024253411
190,2012,Coal,159.07,5.043345386
191,2013,Coal,161.98,5.135585034
192,2014,Coal,161.84,5.131129894
193,2015,Coal,157.84,5.004403793
194,2016,Coal,155.5,4.9303797419999995
195,2017,Coal,156.09,4.94908388
196,2018,Coal,158.79,5.034684059
197,2019,Coal,157.86,5.004979293
198,1965,Hydroelectric,9.23,0.292707015
199,1966,Hydroelectric,9.84,0.311926771
200,1967,Hydroelectric,10.06,0.31887845600000003
201,1968,Hydroelectric,10.59,0.33585574100000004
202,1969,Hydroelectric,11.22,0.355657331
203,1970,Hydroelectric,11.75,0.372431064
204,1971,Hydroelectric,12.27,0.389050414
205,1972,Hydroelectric,12.85,0.407301956
206,1973,Hydroelectric,13.03,0.413129197
207,1974,Hydroelectric,14.31,0.45379359
208,1975,Hydroelectric,14.49,0.459381627
209,1976,Hydroelectric,14.43,0.45755697700000003
210,1977,Hydroelectric,14.92,0.472945976
211,1978,Hydroelectric,16.14,0.511854066
212,1979,Hydroelectric,16.95,0.537472795
213,1980,Hydroelectric,17.32,0.5490337510000001
214,1981,Hydroelectric,17.69,0.560844554
215,1982,Hydroelectric,18.01,0.5709920479999999
216,1983,Hydroelectric,18.78,0.595361248
217,1984,Hydroelectric,19.41,0.615528077
218,1985,Hydroelectric,19.8,0.6277028689999999
219,1986,Hydroelectric,20.07,0.636199
220,1987,Hydroelectric,20.34,0.644802282
221,1988,Hydroelectric,20.99,0.665415658
222,1989,Hydroelectric,20.88,0.6618804420000001
223,1990,Hydroelectric,21.59,0.6844978620000001
224,1991,Hydroelectric,22.09,0.7005105909999999
225,1992,Hydroelectric,22.09,0.700404012
226,1993,Hydroelectric,23.41,0.7423096990000001
227,1994,Hydroelectric,23.57,0.7472675409999999
228,1995,Hydroelectric,24.86,0.788089224
229,1996,Hydroelectric,25.2,0.799143625
230,1997,Hydroelectric,25.66,0.81361299
231,1998,Hydroelectric,25.87,0.820209897
232,1999,Hydroelectric,26.06,0.8261497990000001
233,2000,Hydroelectric,26.52,0.840824896
234,2001,Hydroelectric,25.67,0.813921673
235,2002,Hydroelectric,25.98,0.82368015
236,2003,Hydroelectric,25.77,0.817080756
237,2004,Hydroelectric,27.49,0.871553
238,2005,Hydroelectric,28.24,0.895390135
239,2006,Hydroelectric,29.13,0.9237228479999999
240,2007,Hydroelectric,29.45,0.933612587
241,2008,Hydroelectric,30.96,0.9814618159999999
242,2009,Hydroelectric,30.72,0.97393885
243,2010,Hydroelectric,32.25,1.022526065
244,2011,Hydroelectric,32.66,1.035586587
245,2012,Hydroelectric,33.84,1.073014978
246,2013,Hydroelectric,35.15,1.11456891
247,2014,Hydroelectric,35.68,1.131173107
248,2015,Hydroelectric,35.38,1.121679977
249,2016,Hydroelectric,36.33,1.1518782220000001
250,2017,Hydroelectric,36.59,1.160203752
251,2018,Hydroelectric,37.32,1.1833575440000001
252,2019,Hydroelectric,37.64,1.193355299
253,1965,Oil,65.19,2.066932904
254,1966,Oil,70.19,2.225340517
255,1967,Oil,75.21,2.384465108
256,1968,Oil,81.63,2.588193164
257,1969,Oil,88.48,2.805222362
258,1970,Oil,96.15,3.048476566
259,1971,Oil,101.54,3.219320094
260,1972,Oil,109.36,3.467361786
261,1973,Oil,117.89,3.73766672
262,1974,Oil,116.18,3.6835986139999997
263,1975,Oil,115.01,3.646615965
264,1976,Oil,122.51,3.884173301
265,1977,Oil,126.77,4.0194213130000005
266,1978,Oil,131.13,4.157665048999999
267,1979,Oil,133.29,4.225955277
268,1980,Oil,128.08,4.060809703
269,1981,Oil,123.47,3.914554533
270,1982,Oil,119.51,3.78923489
271,1983,Oil,118.69,3.7630741839999997
272,1984,Oil,121.46,3.850968637
273,1985,Oil,121.64,3.856720464
274,1986,Oil,125.29,3.9724064219999997
275,1987,Oil,127.8,4.0519352710000005
276,1988,Oil,132.13,4.189314462
277,1989,Oil,134.28,4.257430363
278,1990,Oil,135.69,4.302063481999999
279,1991,Oil,135.69,4.302102385
280,1992,Oil,138.04,4.376652297
281,1993,Oil,137.16,4.348676436
282,1994,Oil,140.17,4.44406349
283,1995,Oil,142.0,4.502244225
284,1996,Oil,145.37,4.609057504
285,1997,Oil,149.09,4.726937556
286,1998,Oil,149.85,4.75104106
287,1999,Oil,152.54,4.836298637
288,2000,Oil,154.43,4.896314637
289,2001,Oil,155.8,4.9397983210000005
290,2002,Oil,157.1,4.981008857
291,2003,Oil,160.59,5.091760648999999
292,2004,Oil,166.52,5.279657939
293,2005,Oil,168.57,5.34455184
294,2006,Oil,170.52,5.406482461
295,2007,Oil,172.65,5.473903647
296,2008,Oil,171.24,5.4291757039999995
297,2009,Oil,167.95,5.325062886
298,2010,Oil,173.11,5.488698534
299,2011,Oil,174.78,5.541527329
300,2012,Oil,176.96,5.610781552000001
301,2013,Oil,178.88,5.671480507999999
302,2014,Oil,180.05,5.708592606
303,2015,Oil,183.21,5.8088448989999995
304,2016,Oil,186.91,5.926202052000001
305,2017,Oil,189.24,6.000092592000001
306,2018,Oil,191.45,6.070129862999999
307,2019,Oil,193.03,6.120214786
308,1965,Natural Gas,22.69,0.719520487
309,1966,Natural Gas,24.73,0.784009521
310,1967,Natural Gas,26.55,0.8416785590000001
311,1968,Natural Gas,28.96,0.91818622
312,1969,Natural Gas,31.8,1.008253172
313,1970,Natural Gas,34.61,1.097439767
314,1971,Natural Gas,37.05,1.174758833
315,1972,Natural Gas,39.1,1.239723931
316,1973,Natural Gas,40.96,1.298547609
317,1974,Natural Gas,41.96,1.330453122
318,1975,Natural Gas,41.98,1.33100407
319,1976,Natural Gas,44.48,1.410216376
320,1977,Natural Gas,45.94,1.4565079619999999
321,1978,Natural Gas,47.86,1.517549288
322,1979,Natural Gas,50.83,1.6116531969999999
323,1980,Natural Gas,51.26,1.625134866
324,1981,Natural Gas,51.82,1.643069886
325,1982,Natural Gas,52.09,1.6514760430000002
326,1983,Natural Gas,52.93,1.6781879240000002
327,1984,Natural Gas,57.25,1.81501499
328,1985,Natural Gas,58.54,1.856031068
329,1986,Natural Gas,59.11,1.874177686
330,1987,Natural Gas,62.21,1.972420685
331,1988,Natural Gas,65.12,2.0645333480000003
332,1989,Natural Gas,67.93,2.15389752
333,1990,Natural Gas,70.14,2.22396683
334,1991,Natural Gas,71.91,2.2800813669999997
335,1992,Natural Gas,72.24,2.2904393080000003
336,1993,Natural Gas,72.97,2.3135292080000003
337,1994,Natural Gas,73.42,2.327709897
338,1995,Natural Gas,75.99,2.409346076
339,1996,Natural Gas,79.79,2.529752391
340,1997,Natural Gas,79.32,2.515016354
341,1998,Natural Gas,80.78,2.56107956
342,1999,Natural Gas,83.07,2.633908078
343,2000,Natural Gas,86.4,2.7393634839999996
344,2001,Natural Gas,87.59,2.7771508519999997
345,2002,Natural Gas,90.19,2.859554989
346,2003,Natural Gas,92.71,2.9393521419999997
347,2004,Natural Gas,96.25,3.0516165460000004
348,2005,Natural Gas,98.87,3.1347503889999997
349,2006,Natural Gas,101.43,3.2159881489999997
350,2007,Natural Gas,105.57,3.3470268119999997
351,2008,Natural Gas,108.09,3.4269975269999997
352,2009,Natural Gas,105.88,3.3569948810000003
353,2010,Natural Gas,113.78,3.6076178469999998
354,2011,Natural Gas,116.54,3.694847388
355,2012,Natural Gas,119.59,3.791757113
356,2013,Natural Gas,121.56,3.854090147
357,2014,Natural Gas,122.38,3.880130181
358,2015,Natural Gas,125.21,3.969826711
359,2016,Natural Gas,128.12,4.062270974
360,2017,Natural Gas,131.71,4.175910149
361,2018,Natural Gas,138.66,4.396316813
362,2019,Natural Gas,141.45,4.484869058999999
363,1965,Nuclear,0.26,0.008120739
364,1966,Nuclear,0.34,0.010948582
365,1967,Nuclear,0.41,0.013038478000000001
366,1968,Nuclear,0.52,0.016570163
367,1969,Nuclear,0.62,0.019644963999999997
368,1970,Nuclear,0.79,0.025079382
369,1971,Nuclear,1.1,0.034882091000000004
370,1972,Nuclear,1.52,0.048386375
371,1973,Nuclear,2.04,0.06483357099999999
372,1974,Nuclear,2.67,0.084769505
373,1975,Nuclear,3.7,0.11759878900000001
374,1976,Nuclear,4.33,0.137574379
375,1977,Nuclear,5.39,0.171239368
376,1978,Nuclear,6.26,0.19898073
377,1979,Nuclear,6.51,0.206950682
378,1980,Nuclear,7.12,0.226367003
379,1981,Nuclear,8.41,0.26732933600000003
380,1982,Nuclear,9.12,0.290040554
381,1983,Nuclear,10.34,0.328716283
382,1984,Nuclear,12.55,0.398908883
383,1985,Nuclear,14.89,0.473425004
384,1986,Nuclear,15.95,0.507070186
385,1987,Nuclear,17.35,0.551584457
386,1988,Nuclear,18.91,0.601351118
387,1989,Nuclear,19.45,0.618445337
388,1990,Nuclear,20.0,0.636076955
389,1991,Nuclear,20.96,0.66651024
390,1992,Nuclear,21.12,0.671570474
391,1993,Nuclear,21.85,0.6946982709999999
392,1994,Nuclear,22.26,0.707740644
393,1995,Nuclear,23.22,0.7384406929999999
394,1996,Nuclear,24.07,0.7652785540000001
395,1997,Nuclear,23.9,0.760024343
396,1998,Nuclear,24.31,0.773093936
397,1999,Nuclear,25.24,0.80265866
398,2000,Nuclear,25.81,0.820635638
399,2001,Nuclear,26.37,0.8383260779999999
400,2002,Nuclear,26.61,0.846226155
401,2003,Nuclear,25.91,0.82377394
402,2004,Nuclear,26.91,0.8557220529999999
403,2005,Nuclear,26.81,0.852542274
404,2006,Nuclear,26.98,0.857735782
405,2007,Nuclear,26.26,0.8350054
406,2008,Nuclear,26.02,0.8272408729999999
407,2009,Nuclear,25.49,0.810505548
408,2010,Nuclear,25.99,0.82628264
409,2011,Nuclear,24.75,0.7868861309999999
410,2012,Nuclear,22.91,0.728493058
411,2013,Nuclear,22.98,0.730726565
412,2014,Nuclear,23.28,0.740257128
413,2015,Nuclear,23.46,0.745877479
414,2016,Nuclear,23.67,0.752731411
415,2017,Nuclear,23.75,0.755071142
416,2018,Nuclear,24.16,0.768242935
417,2019,Nuclear,24.92,0.792504347
0,1965,Fossil Fuels,145.98,4.628705827
1,1966,Fossil Fuels,153.69,4.872594739
2,1967,Fossil Fuels,159.57999999999998,5.059336915
3,1968,Fossil Fuels,169.27,5.367004877
4,1969,Fossil Fuels,180.76,5.730896239
5,1970,Fossil Fuels,192.17,6.092999061
6,1971,Fossil Fuels,199.67000000000002,6.330586642
7,1972,Fossil Fuels,210.22,6.665094504
8,1973,Fossil Fuels,222.45,7.052836343999999
9,1974,Fossil Fuels,221.8,7.032294740999999
10,1975,Fossil Fuels,221.88,7.03495472
11,1976,Fossil Fuels,234.27,7.427507814
12,1977,Fossil Fuels,241.97999999999996,7.6721454190000005
13,1978,Fossil Fuels,249.04000000000002,7.896153762
14,1979,Fossil Fuels,257.43,8.161917669
15,1980,Fossil Fuels,254.43,8.066647377
16,1981,Fossil Fuels,251.43,7.971664436999999
17,1982,Fossil Fuels,248.58000000000004,7.881545501
18,1983,Fossil Fuels,250.98000000000002,7.957495926
19,1984,Fossil Fuels,261.51,8.291165344
20,1985,Fossil Fuels,266.53,8.450550706
21,1986,Fossil Fuels,271.72,8.615186167
22,1987,Fossil Fuels,280.77,8.901875155
23,1988,Fossil Fuels,290.72,9.217470368
24,1989,Fossil Fuels,296.58000000000004,9.403351865000001
25,1990,Fossil Fuels,299.04999999999995,9.481702901999999
26,1991,Fossil Fuels,299.90999999999997,9.50906752
27,1992,Fossil Fuels,302.26,9.583381399
28,1993,Fossil Fuels,302.56,9.592782355
29,1994,Fossil Fuels,306.37,9.713585368
30,1995,Fossil Fuels,311.43,9.874038977000001
31,1996,Fossil Fuels,320.82000000000005,10.17177265
32,1997,Fossil Fuels,323.90999999999997,10.269744811
33,1998,Fossil Fuels,325.52,10.320820844
34,1999,Fossil Fuels,331.09,10.497436099
35,2000,Fossil Fuels,339.53000000000003,10.765108926
36,2001,Fossil Fuels,343.66,10.896052953
37,2002,Fossil Fuels,351.49,11.144325201000001
38,2003,Fossil Fuels,366.69,11.626145797999998
39,2004,Fossil Fuels,383.96,12.173745352
40,2005,Fossil Fuels,397.65,12.607860378
41,2006,Fossil Fuels,409.00000000000006,12.967883329
42,2007,Fossil Fuels,423.02000000000004,13.412082378
43,2008,Fossil Fuels,426.1,13.509743673
44,2009,Fossil Fuels,418.36,13.264650095
45,2010,Fossil Fuels,438.08,13.889909306
46,2011,Fossil Fuels,449.78,14.260628128
47,2012,Fossil Fuels,455.62,14.445884051000002
48,2013,Fossil Fuels,462.41999999999996,14.661155689
49,2014,Fossil Fuels,464.27,14.719852680999999
50,2015,Fossil Fuels,466.26,14.783075403
51,2016,Fossil Fuels,470.53,14.918852768
52,2017,Fossil Fuels,477.0400000000001,15.125086621000001
53,2018,Fossil Fuels,488.9,15.501130735
54,2019,Fossil Fuels,492.34000000000003,15.610063138
