country,year,energy_type,consumed_EJ_yr,consumed_TW
USA,1968,nuclear,0.13,0.004193262
USA,1969,nuclear,0.15,0.004661648
USA,1970,nuclear,0.23,0.007297949
USA,1971,nuclear,0.40,0.012753592
USA,1972,nuclear,0.57,0.018104304
USA,1973,nuclear,0.88,0.027940578
USA,1974,nuclear,1.20,0.038147683
USA,1975,nuclear,1.82,0.057737453
USA,1976,nuclear,2.01,0.063962357
USA,1977,nuclear,2.64,0.083970641
USA,1978,nuclear,2.91,0.092512114
USA,1979,nuclear,2.69,0.085400259
USA,1980,nuclear,2.64,0.084048389
USA,1981,nuclear,2.87,0.091263828
USA,1982,nuclear,2.98,0.094644213
USA,1983,nuclear,3.09,0.098293739
USA,1984,nuclear,3.45,0.109658957
USA,1985,nuclear,4.04,0.128421296
USA,1986,nuclear,4.36,0.13857855
USA,1987,nuclear,4.79,0.152379008
USA,1988,nuclear,5.55,0.176377892
USA,1989,nuclear,5.57,0.177175037
USA,1990,nuclear,6.07,0.193075618
USA,1991,nuclear,6.45,0.20502555
USA,1992,nuclear,6.51,0.207104431
USA,1993,nuclear,6.42,0.204264485
USA,1994,nuclear,6.74,0.214355228
USA,1995,nuclear,7.09,0.225387707
USA,1996,nuclear,7.10,0.225831661
USA,1997,nuclear,6.62,0.21040722
USA,1998,nuclear,7.09,0.225488111
USA,1999,nuclear,7.67,0.243746674
USA,2000,nuclear,7.94,0.252327986
USA,2001,nuclear,8.04,0.255655235
USA,2002,nuclear,8.11,0.257718599
USA,2003,nuclear,7.88,0.250705557
USA,2004,nuclear,8.09,0.257196382
USA,2005,nuclear,7.97,0.253448234
USA,2006,nuclear,7.97,0.253539377
USA,2007,nuclear,8.12,0.258101806
USA,2008,nuclear,8.06,0.256429885
USA,2009,nuclear,7.94,0.252522393
USA,2010,nuclear,7.97,0.25352223
USA,2011,nuclear,7.76,0.246741814
USA,2012,nuclear,7.51,0.238768266
USA,2013,nuclear,7.66,0.243402569
USA,2014,nuclear,7.69,0.244444045
USA,2015,nuclear,7.64,0.242992647
USA,2016,nuclear,7.68,0.244135296
USA,2017,nuclear,7.63,0.242474997
USA,2018,nuclear,7.60,0.241696332
USA,2019,nuclear,7.60,0.241498827
Argentina,1974,nuclear,0.01,0.000329412
Argentina,1975,nuclear,0.03,0.000800318
Argentina,1976,nuclear,0.03,0.000817806
Argentina,1977,nuclear,0.02,0.000520509
Argentina,1978,nuclear,0.03,0.000920827
Argentina,1979,nuclear,0.03,0.000855962
Argentina,1980,nuclear,0.02,0.000744038
Argentina,1981,nuclear,0.03,0.00089539
Argentina,1982,nuclear,0.02,0.000594595
Argentina,1983,nuclear,0.03,0.001082671
Argentina,1984,nuclear,0.05,0.001475676
Argentina,1985,nuclear,0.06,0.001833386
Argentina,1986,nuclear,0.06,0.001815898
Argentina,1987,nuclear,0.06,0.002055644
Argentina,1988,nuclear,0.06,0.001843561
Argentina,1989,nuclear,0.05,0.001602226
Argentina,1990,nuclear,0.07,0.002315103
Argentina,1991,nuclear,0.08,0.002466137
Argentina,1992,nuclear,0.07,0.00225151
Argentina,1993,nuclear,0.08,0.002464229
Argentina,1994,nuclear,0.08,0.002618442
Argentina,1995,nuclear,0.07,0.002246741
Argentina,1996,nuclear,0.07,0.002371701
Argentina,1997,nuclear,0.08,0.00253132
Argentina,1998,nuclear,0.07,0.002369793
Argentina,1999,nuclear,0.07,0.002259459
Argentina,2000,nuclear,0.06,0.00196407
Argentina,2001,nuclear,0.07,0.00222994
Argentina,2002,nuclear,0.06,0.001826992
Argentina,2003,nuclear,0.07,0.002359459
Argentina,2004,nuclear,0.08,0.00243832
Argentina,2005,nuclear,0.07,0.002116216
Argentina,2006,nuclear,0.07,0.002362366
Argentina,2007,nuclear,0.07,0.002205608
Argentina,2008,nuclear,0.07,0.002234212
Argentina,2009,nuclear,0.08,0.002457357
Argentina,2010,nuclear,0.07,0.002151882
Argentina,2011,nuclear,0.06,0.001898484
Argentina,2012,nuclear,0.06,0.001887568
Argentina,2013,nuclear,0.06,0.001819049
Argentina,2014,nuclear,0.05,0.001606279
Argentina,2015,nuclear,0.06,0.00203832
Argentina,2016,nuclear,0.08,0.002384935
Argentina,2017,nuclear,0.05,0.001742194
Argentina,2018,nuclear,0.06,0.00195505
Argentina,2019,nuclear,0.08,0.002392823
Brazil,1984,nuclear,0.02,0.000522417
Brazil,1984,nuclear,0.03,0.00107504
Brazil,1987,nuclear,0.01,0.00030938
Brazil,1988,nuclear,0.01,0.000193323
Brazil,1999,nuclear,0.02,0.000581876
Brazil,1990,nuclear,0.02,0.000711288
Brazil,1991,nuclear,0.01,0.000458506
Brazil,1992,nuclear,0.02,0.0005593
Brazil,1995,nuclear,0.03,0.000800954
Brazil,1996,nuclear,0.02,0.000771701
Brazil,1997,nuclear,0.03,0.001007631
Brazil,1998,nuclear,0.03,0.001038156
Brazil,1999,nuclear,0.04,0.001264547
Brazil,2000,nuclear,0.06,0.001922417
Brazil,2001,nuclear,0.14,0.004510741
Brazil,2002,nuclear,0.14,0.004342598
Brazil,2003,nuclear,0.13,0.004165696
Brazil,2004,nuclear,0.11,0.003597831
Brazil,2005,nuclear,0.10,0.003034382
Brazil,2006,nuclear,0.13,0.004208292
Brazil,2007,nuclear,0.12,0.003754995
Brazil,2008,nuclear,0.13,0.004220823
Brazil,2009,nuclear,0.12,0.003890991
Brazil,2010,nuclear,0.14,0.004334552
Brazil,2011,nuclear,0.15,0.004645168
Brazil,2012,nuclear,0.15,0.004728767
Brazil,2013,nuclear,0.14,0.00452775
Brazil,2014,nuclear,0.14,0.004479889
Brazil,2015,nuclear,0.13,0.004266647
Brazil,2016,nuclear,0.14,0.004566739
Brazil,2017,nuclear,0.14,0.004504063
Brazil,2018,nuclear,0.14,0.004459143
Brazil,2019,nuclear,0.14,0.004581858
Belgium,1975,nuclear,0.07,0.002157075
Belgium,1976,nuclear,0.10,0.003191097
Belgium,1977,nuclear,0.12,0.003796184
Belgium,1978,nuclear,0.13,0.003978696
Belgium,1979,nuclear,0.11,0.003627027
Belgium,1980,nuclear,0.13,0.003990143
Belgium,1981,nuclear,0.13,0.004088712
Belgium,1982,nuclear,0.16,0.004980604
Belgium,1983,nuclear,0.24,0.007664865
Belgium,1984,nuclear,0.28,0.008821304
Belgium,1985,nuclear,0.35,0.011001908
Belgium,1986,nuclear,0.39,0.012525914
Belgium,1987,nuclear,0.42,0.013344038
Belgium,1988,nuclear,0.43,0.013704928
Belgium,1989,nuclear,0.41,0.013105564
Belgium,1990,nuclear,0.43,0.013584102
Belgium,1991,nuclear,0.43,0.013628299
Belgium,1992,nuclear,0.43,0.013817488
Belgium,1993,nuclear,0.42,0.01333132
Belgium,1994,nuclear,0.41,0.012917011
Belgium,1995,nuclear,0.41,0.013149762
Belgium,1996,nuclear,0.43,0.013779332
Belgium,1997,nuclear,0.47,0.015074086
Belgium,1998,nuclear,0.46,0.014678855
Belgium,1999,nuclear,0.49,0.015585692
Belgium,2000,nuclear,0.48,0.015312242
Belgium,2001,nuclear,0.46,0.014641664
Belgium,2002,nuclear,0.47,0.014864516
Belgium,2003,nuclear,0.46,0.014775156
Belgium,2004,nuclear,0.46,0.014660286
Belgium,2005,nuclear,0.46,0.014654636
Belgium,2006,nuclear,0.45,0.0142718
Belgium,2007,nuclear,0.46,0.014663615
Belgium,2008,nuclear,0.43,0.013769078
Belgium,2009,nuclear,0.45,0.014180781
Belgium,2010,nuclear,0.45,0.014309269
Belgium,2011,nuclear,0.45,0.014308042
Belgium,2012,nuclear,0.37,0.01188059
Belgium,2013,nuclear,0.39,0.012497428
Belgium,2014,nuclear,0.31,0.009817996
Belgium,2015,nuclear,0.24,0.007558784
Belgium,2016,nuclear,0.39,0.01252861
Belgium,2017,nuclear,0.38,0.012083981
Belgium,2018,nuclear,0.26,0.008135704
Belgium,2019,nuclear,0.39,0.012402739
Bulgaria,1974,nuclear,0.01,0.000295072
Bulgaria,1975,nuclear,0.03,0.000812083
Bulgaria,1976,nuclear,0.05,0.001586328
Bulgaria,1977,nuclear,0.06,0.001870906
Bulgaria,1978,nuclear,0.06,0.001879173
Bulgaria,1979,nuclear,0.06,0.001965024
Bulgaria,1980,nuclear,0.06,0.001960254
Bulgaria,1981,nuclear,0.09,0.002899523
Bulgaria,1982,nuclear,0.11,0.003416852
Bulgaria,1983,nuclear,0.12,0.003916693
Bulgaria,1984,nuclear,0.13,0.004049285
Bulgaria,1985,nuclear,0.13,0.004175199
Bulgaria,1986,nuclear,0.12,0.003837838
Bulgaria,1987,nuclear,0.12,0.003954213
Bulgaria,1988,nuclear,0.16,0.005096979
Bulgaria,1989,nuclear,0.15,0.004631479
Bulgaria,1990,nuclear,0.15,0.004662957
Bulgaria,1991,nuclear,0.13,0.004192051
Bulgaria,1992,nuclear,0.12,0.003673132
Bulgaria,1993,nuclear,0.14,0.004442925
Bulgaria,1994,nuclear,0.15,0.004875994
Bulgaria,1995,nuclear,0.17,0.005488394
Bulgaria,1996,nuclear,0.18,0.005749444
Bulgaria,1997,nuclear,0.18,0.005644197
Bulgaria,1998,nuclear,0.17,0.005373291
Bulgaria,1999,nuclear,0.16,0.005028299
Bulgaria,2000,nuclear,0.18,0.005779968
Bulgaria,2001,nuclear,0.19,0.006176799
Bulgaria,2002,nuclear,0.20,0.006346922
Bulgaria,2003,nuclear,0.17,0.005388773
Bulgaria,2004,nuclear,0.16,0.005210363
Bulgaria,2005,nuclear,0.18,0.005743312
Bulgaria,2006,nuclear,0.19,0.005964202
Bulgaria,2007,nuclear,0.14,0.004452264
Bulgaria,2008,nuclear,0.15,0.004763639
Bulgaria,2009,nuclear,0.14,0.004581381
Bulgaria,2010,nuclear,0.14,0.004551186
Bulgaria,2011,nuclear,0.15,0.004839354
Bulgaria,2012,nuclear,0.15,0.004654054
Bulgaria,2013,nuclear,0.13,0.004153077
Bulgaria,2014,nuclear,0.15,0.004622103
Bulgaria,2015,nuclear,0.14,0.004453407
Bulgaria,2016,nuclear,0.14,0.004541263
Bulgaria,2017,nuclear,0.14,0.004448632
Bulgaria,2018,nuclear,0.14,0.004587562
Bulgaria,2019,nuclear,0.15,0.004696498
Czech Republic,1984,nuclear,0.01,0.000393959
Czech Republic,1985,nuclear,0.02,0.000762162
Czech Republic,1986,nuclear,0.06,0.001955167
Czech Republic,1987,nuclear,0.11,0.003402544
Czech Republic,1988,nuclear,0.12,0.003757075
Czech Republic,1989,nuclear,0.12,0.00394849
Czech Republic,1990,nuclear,0.13,0.00400159
Czech Republic,1991,nuclear,0.12,0.003857552
Czech Republic,1992,nuclear,0.12,0.003895072
Czech Republic,1993,nuclear,0.13,0.004014944
Czech Republic,1994,nuclear,0.13,0.004126232
Czech Republic,1995,nuclear,0.12,0.003888712
Czech Republic,1996,nuclear,0.13,0.004085851
Czech Republic,1997,nuclear,0.12,0.003972655
Czech Republic,1998,nuclear,0.13,0.004190143
Czech Republic,1999,nuclear,0.13,0.004247059
Czech Republic,2000,nuclear,0.14,0.004321145
Czech Republic,2001,nuclear,0.15,0.004659309
Czech Republic,2002,nuclear,0.18,0.005881214
Czech Republic,2003,nuclear,0.25,0.00806816
Czech Republic,2004,nuclear,0.26,0.008157077
Czech Republic,2005,nuclear,0.24,0.007613698
Czech Republic,2006,nuclear,0.25,0.007969352
Czech Republic,2007,nuclear,0.25,0.007957733
Czech Republic,2008,nuclear,0.25,0.008022797
Czech Republic,2009,nuclear,0.26,0.008170511
Czech Republic,2010,nuclear,0.26,0.008353301
Czech Republic,2011,nuclear,0.26,0.008389697
Czech Republic,2012,nuclear,0.28,0.008940796
Czech Republic,2013,nuclear,0.28,0.009010345
Czech Republic,2014,nuclear,0.28,0.008833925
Czech Republic,2015,nuclear,0.24,0.007772432
Czech Republic,2016,nuclear,0.22,0.006938679
Czech Republic,2017,nuclear,0.26,0.008109901
Czech Republic,2018,nuclear,0.27,0.008512461
Czech Republic,2019,nuclear,0.27,0.008573167
Finland,1977,nuclear,0.03,0.000840097
Finland,1978,nuclear,0.03,0.001030541
Finland,1979,nuclear,0.07,0.002128692
Finland,1980,nuclear,0.07,0.002217388
Finland,1981,nuclear,0.15,0.004630575
Finland,1982,nuclear,0.17,0.005296963
Finland,1983,nuclear,0.18,0.00559518
Finland,1984,nuclear,0.19,0.005957326
Finland,1985,nuclear,0.19,0.006017906
Finland,1986,nuclear,0.19,0.006023931
Finland,1987,nuclear,0.20,0.00620333
Finland,1988,nuclear,0.19,0.006174211
Finland,1989,nuclear,0.19,0.006027947
Finland,1990,nuclear,0.19,0.006067442
Finland,1991,nuclear,0.19,0.006160823
Finland,1992,nuclear,0.19,0.006081499
Finland,1993,nuclear,0.20,0.00629236
Finland,1994,nuclear,0.19,0.006134382
Finland,1995,nuclear,0.19,0.006067442
Finland,1996,nuclear,0.20,0.006251862
Finland,1997,nuclear,0.21,0.00671107
Finland,1998,nuclear,0.22,0.007020668
Finland,1999,nuclear,0.23,0.007383483
Finland,2000,nuclear,0.23,0.007221153
Finland,2001,nuclear,0.23,0.007267004
Finland,2002,nuclear,0.22,0.007068442
Finland,2003,nuclear,0.23,0.007165959
Finland,2004,nuclear,0.22,0.007115097
Finland,2005,nuclear,0.23,0.007245861
Finland,2006,nuclear,0.22,0.007086696
Finland,2007,nuclear,0.23,0.007201664
Finland,2008,nuclear,0.22,0.007013325
Finland,2009,nuclear,0.22,0.007144239
Finland,2010,nuclear,0.22,0.006876786
Finland,2011,nuclear,0.22,0.006952416
Finland,2012,nuclear,0.22,0.006847371
Finland,2013,nuclear,0.22,0.006994516
Finland,2014,nuclear,0.22,0.0069442
Finland,2015,nuclear,0.21,0.006805324
Finland,2016,nuclear,0.21,0.006751148
Finland,2017,nuclear,0.20,0.006498737
Finland,2018,nuclear,0.20,0.006224979
Finland,2019,nuclear,0.20,0.006498285
France,1965,nuclear,0.01,0.000285215
France,1966,nuclear,0.01,0.000443561
France,1967,nuclear,0.02,0.000660095
France,1968,nuclear,0.03,0.000980922
France,1969,nuclear,0.04,0.001144674
France,1970,nuclear,0.06,0.001815898
France,1971,nuclear,0.09,0.002966296
France,1972,nuclear,0.15,0.004639428
France,1973,nuclear,0.15,0.004690302
France,1974,nuclear,0.15,0.004677266
France,1975,nuclear,0.18,0.005802226
France,1976,nuclear,0.16,0.005016852
France,1977,nuclear,0.18,0.00570461
France,1978,nuclear,0.30,0.009682671
France,1979,nuclear,0.40,0.012705882
France,1980,nuclear,0.61,0.019475676
France,1981,nuclear,1.05,0.033489984
France,1982,nuclear,1.09,0.034632432
France,1983,nuclear,1.44,0.045869952
France,1984,nuclear,1.91,0.060805723
France,1985,nuclear,2.24,0.071255962
France,1986,nuclear,2.54,0.080812401
France,1987,nuclear,2.66,0.084426073
France,1988,nuclear,2.76,0.087606041
France,1989,nuclear,3.04,0.096639428
France,1990,nuclear,3.14,0.099866773
France,1991,nuclear,3.31,0.105354531
France,1992,nuclear,3.38,0.107613672
France,1993,nuclear,3.68,0.117070906
France,1994,nuclear,3.60,0.114461367
France,1995,nuclear,3.77,0.119946264
France,1996,nuclear,3.97,0.126340223
France,1997,nuclear,3.95,0.125749762
France,1998,nuclear,3.88,0.12336725
France,1999,nuclear,3.94,0.125355803
France,2000,nuclear,4.15,0.132006995
France,2001,nuclear,4.18,0.133018041
France,2002,nuclear,4.31,0.137082476
France,2003,nuclear,4.33,0.137547817
France,2004,nuclear,4.37,0.138893751
France,2005,nuclear,4.37,0.139027061
France,2006,nuclear,4.33,0.137743294
France,2007,nuclear,4.20,0.133701689
France,2008,nuclear,4.18,0.132785731
France,2009,nuclear,3.87,0.123043844
France,2010,nuclear,4.02,0.127895507
France,2011,nuclear,4.13,0.131229136
France,2012,nuclear,3.94,0.12542683
France,2013,nuclear,3.91,0.124166884
France,2014,nuclear,4.00,0.12715038
France,2015,nuclear,3.98,0.12666834
France,2016,nuclear,3.65,0.116064449
France,2017,nuclear,3.59,0.113996923
France,2018,nuclear,3.70,0.117736993
France,2019,nuclear,3.56,0.113218435
Germany,1967,nuclear,0.01,0.000389507
Germany,1968,nuclear,0.02,0.000561526
Germany,1969,nuclear,0.05,0.001569793
Germany,1970,nuclear,0.06,0.002064865
Germany,1971,nuclear,0.06,0.001976471
Germany,1972,nuclear,0.10,0.003027663
Germany,1973,nuclear,0.12,0.003849285
Germany,1974,nuclear,0.14,0.004597456
Germany,1975,nuclear,0.24,0.00767504
Germany,1976,nuclear,0.30,0.009390461
Germany,1977,nuclear,0.41,0.013117647
Germany,1978,nuclear,0.44,0.013950079
Germany,1979,nuclear,0.52,0.016554531
Germany,1980,nuclear,0.56,0.017675358
Germany,1981,nuclear,0.66,0.020837202
Germany,1982,nuclear,0.74,0.023664865
Germany,1983,nuclear,0.78,0.024821304
Germany,1984,nuclear,1.04,0.033169157
Germany,1985,nuclear,1.39,0.044082989
Germany,1986,nuclear,1.30,0.041490938
Germany,1987,nuclear,1.42,0.045063593
Germany,1988,nuclear,1.57,0.049863275
Germany,1989,nuclear,1.62,0.051405723
Germany,1990,nuclear,1.53,0.048489666
Germany,1991,nuclear,1.47,0.046868045
Germany,1992,nuclear,1.59,0.050492846
Germany,1993,nuclear,1.54,0.048807631
Germany,1994,nuclear,1.51,0.048076312
Germany,1995,nuclear,1.54,0.04899841
Germany,1996,nuclear,1.62,0.051387281
Germany,1997,nuclear,1.70,0.054158347
Germany,1998,nuclear,1.62,0.051383148
Germany,1999,nuclear,1.70,0.054055326
Germany,2000,nuclear,1.70,0.053928776
Germany,2001,nuclear,1.70,0.054115304
Germany,2002,nuclear,1.63,0.051737681
Germany,2003,nuclear,1.62,0.051474012
Germany,2004,nuclear,1.63,0.05176743
Germany,2005,nuclear,1.58,0.050200171
Germany,2006,nuclear,1.61,0.051205303
Germany,2007,nuclear,1.34,0.042729932
Germany,2008,nuclear,1.41,0.04495528
Germany,2009,nuclear,1.27,0.04052012
Germany,2010,nuclear,1.32,0.041950058
Germany,2011,nuclear,1.01,0.03202838
Germany,2012,nuclear,0.92,0.029324816
Germany,2013,nuclear,0.90,0.028512211
Germany,2014,nuclear,0.89,0.028294578
Germany,2015,nuclear,0.84,0.026579048
Germany,2016,nuclear,0.77,0.024362898
Germany,2017,nuclear,0.69,0.021841641
Germany,2018,nuclear,0.68,0.021623044
Germany,2019,nuclear,0.67,0.021278648
Hungary,1983,nuclear,0.02,0.000786328
Hungary,1984,nuclear,0.04,0.001197456
Hungary,1985,nuclear,0.06,0.002060413
Hungary,1986,nuclear,0.07,0.002360572
Hungary,1987,nuclear,0.11,0.003493164
Hungary,1988,nuclear,0.13,0.00427504
Hungary,1989,nuclear,0.14,0.004416852
Hungary,1990,nuclear,0.14,0.004365978
Hungary,1991,nuclear,0.14,0.004364388
Hungary,1992,nuclear,0.14,0.004440064
Hungary,1993,nuclear,0.14,0.004386645
Hungary,1994,nuclear,0.14,0.004467091
Hungary,1995,nuclear,0.14,0.004459777
Hungary,1996,nuclear,0.14,0.004508744
Hungary,1997,nuclear,0.14,0.004441335
Hungary,1998,nuclear,0.14,0.004435294
Hungary,1999,nuclear,0.14,0.004482035
Hungary,2000,nuclear,0.14,0.004508744
Hungary,2001,nuclear,0.14,0.004462408
Hungary,2002,nuclear,0.14,0.00437932
Hungary,2003,nuclear,0.11,0.003434407
Hungary,2004,nuclear,0.12,0.00369203
Hungary,2005,nuclear,0.13,0.004259528
Hungary,2006,nuclear,0.13,0.004118613
Hungary,2007,nuclear,0.14,0.004462601
Hungary,2008,nuclear,0.14,0.004477489
Hungary,2009,nuclear,0.15,0.004632432
Hungary,2010,nuclear,0.15,0.004703996
Hungary,2011,nuclear,0.15,0.004652776
Hungary,2012,nuclear,0.15,0.004656417
Hungary,2013,nuclear,0.14,0.00450428
Hungary,2014,nuclear,0.14,0.004558589
Hungary,2015,nuclear,0.14,0.00458525
Hungary,2016,nuclear,0.15,0.004621309
Hungary,2017,nuclear,0.14,0.004606625
Hungary,2018,nuclear,0.14,0.00447596
Hungary,2019,nuclear,0.15,0.004617053
Italy,1965,nuclear,0.04,0.001116057
Italy,1966,nuclear,0.04,0.001228299
Italy,1967,nuclear,0.03,0.001002226
Italy,1968,nuclear,0.03,0.000819078
Italy,1969,nuclear,0.02,0.000533863
Italy,1970,nuclear,0.03,0.001009857
Italy,1971,nuclear,0.03,0.001069952
Italy,1972,nuclear,0.04,0.001152941
Italy,1973,nuclear,0.03,0.000999046
Italy,1974,nuclear,0.03,0.001084261
Italy,1975,nuclear,0.04,0.001208267
Italy,1976,nuclear,0.04,0.001210493
Italy,1977,nuclear,0.03,0.001076312
Italy,1978,nuclear,0.04,0.001407949
Italy,1979,nuclear,0.03,0.000835612
Italy,1980,nuclear,0.02,0.000702067
Italy,1981,nuclear,0.03,0.000860731
Italy,1982,nuclear,0.07,0.002163434
Italy,1983,nuclear,0.06,0.001838792
Italy,1984,nuclear,0.07,0.002189825
Italy,1985,nuclear,0.07,0.002233386
Italy,1986,nuclear,0.09,0.002784738
Lithuania,1985,nuclear,0.09,0.003014185
Lithuania,1986,nuclear,0.10,0.00314206
Lithuania,1987,nuclear,0.09,0.002920036
Lithuania,1988,nuclear,0.13,0.004073717
Lithuania,1989,nuclear,0.17,0.005294849
Lithuania,1990,nuclear,0.17,0.005415898
Lithuania,1991,nuclear,0.17,0.005405405
Lithuania,1992,nuclear,0.15,0.004654372
Lithuania,1993,nuclear,0.12,0.003898251
Lithuania,1994,nuclear,0.08,0.002450238
Lithuania,1995,nuclear,0.12,0.003758983
Lithuania,1996,nuclear,0.14,0.004433068
Lithuania,1997,nuclear,0.12,0.003823211
Lithuania,1998,nuclear,0.14,0.004309698
Lithuania,1999,nuclear,0.10,0.003135771
Lithuania,2000,nuclear,0.08,0.002676948
Lithuania,2001,nuclear,0.11,0.003589259
Lithuania,2002,nuclear,0.14,0.00443864
Lithuania,2003,nuclear,0.15,0.00482869
Lithuania,2004,nuclear,0.15,0.004679442
Lithuania,2005,nuclear,0.10,0.003182976
Lithuania,2006,nuclear,0.08,0.002646976
Lithuania,2007,nuclear,0.09,0.002989733
Lithuania,2008,nuclear,0.09,0.002989535
Lithuania,2009,nuclear,0.10,0.003259039
Netherlands,1973,nuclear,0.01,0.000352305
Netherlands,1974,nuclear,0.03,0.001041971
Netherlands,1975,nuclear,0.03,0.001060413
Netherlands,1976,nuclear,0.04,0.001231161
Netherlands,1977,nuclear,0.04,0.00117965
Netherlands,1978,nuclear,0.04,0.001290938
Netherlands,1979,nuclear,0.03,0.00110938
Netherlands,1980,nuclear,0.04,0.001335453
Netherlands,1981,nuclear,0.04,0.001163116
Netherlands,1982,nuclear,0.04,0.00123911
Netherlands,1983,nuclear,0.04,0.001141176
Netherlands,1984,nuclear,0.04,0.001179968
Netherlands,1985,nuclear,0.04,0.001239746
Netherlands,1986,nuclear,0.04,0.001340541
Netherlands,1987,nuclear,0.04,0.001130684
Netherlands,1988,nuclear,0.04,0.001168521
Netherlands,1989,nuclear,0.04,0.001277901
Netherlands,1990,nuclear,0.04,0.001113514
Netherlands,1991,nuclear,0.03,0.001058506
Netherlands,1992,nuclear,0.04,0.001208267
Netherlands,1993,nuclear,0.04,0.001255326
Netherlands,1994,nuclear,0.04,0.001261367
Netherlands,1995,nuclear,0.04,0.001277583
Netherlands,1996,nuclear,0.04,0.001322734
Netherlands,1997,nuclear,0.02,0.00076566
Netherlands,1998,nuclear,0.04,0.001211158
Netherlands,1999,nuclear,0.04,0.001217238
Netherlands,2000,nuclear,0.04,0.001246171
Netherlands,2001,nuclear,0.04,0.001254936
Netherlands,2002,nuclear,0.04,0.001228312
Netherlands,2003,nuclear,0.04,0.001253011
Netherlands,2004,nuclear,0.04,0.001184306
Netherlands,2005,nuclear,0.04,0.001230828
Netherlands,2006,nuclear,0.03,0.001061532
Netherlands,2007,nuclear,0.04,0.001277122
Netherlands,2008,nuclear,0.04,0.001259695
Netherlands,2009,nuclear,0.04,0.001275776
