year,type,consumption_EJ_yr,consumption_TW
1991,coal,92.36,2.9283449587824983
1992,coal,92.0,2.9169308814204187
1993,coal,92.47,2.9318325935320226
1994,coal,92.83,2.9432466708941027
1995,coal,93.47,2.9635383639822446
1996,coal,95.7,3.03424223208624
1997,coal,95.53,3.028852251109702
1998,coal,94.92,3.0095117311350665
1999,coal,95.33,3.0225110970196574
2000,coal,98.74,3.1306277742549145
2001,coal,100.3,3.1800887761572607
2002,coal,104.24,3.305009511731135
2003,coal,113.4,3.5954343690551682
2004,coal,121.22,3.8433734939759034
2005,coal,130.21,4.128408370323399
2006,coal,137.05,4.345275840202917
2007,coal,144.82,4.5916296766011415
2008,coal,146.78,4.653772986683577
2009,coal,144.63,4.585605580215599
2010,coal,151.19,4.793595434369055
2011,coal,158.46,5.024096385542169
2012,coal,159.06,5.043119847812302
2013,coal,161.43,5.118262523779328
2014,coal,162.58,5.154724159797083
2015,coal,158.6,5.0285351934052
2016,coal,156.61,4.965440710209258
2017,coal,157.51,4.993975903614458
2018,coal,159.54,5.058338617628408
2019,coal,157.32,4.9879518072289155
2020,coal,151.07,4.789790741915029
2021,coal,160.1,5.076093849080532
1989,wind,0.03,0.0009511731135066582
1990,wind,0.04,0.0012682308180088776
1991,wind,0.04,0.0012682308180088776
1992,wind,0.05,0.0015852885225110971
1993,wind,0.06,0.0019023462270133164
1994,wind,0.08,0.0025364616360177552
1995,wind,0.09,0.0028535193405199747
1996,wind,0.1,0.0031705770450221942
1997,wind,0.13,0.004121750158528852
1998,wind,0.17,0.00538998097653773
1999,wind,0.23,0.007292327203551046
2000,wind,0.33,0.01046290424857324
2001,wind,0.41,0.012999365884590995
2002,wind,0.55,0.017438173747622066
2003,wind,0.66,0.02092580849714648
2004,wind,0.89,0.028218135700697526
2005,wind,1.08,0.03424223208623969
2006,wind,1.37,0.043436905516804056
2007,wind,1.75,0.0554850982878884
2008,wind,2.24,0.07102092580849714
2009,wind,2.78,0.08814204185161699
2010,wind,3.46,0.10970196575776792
2011,wind,4.37,0.13855421686746988
2012,wind,5.24,0.16613823715916295
2013,wind,6.24,0.19784400760938492
2014,wind,6.88,0.21813570069752694
2015,wind,8.06,0.25554850982878885
2016,wind,9.27,0.2939124920735574
2017,wind,10.93,0.3465440710209258
2018,wind,12.1,0.38363982244768546
2019,wind,13.48,0.4273937856689918
2020,wind,15.09,0.4784400760938491
2021,wind,17.54,0.5561192136968929
1965,oil,64.76,2.053265694356373
1966,oil,69.63,2.2076727964489535
1967,oil,74.64,2.3665187064045656
1968,oil,80.96,2.566899175649968
1969,oil,87.67,2.7796448953709576
1970,oil,95.42,3.0253646163601777
1971,oil,100.78,3.195307545973367
1972,oil,108.4,3.4369055168040585
1973,oil,117.13,3.7136968928344958
1974,oil,115.48,3.6613823715916296
1975,oil,114.18,3.620164870006341
1976,oil,121.51,3.852568167406468
1977,oil,125.74,3.9866835764109068
1978,oil,131.44,4.167406467977171
1979,oil,133.43,4.230500951173114
1980,oil,127.85,4.053582752060875
1981,oil,123.31,3.9096385542168677
1982,oil,119.47,3.7878883956880154
1983,oil,118.58,3.7596702599873177
1984,oil,121.25,3.8443246670894102
1985,oil,121.18,3.8421052631578947
1986,oil,124.92,3.9606848446417247
1987,oil,127.42,4.03994927076728
1988,oil,131.59,4.172162333544705
1989,oil,133.76,4.240963855421686
1990,oil,135.39,4.292644261255549
1991,oil,135.4,4.29296131896005
1992,oil,137.35,4.354787571337983
1993,oil,136.66,4.33291058972733
1994,oil,139.66,4.428027901077996
1995,oil,141.99,4.501902346227014
1996,oil,145.13,4.60145846544071
1997,oil,149.09,4.727013316423589
1998,oil,149.92,4.753329105897273
1999,oil,152.53,4.8360811667723524
2000,oil,154.37,4.894419784400761
2001,oil,155.72,4.937222574508561
2002,oil,156.99,4.977488902980342
2003,oil,160.49,5.088459099556119
2004,oil,166.57,5.281230183893468
2005,oil,168.02,5.32720355104629
2006,oil,169.82,5.3842739378566895
2007,oil,171.93,5.451173113506658
2008,oil,170.42,5.4032974001268235
2009,oil,166.94,5.29296131896005
2010,oil,172.42,5.466708941027267
2011,oil,173.91,5.513950538998098
2012,oil,176.44,5.594166138237159
2013,oil,178.27,5.6521876981610655
2014,oil,179.4,5.6880152187698165
2015,oil,182.87,5.798034242232086
2016,oil,186.34,5.908053265694356
2017,oil,189.06,5.99429296131896
2018,oil,191.7,6.077996195307546
2019,oil,192.13,6.0916296766011415
2020,oil,174.17,5.522194039315155
2021,oil,184.21,5.8405199746353835
1965,nuclear,0.26,0.008243500317057704
1966,nuclear,0.35,0.01109701965757768
1967,nuclear,0.42,0.013316423589093214
1968,nuclear,0.53,0.016804058338617627
1969,nuclear,0.63,0.019974635383639822
1970,nuclear,0.81,0.02568167406467977
1971,nuclear,1.12,0.03551046290424857
1972,nuclear,1.55,0.04914394419784401
1973,nuclear,2.08,0.06594800253646163
1974,nuclear,2.72,0.08623969562460368
1975,nuclear,3.78,0.11984781230183894
1976,nuclear,4.42,0.140139505389981
1977,nuclear,5.5,0.17438173747622068
1978,nuclear,6.39,0.2025998731769182
1979,nuclear,6.65,0.21084337349397592
1980,nuclear,7.27,0.2305009511731135
1981,nuclear,8.59,0.2723525681674065
1982,nuclear,9.32,0.29549778059606846
1983,nuclear,10.56,0.3348129359543437
1984,nuclear,12.82,0.4064679771718453
1985,nuclear,15.21,0.48224476854787574
1986,nuclear,16.29,0.5164870006341155
1987,nuclear,17.72,0.5618262523779328
1988,nuclear,19.32,0.6125554850982878
1989,nuclear,19.87,0.62999365884591
1990,nuclear,20.43,0.6477488902980343
1991,nuclear,21.41,0.6788205453392517
1992,nuclear,21.58,0.6842105263157895
1993,nuclear,22.32,0.7076727964489538
1994,nuclear,22.74,0.7209892200380469
1995,nuclear,23.72,0.7520608750792644
1996,nuclear,24.59,0.7796448953709575
1997,nuclear,24.42,0.7742549143944197
1998,nuclear,24.84,0.787571337983513
1999,nuclear,25.78,0.8173747622067217
2000,nuclear,26.36,0.8357641090678504
2001,nuclear,26.93,0.8538363982244769
2002,nuclear,27.19,0.8620798985415346
2003,nuclear,26.46,0.8389346861128726
2004,nuclear,27.49,0.8715916296766011
2005,nuclear,27.39,0.868421052631579
2006,nuclear,27.56,0.8738110336081166
2007,nuclear,26.83,0.8506658211794547
2008,nuclear,26.58,0.8427393785668992
2009,nuclear,26.04,0.8256182625237793
2010,nuclear,26.55,0.8417882054533925
2011,nuclear,25.28,0.8015218769816107
2012,nuclear,23.4,0.7419150285351934
2013,nuclear,23.45,0.7435003170577045
2014,nuclear,23.78,0.7539632213062778
2015,nuclear,23.96,0.7596702599873177
2016,nuclear,24.17,0.7663284717818643
2017,nuclear,24.25,0.7688649334178821
2018,nuclear,24.68,0.7824984147114775
2019,nuclear,25.46,0.8072289156626506
2020,nuclear,24.44,0.7748890298034242
2021,nuclear,25.31,0.8024730500951173
1965,natural gas,22.69,0.7194039315155358
1966,natural gas,24.73,0.7840837032339886
1967,natural gas,26.55,0.8417882054533925
1968,natural gas,28.96,0.9181991122384274
1969,natural gas,31.8,1.0082435003170578
1970,natural gas,34.61,1.0973367152821814
1971,natural gas,37.06,1.175015852885225
1972,natural gas,39.1,1.2396956246036779
1973,natural gas,40.96,1.2986683576410907
1974,natural gas,41.98,1.331008243500317
1975,natural gas,41.98,1.331008243500317
1976,natural gas,44.47,1.4099556119213696
1977,natural gas,45.94,1.456563094483196
1978,natural gas,47.86,1.5174381737476221
1979,natural gas,50.82,1.611287254280279
1980,natural gas,51.25,1.6249207355738744
1981,natural gas,51.83,1.643310082435003
1982,natural gas,52.09,1.6515535827520609
1983,natural gas,52.93,1.6781864299302474
1984,natural gas,57.25,1.815155358275206
1985,natural gas,58.54,1.8560558021559923
1986,natural gas,59.12,1.8744451490171212
1987,natural gas,62.21,1.972415979708307
1988,natural gas,65.12,2.064679771718453
1989,natural gas,67.92,2.1534559289790742
1990,natural gas,70.13,2.2235256816740647
1991,natural gas,71.9,2.2796448953709576
1992,natural gas,72.23,2.290107799619531
1993,natural gas,72.96,2.3132530120481927
1994,natural gas,73.4,2.3272035510462903
1995,natural gas,75.98,2.409004438807863
1996,natural gas,79.77,2.529169308814204
1997,natural gas,79.31,2.514584654407102
1998,natural gas,80.76,2.560558021559924
1999,natural gas,83.06,2.6334812935954344
2000,natural gas,86.38,2.738744451490171
2001,natural gas,87.54,2.7755231452124285
2002,natural gas,90.11,2.857006975269499
2003,natural gas,92.63,2.9369055168040585
2004,natural gas,96.2,3.0500951173113506
2005,natural gas,98.78,3.131896005072923
2006,natural gas,101.38,3.2143310082435
2007,natural gas,105.54,3.346227013316424
2008,natural gas,108.08,3.426759670259987
2009,natural gas,105.84,3.3557387444514903
2010,natural gas,113.72,3.605580215599239
2011,natural gas,116.42,3.6911857958148384
2012,natural gas,119.5,3.7888395688015217
2013,natural gas,121.43,3.85003170577045
2014,natural gas,122.2,3.874445149017121
2015,natural gas,125.17,3.9686112872542805
2016,natural gas,128.02,4.058972733037414
2017,natural gas,131.51,4.1696258719086865
2018,natural gas,138.08,4.377932783766646
2019,natural gas,140.63,4.4587824984147115
2020,natural gas,138.44,4.389346861128725
2021,natural gas,145.35,4.608433734939759
1965,geothermal/biomass/other,0.2,0.0063411540900443885
1966,geothermal/biomass/other,0.22,0.006975269499048827
1967,geothermal/biomass/other,0.22,0.006975269499048827
1968,geothermal/biomass/other,0.25,0.007926442612555484
1969,geothermal/biomass/other,0.26,0.008243500317057704
1970,geothermal/biomass/other,0.29,0.009194673430564362
1971,geothermal/biomass/other,0.31,0.009828788839568801
1972,geothermal/biomass/other,0.34,0.01077996195307546
1973,geothermal/biomass/other,0.36,0.011414077362079899
1974,geothermal/biomass/other,0.38,0.012048192771084338
1975,geothermal/biomass/other,0.39,0.012365250475586557
1976,geothermal/biomass/other,0.43,0.013633481293595434
1977,geothermal/biomass/other,0.46,0.014584654407102092
1978,geothermal/biomass/other,0.49,0.015535827520608751
1979,geothermal/biomass/other,0.52,0.016487000634115408
1980,geothermal/biomass/other,0.55,0.017438173747622066
1981,geothermal/biomass/other,0.59,0.018706404565630944
1982,geothermal/biomass/other,0.69,0.02187698161065314
1983,geothermal/biomass/other,0.76,0.024096385542168676
1984,geothermal/biomass/other,0.85,0.026949904882688648
1985,geothermal/biomass/other,0.88,0.027901077996195307
1986,geothermal/biomass/other,0.95,0.030120481927710843
1987,geothermal/biomass/other,1.02,0.032339885859226376
1988,geothermal/biomass/other,1.05,0.03329105897273304
1989,geothermal/biomass/other,1.16,0.03677869372225745
1990,geothermal/biomass/other,1.3,0.04121750158528852
1991,geothermal/biomass/other,1.36,0.04311984781230184
1992,geothermal/biomass/other,1.46,0.046290424857324035
1993,geothermal/biomass/other,1.51,0.04787571337983513
1994,geothermal/biomass/other,1.56,0.04946100190234623
1995,geothermal/biomass/other,1.64,0.05199746353836398
1996,geothermal/biomass/other,1.68,0.05326569435637286
1997,geothermal/biomass/other,1.8,0.05707038681039949
1998,geothermal/biomass/other,1.87,0.05928979074191503
1999,geothermal/biomass/other,1.97,0.06246036778693722
2000,geothermal/biomass/other,2.06,0.0653138871274572
2001,geothermal/biomass/other,2.14,0.06785034876347495
2002,geothermal/biomass/other,2.3,0.07292327203551047
2003,geothermal/biomass/other,2.43,0.07704502219403932
2004,geothermal/biomass/other,2.62,0.08306911857958148
2005,geothermal/biomass/other,2.84,0.09004438807863031
2006,geothermal/biomass/other,3.03,0.09606848446417247
2007,geothermal/biomass/other,3.28,0.10399492707672796
2008,geothermal/biomass/other,3.51,0.11128725428027901
2009,geothermal/biomass/other,3.77,0.11953075459733671
2010,geothermal/biomass/other,4.25,0.13474952441344323
2011,geothermal/biomass/other,4.49,0.1423589093214965
2012,geothermal/biomass/other,4.87,0.15440710209258085
2013,geothermal/biomass/other,5.27,0.16708941027266963
2014,geothermal/biomass/other,5.7,0.18072289156626506
2015,geothermal/biomass/other,6.16,0.19530754597336716
2016,geothermal/biomass/other,6.25,0.19816106531388714
2017,geothermal/biomass/other,6.66,0.21116043119847813
2018,geothermal/biomass/other,7.18,0.22764743183259353
2019,geothermal/biomass/other,7.54,0.23906150919467342
2020,geothermal/biomass/other,7.87,0.24952441344324666
2021,geothermal/biomass/other,8.54,0.2707672796448954
1965,hydroelectric,9.83,0.3116677235256817
1966,hydroelectric,10.47,0.3319594166138237
1967,hydroelectric,10.71,0.33956880152187696
1968,hydroelectric,11.28,0.35764109067850347
1969,hydroelectric,11.94,0.37856689917564995
1970,hydroelectric,12.5,0.39632213062777427
1971,hydroelectric,13.06,0.41407736207989854
1972,hydroelectric,13.68,0.43373493975903615
1973,hydroelectric,13.87,0.4397590361445783
1974,hydroelectric,15.24,0.48319594166138236
1975,hydroelectric,15.42,0.4889029803424223
1976,hydroelectric,15.36,0.487000634115409
1977,hydroelectric,15.88,0.5034876347495244
1978,hydroelectric,17.19,0.5450221940393152
1979,hydroelectric,18.05,0.572289156626506
1980,hydroelectric,18.43,0.5843373493975904
1981,hydroelectric,18.83,0.5970196575776792
1982,hydroelectric,19.17,0.6077996195307546
1983,hydroelectric,19.99,0.6337983512999366
1984,hydroelectric,20.67,0.6553582752060875
1985,hydroelectric,21.08,0.6683576410906785
1986,hydroelectric,21.36,0.6772352568167407
1987,hydroelectric,21.65,0.686429930247305
1988,hydroelectric,22.34,0.7083069118579581
1989,hydroelectric,22.22,0.7045022194039315
1990,hydroelectric,22.98,0.7285986049461002
1991,hydroelectric,23.52,0.74571972098922
1992,hydroelectric,23.51,0.7454026632847178
1993,hydroelectric,24.93,0.790424857324033
1994,hydroelectric,25.08,0.7951807228915663
1995,hydroelectric,26.44,0.8383005707038681
1996,hydroelectric,26.79,0.8493975903614458
1997,hydroelectric,27.26,0.8642993024730501
1998,hydroelectric,27.48,0.8712745719720989
1999,hydroelectric,27.68,0.8776157260621433
2000,hydroelectric,28.17,0.8931515535827521
2001,hydroelectric,27.27,0.8646163601775523
2002,hydroelectric,27.6,0.8750792644261256
2003,hydroelectric,27.38,0.8681039949270767
2004,hydroelectric,29.22,0.9264426125554851
2005,hydroelectric,30.01,0.9514901712111604
2006,hydroelectric,30.96,0.9816106531388713
2007,hydroelectric,31.28,0.9917564996829423
2008,hydroelectric,32.89,1.0428027901077996
2009,hydroelectric,32.64,1.034876347495244
2010,hydroelectric,34.26,1.0862396956246037
2011,hydroelectric,34.69,1.099873176918199
2012,hydroelectric,35.95,1.1398224476854788
2013,hydroelectric,37.17,1.1785034876347495
2014,hydroelectric,37.93,1.2025998731769183
2015,hydroelectric,37.6,1.192136968928345
2016,hydroelectric,38.67,1.2260621433100825
2017,hydroelectric,38.99,1.2362079898541534
2018,hydroelectric,39.84,1.263157894736842
2019,hydroelectric,40.15,1.272986683576411
2020,hydroelectric,41.09,1.3027901077996196
2021,hydroelectric,40.26,1.2764743183259353
1990,biofuels,0.3634,0.011521876981610652
1991,biofuels,0.3839,0.012171845275840204
1992,biofuels,0.3768,0.011946734305643627
1993,biofuels,0.3929,0.0124571972098922
1994,biofuels,0.4245,0.013459099556119214
1995,biofuels,0.4467,0.01416296766011414
1996,biofuels,0.4291,0.013604946100190234
1997,biofuels,0.4466,0.01415979708306912
1998,biofuels,0.4553,0.01443563728598605
1999,biofuels,0.4619,0.014644895370957514
2000,biofuels,0.4519,0.014327837666455295
2001,biofuels,0.438,0.01388712745719721
2002,biofuels,0.5447,0.017270133164235892
2003,biofuels,0.5159,0.016357006975269497
2004,biofuels,0.7279,0.02307863031071655
2005,biofuels,0.8652,0.027431832593532022
2006,biofuels,1.0729,0.03401712111604312
2007,biofuels,1.4081,0.04464489537095751
2008,biofuels,1.8986,0.060196575776791376
2009,biofuels,2.1612,0.06852251109701966
2010,biofuels,2.4882,0.07889029803424223
2011,biofuels,2.6212,0.08310716550412175
2012,biofuels,2.7149,0.08607799619530755
2013,biofuels,2.9487,0.09349080532656943
2014,biofuels,3.1277,0.09916613823715917
2015,biofuels,3.2583,0.10330691185795815
2016,biofuels,3.409,0.1080849714648066
2017,biofuels,3.5011,0.11100507292327204
2018,biofuels,3.7653,0.11938173747622068
2019,biofuels,4.0325,0.12785351934051997
2020,biofuels,3.836,0.12162333544705137
2021,biofuels,4.1037,0.13011097019657578
1965,total,155.88,4.942295497780596
1966,total,164.2,5.206087507926442
1967,total,170.38,5.402029169308814
1968,total,180.69,5.728915662650603
1969,total,192.82,6.1135066582117945
1970,total,205.08,6.502219403931515
1971,total,213.45,6.767596702599874
1972,total,224.89,7.1303107165504125
1973,total,238.05,7.547558655675333
1974,total,239.5,7.593532022828155
1975,total,240.67,7.630627774254914
1976,total,253.52,8.038046924540266
1977,total,262.84,8.333544705136333
1978,total,273.48,8.670894102726697
1979,total,282.87,8.96861128725428
1980,total,280.56,8.895370957514267
1981,total,279.38,8.857958148383005
1982,total,277.85,8.809448319594166
1983,total,282.35,8.952124286620165
1984,total,295.83,9.379518072289157
1985,total,303.47,9.621750158528853
1986,total,310.26,9.837032339885859
1987,total,321.08,10.18008877615726
1988,total,333.22,10.564996829422954
1989,total,339.68,10.769816106531389
1990,total,343.9,10.903614457831326
1991,total,346.37,10.981927710843374
1992,total,348.55,11.051046290424857
1993,total,351.29,11.137920101458466
1994,total,355.77,11.27996195307546
1995,total,363.78,11.533925174381737
1996,total,374.19,11.863982244768549
1997,total,377.99,11.984464172479392
1998,total,380.42,12.06150919467343
1999,total,387.05,12.271718452758401
2000,total,396.88,12.583386176284083
2001,total,400.76,12.706404565630946
2002,total,409.53,12.984464172479392
2003,total,424.09,13.446100190234622
2004,total,444.97,14.108116677235257
2005,total,459.23,14.560240963855422
2006,total,472.29,14.97431832593532
2007,total,486.91,15.437856689917565
2008,total,492.53,15.616043119847813
2009,total,485.02,15.377932783766646
2010,total,508.68,16.128091312618896
2011,total,520.9,16.51553582752061
2012,total,528.18,16.74635383639822
2013,total,537.56,17.043753963221306
2014,total,543.52,17.23272035510463
2015,total,548.14,17.379201014584655
2016,total,555.91,17.62555485098288
2017,total,566.66,17.966391883322764
2018,total,582.38,18.464806594800255
2019,total,587.43,18.624920735573873
2020,total,564.01,17.882371591629678
2021,total,595.15,18.86968928344959
1965,renewables + hydro,10.03,0.31800887761572605
1966,renewables + hydro,10.690000000000001,0.3389346861128726
1967,renewables + hydro,10.930000000000001,0.3465440710209259
1968,renewables + hydro,11.53,0.36556753329105895
1969,renewables + hydro,12.2,0.3868103994927077
1970,renewables + hydro,12.79,0.4055168040583386
1971,renewables + hydro,13.370000000000001,0.42390615091946743
1972,renewables + hydro,14.02,0.4445149017121116
1973,renewables + hydro,14.229999999999999,0.4511731135066582
1974,renewables + hydro,15.620000000000001,0.4952441344324668
1975,renewables + hydro,15.81,0.5012682308180089
1976,renewables + hydro,15.79,0.5006341154090045
1977,renewables + hydro,16.34,0.5180722891566265
1978,renewables + hydro,17.68,0.560558021559924
1979,renewables + hydro,18.57,0.5887761572606214
1980,renewables + hydro,18.98,0.6017755231452124
1981,renewables + hydro,19.419999999999998,0.61572606214331
1982,renewables + hydro,19.860000000000003,0.6296766011414079
1983,renewables + hydro,20.75,0.6578947368421053
1984,renewables + hydro,21.520000000000003,0.6823081800887763
1985,renewables + hydro,21.959999999999997,0.6962587190868736
1986,renewables + hydro,22.31,0.7073557387444515
1987,renewables + hydro,22.669999999999998,0.7187698161065313
1988,renewables + hydro,23.39,0.7415979708306912
1989,renewables + hydro,23.41,0.7422320862396956
1990,renewables + hydro,24.32,0.7710843373493976
1991,renewables + hydro,24.93,0.790424857324033
1992,renewables + hydro,25.020000000000003,0.793278376664553
1993,renewables + hydro,26.509999999999998,0.8405199746353835
1994,renewables + hydro,26.729999999999997,0.8474952441344323
1995,renewables + hydro,28.18,0.8934686112872543
1996,renewables + hydro,28.58,0.906150919467343
1997,renewables + hydro,29.200000000000003,0.9258084971464807
1998,renewables + hydro,29.53,0.9362714013950539
1999,renewables + hydro,29.89,0.9476854787571338
2000,renewables + hydro,30.57,0.9692454026632847
2001,renewables + hydro,29.84,0.9461001902346227
2002,renewables + hydro,30.470000000000002,0.9660748256182626
2003,renewables + hydro,30.49,0.966708941027267
2004,renewables + hydro,32.76,1.0386810399492707
2005,renewables + hydro,33.97,1.0770450221940393
2006,renewables + hydro,35.42,1.123018389346861
2007,renewables + hydro,36.39,1.1537729866835764
2008,renewables + hydro,38.77,1.2292327203551046
2009,renewables + hydro,39.4,1.2492073557387444
2010,renewables + hydro,42.31,1.3414711477488903
2011,renewables + hydro,44.2,1.4013950538998097
2012,renewables + hydro,47.06,1.4920735573874444
2013,renewables + hydro,50.040000000000006,1.586556753329106
2014,renewables + hydro,52.43,1.6623335447051364
2015,renewables + hydro,54.290000000000006,1.7213062777425494
2016,renewables + hydro,57.35,1.8183259353202283
2017,renewables + hydro,60.85,1.9292961318960051
2018,renewables + hydro,64.61,2.0485098287888395
2019,renewables + hydro,67.85,2.1512365250475587
2020,renewables + hydro,72.05000000000001,2.284400760938491
2021,renewables + hydro,76.07,2.411857958148383
1965,fossil fuels,145.55,4.614774889029803
1966,fossil fuels,153.13,4.8551046290424855
1967,fossil fuels,159.01,5.041534559289791
1968,fossil fuels,168.6,5.345592897907419
1969,fossil fuels,179.95,5.705453392517438
1970,fossil fuels,191.44,6.0697526949904885
1971,fossil fuels,198.92000000000002,6.306911857958149
1972,fossil fuels,209.27,6.635066582117945
1973,fossil fuels,221.69,7.028852251109702
1974,fossil fuels,221.12,7.010779961953076
1975,fossil fuels,221.05,7.00856055802156
1976,fossil fuels,233.26,7.39568801521877
1977,fossil fuels,240.95,7.639505389980976
1978,fossil fuels,249.35000000000002,7.905833861762842
1979,fossil fuels,257.56,8.166138237159164
1980,fossil fuels,254.19,8.059289790741914
1981,fossil fuels,251.28,7.967025998731769
1982,fossil fuels,248.55,7.880469245402663
1983,fossil fuels,250.88,7.9543436905516804
1984,fossil fuels,261.3,8.284717818642992
1985,fossil fuels,266.08,8.436271401395054
1986,fossil fuels,271.37,8.603994927076728
1987,fossil fuels,280.39,8.88998097653773
1988,fossil fuels,290.19000000000005,9.200697526949908
1989,fossil fuels,296.06,9.386810399492708
1990,fossil fuels,298.78,9.473050095117312
1991,fossil fuels,299.66,9.500951173113506
1992,fossil fuels,301.58,9.561826252377934
1993,fossil fuels,302.09,9.577996195307547
1994,fossil fuels,305.89,9.69847812301839
1995,fossil fuels,311.44,9.874445149017122
1996,fossil fuels,320.59999999999997,10.164870006341152
1997,fossil fuels,323.93,10.270450221940393
1998,fossil fuels,325.6,10.323398858592263
1999,fossil fuels,330.91999999999996,10.492073557387442
2000,fossil fuels,339.49,10.763792010145847
2001,fossil fuels,343.56,10.89283449587825
2002,fossil fuels,351.34000000000003,11.139505389980979
2003,fossil fuels,366.52,11.620798985415346
2004,fossil fuels,383.99,12.174698795180722
2005,fossil fuels,397.01,12.587507926442612
2006,fossil fuels,408.25,12.943880786303108
2007,fossil fuels,422.29,13.389029803424224
2008,fossil fuels,425.28,13.483830057070387
2009,fossil fuels,417.40999999999997,13.234305643627138
2010,fossil fuels,437.33,13.865884590995561
2011,fossil fuels,448.79,14.229232720355105
2012,fossil fuels,455.0,14.426125554850984
2013,fossil fuels,461.13,14.620481927710843
2014,fossil fuels,464.18,14.71718452758402
2015,fossil fuels,466.64,14.795180722891565
2016,fossil fuels,470.97,14.932466708941027
2017,fossil fuels,478.08,15.157894736842104
2018,fossil fuels,489.32,15.5142675967026
2019,fossil fuels,490.08,15.538363982244768
2020,fossil fuels,463.67999999999995,14.701331642358907
2021,fossil fuels,489.65999999999997,15.525047558655674
