country,year,power_usage_per_year_EJ,power_usage_TW
Chile,1998,1.00,0.031746948
Chile,1999,1.04,0.033110087
Chile,2000,1.10,0.035006458
Chile,2001,1.11,0.035241621
Chile,2002,1.15,0.036474656
Chile,2003,1.14,0.036265115
Chile,2004,1.20,0.038110646
Chile,2005,1.25,0.039601629
Chile,2006,1.33,0.042287012
Chile,2007,1.36,0.043204118
Chile,2008,1.35,0.042823384
Chile,2009,1.32,0.04193783
Chile,2010,1.33,0.042121415
Chile,2011,1.44,0.045793828
Chile,2012,1.48,0.046812678
Chile,2013,1.49,0.047276896
Chile,2014,1.46,0.046368706
Chile,2015,1.50,0.047408448
Chile,2016,1.57,0.049739796
Chile,2017,1.58,0.050089026
Chile,2018,1.66,0.05265305
Chile,2019,1.66,0.052499151
Colombia,1965,0.32,0.010074335
Colombia,1966,0.35,0.010977292
Colombia,1967,0.37,0.011686193
Colombia,1968,0.39,0.012311403
Colombia,1969,0.40,0.012523829
Colombia,1970,0.43,0.013663107
Colombia,1971,0.42,0.013428849
Colombia,1972,0.48,0.015084162
Colombia,1973,0.48,0.015062435
Colombia,1974,0.53,0.016878796
Colombia,1975,0.54,0.017226535
Colombia,1976,0.57,0.017945472
Colombia,1977,0.58,0.018352939
Colombia,1978,0.62,0.019631886
Colombia,1979,0.66,0.020855095
Colombia,1980,0.67,0.02121153
Colombia,1981,0.68,0.021715397
Colombia,1982,0.72,0.022707746
Colombia,1983,0.75,0.023866287
Colombia,1984,0.77,0.024501972
Colombia,1985,0.80,0.025472586
Colombia,1986,0.83,0.026303437
Colombia,1987,0.90,0.028599136
Colombia,1988,0.90,0.028619444
Colombia,1989,0.95,0.030113666
Colombia,1990,0.89,0.028161659
Colombia,1991,0.92,0.029249739
Colombia,1992,0.96,0.030593916
Colombia,1993,1.06,0.033682967
Colombia,1994,1.14,0.036164025
Colombia,1995,1.16,0.036725231
Colombia,1996,1.19,0.037667442
Colombia,1997,1.22,0.038768918
Colombia,1998,1.23,0.038994787
Colombia,1999,1.14,0.036069039
Colombia,2000,1.11,0.035149453
Colombia,2001,1.09,0.034584708
Colombia,2002,1.09,0.034456378
Colombia,2003,1.13,0.035670521
Colombia,2004,1.14,0.036299735
Colombia,2005,1.15,0.03637318
Colombia,2006,1.29,0.040775272
Colombia,2007,1.29,0.040917583
Colombia,2008,1.39,0.04419679
Colombia,2009,1.33,0.042155867
Colombia,2010,1.42,0.04512136
Colombia,2011,1.49,0.04718377
Colombia,2012,1.59,0.050492034
Colombia,2013,1.61,0.051190212
Colombia,2014,1.70,0.053969408
Colombia,2015,1.71,0.05428136
Colombia,2016,1.81,0.057289871
Colombia,2017,1.84,0.0583132
Colombia,2018,1.85,0.05873064
Colombia,2019,1.92,0.061009452
Ecuador,1965,0.03,0.000983015
Ecuador,1966,0.03,0.001034277
Ecuador,1967,0.04,0.001118964
Ecuador,1968,0.04,0.001322121
Ecuador,1969,0.04,0.001404407
Ecuador,1970,0.05,0.00167792
Ecuador,1971,0.06,0.001843659
Ecuador,1972,0.06,0.001926636
Ecuador,1973,0.07,0.002062981
Ecuador,1974,0.08,0.002408162
Ecuador,1975,0.08,0.002436421
Ecuador,1976,0.08,0.00268417
Ecuador,1977,0.10,0.003195191
Ecuador,1978,0.11,0.003337728
Ecuador,1979,0.11,0.003477981
Ecuador,1980,0.14,0.004412894
Ecuador,1981,0.15,0.004898403
Ecuador,1982,0.17,0.005381965
Ecuador,1983,0.17,0.005253941
Ecuador,1984,0.18,0.005820192
Ecuador,1985,0.22,0.006891894
Ecuador,1986,0.23,0.007212195
Ecuador,1987,0.23,0.007424448
Ecuador,1988,0.27,0.008584114
Ecuador,1989,0.28,0.008852727
Ecuador,1990,0.29,0.00914099
Ecuador,1991,0.32,0.010104037
Ecuador,1992,0.32,0.010053911
Ecuador,1993,0.33,0.010408425
Ecuador,1994,0.36,0.011316167
Ecuador,1995,0.34,0.01071661
Ecuador,1996,0.38,0.012187009
Ecuador,1997,0.43,0.01358777
Ecuador,1998,0.43,0.013659096
Ecuador,1999,0.39,0.012433642
Ecuador,2000,0.37,0.011727815
Ecuador,2001,0.38,0.011893835
Ecuador,2002,0.37,0.011728631
Ecuador,2003,0.38,0.011923585
Ecuador,2004,0.41,0.012868112
Ecuador,2005,0.43,0.013634595
Ecuador,2006,0.45,0.014417994
Ecuador,2007,0.48,0.015130639
Ecuador,2008,0.51,0.016088904
Ecuador,2009,0.50,0.015757221
Ecuador,2010,0.55,0.017519291
Ecuador,2011,0.58,0.018547866
Ecuador,2012,0.62,0.019584247
Ecuador,2013,0.64,0.020240781
Ecuador,2014,0.67,0.02125904
Ecuador,2015,0.67,0.021165737
Ecuador,2016,0.66,0.021042547
Ecuador,2017,0.69,0.021796946
Ecuador,2018,0.73,0.023025636
Ecuador,2019,0.74,0.023598067
Peru,1965,0.20,0.006394272
Peru,1966,0.25,0.007780449
Peru,1967,0.25,0.007918098
Peru,1968,0.25,0.008062581
Peru,1969,0.26,0.008119707
Peru,1970,0.26,0.008379355
Peru,1971,0.28,0.008755548
Peru,1972,0.25,0.007841316
Peru,1973,0.28,0.009006864
Peru,1974,0.33,0.010438272
Peru,1975,0.34,0.010749034
Peru,1976,0.34,0.010920159
Peru,1977,0.35,0.010986034
Peru,1978,0.34,0.010929892
Peru,1979,0.36,0.011373273
Peru,1980,0.38,0.012151834
Peru,1981,0.40,0.012758462
Peru,1982,0.40,0.012746924
Peru,1983,0.36,0.011267014
Peru,1984,0.37,0.0118775
Peru,1985,0.37,0.011777176
Peru,1986,0.40,0.012604143
Peru,1987,0.43,0.013544243
Peru,1988,0.42,0.01321919
Peru,1989,0.38,0.012138493
Peru,1990,0.38,0.012007164
Peru,1991,0.38,0.011900087
Peru,1992,0.37,0.011619279
Peru,1993,0.40,0.01264614
Peru,1994,0.43,0.013761589
Peru,1995,0.47,0.015009824
Peru,1996,0.49,0.015521624
Peru,1997,0.49,0.015656753
Peru,1998,0.50,0.015710888
Peru,1999,0.51,0.01616612
Peru,2000,0.52,0.016640604
Peru,2001,0.52,0.016428231
Peru,2002,0.53,0.016821152
Peru,2003,0.52,0.01657739
Peru,2004,0.56,0.017664271
Peru,2005,0.58,0.018473254
Peru,2006,0.59,0.018613702
Peru,2007,0.64,0.020410257
Peru,2008,0.69,0.022027034
Peru,2009,0.71,0.022573503
Peru,2010,0.80,0.025436808
Peru,2011,0.91,0.028713625
Peru,2012,0.92,0.029064329
Peru,2013,0.94,0.029759048
Peru,2014,0.96,0.030414351
Peru,2015,1.02,0.032387048
Peru,2016,1.09,0.034409754
Peru,2017,1.09,0.034479846
Peru,2018,1.14,0.03617604
Peru,2019,1.16,0.036825862
Trinidad & Tobago,1965,0.12,0.003838058
Trinidad & Tobago,1966,0.13,0.004083658
Trinidad & Tobago,1967,0.14,0.004353082
Trinidad & Tobago,1968,0.14,0.004487363
Trinidad & Tobago,1969,0.15,0.004627528
Trinidad & Tobago,1970,0.16,0.005099876
Trinidad & Tobago,1971,0.16,0.00515296
Trinidad & Tobago,1972,0.22,0.007102938
Trinidad & Tobago,1973,0.22,0.007045311
Trinidad & Tobago,1974,0.21,0.006786166
Trinidad & Tobago,1975,0.17,0.005467936
Trinidad & Tobago,1976,0.19,0.006148264
Trinidad & Tobago,1977,0.20,0.006396528
Trinidad & Tobago,1978,0.20,0.006440229
Trinidad & Tobago,1979,0.18,0.0056901
Trinidad & Tobago,1980,0.17,0.005471849
Trinidad & Tobago,1981,0.18,0.005778136
Trinidad & Tobago,1982,0.21,0.006786372
Trinidad & Tobago,1983,0.21,0.006621384
Trinidad & Tobago,1984,0.21,0.006526729
Trinidad & Tobago,1985,0.21,0.006745169
Trinidad & Tobago,1986,0.22,0.007012876
Trinidad & Tobago,1987,0.21,0.00662027
Trinidad & Tobago,1988,0.23,0.007275655
Trinidad & Tobago,1989,0.23,0.007157841
Trinidad & Tobago,1990,0.25,0.007942726
Trinidad & Tobago,1991,0.25,0.007918916
Trinidad & Tobago,1992,0.26,0.008381815
Trinidad & Tobago,1993,0.28,0.008835172
Trinidad & Tobago,1994,0.30,0.009362969
Trinidad & Tobago,1995,0.32,0.010153768
Trinidad & Tobago,1996,0.36,0.011504729
Trinidad & Tobago,1997,0.36,0.011501706
Trinidad & Tobago,1998,0.37,0.011674725
Trinidad & Tobago,1999,0.41,0.012975705
Trinidad & Tobago,2000,0.43,0.013563018
Trinidad & Tobago,2001,0.46,0.014633851
Trinidad & Tobago,2002,0.50,0.01588018
Trinidad & Tobago,2003,0.56,0.017804291
Trinidad & Tobago,2004,0.62,0.019579453
Trinidad & Tobago,2005,0.66,0.020993706
Trinidad & Tobago,2006,0.77,0.024520227
Trinidad & Tobago,2007,0.80,0.025285099
Trinidad & Tobago,2008,0.79,0.024913127
Trinidad & Tobago,2009,0.78,0.024706662
Trinidad & Tobago,2010,0.84,0.026694053
Trinidad & Tobago,2011,0.83,0.026215037
Trinidad & Tobago,2012,0.81,0.025807202
Trinidad & Tobago,2013,0.83,0.026286056
Trinidad & Tobago,2014,0.82,0.026150956
Trinidad & Tobago,2015,0.80,0.025373727
Trinidad & Tobago,2016,0.71,0.022512236
Trinidad & Tobago,2017,0.75,0.023887945
Trinidad & Tobago,2018,0.71,0.022620431
Trinidad & Tobago,2019,0.71,0.022629047
Venezuela,1965,0.69,0.021828218
Venezuela,1966,0.70,0.022035644
Venezuela,1967,0.73,0.023230234
Venezuela,1968,0.79,0.025047101
Venezuela,1969,0.80,0.025316599
Venezuela,1970,0.81,0.025537846
Venezuela,1971,0.82,0.025938027
Venezuela,1972,0.86,0.027412381
Venezuela,1973,0.99,0.031377474
Venezuela,1974,1.02,0.03243226
Venezuela,1975,1.06,0.033711292
Venezuela,1976,1.16,0.036844086
Venezuela,1977,1.29,0.041054262
Venezuela,1978,1.32,0.041953162
Venezuela,1979,1.46,0.046238636
Venezuela,1980,1.63,0.051775366
Venezuela,1981,1.69,0.053712154
Venezuela,1982,1.73,0.054769349
Venezuela,1983,1.72,0.054528385
Venezuela,1984,1.75,0.055562146
Venezuela,1985,1.80,0.057037757
Venezuela,1986,1.93,0.061263635
Venezuela,1987,1.93,0.061098367
Venezuela,1988,2.01,0.063598623
Venezuela,1989,2.02,0.064129857
Venezuela,1990,2.15,0.06813371
Venezuela,1991,2.16,0.068445527
Venezuela,1992,2.34,0.074093698
Venezuela,1993,2.31,0.073295348
Venezuela,1994,2.51,0.079571835
Venezuela,1995,2.59,0.081973249
Venezuela,1996,2.52,0.079808671
Venezuela,1997,2.66,0.084360589
Venezuela,1998,2.82,0.089526283
Venezuela,1999,2.72,0.086347363
Venezuela,2000,2.78,0.088061013
Venezuela,2001,2.94,0.093341428
Venezuela,2002,2.94,0.093137705
Venezuela,2003,2.64,0.083631212
Venezuela,2004,2.94,0.093203464
Venezuela,2005,3.07,0.097254271
Venezuela,2006,3.41,0.108116765
Venezuela,2007,3.43,0.108769461
Venezuela,2008,3.55,0.112417231
Venezuela,2009,3.53,0.111931939
Venezuela,2010,3.33,0.105539273
Venezuela,2011,3.48,0.11035237
Venezuela,2012,3.62,0.114876888
Venezuela,2013,3.53,0.112031146
Venezuela,2014,3.41,0.108267499
Venezuela,2015,3.29,0.104457057
Venezuela,2016,2.99,0.094781565
Venezuela,2017,2.86,0.090526259
Venezuela,2018,2.45,0.077808285
Venezuela,2019,2.23,0.070603655
Central America,1965,0.18,0.005784632
Central America,1966,0.19,0.005883584
Central America,1967,0.20,0.006226335
Central America,1968,0.20,0.006395743
Central America,1969,0.22,0.006836605
Central America,1970,0.22,0.007130958
Central America,1971,0.24,0.007462537
Central America,1972,0.26,0.008135838
Central America,1973,0.27,0.008534834
Central America,1974,0.28,0.008780542
Central America,1975,0.30,0.009630075
Central America,1976,0.32,0.010016358
Central America,1977,0.32,0.010118106
Central America,1978,0.33,0.010587864
Central America,1979,0.34,0.01083325
Central America,1980,0.33,0.010535991
Central America,1981,0.34,0.010671799
Central America,1982,0.34,0.010629594
Central America,1983,0.34,0.010655259
Central America,1984,0.34,0.010775584
Central America,1985,0.35,0.011036182
Central America,1986,0.36,0.011432271
Central America,1987,0.38,0.012175726
Central America,1988,0.38,0.012083455
Central America,1989,0.41,0.012847952
Central America,1990,0.42,0.013299727
Central America,1991,0.44,0.014080858
Central America,1992,0.49,0.015435273
Central America,1993,0.52,0.016573783
Central America,1994,0.55,0.017585189
Central America,1995,0.60,0.018977635
Central America,1996,0.61,0.01926938
Central America,1997,0.64,0.020328366
Central America,1998,0.71,0.022564375
Central America,1999,0.74,0.02332294
Central America,2000,0.77,0.0243592
Central America,2001,0.79,0.025196745
Central America,2002,0.81,0.025562893
Central America,2003,0.84,0.026715125
Central America,2004,0.87,0.027461434
Central America,2005,0.88,0.027761059
Central America,2006,0.92,0.02922046
Central America,2007,0.97,0.030623602
Central America,2008,0.99,0.031376891
Central America,2009,0.97,0.030786662
Central America,2010,1.01,0.032056148
Central America,2011,1.06,0.033691642
Central America,2012,1.10,0.034878771
Central America,2013,1.11,0.0351806
Central America,2014,1.15,0.036326327
Central America,2015,1.25,0.039564944
Central America,2016,1.30,0.041315184
Central America,2017,1.34,0.042522025
Central America,2018,1.40,0.044263722
Central America,2019,1.42,0.044925766
Carribean (other),1965,0.79,0.025114888
Carribean (other),1966,0.82,0.026011503
Carribean (other),1967,0.85,0.027069001
Carribean (other),1968,0.87,0.027653419
Carribean (other),1969,0.89,0.028351899
Carribean (other),1970,1.02,0.0324608
Carribean (other),1971,1.06,0.033572613
Carribean (other),1972,1.13,0.035836421
Carribean (other),1973,1.22,0.038636817
Carribean (other),1974,1.21,0.03841904
Carribean (other),1975,1.18,0.037374412
Carribean (other),1976,1.20,0.038082904
Carribean (other),1977,1.26,0.039955924
Carribean (other),1978,1.29,0.04101678
Carribean (other),1979,1.33,0.042314424
Carribean (other),1980,1.50,0.047546964
Carribean (other),1981,1.52,0.048069043
Carribean (other),1982,1.33,0.042020827
Carribean (other),1983,1.28,0.040450044
Carribean (other),1984,1.35,0.042842164
Carribean (other),1985,1.27,0.040293307
Carribean (other),1986,1.25,0.039709593
Carribean (other),1987,1.30,0.041296566
Carribean (other),1988,1.32,0.041737584
Carribean (other),1989,1.37,0.04338101
Carribean (other),1990,1.35,0.042766598
Carribean (other),1991,1.32,0.041787471
Carribean (other),1992,1.25,0.039621515
Carribean (other),1993,1.25,0.03967557
Carribean (other),1994,1.31,0.041506314
Carribean (other),1995,1.31,0.041566773
Carribean (other),1996,1.36,0.043086365
Carribean (other),1997,1.44,0.045584415
Carribean (other),1998,1.49,0.047299147
Carribean (other),1999,1.45,0.046043322
Carribean (other),2000,1.65,0.052219742
Carribean (other),2001,1.68,0.053250603
Carribean (other),2002,1.71,0.054080161
Carribean (other),2003,1.74,0.055147374
Carribean (other),2004,1.76,0.055655342
Carribean (other),2005,1.76,0.055768784
Carribean (other),2006,1.80,0.057172861
Carribean (other),2007,1.75,0.055379591
Carribean (other),2008,1.69,0.053464107
Carribean (other),2009,1.57,0.049909503
Carribean (other),2010,1.56,0.049364145
Carribean (other),2011,1.58,0.049955606
Carribean (other),2012,1.57,0.04972239
Carribean (other),2013,1.54,0.048741185
Carribean (other),2014,1.52,0.048152238
Carribean (other),2015,1.56,0.04933802
Carribean (other),2016,1.61,0.0509373
Carribean (other),2017,1.57,0.049846755
Carribean (other),2018,1.63,0.051791687
Carribean (other),2019,1.68,0.053333616
South America (other),1965,0.11,0.00354768
South America (other),1966,0.13,0.004060273
South America (other),1967,0.14,0.004330804
South America (other),1968,0.14,0.004478016
South America (other),1969,0.15,0.004804889
South America (other),1970,0.16,0.005029182
South America (other),1971,0.18,0.005552529
South America (other),1972,0.19,0.006157122
South America (other),1973,0.20,0.006372444
South America (other),1974,0.19,0.005907635
South America (other),1975,0.21,0.006511402
South America (other),1976,0.21,0.006597789
South America (other),1977,0.22,0.007018291
South America (other),1978,0.25,0.007937538
South America (other),1979,0.26,0.008273802
South America (other),1980,0.28,0.008747242
South America (other),1981,0.26,0.008223776
South America (other),1982,0.25,0.007948364
South America (other),1983,0.24,0.007577122
South America (other),1984,0.24,0.007646434
South America (other),1985,0.28,0.008974996
South America (other),1986,0.37,0.01176856
South America (other),1987,0.44,0.013889834
South America (other),1988,0.47,0.014747129
South America (other),1989,0.51,0.01617554
South America (other),1990,0.55,0.017498695
South America (other),1991,0.58,0.018484022
South America (other),1992,0.59,0.018737251
South America (other),1993,0.64,0.020290655
South America (other),1994,0.72,0.02270823
South America (other),1995,0.80,0.025477405
South America (other),1996,0.84,0.02667274
South America (other),1997,0.91,0.028952955
South America (other),1998,0.95,0.030111947
South America (other),1999,0.95,0.030104921
South America (other),2000,0.93,0.029574231
South America (other),2001,0.86,0.027371641
South America (other),2002,0.89,0.02829661
South America (other),2003,0.93,0.029617741
South America (other),2004,0.92,0.029117185
South America (other),2005,0.93,0.029399338
South America (other),2006,0.93,0.029377912
South America (other),2007,1.00,0.031581474
South America (other),2008,1.02,0.032475503
South America (other),2009,1.05,0.033422717
South America (other),2010,1.10,0.034985207
South America (other),2011,1.12,0.035557488
