,Observed GMSL [lower],Observed GMSL [mean],Observed GMSL [upper],Sum of contributors [lower],Sum of contributors [mean],Sum of contributors [upper],Steric [lower],Steric [mean],Steric [upper],Glaciers [lower],Glaciers [mean],Glaciers [upper],Greenland Ice Sheet [lower],Greenland Ice Sheet [mean],Greenland Ice Sheet [upper],Antarctic Ice Sheet [lower],Antarctic Ice Sheet [mean],Antarctic Ice Sheet [upper],Terrestrial Water Storage [lower],Terrestrial Water Storage [mean],Terrestrial Water Storage [upper],Reservoir impoundment [lower],Reservoir impoundment [mean],Reservoir impoundment [upper],Groundwater depletion [lower],Groundwater depletion [mean],Groundwater depletion [upper],Natural TWS [lower],Natural TWS [mean],Natural TWS [upper],Altimetry [lower],Altimetry [mean],Altimetry [upper]
1910,-207.385068,-177.1214733,-145.5295388,-188.182373,-165.3858795,-142.627533,-66.61515045,-57.15438843,-46.93889618,-86.25,-71.751091,-55.79999924,-49.45000076,-43.85770035,-38.29999924,-14.94999981,-8.951540947,-3.400000095,6.849999905,16.35335732,26.04999924,17,25.51545715,34.15000153,-16.14999962,-12.17353916,-8,-0.25,1.756786704,4.050000191,,,
1911,-191.8108158,-161.7185676,-131.3730538,-186.8563995,-164.0583496,-142.1719666,-67.1920929,-57.20583725,-46.94189835,-85.15000153,-70.86196899,-55.04999924,-49.29999924,-43.78565979,-38.29999924,-14.85000038,-8.897089005,-3.400000095,7.25,16.71662712,26.25,17,25.46408272,34.04999924,-16.10000038,-12.13563156,-7.949999809,0,2.13333416,4.5,,,
1912,-182.9197737,-154.0655408,-124.0754255,-185.0629272,-162.8556366,-140.0537415,-66.75679016,-57.14979553,-46.99798965,-84.25,-70.1114502,-54.40000153,-48.75,-43.26035309,-37.75,-14.75,-8.84277153,-3.450000048,7.150000095,16.53230286,25.85000038,16.95000076,25.43799019,34.04999924,-16.04999924,-12.09735584,-7.949999809,-0.200000003,1.937568426,4.199999809,,,
1913,-176.3063066,-146.4479,-117.0183157,-184.6943054,-162.2538147,-139.826416,-65.86151886,-56.56736374,-46.77301788,-83.40000153,-69.42710114,-53.75,-48.29999924,-42.9211731,-37.40000153,-14.60000038,-8.788794518,-3.450000048,6,15.47516155,24.75,16.95000076,25.41564369,34,-16,-12.06012726,-7.900000095,-1.25,0.874196649,3.049999952,,,
1914,-173.5110312,-144.456943,-115.3748695,-180.546936,-158.4368591,-136.8248749,-66.03174591,-55.52489471,-44.92617035,-82.09999847,-68.29491425,-52.84999847,-48.09999847,-42.76308823,-37.45000076,-14.44999981,-8.734428406,-3.450000048,7.349999905,16.90459442,26.45000076,16.95000076,25.38898087,34,-15.94999981,-12.02192974,-7.900000095,0.25,2.281974792,4.599999905,,,
1915,-169.1589509,-140.9473325,-111.3261012,-176.9510498,-155.3619232,-133.5387878,-65.15432739,-55.26660919,-44.83843231,-80.44999695,-66.74526215,-51.65000153,-47.70000076,-42.44059372,-37.25,-14.35000038,-8.680113792,-3.450000048,8.350000381,17.79461479,27.20000076,16.95000076,25.37005234,33.95000076,-15.89999962,-11.9815855,-7.849999905,1,3.148117542,5.449999809,,,
1916,-195.3119609,-167.2579572,-138.2313982,-177.3026276,-156.1022034,-133.9844971,-64.73332977,-54.9127121,-44.82182693,-79.15000153,-65.74427032,-50.59999847,-47.54999924,-42.26547241,-37.09999847,-14.19999981,-8.625926971,-3.450000048,5.900000095,15.4715519,24.79999924,16.89999962,25.34704971,33.90000153,-15.85000038,-11.94075584,-7.800000191,-1.299999952,0.820296168,3.099999905,,,
1917,-185.0263806,-157.3991469,-128.19105,-178.3976288,-156.7635956,-135.5226135,-64.6296463,-54.69734955,-44.21012115,-77.65000153,-64.55024719,-49.5,-46.75,-41.57772064,-36.45000076,-14.10000038,-8.572176933,-3.450000048,3.25,12.65879631,22.10000038,16.89999962,25.33760262,33.90000153,-15.80000019,-11.89687252,-7.75,-4.150000095,-1.99456358,0.300000012,,,
1918,-180.9585124,-153.3645386,-125.1535959,-174.1986389,-153.3141022,-131.5606689,-64.74121094,-54.72300339,-44.36013031,-76.19999695,-63.50144577,-48.70000076,-46.59999847,-41.46857071,-36.45000076,-14,-8.517278671,-3.5,5.449999809,14.92122459,24.35000038,16.89999962,25.31007767,33.90000153,-15.75,-11.85420322,-7.75,-2.049999952,0.229924515,2.450000048,,,
1919,-175.2847929,-146.9235373,-119.0321395,-171.2929993,-150.6475677,-128.902359,-64.83634186,-54.93631744,-44.8267746,-75.19999695,-62.63396072,-47.95000076,-46.34999847,-41.30270767,-36.34999847,-13.89999962,-8.462777138,-3.5,7.25,16.7130127,26.10000038,16.89999962,25.30074501,33.84999847,-15.69999981,-11.81377029,-7.75,-0.050000001,1.969646931,4.150000095,,,
1920,-164.7738701,-138.2963235,-110.4518786,-170.9093018,-150.3345184,-128.8621368,-64.59311676,-54.80710983,-45.1482811,-74.55000305,-62.11164856,-47.45000076,-46.15000153,-41.12319946,-36.25,-13.75,-8.409239769,-3.5,6.800000191,16.14232063,25.39999962,16.85000038,25.29157066,33.84999847,-15.64999962,-11.76761913,-7.699999809,-1.049999952,1.368692636,3.75,,,
1921,-165.4742562,-138.6246366,-111.9796314,-169.6152649,-150.1465302,-129.397995,-63.04761887,-55.03212357,-45.98583984,-73.94999695,-61.49795914,-47.04999924,-46,-40.96414566,-36.04999924,-13.64999962,-8.354958534,-3.5,6.199999809,15.72670364,25.14999962,16.85000038,25.26767921,33.79999924,-15.55000019,-11.72273064,-7.650000095,-1.149999976,0.935137689,3.200000048,,,
1922,-167.3019403,-140.1698192,-112.6681142,-169.4658051,-150.0041351,-129.7702789,-63.42034531,-55.09238434,-46.44710922,-73.15000153,-60.75429535,-46.34999847,-46.04999924,-41.16040421,-36.29999924,-13.55000019,-8.300263405,-3.5,6,15.32865143,24.79999924,16.85000038,25.25572014,33.79999924,-15.5,-11.67612743,-7.599999905,-1.649999976,0.510460079,2.849999905,,,
1923,-182.6383038,-154.9730606,-126.2868342,-170.5843048,-150.8780518,-130.9278717,-63.59563065,-55.52363205,-47.02436829,-71.80000305,-59.56335449,-45.34999847,-45.75,-40.83682251,-36.04999924,-13.39999962,-8.246496201,-3.450000048,3.900000095,13.3177042,22.54999924,16.85000038,25.24207306,33.79999924,-15.44999981,-11.63072491,-7.599999905,-3.599999905,-1.508753777,0.699999988,,,
1924,-174.9770255,-149.7155083,-123.5410128,-167.8015137,-148.2207794,-128.1169128,-63.96157455,-55.45386887,-46.16325378,-70.69999695,-58.62261963,-44.54999924,-45,-40.24991226,-35.54999924,-13.25,-8.191628456,-3.450000048,5.099999905,14.32192802,23.60000038,16.79999924,25.22130203,33.75,-15.39999962,-11.58344841,-7.550000191,-2.599999905,-0.539476335,1.700000048,,,
1925,-180.6090394,-154.365165,-127.7419207,-165.905777,-146.287323,-126.1723404,-63.41887283,-54.7929039,-45.60277176,-69.55000305,-57.68900299,-43.70000076,-44.75,-40.05806732,-35.34999847,-13.14999962,-8.137795448,-3.450000048,4.949999809,14.41570663,23.60000038,16.79999924,25.19303131,33.75,-15.35000038,-11.53474712,-7.550000191,-2.450000048,-0.468246818,1.700000048,,,
1926,-179.1875015,-155.0322035,-129.5458648,-163.5377197,-144.0977936,-123.9695969,-62.45146942,-53.94831467,-45.00859451,-68.25,-56.62620544,-42.79999924,-43.65000153,-39.03787613,-34.40000153,-13.05000019,-8.082689285,-3.450000048,4.199999809,13.62185097,22.85000038,16.79999924,25.15267181,33.70000076,-15.25,-11.48653126,-7.5,-3.400000095,-1.262055039,1.049999952,,,
1927,-172.1679451,-148.160054,-123.5259412,-161.3008881,-142.634491,-122.8103943,-61.84156799,-53.43021774,-44.39879227,-66.90000153,-55.49388504,-41.75,-42.90000153,-38.28416061,-33.65000153,-12.89999962,-8.029065132,-3.5,3.349999905,12.6289854,21.75,16.75,25.11469841,33.65000153,-15.19999981,-11.4336071,-7.449999809,-4.5,-2.261519909,0,,,
1928,-175.2893875,-150.637487,-125.2716354,-156.8247986,-138.0876312,-119.0312958,-61.13856506,-52.71058655,-43.84347916,-65.55000305,-54.47127914,-40.79999924,-41.70000076,-37.1605072,-32.65000153,-12.80000019,-7.975211143,-3.5,5,14.25476456,23.5,16.75,25.09354019,33.59999847,-15.14999962,-11.38452721,-7.400000095,-2.799999952,-0.676620901,1.549999952,,,
1929,-175.7120653,-151.3293956,-127.633752,-152.9051208,-134.9098358,-116.0490112,-60.30548096,-52.37741852,-43.3902359,-64.25,-53.49627686,-39.79999924,-40.54999924,-36.13228226,-31.75,-12.69999981,-7.921007633,-3.5,5.849999905,15.04135323,24.10000038,16.70000076,25.0741539,33.54999924,-15.10000038,-11.33135509,-7.400000095,-2,0.064504363,2.25,,,
1930,-170.0059865,-146.430963,-122.1276063,-150.0790863,-131.7498627,-112.2763062,-59.93339157,-52.00357437,-43.09970856,-63.15000153,-52.53492355,-38.95000076,-39.95000076,-35.51887131,-31.14999962,-12.55000019,-7.866346359,-3.5,7.150000095,16.19835281,25.29999924,16.70000076,25.03286171,33.5,-15,-11.27975559,-7.349999905,-0.850000024,1.196305752,3.349999905,,,
1931,-170.2371986,-146.1100856,-121.6057183,-146.3266449,-128.2317505,-109.0532379,-59.78192139,-51.67815781,-43.39293289,-61.65000153,-51.21866226,-37.75,-38.04999924,-33.67486191,-29.35000038,-12.44999981,-7.812622547,-3.5,7.050000191,16.17617989,25.45000076,16.64999962,24.98532104,33.40000153,-14.89999962,-11.22540569,-7.300000191,-1.049999952,1.167880297,3.400000095,,,
1932,-155.392679,-131.7929535,-107.8000564,-144.1975861,-126.0457687,-107.521225,-59.36685181,-51.29719925,-42.69807816,-60.5,-50.2873497,-37.15000153,-37.04999924,-32.69800949,-28.39999962,-12.30000019,-7.757341385,-3.5,6.900000095,16.01999283,25.35000038,16.64999962,24.95407486,33.40000153,-14.85000038,-11.16590595,-7.25,-1.149999976,0.986799359,3.299999952,,,
1933,-162.1464607,-137.9301246,-113.8930589,-141.6161194,-123.57341,-104.8005524,-59.17364502,-50.85221863,-42.22107315,-59.45000076,-49.37897873,-36.34999847,-35.84999847,-31.60116005,-27.35000038,-12.19999981,-7.703495502,-3.5,6.900000095,15.98757839,25.10000038,16.60000038,24.92921066,33.34999847,-14.80000019,-11.11215305,-7.199999809,-1.100000024,0.92455399,3.25,,,
1934,-173.8665265,-151.1301009,-127.3955137,-139.9310608,-122.3564682,-103.233078,-59.41406631,-50.71304703,-41.17224503,-58.54999924,-48.64113235,-35.75,-34.84999847,-30.64511108,-26.45000076,-12.10000038,-7.648875237,-3.549999952,6.25,15.31676388,24.45000076,16.60000038,24.87231636,33.29999924,-14.69999981,-11.05461693,-7.199999809,-1.799999952,0.26276502,2.5,,,
1935,-162.8529302,-138.7756249,-116.2140601,-137.5259705,-120.6118622,-102.202179,-58.17271423,-50.05358124,-41.93171692,-57.54999924,-47.76176834,-34.90000153,-33.70000076,-29.529562,-25.29999924,-11.94999981,-7.594862938,-3.549999952,5.099999905,14.35338306,23.39999962,16.5,24.76190758,33.15000153,-14.64999962,-10.99604607,-7.150000095,-2.799999952,-0.638418198,1.549999952,,,
1936,-167.8972222,-144.5950596,-122.1015514,-133.0067749,-115.3171234,-96.47569275,-57.25800705,-49.01334,-40.11263657,-56.25,-46.69285202,-33.90000153,-32.40000153,-28.27721596,-24,-11.85000038,-7.540827751,-3.549999952,7.150000095,16.23234558,25.35000038,16.5,24.7165451,33.09999847,-14.55000019,-10.93554306,-7.099999905,-0.850000024,1.202380896,3.400000095,,,
1937,-158.2683406,-135.3654868,-113.5315749,-129.4596405,-112.4323807,-94.49187469,-55.66259003,-47.84865952,-39.51002502,-55.09999847,-45.75279617,-32.95000076,-31.60000038,-27.62118149,-23.5,-11.69999981,-7.486982346,-3.5,7.400000095,16.30110741,25.20000076,16.45000076,24.67122269,33.04999924,-14.44999981,-10.87451935,-7.050000191,-0.699999988,1.254732966,3.400000095,,,
1938,-147.7586808,-125.8680591,-103.6665614,-127.6632385,-110.4211807,-91.69044495,-55.33403397,-46.6256218,-37.65002823,-54.04999924,-44.77358246,-32.09999847,-31.25,-27.210392,-23.14999962,-11.60000038,-7.431713581,-3.5,6.650000095,15.64494801,24.45000076,16.39999962,24.60046577,32.95000076,-14.39999962,-10.81365299,-7,-1.5,0.616803944,2.950000048,,,
1939,-142.7823348,-121.6888058,-99.95375982,-125.5359497,-107.9625473,-90.01850891,-53.69908905,-45.20036697,-36.3117485,-53.20000076,-43.99297714,-31.39999962,-30.75,-26.73357773,-22.75,-11.44999981,-7.377940178,-3.5,6.400000095,15.36816883,24.25,16.35000038,24.56047821,32.90000153,-14.35000038,-10.74798298,-6.949999809,-1.899999976,0.317433536,2.650000095,,,
1940,-153.9127042,-132.3584223,-111.5368348,-121.7051239,-104.6778107,-86.72672272,-51.95581818,-43.87549591,-35.30195999,-52.09999847,-43.04232025,-30.5,-30.35000038,-26.31389618,-22.35000038,-11.35000038,-7.323640823,-3.5,6.949999809,15.90256119,25,16.35000038,24.51537514,32.84999847,-14.25,-10.68256378,-6.900000095,-1.25,0.824583232,3.049999952,,,
1941,-138.0897844,-117.0144939,-96.12569037,-119.3109589,-102.2088699,-84.09988403,-51.47165298,-43.11029816,-34.39969254,-50.90000153,-42.00475311,-29.54999924,-29.64999962,-25.69233704,-21.79999924,-11.19999981,-7.269779205,-3.549999952,7.050000191,15.89297676,24.79999924,16.25,24.35159683,32.59999847,-14.14999962,-10.61703587,-6.849999905,-1.100000024,0.913153231,3.25,,,
1942,-136.6612394,-116.8616269,-96.27787873,-118.0326843,-100.4829407,-82.42024231,-49.90243912,-41.85379791,-33.0896759,-49.75,-41.06314468,-28.54999924,-29.14999962,-25.2123127,-21.45000076,-11.10000038,-7.215502262,-3.549999952,5.949999809,14.88640022,23.79999924,16.10000038,24.16674042,32.34999847,-14.05000019,-10.54956436,-6.849999905,-2.099999905,0.036332469,2.25,,,
1943,-130.7931105,-110.3382159,-90.35657684,-114.666893,-97.7625885,-79.65737152,-48.32549286,-40.20333481,-31.50354576,-48.5,-39.97578049,-27.5,-28.39999962,-24.51369858,-20.79999924,-11,-7.16039896,-3.5,5.199999809,14.11512566,23.04999924,16.04999924,24.0699501,32.25,-13.94999981,-10.47981262,-6.800000191,-2.75,-0.697461426,1.549999952,,,
1944,-138.6862678,-118.8720806,-99.57439996,-109.817276,-93.46154785,-76.37685394,-46.88611603,-38.99925613,-30.51969147,-47.09999847,-38.81484985,-26.45000076,-27.79999924,-24.01293373,-20.35000038,-10.85000038,-7.106714725,-3.5,6.650000095,15.49832916,24.5,16,23.98821831,32.15000153,-13.89999962,-10.41505909,-6.75,-1.450000048,0.684313953,3.099999905,,,
1945,-138.5608376,-119.1719927,-99.30499182,-109.8155518,-93.4901123,-76.67559052,-46.67401886,-38.89792252,-30.72695923,-45.95000076,-37.81468201,-25.70000076,-27.75,-23.97104454,-20.35000038,-10.75,-7.052173615,-3.5,5.400000095,14.27181339,23.10000038,15.94999981,23.94617653,32.09999847,-13.80000019,-10.34364033,-6.699999809,-2.700000048,-0.553692937,1.700000048,,,
1946,-123.3203658,-104.4705077,-84.85604179,-108.9563141,-92.26482391,-74.60751343,-47.43530655,-39.00972366,-30.24406624,-44.84999847,-36.88127136,-24.75,-27.45000076,-23.7762413,-20.14999962,-10.64999962,-6.997551918,-3.5,5.599999905,14.42496777,23.10000038,15.89999962,23.89381218,32,-13.69999981,-10.27103043,-6.650000095,-2.549999952,-0.424076855,1.950000048,,,
1947,-131.309892,-112.5419069,-94.08806307,-108.0885162,-91.88301849,-74.96027374,-47.73482513,-39.52290726,-30.91557312,-43.70000076,-35.84194183,-23.79999924,-27,-23.25448036,-19.64999962,-10.55000019,-6.943964958,-3.5,4.900000095,13.70422745,22.54999924,15.89999962,23.85521889,31.95000076,-13.60000038,-10.19375896,-6.550000191,-3.25,-1.174166679,1.200000048,,,
1948,-123.5531467,-104.6074737,-85.92068864,-107.5277557,-91.29312134,-74.25650024,-48.85261154,-40.56562042,-31.86532211,-42.70000076,-34.92813873,-22.95000076,-25.89999962,-22.29762459,-18.79999924,-10.39999962,-6.889262199,-3.5,4.699999809,13.41252708,21.95000076,15.85000038,23.80349922,31.89999962,-13.5,-10.11841011,-6.5,-3.549999952,-1.487156868,0.649999976,,,
1949,-110.654098,-92.32075069,-74.11493849,-106.2129517,-89.88760376,-72.94526672,-48.88920593,-41.16189957,-32.70880127,-41.84999847,-34.30861664,-22.35000038,-24.75,-21.18231201,-17.75,-10.30000019,-6.835301399,-3.5,4.949999809,13.62536812,22.14999962,15.75,23.68013954,31.75,-13.39999962,-10.04255199,-6.449999809,-3.400000095,-1.229503393,1.100000024,,,
1950,-114.806885,-96.18672962,-78.17360082,-104.4680099,-88.3913269,-71.58691406,-48.57523346,-40.33299255,-31.7433033,-40.75,-33.19721222,-21.35000038,-23.89999962,-20.36541557,-16.89999962,-10.19999981,-6.780492306,-3.5,3.599999905,12.31010818,20.75,15.69999981,23.60593987,31.64999962,-13.30000019,-9.959844589,-6.400000095,-4.599999905,-2.546663761,-0.200000003,,,
1951,-103.9940083,-85.61613876,-66.54137815,-99.68623352,-83.78445435,-66.50296021,-47.57946777,-39.36175156,-30.58270645,-39.95000076,-32.41927719,-20.54999924,-23.14999962,-19.67418861,-16.35000038,-10.05000019,-6.726674557,-3.5,5.75,14.4237299,22.89999962,15.64999962,23.5114212,31.5,-13.19999981,-9.873065948,-6.349999905,-2.650000095,-0.441730708,1.850000024,,,
1952,-103.7241699,-85.57809073,-67.32684402,-97.77548218,-81.28458405,-63.95106506,-46.74437332,-38.56855011,-30.03125954,-38.90000153,-31.49254608,-19.45000076,-22.60000038,-19.20826149,-15.89999962,-9.949999809,-6.672178268,-3.5,6.349999905,14.6821003,23.14999962,15.5,23.26654816,31.14999962,-13.10000038,-9.785130501,-6.300000191,-2.25,-0.031271052,2.299999952,,,
1953,-97.88902624,-79.77114947,-61.66613031,-96.68293762,-80.75823975,-64.09841156,-46.92588043,-38.55813599,-29.40072823,-37.70000076,-30.49181366,-18.54999924,-22.14999962,-18.7482357,-15.5,-9.850000381,-6.617931843,-3.5,5.449999809,13.68274784,22.14999962,15.30000019,23.00959587,30.85000038,-12.94999981,-9.692811012,-6.25,-3,-0.855277359,1.350000024,,,
1954,-107.0383881,-89.93808972,-73.00113093,-95.04985809,-79.314888,-62.70352936,-46.83011627,-38.39777374,-29.71811676,-36.84999847,-29.67550278,-17.75,-21.75,-18.45680046,-15.19999981,-9.699999809,-6.563951015,-3.5,5.300000191,13.80435181,22.25,15.19999981,22.83950806,30.60000038,-12.85000038,-9.596416473,-6.150000095,-2.950000048,-0.662952662,1.649999976,,,
1955,-104.5988711,-86.6263691,-69.71235162,-96.2108078,-80.62851715,-63.80776596,-46.13954926,-38.42973328,-30.17968559,-36.34999847,-29.21055412,-17.5,-21.45000076,-18.22774315,-15.05000019,-9.600000381,-6.509374619,-3.5,3.5,11.77400208,19.89999962,14.89999962,22.39685249,30.04999924,-12.75,-9.497830391,-6.099999905,-4.400000095,-2.336278915,0,,,
1956,-116.3831185,-100.0402361,-83.82143131,-97.48788452,-81.6896286,-64.98200989,-46.08089828,-38.18144608,-29.64883804,-35.34999847,-28.30467415,-16.45000076,-21.04999924,-17.84984207,-14.75,-9.5,-6.45570612,-3.450000048,0.899999976,9.127698898,17.10000038,14.75,22.16746712,29.75,-12.60000038,-9.397803307,-6,-7,-4.851308346,-2.450000048,,,
1957,-101.2466927,-83.94307501,-66.84289244,-93.25143433,-79.15894318,-63.74578094,-41.54789734,-37.6677475,-32.81664276,-34.15000153,-27.31992912,-15.85000038,-20.25,-17.1270752,-14.10000038,-9.399999619,-6.401492119,-3.5,1.25,9.383833885,17.39999962,14.60000038,21.94659424,29.45000076,-12.44999981,-9.294694901,-5.949999809,-6.550000191,-4.477808475,-2.150000095,,,
1958,-100.4948087,-85.72778533,-71.64176715,-84.02523804,-71.1031189,-56.8743248,-36.070858,-32.85158157,-30.54104614,-33.15000153,-26.57599831,-15.39999962,-19.60000038,-16.44646263,-13.39999962,-9.300000191,-6.346914768,-3.450000048,3.200000048,11.14425468,19.14999962,14.30000019,21.56632423,28.95000076,-12.35000038,-9.181519508,-5.849999905,-4.550000191,-2.451563358,-0.050000001,,,
1959,-97.00330105,-82.73126618,-68.63578665,-86.27145386,-72.95233154,-57.97202682,-39.11736298,-34.8890686,-30.99777603,-32.5,-26.02885628,-15.19999981,-19.29999924,-16.25915146,-13.30000019,-9.199999809,-6.293031693,-3.450000048,2.75,10.5424881,18.29999924,13.85000038,20.91730499,28.10000038,-12.19999981,-9.073356628,-5.800000191,-4.650000095,-2.511651278,-0.050000001,,,
1960,-90.80141926,-76.86832293,-63.22493714,-81.76678467,-69.34916687,-55.54325104,-35.81500626,-32.15377808,-29.01426506,-31.70000076,-25.28234482,-14.64999962,-18.60000038,-15.57327271,-12.64999962,-9.050000191,-6.238166809,-3.450000048,2.349999905,9.923852921,17.54999924,13.5,20.3613987,27.39999962,-12.10000038,-8.969134331,-5.699999809,-4.849999905,-2.678798199,-0.400000006,,,
1961,-90.28999311,-77.21473696,-63.67129737,-78.91973114,-66.34018707,-52.31085968,-33.85169983,-30.27758598,-26.45434189,-30.85000038,-24.53464317,-14.25,-17.85000038,-14.89031696,-12.10000038,-8.949999809,-6.185029507,-3.450000048,2.099999905,9.572471619,17.04999924,13.35000038,20.17751122,27.14999962,-11.94999981,-8.867510796,-5.650000095,-5.050000191,-2.946368456,-0.699999988,,,
1962,-91.65410056,-79.11187959,-66.30449569,-76.13079834,-64.07328033,-50.70526505,-32.65175629,-28.98838234,-25.91538048,-29.95000076,-23.70492172,-13.44999981,-17,-14.02888203,-11.25,-8.800000191,-6.129510403,-3.450000048,1.5,8.80534935,16.20000076,13.14999962,19.87472343,26.75,-11.80000019,-8.777665138,-5.550000191,-5.599999905,-3.501899958,-1.149999976,,,
1963,-91.87236007,-78.69134145,-65.39838561,-77.0927887,-64.74999237,-51.5995903,-34.26134872,-30.32301521,-26.75689888,-29.45000076,-23.34495926,-13.55000019,-16.60000038,-13.7888298,-11.05000019,-8.699999809,-6.075918198,-3.450000048,1.399999976,8.808065414,16.20000076,12.85000038,19.4228611,26.10000038,-11.69999981,-8.66256237,-5.5,-5.25,-3.162467718,-0.800000012,,,
1964,-95.92844533,-82.75201869,-69.26267781,-79.03656006,-67.2147522,-54.3730011,-34.92962265,-32.66517639,-28.58548355,-29.64999962,-23.34749031,-14.14999962,-16.54999924,-13.75571918,-11.05000019,-8.600000381,-6.021937847,-3.450000048,1.549999952,8.601792336,15.75,12.35000038,18.66636086,25.10000038,-11.55000019,-8.551738739,-5.400000095,-4.800000191,-2.72405529,-0.349999994,,,
